Concatenate,Year,Pasture Name,Pasture,Treatment,Herd,Week,Date,Rotation,Crude Protein (%),DOM(%),DOM/CP,Fecal Nitrogen (%),Fecal Phosphorus (%),Tag #'s,Notes,Ecological Site,Julian Day,Precip(mm),HerdTreat,WOY,DOY,Phase
2014_17S_AGM_CARM_11,2014,Saltflat,17S,CARM,CARM,11,2014-07-29T00:00:00Z,5,8.07,62.91,7.8,0.95,0.03,NA,NA,Sandy,NA,NA,NA,30,209,2-middle
2014_17S_AGM_CARM_12,2014,Saltflat,17S,CARM,CARM,12,2014-08-05T00:00:00Z,5,7.42,61.6,8.2,1.05,0.04,NA,NA,Sandy,NA,NA,NA,31,216,2-middle
2014_17S_AGM_CARM_13,2014,Saltflat,17S,CARM,CARM,13,2014-08-12T00:00:00Z,5,5.85,59.55,10.2,1.24,0.1,NA,NA,Sandy,NA,NA,NA,32,223,3-late
2014_17S_AGM_CARM_14,2014,Saltflat,17S,CARM,CARM,14,2014-08-18T00:00:00Z,5,5.6,61.93,11.1,1.08,0.03,NA,NA,Sandy,NA,NA,NA,33,229,3-late
2014_25NW_AGM_CARM_15,2014,Crossroads,25NW,CARM,CARM,15,2014-08-26T00:00:00Z,6,9.31,61.25,6.6,1.29,0,NA,NA,Mixed,NA,NA,NA,34,237,3-late
2014_25NW_AGM_CARM_16,2014,Crossroads,25NW,CARM,CARM,16,2014-09-02T00:00:00Z,6,6.93,58.94,8.5,1.31,0.01,NA,NA,Mixed,NA,NA,NA,35,244,3-late
2014_25NW_AGM_CARM_17,2014,Crossroads,25NW,CARM,CARM,17,2014-09-08T00:00:00Z,6,7.86,57.07,7.3,1.16,0.06,NA,NA,Mixed,NA,NA,NA,36,250,3-late
2014_26W_AGM_CARM_18,2014,Hilltank,26W,CARM,CARM,18,2014-09-15T00:00:00Z,7,NA,NA,NA,NA,NA,NA,Samples were merged into one at the GANLab so no accurate sample could be distinguished between CARM and TRM,Loamy,NA,NA,NA,37,257,3-late
2014_26W_AGM_CARM_19,2014,Hilltank,26W,CARM,CARM,19,2014-09-23T00:00:00Z,7,8.43,55.78,6.6,0.68,0.04,NA,NA,Loamy,NA,NA,NA,38,265,3-late
2014_26W_AGM_CARM_20,2014,Hilltank,26W,CARM,CARM,20,2014-09-29T00:00:00Z,7,6.13,55.32,9,0.64,0.06,NA,NA,Loamy,NA,NA,NA,39,271,3-late
2014_20SE_TGM_Paired TRM_1,2014,NA,20SE,TRM,Paired TRM,1,2014-05-23T00:00:00Z,1,13.37,65.7,4.9,2.18,0.41,NA,NA,Sandy,NA,NA,NA,20,142,1-early
2014_20SE_TGM_Paired TRM_2,2014,NA,20SE,TRM,Paired TRM,2,2014-05-30T00:00:00Z,1,14.69,63.65,4.5,2.88,0.57,NA,NA,Sandy,NA,NA,NA,21,149,1-early
2014_19N_TGM_Paired TRM_3,2014,NA,19N,TRM,Paired TRM,3,2014-06-06T00:00:00Z,2,13.79,66.26,4.8,2.27,0.41,NA,NA,Sandy,NA,NA,NA,22,156,1-early
2014_19N_TGM_Paired TRM_4,2014,NA,19N,TRM,Paired TRM,4,2014-06-13T00:00:00Z,2,13.01,67.7,5.2,1.86,0.29,NA,NA,Sandy,NA,NA,NA,23,163,1-early
2014_19N_TGM_Paired TRM_5,2014,NA,19N,TRM,Paired TRM,5,2014-06-20T00:00:00Z,2,13.1,64.42,4.9,1.07,0.14,NA,NA,Sandy,NA,NA,NA,24,170,1-early
2014_7NW_TGM_Paired TRM_6,2014,NA,7NW,TRM,Paired TRM,6,2014-06-27T00:00:00Z,3,10.86,65.27,6,1.53,0.24,NA,NA,Mixed,NA,NA,NA,25,177,1-early
2014_7NW_TGM_Paired TRM_7,2014,NA,7NW,TRM,Paired TRM,7,2014-07-03T00:00:00Z,3,9.93,64.5,6.5,1.46,0.24,NA,NA,Mixed,NA,NA,NA,26,183,2-middle
2014_7NW_TGM_Paired TRM_8,2014,NA,7NW,TRM,Paired TRM,8,2014-07-08T00:00:00Z,3,8.03,60.83,7.6,1.3,0.09,NA,NA,Mixed,NA,NA,NA,27,188,2-middle
2014_5E_TGM_Paired TRM_9,2014,NA,5E,TRM,Paired TRM,9,2014-07-15T00:00:00Z,4,9.42,63.56,6.7,0.95,0.14,NA,NA,Mixed,NA,NA,NA,28,195,2-middle
2014_5E_TGM_Paired TRM_10,2014,NA,5E,TRM,Paired TRM,10,2014-07-23T00:00:00Z,4,8.29,62,7.5,1.1,0.02,NA,NA,Mixed,NA,NA,NA,29,203,2-middle
2014_17N_TGM_Paired TRM_11,2014,NA,17N,TRM,Paired TRM,11,2014-07-29T00:00:00Z,5,8.54,62.12,7.3,1.24,0.16,NA,NA,Sandy,NA,NA,NA,30,209,2-middle
2014_17N_TGM_Paired TRM_12,2014,NA,17N,TRM,Paired TRM,12,2014-08-05T00:00:00Z,5,7.72,62.11,8,1.01,0,NA,NA,Sandy,NA,NA,NA,31,216,2-middle
2014_17N_TGM_Paired TRM_13,2014,NA,17N,TRM,Paired TRM,13,2014-08-12T00:00:00Z,5,8.09,61.82,7.6,1.38,0.07,NA,NA,Sandy,NA,NA,NA,32,223,3-late
2014_17N_TGM_Paired TRM_14,2014,NA,17N,TRM,Paired TRM,14,2014-08-18T00:00:00Z,5,7.1,63.27,8.9,1.25,0.05,NA,NA,Sandy,NA,NA,NA,33,229,3-late
2014_25SE_TGM_Paired TRM_15,2014,NA,25SE,TRM,Paired TRM,15,2014-08-26T00:00:00Z,6,7.98,60.86,7.6,1.04,0.05,NA,NA,Mixed,NA,NA,NA,34,237,3-late
2014_25SE_TGM_Paired TRM_16,2014,NA,25SE,TRM,Paired TRM,16,2014-09-02T00:00:00Z,6,7.87,60.95,7.7,0.97,0,NA,NA,Mixed,NA,NA,NA,35,244,3-late
2014_25SE_TGM_Paired TRM_17,2014,NA,25SE,TRM,Paired TRM,17,2014-09-08T00:00:00Z,6,9.32,60.33,6.5,1.04,0,NA,NA,Mixed,NA,NA,NA,36,250,3-late
2014_26E_TGM_Paired TRM_18,2014,NA,26E,TRM,Paired TRM,18,2014-09-15T00:00:00Z,7,NA,NA,NA,NA,NA,NA,Samples were merged into one at the GANLab so no accurate sample could be distinguished between CARM and TRM,Loamy,NA,NA,NA,37,257,3-late
2014_26E_TGM_Paired TRM_19,2014,NA,26E,TRM,Paired TRM,19,2014-09-23T00:00:00Z,7,10.01,54.69,5.5,0.36,0.04,NA,NA,Loamy,NA,NA,NA,38,265,3-late
2014_26E_TGM_Paired TRM_20,2014,NA,26E,TRM,Paired TRM,20,2014-09-29T00:00:00Z,7,6.86,59.43,8.7,0.87,0,NA,NA,Loamy,NA,NA,NA,39,271,3-late
2015_18S_AGM_CARM_1,2015,Snowfence,18S,CARM,CARM,1,2015-05-21T00:00:00Z,1,7.69,64.94,8.4,1.34,0.01,NA,NA,Sandy,141,0.254,NA,20,140,1-early
2015_19N_TGM_Paired TRM_1,2015,NA,19N,TRM,Paired TRM,1,2015-05-21T00:00:00Z,1,11.98,63.96,5.3,1.64,0.24,NA,NA,Sandy,141,0.254,NA,20,140,1-early
2015_15E_TGM_TRM_1,2015,NA,15E,TRM,TRM,1,2015-05-21T00:00:00Z,1,10.63,60.76,5.7,1.46,0.19,NA,NA,Loamy,141,0.254,NA,20,140,1-early
2015_7NW_TGM_TRM_1,2015,NA,7NW,TRM,TRM,1,2015-05-21T00:00:00Z,1,10.45,64.03,6.1,1.57,0.1,NA,NA,Mixed,141,0.254,NA,20,140,1-early
2015_18S_AGM_CARM_2,2015,Snowfence,18S,CARM,CARM,2,2015-05-27T00:00:00Z,1,8.12,63.03,7.8,1.19,0.01,NA,NA,Sandy,147,20.066,NA,21,146,1-early
2015_19N_TGM_Paired TRM_2,2015,NA,19N,TRM,Paired TRM,2,2015-05-27T00:00:00Z,1,11.5,62.44,5.4,1.77,0.24,NA,NA,Sandy,147,20.066,NA,21,146,1-early
2015_15E_TGM_TRM_2,2015,NA,15E,TRM,TRM,2,2015-05-27T00:00:00Z,1,11.1,60.94,5.5,1.53,0.14,NA,NA,Loamy,147,20.066,NA,21,146,1-early
2015_7NW_TGM_TRM_2,2015,NA,7NW,TRM,TRM,2,2015-05-27T00:00:00Z,1,11.64,63.7,5.5,1.59,0.11,NA,NA,Mixed,147,20.066,NA,21,146,1-early
2015_17S_AGM_CARM_3,2015,Saltflat,17S,CARM,CARM,3,2015-06-03T00:00:00Z,2,10.93,63.79,5.8,1.59,0.1,NA,NA,Sandy,154,9.143999999999998,NA,22,153,1-early
2015_17N_TGM_Paired TRM_3,2015,NA,17N,TRM,Paired TRM,3,2015-06-03T00:00:00Z,2,13.97,63.9,4.6,1.98,0.39,NA,NA,Sandy,154,9.143999999999998,NA,22,153,1-early
2015_15E_TGM_TRM_3,2015,NA,15E,TRM,TRM,3,2015-06-03T00:00:00Z,2,12.79,63.33,5,1.62,0.09,NA,NA,Loamy,154,9.143999999999998,NA,22,153,1-early
2015_19N_TGM_TRM_3,2015,NA,19N,TRM,TRM,3,2015-06-03T00:00:00Z,2,12.47,64.32,5.2,1.74,0.16,NA,NA,Sandy,154,9.143999999999998,NA,22,153,1-early
2015_7NW_TGM_TRM_3,2015,NA,7NW,TRM,TRM,3,2015-06-03T00:00:00Z,2,14.94,67.35,4.5,2.03,0.22,NA,NA,Mixed,154,9.143999999999998,NA,22,153,1-early
2015_17S_AGM_CARM_4,2015,Saltflat,17S,CARM,CARM,4,2015-06-10T00:00:00Z,2,10.55,61.99,5.9,1.79,0.12,NA,NA,Sandy,161,21.589999999999996,NA,23,160,1-early
2015_17N_TGM_Paired TRM_4,2015,NA,17N,TRM,Paired TRM,4,2015-06-10T00:00:00Z,2,12.61,63.72,5.1,1.94,0.27,NA,NA,Sandy,161,21.589999999999996,NA,23,160,1-early
2015_15E_TGM_TRM_4,2015,NA,15E,TRM,TRM,4,2015-06-10T00:00:00Z,2,13.83,63.92,4.6,1.94,0.3,NA,NA,Loamy,161,21.589999999999996,NA,23,160,1-early
2015_19N_TGM_TRM_4,2015,NA,19N,TRM,TRM,4,2015-06-10T00:00:00Z,2,12.33,65.92,5.3,2.16,0.26,NA,NA,Sandy,161,21.589999999999996,NA,23,160,1-early
2015_7NW_TGM_TRM_4,2015,NA,7NW,TRM,TRM,4,2015-06-10T00:00:00Z,2,14.84,68.73,4.6,2.01,0.3,NA,NA,Mixed,161,21.589999999999996,NA,23,160,1-early
2015_17S_AGM_CARM_5,2015,Saltflat,17S,CARM,CARM,5,2015-06-17T00:00:00Z,2,9.03,60.8,6.7,1.63,0.19,NA,NA,Sandy,168,18.034,NA,24,167,1-early
2015_17N_TGM_Paired TRM_5,2015,NA,17N,TRM,Paired TRM,5,2015-06-17T00:00:00Z,2,13.48,64.11,4.8,1.96,0.38,NA,NA,Sandy,168,18.034,NA,24,167,1-early
2015_15E_TGM_TRM_5,2015,NA,15E,TRM,TRM,5,2015-06-17T00:00:00Z,2,14.06,65.82,4.7,2.48,0.39,NA,NA,Loamy,168,18.034,NA,24,167,1-early
2015_19N_TGM_TRM_5,2015,NA,19N,TRM,TRM,5,2015-06-17T00:00:00Z,2,12.11,66.27,5.5,1.92,0.23,NA,NA,Sandy,168,18.034,NA,24,167,1-early
2015_7NW_TGM_TRM_5,2015,NA,7NW,TRM,TRM,5,2015-06-17T00:00:00Z,2,13.79,65.79,4.8,2.09,0.34,NA,NA,Mixed,168,18.034,NA,24,167,1-early
2015_17S_AGM_CARM_6,2015,Saltflat,17S,CARM,CARM,6,2015-06-24T00:00:00Z,2,9.86,60.09,6.1,1.81,0.15,NA,NA,Sandy,175,1.016,NA,25,174,1-early
2015_17N_TGM_Paired TRM_6,2015,NA,17N,TRM,Paired TRM,6,2015-06-24T00:00:00Z,2,10.73,65.15,6.1,1.69,0.23,NA,NA,Sandy,175,1.016,NA,25,174,1-early
2015_15E_TGM_TRM_6,2015,NA,15E,TRM,TRM,6,2015-06-24T00:00:00Z,2,11.22,62.75,5.6,1.66,0.28,NA,NA,Loamy,175,1.016,NA,25,174,1-early
2015_19N_TGM_TRM_6,2015,NA,19N,TRM,TRM,6,2015-06-24T00:00:00Z,2,13.08,64.99,5,1.9,0.32,NA,NA,Sandy,175,1.016,NA,25,174,1-early
2015_7NW_TGM_TRM_6,2015,NA,7NW,TRM,TRM,6,2015-06-24T00:00:00Z,2,11.91,64.78,5.4,1.73,0.37,NA,NA,Mixed,175,1.016,NA,25,174,1-early
2015_17S_AGM_CARM_7,2015,Saltflat,17S,CARM,CARM,7,2015-07-01T00:00:00Z,2,7.82,59.33,7.6,1.37,0.21,NA,NA,Sandy,182,3.556,NA,26,181,2-middle
2015_17N_TGM_Paired TRM_7,2015,NA,17N,TRM,Paired TRM,7,2015-07-01T00:00:00Z,2,11.19,62.79,5.6,1.49,0.29,NA,NA,Sandy,182,3.556,NA,26,181,2-middle
2015_15E_TGM_TRM_7,2015,NA,15E,TRM,TRM,7,2015-07-01T00:00:00Z,2,11.93,63.8,5.3,1.77,0.32,NA,NA,Loamy,182,3.556,NA,26,181,2-middle
2015_19N_TGM_TRM_7,2015,NA,19N,TRM,TRM,7,2015-07-01T00:00:00Z,2,9.63,65.29,6.8,1.52,0.28,NA,NA,Sandy,182,3.556,NA,26,181,2-middle
2015_7NW_TGM_TRM_7,2015,NA,7NW,TRM,TRM,7,2015-07-01T00:00:00Z,2,11.31,64.85,5.7,1.78,0.35,NA,NA,Mixed,182,3.556,NA,26,181,2-middle
2015_17S_AGM_CARM_8,2015,Saltflat,17S,CARM,CARM,8,2015-07-07T00:00:00Z,2,8.27,61.14,7.4,1.42,0.12,NA,NA,Sandy,188,2.54,NA,27,187,2-middle
2015_17N_TGM_Paired TRM_8,2015,NA,17N,TRM,Paired TRM,8,2015-07-07T00:00:00Z,2,10.17,62.77,6.2,1.58,0.32,NA,NA,Sandy,188,2.54,NA,27,187,2-middle
2015_19N_TGM_TRM_8,2015,NA,19N,TRM,TRM,8,2015-07-07T00:00:00Z,2,10.28,64.67,6.3,1.65,0.27,NA,NA,Sandy,188,2.54,NA,27,187,2-middle
2015_7NW_TGM_TRM_8,2015,NA,7NW,TRM,TRM,8,2015-07-07T00:00:00Z,2,9.66,64.12,6.6,1.39,0.26,NA,NA,Mixed,188,2.54,NA,27,187,2-middle
2015_15E_TGM_TRM_8,2015,NA,15E,TRM,TRM,8,2015-07-08T00:00:00Z,2,10.95,62.73,5.7,1.81,0.3,NA,NA,Loamy,188,2.54,NA,27,188,2-middle
2015_7NW_TGM_TRM_9,2015,NA,7NW,TRM,TRM,9,2015-07-15T00:00:00Z,2,8.6,63.67,7.4,1.18,0.11,NA,NA,Mixed,197,19.558,NA,28,195,2-middle
2015_10S_AGM_CARM_9,2015,Nighthawk,10S,CARM,CARM,9,2015-07-16T00:00:00Z,3,7.69,62.07,8.1,0.96,0.01,NA,NA,Loamy,197,19.558,NA,28,196,2-middle
2015_15E_TGM_Paired TRM_9,2015,NA,15E,TRM,Paired TRM,9,2015-07-17T00:00:00Z,3,9.5,62.03,6.5,1.44,0.18,NA,NA,Loamy,197,19.558,NA,28,197,2-middle
2015_19N_TGM_TRM_9,2015,NA,19N,TRM,TRM,9,2015-07-17T00:00:00Z,3,9.07,62.1,6.8,1.37,0.2,NA,NA,Sandy,197,19.558,NA,28,197,2-middle
2015_19N_TGM_TRM_10,2015,NA,19N,TRM,TRM,10,2015-07-20T00:00:00Z,3,9.87,62.1,6.3,1.34,0.23,NA,NA,Sandy,204,5.588,NA,29,200,2-middle
2015_7NW_TGM_TRM_10,2015,NA,7NW,TRM,TRM,10,2015-07-20T00:00:00Z,3,10.53,62.18,5.9,0.97,0.07,NA,NA,Mixed,204,5.588,NA,29,200,2-middle
2015_10S_AGM_CARM_10,2015,Nighthawk,10S,CARM,CARM,10,2015-07-23T00:00:00Z,3,8.11,61.91,7.6,1.12,0.02,NA,NA,Loamy,204,5.588,NA,29,203,2-middle
2015_15E_TGM_Paired TRM_10,2015,NA,15E,TRM,Paired TRM,10,2015-07-23T00:00:00Z,3,10.95,62.08,5.7,1.33,0.36,NA,NA,Loamy,204,5.588,NA,29,203,2-middle
2015_10S_AGM_CARM_11,2015,Nighthawk,10S,CARM,CARM,11,2015-07-27T00:00:00Z,3,7.37,60.67,8.2,1.11,0.02,NA,NA,Loamy,208,0,NA,30,207,2-middle
2015_15E_TGM_Paired TRM_11,2015,NA,15E,TRM,Paired TRM,11,2015-07-27T00:00:00Z,3,8.39,61.66,7.3,1.04,0.14,NA,NA,Loamy,208,0,NA,30,207,2-middle
2015_7NW_TGM_TRM_11,2015,NA,7NW,TRM,TRM,11,2015-07-28T00:00:00Z,3,7.64,60.42,7.9,0.82,0.08,NA,NA,Mixed,208,0,NA,30,208,2-middle
2015_19N_TGM_TRM_11,2015,NA,19N,TRM,TRM,11,2015-07-29T00:00:00Z,3,9,60.92,6.8,1.05,0.18,NA,NA,Sandy,208,0,NA,30,209,2-middle
2015_10S_AGM_CARM_12,2015,Nighthawk,10S,CARM,CARM,12,2015-08-05T00:00:00Z,3,7.22,60.89,8.4,0.93,0.01,NA,NA,Loamy,217,0,NA,31,216,2-middle
2015_15E_TGM_Paired TRM_12,2015,NA,15E,TRM,Paired TRM,12,2015-08-05T00:00:00Z,3,9.15,61.57,6.7,1.37,0.07,NA,NA,Loamy,217,0,NA,31,216,2-middle
2015_19N_TGM_TRM_12,2015,NA,19N,TRM,TRM,12,2015-08-05T00:00:00Z,3,10.02,64.07,6.4,1.46,0.18,NA,NA,Sandy,217,0,NA,31,216,2-middle
2015_7NW_TGM_TRM_12,2015,NA,7NW,TRM,TRM,12,2015-08-05T00:00:00Z,3,9.06,63.72,7,1.17,0.12,NA,NA,Mixed,217,0,NA,31,216,2-middle
2015_10S_AGM_CARM_13,2015,Nighthawk,10S,CARM,CARM,13,2015-08-12T00:00:00Z,3,7,60.03,8.6,0.85,0.01,NA,NA,Loamy,224,5.08,NA,32,223,3-late
2015_15E_TGM_Paired TRM_13,2015,NA,15E,TRM,Paired TRM,13,2015-08-12T00:00:00Z,3,8.73,61.28,7,1.05,0.05,NA,NA,Loamy,224,5.08,NA,32,223,3-late
2015_19N_TGM_TRM_13,2015,NA,19N,TRM,TRM,13,2015-08-12T00:00:00Z,3,9.23,61.95,6.7,1.26,0.01,NA,NA,Sandy,224,5.08,NA,32,223,3-late
2015_7NW_TGM_TRM_13,2015,NA,7NW,TRM,TRM,13,2015-08-12T00:00:00Z,3,8.02,63.36,7.9,0.97,0.02,NA,NA,Mixed,224,5.08,NA,32,223,3-late
2015_15E_TGM_Paired TRM_14,2015,NA,15E,TRM,Paired TRM,14,2015-08-19T00:00:00Z,3,9.18,61.68,6.7,1.36,0.08,NA,NA,Loamy,232,6.35,NA,33,230,3-late
2015_19N_TGM_TRM_14,2015,NA,19N,TRM,TRM,14,2015-08-19T00:00:00Z,3,6.82,61.36,9,0.9,0.02,NA,NA,Sandy,232,6.35,NA,33,230,3-late
2015_7NW_TGM_TRM_14,2015,NA,7NW,TRM,TRM,14,2015-08-19T00:00:00Z,3,7.3,64.65,8.9,0.88,0.07,NA,NA,Mixed,232,6.35,NA,33,230,3-late
2015_10S_AGM_CARM_14,2015,Nighthawk,10S,CARM,CARM,14,2015-08-20T00:00:00Z,3,6.98,59.57,8.5,0.67,0.03,NA,NA,Loamy,232,6.35,NA,33,231,3-late
2015_21N_AGM_CARM_15,2015,Highway,21N,CARM,CARM,15,2015-08-27T00:00:00Z,4,9.26,61.61,6.7,1.12,0.05,NA,NA,Loamy,239,0,NA,34,238,3-late
2015_24W_TGM_Paired TRM_15,2015,NA,24W,TRM,Paired TRM,15,2015-08-27T00:00:00Z,4,10.51,63.22,6,1.24,0,NA,NA,Loamy,239,0,NA,34,238,3-late
2015_15E_TGM_TRM_15,2015,NA,15E,TRM,TRM,15,2015-08-27T00:00:00Z,4,9.99,61.55,6.2,1.33,0.13,NA,NA,Loamy,239,0,NA,34,238,3-late
2015_19N_TGM_TRM_15,2015,NA,19N,TRM,TRM,15,2015-08-27T00:00:00Z,4,8.54,60.1,7,1.35,0.27,NA,NA,Sandy,239,0,NA,34,238,3-late
2015_7NW_TGM_TRM_15,2015,NA,7NW,TRM,TRM,15,2015-08-27T00:00:00Z,4,8.63,60.97,10.6,1.24,0.17,NA,NA,Mixed,239,0,NA,34,238,3-late
2015_21N_AGM_CARM_16,2015,Highway,21N,CARM,CARM,16,2015-09-03T00:00:00Z,4,7.42,60.55,8.2,1.28,0.15,NA,NA,Loamy,246,3.302,NA,35,245,3-late
2015_24W_TGM_Paired TRM_16,2015,NA,24W,TRM,Paired TRM,16,2015-09-03T00:00:00Z,4,7.92,62.07,7.8,1.27,0.19,NA,NA,Loamy,246,3.302,NA,35,245,3-late
2015_15E_TGM_TRM_16,2015,NA,15E,TRM,TRM,16,2015-09-03T00:00:00Z,4,8.17,61.51,7.5,1.77,0.19,NA,NA,Loamy,246,3.302,NA,35,245,3-late
2015_19N_TGM_TRM_16,2015,NA,19N,TRM,TRM,16,2015-09-03T00:00:00Z,4,7.69,63.26,8.2,1.28,0.18,NA,NA,Sandy,246,3.302,NA,35,245,3-late
2015_7NW_TGM_TRM_16,2015,NA,7NW,TRM,TRM,16,2015-09-03T00:00:00Z,4,7.48,65.05,8.7,1.2,0.07,NA,NA,Mixed,246,3.302,NA,35,245,3-late
2015_21N_AGM_CARM_17,2015,Highway,21N,CARM,CARM,17,2015-09-11T00:00:00Z,4,6.49,60.71,9.4,1.23,0.24,NA,NA,Loamy,254,0.508,NA,36,253,3-late
2015_24W_TGM_Paired TRM_17,2015,NA,24W,TRM,Paired TRM,17,2015-09-11T00:00:00Z,4,7.06,60.29,8.5,1.38,0.23,NA,NA,Loamy,254,0.508,NA,36,253,3-late
2015_15E_TGM_TRM_17,2015,NA,15E,TRM,TRM,17,2015-09-11T00:00:00Z,4,7.48,60.95,8.1,1.59,0.22,NA,NA,Loamy,254,0.508,NA,36,253,3-late
2015_19N_TGM_TRM_17,2015,NA,19N,TRM,TRM,17,2015-09-11T00:00:00Z,4,6.19,61.74,10,1.28,0.27,NA,NA,Sandy,254,0.508,NA,36,253,3-late
2015_7NW_TGM_TRM_17,2015,NA,7NW,TRM,TRM,17,2015-09-11T00:00:00Z,4,6.09,63.38,10.4,1.27,0.22,NA,NA,Mixed,254,0.508,NA,36,253,3-late
2015_21N_AGM_CARM_18,2015,Highway,21N,CARM,CARM,18,2015-09-18T00:00:00Z,4,4.98,60.56,12.2,1.07,0.2,NA,NA,Loamy,261,0,NA,37,260,3-late
2015_24W_TGM_Paired TRM_18,2015,NA,24W,TRM,Paired TRM,18,2015-09-18T00:00:00Z,4,5.74,60.97,10.6,1.24,0.17,NA,NA,Loamy,261,0,NA,37,260,3-late
2015_15E_TGM_TRM_18,2015,NA,15E,TRM,TRM,18,2015-09-18T00:00:00Z,4,6.81,60.38,8.9,1.45,0.3,NA,NA,Loamy,261,0,NA,37,260,3-late
2015_19N_TGM_TRM_18,2015,NA,19N,TRM,TRM,18,2015-09-18T00:00:00Z,4,5.81,62.93,10.8,1.29,0.35,NA,NA,Sandy,261,0,NA,37,260,3-late
2015_7NW_TGM_TRM_18,2015,NA,7NW,TRM,TRM,18,2015-09-18T00:00:00Z,4,5,62.42,12.5,1.29,0.2,NA,NA,Mixed,261,0,NA,37,260,3-late
2015_21N_AGM_CARM_19,2015,Highway,21N,CARM,CARM,19,2015-09-25T00:00:00Z,4,4.65,58.5,12.6,1.21,0.12,NA,NA,Loamy,268,0,NA,38,267,3-late
2015_24W_TGM_Paired TRM_19,2015,NA,24W,TRM,Paired TRM,19,2015-09-25T00:00:00Z,4,6.75,61.42,9.1,1.38,0.04,NA,NA,Loamy,268,0,NA,38,267,3-late
2015_15E_TGM_TRM_19,2015,NA,15E,TRM,TRM,19,2015-09-25T00:00:00Z,4,5.42,60.56,11.2,1.3,0.08,NA,NA,Loamy,268,0,NA,38,267,3-late
2015_19N_TGM_TRM_19,2015,NA,19N,TRM,TRM,19,2015-09-25T00:00:00Z,4,5.01,61.41,12.3,1.3,0.21,NA,NA,Sandy,268,0,NA,38,267,3-late
2015_7NW_TGM_TRM_19,2015,NA,7NW,TRM,TRM,19,2015-09-25T00:00:00Z,4,4.56,60.77,13.3,1.37,0.01,NA,NA,Mixed,268,0,NA,38,267,3-late
2015_21N_AGM_CARM_20,2015,Highway,21N,CARM,CARM,20,2015-10-02T00:00:00Z,4,3.3,58.6,17.8,1.22,0.11,NA,NA,Loamy,275,0.508,NA,39,274,3-late
2015_24W_TGM_Paired TRM_20,2015,NA,24W,TRM,Paired TRM,20,2015-10-02T00:00:00Z,4,4.93,61.49,12.5,1.24,0.06,NA,NA,Loamy,275,0.508,NA,39,274,3-late
2015_15E_TGM_TRM_20,2015,NA,15E,TRM,TRM,20,2015-10-02T00:00:00Z,4,4.46,61.6,13.8,1.32,0.07,NA,NA,Loamy,275,0.508,NA,39,274,3-late
2015_19N_TGM_TRM_20,2015,NA,19N,TRM,TRM,20,2015-10-02T00:00:00Z,4,3.99,62.55,15.7,1.22,0.09,NA,NA,Sandy,275,0.508,NA,39,274,3-late
2015_7NW_TGM_TRM_20,2015,NA,7NW,TRM,TRM,20,2015-10-02T00:00:00Z,4,4,60.99,15.2,1.38,0.04,NA,NA,Mixed,275,0.508,NA,39,274,3-late
