Id_transect,Pasture,Date,Date_mean,Year,Season,Low,High,Biomass_kg_ha,geometry
10S_P2_2.0,10S,2018-06-15,2018-06-15,2018,June,4.44,15.0,973.5551443513423,
10S_P2_2.0,10S,2019-06-19,2019-06-19,2019,June,2.06,13.88,566.7799457954721,
10S_P2_2.0,10S,2020-06-16,2020-06-16,2020,June,2.94,13.81,714.7378197015906,
10S_P2_2.0,10S,2021-06-23,2021-06-23,2021,June,1.86,15.21,548.360911654352,
10S_P2_2.0,10S,2022-06-15,2022-06-14,2022,June,1.21,8.79,349.0906220396313,
10S_P2_2.0,10S,2023-06-21,2023-06-20,2023,June,3.38,20.62,885.7002163448687,
10S_P2_3.0,10S,2014-06-12,2014-06-12,2014,June,10.38,26.56,2082.17289964585,
10S_P2_3.0,10S,2015-06-12,2015-06-12,2015,June,10.81,42.88,2424.1703515371287,
10S_P2_3.0,10S,2016-06-12,2016-06-12,2016,June,5.25,15.38,1105.3062152505909,
10S_P2_3.0,10S,2017-06-12,2017-06-12,2017,June,4.93,16.93,1082.4192027682677,
10S_P2_3.0,10S,2018-06-15,2018-06-15,2018,June,3.43,15.5,820.4953238431174,
10S_P2_3.0,10S,2019-06-19,2019-06-19,2019,June,2.0,15.36,575.4588144530262,
10S_P2_3.0,10S,2020-06-16,2020-06-16,2020,June,2.64,15.5,688.9262087428148,
10S_P2_3.0,10S,2021-06-23,2021-06-23,2021,June,3.94,24.69,1036.7248553876318,
10S_P2_3.0,10S,2022-06-15,2022-06-14,2022,June,1.88,17.44,579.3668886546857,
10S_P2_3.0,10S,2023-06-21,2023-06-20,2023,June,5.44,24.69,1286.1740716180518,
10S_P2_4.0,10S,2014-06-12,2014-06-12,2014,June,5.88,19.31,1270.2634224368921,
10S_P2_4.0,10S,2015-06-12,2015-06-12,2015,June,5.71,29.71,1404.0837875387983,
10S_P2_4.0,10S,2016-06-12,2016-06-12,2016,June,4.69,14.5,1003.8322773818625,
10S_P2_4.0,10S,2017-06-12,2017-06-12,2017,June,5.21,17.0,1127.2005718088642,
10S_P2_4.0,10S,2018-06-15,2018-06-15,2018,June,3.44,16.88,842.7654713398297,
10S_P2_4.0,10S,2019-06-19,2019-06-19,2019,June,4.29,15.64,960.6059883607786,
10S_P2_4.0,10S,2020-06-16,2020-06-16,2020,June,2.29,15.07,622.8110433455055,
10S_P2_4.0,10S,2021-06-23,2021-06-23,2021,June,4.31,19.94,1031.015096696645,
10S_P2_4.0,10S,2022-06-15,2022-06-14,2022,June,1.93,12.64,527.4592726041711,
10S_P2_4.0,10S,2023-06-21,2023-06-20,2023,June,4.86,19.57,1114.0917101665627,
10S_P3_1.0,10S,2014-06-12,2014-06-12,2014,June,9.56,38.19,2153.0194532227088,
10S_P3_1.0,10S,2015-06-12,2015-06-12,2015,June,5.44,25.0,1290.8294089414885,
10S_P3_1.0,10S,2016-06-12,2016-06-12,2016,June,3.25,18.25,830.7838697546507,
10S_P3_1.0,10S,2017-06-12,2017-06-12,2017,June,3.62,18.81,900.7386531166746,
10S_P3_1.0,10S,2018-06-15,2018-06-15,2018,June,2.12,17.19,620.1544412023871,
10S_P3_1.0,10S,2019-06-19,2019-06-19,2019,June,1.94,14.94,559.3572715620589,
10S_P3_1.0,10S,2020-06-16,2020-06-16,2020,June,1.81,14.44,529.6392487505846,
10S_P3_1.0,10S,2021-06-24,2021-06-23,2021,June,1.19,14.19,410.484411167295,
10S_P3_1.0,10S,2022-06-15,2022-06-14,2022,June,1.19,6.81,318.51491442683994,
10S_P3_1.0,10S,2023-06-21,2023-06-20,2023,June,2.62,19.06,733.135063263097,
10S_P3_2.0,10S,2014-06-12,2014-06-12,2014,June,5.19,22.31,1209.594030214956,
10S_P3_2.0,10S,2015-06-12,2015-06-12,2015,June,3.25,17.38,818.4401792113567,
10S_P3_2.0,10S,2016-06-12,2016-06-12,2016,June,2.62,11.31,624.2736697832875,
10S_P3_2.0,10S,2017-06-12,2017-06-12,2017,June,3.21,10.71,708.7269223278948,
10S_P3_2.0,10S,2018-06-15,2018-06-15,2018,June,2.31,13.94,610.8968690800587,
10S_P3_2.0,10S,2019-06-19,2019-06-19,2019,June,1.81,10.69,479.95034354815317,
10S_P3_2.0,10S,2020-06-16,2020-06-16,2020,June,1.43,9.0,390.78312278482883,
10S_P3_2.0,10S,2021-06-24,2021-06-23,2021,June,1.56,12.12,455.09534821787867,
10S_P3_2.0,10S,2022-06-15,2022-06-14,2022,June,1.5,7.0,373.8262394696811,
10S_P3_2.0,10S,2023-06-21,2023-06-20,2023,June,4.19,19.31,1001.9832904861277,
10S_P3_3.0,10S,2014-06-12,2014-06-12,2014,June,5.81,24.38,1341.0950916481474,
10S_P3_3.0,10S,2015-06-12,2015-06-12,2015,June,7.19,19.0,1464.835322600969,
10S_P3_3.0,10S,2016-06-12,2016-06-12,2016,June,4.62,21.25,1101.2006357375187,
10S_P3_3.0,10S,2017-06-12,2017-06-12,2017,June,6.19,19.81,1326.726880545495,
10S_P3_3.0,10S,2018-06-15,2018-06-15,2018,June,2.44,15.12,649.4405284650377,
10S_P3_3.0,10S,2019-06-19,2019-06-19,2019,June,2.12,13.25,568.71235610412,
10S_P3_3.0,10S,2020-06-16,2020-06-16,2020,June,1.88,15.94,561.0797463124375,
10S_P3_3.0,10S,2021-06-24,2021-06-23,2021,June,4.62,25.56,1163.7790964299932,
10S_P3_3.0,10S,2022-06-15,2022-06-14,2022,June,2.12,15.38,597.072711069542,
10S_P3_3.0,10S,2023-06-21,2023-06-20,2023,June,4.44,24.38,1117.0228776181602,
10S_P3_4.0,10S,2014-06-12,2014-06-12,2014,June,4.12,27.62,1106.8095578644545,
10S_P3_4.0,10S,2015-06-12,2015-06-12,2015,June,4.5,19.12,1049.3361058437658,
10S_P3_4.0,10S,2016-06-12,2016-06-12,2016,June,4.06,18.56,969.4997990612886,
10S_P3_4.0,10S,2017-06-12,2017-06-12,2017,June,3.69,18.94,914.2537768836336,
10S_P3_4.0,10S,2018-06-15,2018-06-15,2018,June,2.5,12.44,621.5974210017364,
10S_P3_4.0,10S,2019-06-19,2019-06-19,2019,June,2.0,13.0,544.5087489251074,
10S_P3_4.0,10S,2020-06-16,2020-06-16,2020,June,1.25,14.75,428.50864608109237,
10S_P3_4.0,10S,2021-06-24,2021-06-23,2021,June,1.38,10.94,407.5191031707729,
10S_P3_4.0,10S,2022-06-15,2022-06-14,2022,June,1.44,7.5,371.2249768381865,
10S_P3_4.0,10S,2023-06-21,2023-06-20,2023,June,2.38,15.06,638.2778788062969,
10S_P4_1.0,10S,2014-06-12,2014-06-12,2014,June,9.5,20.5,1836.3802659592814,
10S_P4_1.0,10S,2015-06-12,2015-06-12,2015,June,6.31,19.75,1344.2027678478764,
10S_P4_1.0,10S,2016-06-12,2016-06-12,2016,June,5.81,17.62,1230.4571994875166,
10S_P4_1.0,10S,2017-06-12,2017-06-12,2017,June,2.81,14.56,704.2553959624133,
10S_P4_1.0,10S,2018-06-15,2018-06-15,2018,June,5.44,22.19,1247.8336561194783,
10S_P4_1.0,10S,2019-06-20,2019-06-19,2019,June,3.5,12.19,779.1615349088892,
10S_P4_1.0,10S,2020-06-17,2020-06-16,2020,June,1.75,12.19,489.8787071254968,
10S_P4_1.0,10S,2021-06-24,2021-06-23,2021,June,1.94,14.12,548.7971475661399,
10S_P4_1.0,10S,2022-06-15,2022-06-14,2022,June,1.81,10.06,471.05560987429783,
10S_P4_1.0,10S,2023-06-21,2023-06-20,2023,June,5.5,25.25,1304.324130949211,
10S_P4_2.0,10S,2014-06-12,2014-06-12,2014,June,10.88,17.31,1968.5941346037994,
10S_P4_2.0,10S,2015-06-12,2015-06-12,2015,June,5.81,20.75,1283.3279120683158,
10S_P4_2.0,10S,2016-06-12,2016-06-12,2016,June,5.25,16.31,1121.5646127889688,
10S_P4_2.0,10S,2017-06-12,2017-06-12,2017,June,4.25,15.75,956.0770268453313,
10S_P4_2.0,10S,2018-06-15,2018-06-15,2018,June,4.31,18.31,1006.2040049560424,
10S_P4_2.0,10S,2019-06-20,2019-06-19,2019,June,3.56,17.44,870.8226911422198,
10S_P4_2.0,10S,2020-06-17,2020-06-16,2020,June,2.62,16.81,703.42971447706,
10S_P4_2.0,10S,2021-06-24,2021-06-23,2021,June,3.19,18.62,825.8043186193357,
10S_P4_2.0,10S,2022-06-15,2022-06-14,2022,June,1.88,11.88,508.46050472878386,
10S_P4_2.0,10S,2023-06-21,2023-06-20,2023,June,4.5,21.56,1086.2167428046575,
10S_P4_3.0,10S,2014-06-12,2014-06-12,2014,June,7.56,17.81,1497.8903442437406,
10S_P4_3.0,10S,2015-06-12,2015-06-12,2015,June,5.06,17.44,1111.2367160347321,
10S_P4_3.0,10S,2016-06-12,2016-06-12,2016,June,5.94,16.88,1237.2796427162423,
10S_P4_3.0,10S,2017-06-12,2017-06-12,2017,June,4.56,18.19,1044.4290443105597,
10S_P4_3.0,10S,2018-06-15,2018-06-15,2018,June,4.56,21.81,1099.7491993049907,
10S_P4_3.0,10S,2019-06-20,2019-06-19,2019,June,3.88,13.56,861.7411208677147,
10S_P4_3.0,10S,2020-06-17,2020-06-16,2020,June,2.12,15.25,595.3812731660387,
10S_P4_3.0,10S,2021-06-24,2021-06-23,2021,June,1.69,16.94,537.9594212106412,
10S_P4_3.0,10S,2022-06-15,2022-06-14,2022,June,1.81,8.06,441.41870440102565,
10S_P4_3.0,10S,2023-06-21,2023-06-20,2023,June,4.69,29.38,1228.2020580445103,
10S_P4_4.0,10S,2014-06-12,2014-06-12,2014,June,7.81,30.56,1756.082699143655,
10S_P4_4.0,10S,2015-06-12,2015-06-12,2015,June,4.5,19.81,1059.927485245262,
10S_P4_4.0,10S,2016-06-12,2016-06-12,2016,June,4.19,15.88,948.6723485837126,
10S_P4_4.0,10S,2017-06-12,2017-06-12,2017,June,4.94,21.75,1160.6880009658687,
10S_P4_4.0,10S,2018-06-15,2018-06-15,2018,June,4.62,18.5,1058.9040292790705,
10S_P4_4.0,10S,2019-06-20,2019-06-19,2019,June,4.56,23.12,1118.9473173515319,
10S_P4_4.0,10S,2020-06-17,2020-06-16,2020,June,3.62,18.06,889.8391607728868,
10S_P4_4.0,10S,2021-06-24,2021-06-23,2021,June,5.38,30.12,1354.9779173621425,
10S_P4_4.0,10S,2022-06-15,2022-06-14,2022,June,4.0,21.5,1002.6426460045393,
10S_P4_4.0,10S,2023-06-21,2023-06-20,2023,June,10.31,44.5,2369.7243063142473,
15E_P1_1.0,15E,2014-06-12,2014-06-12,2014,June,9.12,26.25,1886.900902336161,
15E_P1_1.0,15E,2015-06-12,2015-06-12,2015,June,2.25,22.62,709.6239446324149,
15E_P1_1.0,15E,2016-06-12,2016-06-12,2016,June,5.19,18.12,1142.862784478439,
15E_P1_1.0,15E,2017-06-12,2017-06-12,2017,June,3.81,15.94,888.8619257911159,
15E_P1_1.0,15E,2018-06-15,2018-06-16,2018,June,3.62,16.0,859.0447476010106,
15E_P1_1.0,15E,2019-06-19,2019-06-19,2019,June,4.06,16.25,933.8624298002045,
15E_P1_1.0,15E,2020-06-15,2020-06-13,2020,June,1.75,13.75,510.08425012649377,
15E_P1_1.0,15E,2021-06-22,2021-06-21,2021,June,3.38,22.81,915.1154318710451,
15E_P1_1.0,15E,2022-06-16,2022-06-16,2022,June,1.5,15.44,484.4975705216192,
15E_P1_1.0,15E,2023-06-20,2023-06-18,2023,June,3.0,36.79,1012.331339673058,
15E_P1_2.0,15E,2014-06-12,2014-06-12,2014,June,8.5,19.44,1668.4654367352296,
15E_P1_2.0,15E,2015-06-12,2015-06-12,2015,June,2.0,11.19,519.4612517810745,
15E_P1_2.0,15E,2016-06-12,2016-06-12,2016,June,3.75,18.06,911.277635661637,
15E_P1_2.0,15E,2017-06-12,2017-06-12,2017,June,3.62,8.88,738.8795479456767,
15E_P1_2.0,15E,2018-06-15,2018-06-16,2018,June,2.44,11.94,604.23379669313,
15E_P1_2.0,15E,2019-06-19,2019-06-19,2019,June,4.06,10.56,836.915261149166,
15E_P1_2.0,15E,2020-06-15,2020-06-13,2020,June,1.69,10.06,450.5131662778038,
15E_P1_2.0,15E,2021-06-22,2021-06-21,2021,June,1.94,14.88,558.5911934774708,
15E_P1_2.0,15E,2022-06-16,2022-06-16,2022,June,1.31,9.25,373.0170285382795,
15E_P1_2.0,15E,2023-06-20,2023-06-18,2023,June,5.56,25.31,1314.964924310696,
15E_P1_3.0,15E,2014-06-12,2014-06-12,2014,June,4.69,18.31,1067.0515367598593,
15E_P1_3.0,15E,2015-06-12,2015-06-12,2015,June,2.69,13.0,661.4041845688423,
15E_P1_3.0,15E,2016-06-12,2016-06-12,2016,June,3.69,23.62,979.4405627227314,
15E_P1_3.0,15E,2017-06-12,2017-06-12,2017,June,7.0,15.43,1368.8965261958338,
15E_P1_3.0,15E,2018-06-15,2018-06-16,2018,June,3.38,17.44,841.0000328303032,
15E_P1_3.0,15E,2019-06-19,2019-06-19,2019,June,4.62,16.94,1033.9003400448155,
15E_P1_3.0,15E,2020-06-15,2020-06-13,2020,June,1.19,10.25,364.0997564010665,
15E_P1_3.0,15E,2021-06-22,2021-06-21,2021,June,1.94,17.44,590.4430657677461,
15E_P1_3.0,15E,2022-06-16,2022-06-16,2022,June,1.56,10.5,433.9052777230259,
15E_P1_3.0,15E,2023-06-20,2023-06-18,2023,June,4.56,24.94,1144.9997248590082,
15E_P1_4.0,15E,2014-06-12,2014-06-12,2014,June,8.0,14.31,1491.7156323994823,
15E_P1_4.0,15E,2015-06-12,2015-06-12,2015,June,3.0,9.81,660.5015928356527,
15E_P1_4.0,15E,2016-06-12,2016-06-12,2016,June,4.25,20.75,1033.2174294880863,
15E_P1_4.0,15E,2017-06-12,2017-06-12,2017,June,5.25,9.75,997.2658251422761,
15E_P1_4.0,15E,2018-06-15,2018-06-16,2018,June,3.44,14.12,800.8199941980785,
15E_P1_4.0,15E,2019-06-19,2019-06-19,2019,June,4.06,12.12,865.1116309024968,
15E_P1_4.0,15E,2020-06-15,2020-06-13,2020,June,1.62,8.75,419.9482509289434,
15E_P1_4.0,15E,2021-06-22,2021-06-21,2021,June,1.62,12.06,465.0904680102835,
15E_P1_4.0,15E,2022-06-16,2022-06-16,2022,June,1.25,12.38,401.15622573468124,
15E_P1_4.0,15E,2023-06-20,2023-06-18,2023,June,2.75,15.56,708.4494516080272,
15E_P2_1.0,15E,2014-06-12,2014-06-12,2014,June,8.12,16.62,1556.9776001264631,
15E_P2_1.0,15E,2015-06-12,2015-06-12,2015,June,1.88,9.19,470.1604928275259,
15E_P2_1.0,15E,2016-06-12,2016-06-12,2016,June,3.94,17.56,934.8275922187868,
15E_P2_1.0,15E,2017-06-12,2017-06-12,2017,June,5.25,11.12,1025.4049292072418,
15E_P2_1.0,15E,2018-06-15,2018-06-16,2018,June,3.69,13.75,834.8570474067109,
15E_P2_1.0,15E,2019-06-20,2019-06-19,2019,June,5.14,15.43,1089.3217118909272,
15E_P2_1.0,15E,2020-06-15,2020-06-13,2020,June,2.0,14.56,565.1578482332899,
15E_P2_1.0,15E,2021-06-22,2021-06-21,2021,June,1.88,18.12,587.4899281520536,
15E_P2_1.0,15E,2022-06-16,2022-06-16,2022,June,1.31,9.69,378.79810664293495,
15E_P2_1.0,15E,2023-06-20,2023-06-18,2023,June,2.62,18.25,722.5839464384612,
15E_P2_2.0,15E,2014-06-12,2014-06-12,2014,June,6.94,11.12,1270.2985677558356,
15E_P2_2.0,15E,2015-06-12,2015-06-12,2015,June,2.31,9.56,546.5398102335724,
15E_P2_2.0,15E,2016-06-12,2016-06-12,2016,June,3.31,17.5,830.1943788537288,
15E_P2_2.0,15E,2017-06-12,2017-06-12,2017,June,3.5,11.12,761.020164643655,
15E_P2_2.0,15E,2018-06-15,2018-06-16,2018,June,3.5,10.62,752.3205494891935,
15E_P2_2.0,15E,2019-06-20,2019-06-19,2019,June,4.19,11.56,875.017504924639,
15E_P2_2.0,15E,2020-06-15,2020-06-13,2020,June,1.31,7.0,341.8301514471049,
15E_P2_2.0,15E,2021-06-22,2021-06-21,2021,June,2.31,10.5,561.109083139861,
15E_P2_2.0,15E,2022-06-16,2022-06-16,2022,June,1.5,9.75,413.25764396507583,
15E_P2_2.0,15E,2023-06-20,2023-06-18,2023,June,2.38,13.88,622.0366817491274,
15E_P2_3.0,15E,2014-06-12,2014-06-12,2014,June,4.44,20.81,1065.2532008752887,
15E_P2_3.0,15E,2015-06-12,2015-06-12,2015,June,3.06,12.56,715.0808009777472,
15E_P2_3.0,15E,2016-06-12,2016-06-12,2016,June,5.06,20.81,1165.5026323723641,
15E_P2_3.0,15E,2017-06-12,2017-06-12,2017,June,4.44,13.94,955.5057677084641,
15E_P2_3.0,15E,2018-06-15,2018-06-16,2018,June,4.19,17.12,968.3837543751117,
15E_P2_3.0,15E,2019-06-20,2019-06-19,2019,June,3.69,11.94,804.6871244239769,
15E_P2_3.0,15E,2020-06-15,2020-06-13,2020,June,1.31,10.88,394.0138126836719,
15E_P2_3.0,15E,2021-06-22,2021-06-21,2021,June,1.75,18.0,561.6764334048744,
15E_P2_3.0,15E,2022-06-16,2022-06-16,2022,June,1.56,9.19,415.9495999605376,
15E_P2_3.0,15E,2023-06-20,2023-06-18,2023,June,4.19,23.06,1056.5380449278296,
15E_P2_4.0,15E,2014-06-12,2014-06-12,2014,June,10.06,15.75,1817.4683007273604,
15E_P2_4.0,15E,2015-06-12,2015-06-12,2015,June,3.06,12.12,708.1130502519832,
15E_P2_4.0,15E,2016-06-12,2016-06-12,2016,June,4.19,16.56,959.5483537894683,
15E_P2_4.0,15E,2017-06-12,2017-06-12,2017,June,7.25,12.5,1344.9819954862198,
15E_P2_4.0,15E,2018-06-15,2018-06-16,2018,June,3.69,16.88,883.8074162013195,
15E_P2_4.0,15E,2019-06-20,2019-06-19,2019,June,3.81,15.19,877.0816965013183,
15E_P2_4.0,15E,2020-06-15,2020-06-13,2020,June,2.31,13.75,608.2678717496296,
15E_P2_4.0,15E,2021-06-22,2021-06-21,2021,June,3.25,25.88,931.6730477244117,
15E_P2_4.0,15E,2022-06-16,2022-06-16,2022,June,2.06,14.81,579.0371294516572,
15E_P2_4.0,15E,2023-06-20,2023-06-18,2023,June,5.25,31.06,1346.1422272206762,
15E_P3_1.0,15E,2014-06-12,2014-06-12,2014,June,7.25,12.94,1354.433677508692,
15E_P3_1.0,15E,2015-06-12,2015-06-12,2015,June,4.44,17.12,1008.2982445526296,
15E_P3_1.0,15E,2016-06-12,2016-06-12,2016,June,4.75,16.38,1045.1033216500216,
15E_P3_1.0,15E,2017-06-12,2017-06-12,2017,June,5.56,12.56,1099.7083419951387,
15E_P3_1.0,15E,2018-06-18,2018-06-16,2018,June,4.0,14.12,889.9039287348609,
15E_P3_1.0,15E,2019-06-19,2019-06-19,2019,June,4.12,13.19,892.9901667180235,
15E_P3_1.0,15E,2020-06-11,2020-06-13,2020,June,1.62,9.69,433.28573547195685,
15E_P3_1.0,15E,2021-06-22,2021-06-21,2021,June,1.38,13.69,441.2283072217329,
15E_P3_1.0,15E,2022-06-16,2022-06-16,2022,June,1.44,8.56,386.4144939439702,
15E_P3_1.0,15E,2023-06-16,2023-06-18,2023,June,2.12,13.94,578.057338243331,
15E_P3_2.0,15E,2014-06-12,2014-06-12,2014,June,9.31,16.44,1725.5511900996512,
15E_P3_2.0,15E,2015-06-12,2015-06-12,2015,June,6.38,21.06,1377.3267776160858,
15E_P3_2.0,15E,2016-06-12,2016-06-12,2016,June,7.25,23.62,1555.1953795331362,
15E_P3_2.0,15E,2017-06-12,2017-06-12,2017,June,7.75,16.94,1509.1024284410064,
15E_P3_2.0,15E,2018-06-18,2018-06-16,2018,June,4.0,14.81,901.2261510379678,
15E_P3_2.0,15E,2019-06-19,2019-06-19,2019,June,5.69,13.94,1145.5771586524659,
15E_P3_2.0,15E,2020-06-11,2020-06-13,2020,June,1.31,7.81,353.4068833836491,
15E_P3_2.0,15E,2021-06-22,2021-06-21,2021,June,4.38,17.5,1004.7786993149431,
15E_P3_2.0,15E,2022-06-16,2022-06-16,2022,June,1.0,6.69,283.59380289855926,
15E_P3_2.0,15E,2023-06-16,2023-06-18,2023,June,3.56,16.64,858.9369858717886,
15E_P3_3.0,15E,2014-06-12,2014-06-12,2014,June,6.31,15.5,1267.7829007355028,
15E_P3_3.0,15E,2015-06-12,2015-06-12,2015,June,5.88,18.94,1263.9831323457765,
15E_P3_3.0,15E,2016-06-12,2016-06-12,2016,June,5.56,23.62,1289.2513976985667,
15E_P3_3.0,15E,2017-06-12,2017-06-12,2017,June,2.88,14.81,719.5660415357432,
15E_P3_3.0,15E,2018-06-18,2018-06-16,2018,June,3.75,17.94,909.4980320072162,
15E_P3_3.0,15E,2019-06-19,2019-06-19,2019,June,4.88,12.81,1002.6336698962767,
15E_P3_3.0,15E,2020-06-11,2020-06-13,2020,June,1.38,9.12,383.6625647494638,
15E_P3_3.0,15E,2021-06-22,2021-06-21,2021,June,2.06,16.12,595.8768619833472,
15E_P3_3.0,15E,2022-06-16,2022-06-16,2022,June,1.5,11.43,435.44957070702117,
15E_P3_3.0,15E,2023-06-16,2023-06-18,2023,June,2.94,14.06,718.4763042014649,
15E_P3_4.0,15E,2014-06-12,2014-06-12,2014,June,6.31,13.0,1219.0409747197978,
15E_P3_4.0,15E,2015-06-12,2015-06-12,2015,June,2.25,13.83,599.0726414267592,
15E_P3_4.0,15E,2016-06-12,2016-06-12,2016,June,4.19,13.25,904.883210406164,
15E_P3_4.0,15E,2017-06-12,2017-06-12,2017,June,2.44,12.38,610.7191159556475,
15E_P3_4.0,15E,2018-06-18,2018-06-16,2018,June,4.31,13.12,921.1814984639238,
15E_P3_4.0,15E,2019-06-19,2019-06-19,2019,June,3.62,11.25,781.9062413593956,
15E_P3_4.0,15E,2020-06-11,2020-06-13,2020,June,1.88,11.56,504.07469425169745,
15E_P3_4.0,15E,2021-06-22,2021-06-21,2021,June,1.25,12.0,396.62324230124426,
15E_P3_4.0,15E,2022-06-16,2022-06-16,2022,June,1.56,6.0,367.91786063632617,
15E_P3_4.0,15E,2023-06-16,2023-06-18,2023,June,2.75,12.31,660.8712059206777,
15E_P4_1.0,15E,2014-06-12,2014-06-12,2014,June,7.0,19.62,1447.349181859095,
15E_P4_1.0,15E,2015-06-12,2015-06-12,2015,June,3.38,18.44,855.3394994563364,
