SamplingDate,Pasture,Plot,Transect,Distance
8/5/2013,26E,3,1,10
8/5/2013,26E,3,1,20
8/5/2013,26E,3,4,10
8/5/2013,26E,3,4,20
8/5/2013,26E,4,1,10
8/5/2013,26E,4,1,20
8/5/2013,26E,4,4,10
8/5/2013,26E,4,4,20
8/5/2013,26W,1,1,10
8/5/2013,26W,1,1,20
8/5/2013,26W,1,4,10
8/5/2013,26W,1,4,20
8/5/2013,26W,2,1,10
8/5/2013,26W,2,1,20
8/5/2013,26W,2,4,10
8/5/2013,26W,2,4,20
8/5/2013,26W,3,1,10
8/5/2013,26W,3,1,20
8/5/2013,26W,3,4,10
8/5/2013,26W,3,4,20
8/5/2013,26W,4,1,10
8/5/2013,26W,4,1,20
8/5/2013,26W,4,4,10
8/5/2013,26W,4,4,20
8/5/2013,31E,1,1,10
8/5/2013,31E,1,1,20
8/5/2013,31E,1,4,10
8/5/2013,31E,1,4,20
8/5/2013,31E,2,1,10
8/5/2013,31E,2,1,20
8/5/2013,31E,2,4,10
8/5/2013,31E,2,4,20
8/5/2013,31E,3,1,10
8/5/2013,31E,3,1,20
8/5/2013,31E,3,4,20
8/5/2013,31E,4,1,10
8/5/2013,31E,4,1,20
8/5/2013,31E,4,4,10
8/5/2013,31E,4,4,20
8/6/2013,15E,1,1,10
8/6/2013,15E,1,1,20
8/6/2013,15E,1,4,10
8/6/2013,15E,1,4,20
8/6/2013,15E,2,1,10
8/6/2013,15E,2,1,20
8/6/2013,15E,2,4,10
8/6/2013,15E,2,4,20
8/6/2013,15E,3,1,10
8/6/2013,15E,3,1,20
8/6/2013,15E,3,4,10
8/6/2013,15E,3,4,20
8/6/2013,15E,4,1,10
8/6/2013,15E,4,1,20
8/6/2013,15E,4,4,10
8/6/2013,15E,4,4,20
8/6/2013,17N,1,1,10
8/6/2013,17N,1,1,20
8/6/2013,17N,1,4,10
8/6/2013,17N,1,4,20
8/6/2013,17N,2,1,10
8/6/2013,17N,2,1,20
8/6/2013,17N,2,4,10
8/6/2013,17N,2,4,20
8/6/2013,17N,3,1,10
8/6/2013,17N,3,1,20
8/6/2013,17N,3,4,10
8/6/2013,17N,3,4,20
8/6/2013,17N,4,1,10
8/6/2013,17N,4,1,20
8/6/2013,17N,4,4,10
8/6/2013,17N,4,4,20
8/6/2013,17N,5,1,10
8/6/2013,17N,5,1,20
8/6/2013,17N,5,4,10
8/6/2013,17N,5,4,20
8/6/2013,17N,6,1,10
8/6/2013,17N,6,1,20
8/6/2013,17N,6,4,10
8/6/2013,17N,6,4,20
8/6/2013,20NW,1,1,10
8/6/2013,20NW,1,1,20
8/6/2013,20NW,1,4,10
8/6/2013,20NW,1,4,20
8/6/2013,20NW,2,1,10
8/6/2013,20NW,2,1,20
8/6/2013,20NW,2,4,10
8/6/2013,20NW,2,4,20
8/6/2013,20NW,3,1,10
8/6/2013,20NW,3,1,20
8/6/2013,20NW,3,4,10
8/6/2013,20NW,3,4,20
8/6/2013,20NW,4,1,10
8/6/2013,20NW,4,1,20
8/6/2013,20NW,4,4,10
8/6/2013,20NW,4,4,20
8/6/2013,20NW,5,1,10
8/6/2013,20NW,5,1,20
8/6/2013,20NW,5,4,10
8/6/2013,20NW,5,4,20
8/6/2013,20NW,6,1,10
8/6/2013,20NW,6,1,20
8/6/2013,20NW,6,4,10
8/6/2013,20NW,6,4,20
8/6/2013,20SE,2,1,10
8/6/2013,20SE,2,1,20
8/6/2013,20SE,2,4,10
8/6/2013,20SE,2,4,20
8/6/2013,20SE,3,1,10
8/6/2013,20SE,3,1,20
8/6/2013,20SE,3,4,10
8/6/2013,20SE,3,4,20
8/6/2013,20SE,4,1,10
8/6/2013,20SE,4,1,20
8/6/2013,20SE,4,4,10
8/6/2013,20SE,4,4,20
8/6/2013,20SE,5,1,10
8/6/2013,20SE,5,1,20
8/6/2013,20SE,5,4,10
8/6/2013,20SE,5,4,20
8/6/2013,20SE,6,1,10
8/6/2013,20SE,6,1,20
8/6/2013,20SE,6,4,10
8/6/2013,20SE,6,4,20
8/6/2013,7NW,1,1,10
8/6/2013,7NW,1,1,20
8/6/2013,7NW,1,4,10
8/6/2013,7NW,1,4,20
8/6/2013,7NW,2,1,10
8/6/2013,7NW,2,1,20
8/6/2013,7NW,2,4,10
8/6/2013,7NW,2,4,20
8/6/2013,7NW,3,1,10
8/6/2013,7NW,3,1,20
8/6/2013,7NW,3,4,10
8/6/2013,7NW,3,4,20
8/6/2013,7NW,4,1,10
8/6/2013,7NW,4,1,20
8/6/2013,7NW,4,4,10
8/6/2013,7NW,4,4,20
8/6/2013,7NW,5,1,10
8/6/2013,7NW,5,1,20
8/6/2013,7NW,5,4,10
8/6/2013,7NW,5,4,20
8/6/2013,7NW,6,1,10
8/6/2013,7NW,6,1,20
8/6/2013,7NW,6,4,10
8/6/2013,7NW,6,4,20
8/6/2013,NH,1,1,10
8/6/2013,NH,1,1,20
8/6/2013,NH,1,4,10
8/6/2013,NH,1,4,20
8/6/2013,NH,2,1,10
8/6/2013,NH,2,1,20
8/6/2013,NH,2,4,10
8/6/2013,NH,2,4,20
8/6/2013,NH,3,1,10
8/6/2013,NH,3,1,20
8/6/2013,NH,3,4,10
8/6/2013,NH,3,4,20
8/6/2013,NH,4,1,10
8/6/2013,NH,4,1,20
8/6/2013,NH,4,4,10
8/6/2013,NH,4,4,20
8/8/2013,17S,1,1,10
8/8/2013,17S,1,1,20
8/8/2013,17S,1,4,10
8/8/2013,17S,1,4,20
8/8/2013,17S,2,1,10
8/8/2013,17S,2,1,20
8/8/2013,17S,2,4,10
8/8/2013,17S,2,4,20
8/8/2013,17S,3,1,10
8/8/2013,17S,3,1,20
8/8/2013,17S,3,4,10
8/8/2013,17S,3,4,20
8/8/2013,17S,4,1,10
8/8/2013,17S,4,1,20
8/8/2013,17S,4,4,10
8/8/2013,17S,4,4,20
8/8/2013,17S,5,1,10
8/8/2013,17S,5,1,20
8/8/2013,17S,5,4,10
8/8/2013,17S,5,4,20
8/8/2013,17S,6,1,10
8/8/2013,17S,6,1,20
8/8/2013,17S,6,4,10
8/8/2013,17S,6,4,20
8/8/2013,21N,1,1,10
8/8/2013,21N,1,1,20
8/8/2013,21N,1,4,10
8/8/2013,21N,1,4,20
8/8/2013,21N,2,1,10
8/8/2013,21N,2,1,20
8/8/2013,21N,2,4,20
8/8/2013,21N,3,1,10
8/8/2013,21N,3,1,20
8/8/2013,21N,3,4,10
8/8/2013,21N,3,4,20
8/8/2013,21N,4,1,10
8/8/2013,21N,4,1,20
8/8/2013,21N,4,4,10
8/8/2013,21N,4,4,20
8/8/2013,5E,1,1,10
8/8/2013,5E,1,1,20
8/8/2013,5E,1,4,10
8/8/2013,5E,1,4,20
8/8/2013,5E,2,1,10
8/8/2013,5E,2,1,20
8/8/2013,5E,2,4,10
8/8/2013,5E,2,4,20
8/8/2013,5E,3,1,10
8/8/2013,5E,3,1,20
8/8/2013,5E,3,4,10
8/8/2013,5E,3,4,20
8/8/2013,5E,4,1,10
8/8/2013,5E,4,1,20
8/8/2013,5E,4,4,10
8/8/2013,5E,4,4,20
8/8/2013,7SE,1,1,10
8/8/2013,7SE,1,1,20
8/8/2013,7SE,1,4,10
8/8/2013,7SE,1,4,20
8/8/2013,7SE,2,1,10
8/8/2013,7SE,2,1,20
8/8/2013,7SE,2,4,10
8/8/2013,7SE,2,4,20
8/8/2013,7SE,3,1,10
8/8/2013,7SE,3,1,20
8/8/2013,7SE,3,4,10
8/8/2013,7SE,3,4,20
8/8/2013,7SE,4,1,10
8/8/2013,7SE,4,1,20
8/8/2013,7SE,4,4,10
8/8/2013,7SE,4,4,20
8/8/2013,7SE,5,1,10
8/8/2013,7SE,5,1,20
8/8/2013,7SE,5,4,10
8/8/2013,7SE,5,4,20
8/8/2013,7SE,6,1,10
8/8/2013,7SE,6,1,20
8/8/2013,7SE,6,4,10
8/8/2013,7SE,6,4,20
8/8/2013,8E,1,1,10
8/8/2013,8E,1,1,20
8/8/2013,8E,1,4,10
8/8/2013,8E,1,4,20
8/8/2013,8E,2,1,10
8/8/2013,8E,2,1,20
8/8/2013,8E,2,4,10
8/8/2013,8E,2,4,20
8/8/2013,8E,3,1,10
8/8/2013,8E,3,1,20
8/8/2013,8E,3,4,10
8/8/2013,8E,3,4,20
8/8/2013,8E,4,1,10
8/8/2013,8E,4,1,20
8/8/2013,8E,4,4,10
8/8/2013,8E,4,4,20
8/3/2015,17N,1,1,
8/3/2015,17N,1,1,
8/3/2015,17N,1,1,
8/3/2015,17N,1,1,
8/3/2015,17N,1,4,
8/3/2015,17N,1,4,
8/3/2015,17N,1,4,
8/3/2015,17N,1,4,
8/3/2015,17N,2,1,
8/3/2015,17N,2,1,
8/3/2015,17N,2,1,
8/3/2015,17N,2,1,
8/3/2015,17N,2,4,
8/3/2015,17N,2,4,
8/3/2015,17N,2,4,
8/3/2015,17N,2,4,
8/3/2015,17N,3,1,
8/3/2015,17N,3,1,
8/3/2015,17N,3,1,
8/3/2015,17N,3,1,
8/3/2015,17N,3,4,
8/3/2015,17N,3,4,
8/3/2015,17N,3,4,
8/3/2015,17N,3,4,
8/3/2015,17N,4,1,
8/3/2015,17N,4,1,
8/3/2015,17N,4,1,
8/3/2015,17N,4,1,
8/3/2015,17N,4,4,
8/3/2015,17N,4,4,
8/3/2015,17N,4,4,
8/3/2015,17N,4,4,
8/3/2015,20NW,1,1,
8/3/2015,20NW,1,1,
8/3/2015,20NW,1,4,
8/3/2015,20NW,1,4,
8/3/2015,20NW,2,1,
8/3/2015,20NW,2,1,
8/3/2015,20NW,2,4,
8/3/2015,20NW,2,4,
8/3/2015,20NW,3,1,
8/3/2015,20NW,3,1,
8/3/2015,20NW,3,4,
8/3/2015,20NW,3,4,
8/3/2015,20NW,4,1,
8/3/2015,20NW,4,1,
8/3/2015,20NW,4,4,
8/3/2015,20NW,4,4,
8/3/2015,20NW,5,1,
8/3/2015,20NW,5,1,
8/3/2015,20NW,5,4,
8/3/2015,20NW,5,4,
8/3/2015,20NW,6,1,
8/3/2015,20NW,6,1,
8/3/2015,20NW,6,4,
8/3/2015,20NW,6,4,
8/3/2015,25SE,1,1,
8/3/2015,25SE,1,1,
8/3/2015,25SE,1,4,
8/3/2015,25SE,1,4,
8/3/2015,25SE,2,1,
8/3/2015,25SE,2,1,
8/3/2015,25SE,2,4,
8/3/2015,25SE,2,4,
8/3/2015,25SE,3,4,
8/3/2015,25SE,3,4,
8/3/2015,25SE,4,1,
8/3/2015,25SE,4,1,
8/3/2015,25SE,4,4,
8/3/2015,25SE,4,4,
8/3/2015,31E,1,1,
8/3/2015,31E,3,4,
8/3/2015,31E,3,4,
8/3/2015,31E,4,1,
8/3/2015,31E,4,1,
8/3/2015,31E,4,4,
8/3/2015,31E,4,4,
8/3/2015,5E,1,1,
8/3/2015,5E,1,1,
8/3/2015,5E,1,4,
8/3/2015,5E,1,4,
8/3/2015,5E,2,1,
8/3/2015,5E,2,1,
8/3/2015,5E,2,4,
8/3/2015,5E,2,4,
8/3/2015,5E,3,1,
8/3/2015,5E,3,1,
8/3/2015,5E,3,4,
8/3/2015,5E,3,4,
8/3/2015,5E,4,1,
8/3/2015,5E,4,1,
8/3/2015,5E,4,4,
8/3/2015,5E,4,4,
8/3/2015,7SE,1,1,
8/3/2015,7SE,1,1,
8/3/2015,7SE,1,4,
8/3/2015,7SE,1,4,
8/3/2015,7SE,2,1,
8/3/2015,7SE,2,1,
8/3/2015,7SE,2,4,
8/3/2015,7SE,2,4,
8/3/2015,7SE,3,1,
8/3/2015,7SE,3,1,
8/3/2015,7SE,3,4,
8/3/2015,7SE,3,4,
8/3/2015,7SE,4,1,
8/3/2015,7SE,4,1,
8/3/2015,7SE,4,4,
8/3/2015,7SE,4,4,
8/3/2015,7SE,5,1,
8/3/2015,7SE,5,1,
8/3/2015,7SE,5,4,
8/3/2015,7SE,5,4,
8/3/2015,7SE,6,1,
8/3/2015,7SE,6,1,
8/3/2015,7SE,6,4,
8/3/2015,7SE,6,4,
8/3/2015,NH,1,1,
8/3/2015,NH,1,1,
8/3/2015,NH,1,4,
8/3/2015,NH,1,4,
8/3/2015,NH,2,1,
8/3/2015,NH,2,1,
8/3/2015,NH,2,4,
8/3/2015,NH,2,4,
8/3/2015,NH,3,1,
8/3/2015,NH,3,1,
8/3/2015,NH,3,4,
8/3/2015,NH,3,4,
8/3/2015,NH,4,1,
8/3/2015,NH,4,1,
8/3/2015,NH,4,4,
8/3/2015,NH,4,4,
8/4/2015,15E,1,1,
8/4/2015,15E,1,1,
8/4/2015,15E,1,4,
8/4/2015,15E,1,4,
8/4/2015,15E,2,1,
8/4/2015,15E,2,1,
8/4/2015,15E,2,4,
8/4/2015,15E,2,4,
8/4/2015,15E,3,1,
8/4/2015,15E,3,1,
8/4/2015,15E,3,4,
8/4/2015,15E,3,4,
8/4/2015,15E,4,1,
8/4/2015,15E,4,1,
8/4/2015,15E,4,4,
8/4/2015,15E,4,4,
8/4/2015,25SE,3,1,
8/4/2015,25SE,3,1,
8/4/2015,26E,1,1,
8/4/2015,26E,1,1,
8/4/2015,26E,1,4,
8/4/2015,26E,1,4,
8/4/2015,26E,2,1,
8/4/2015,26E,2,1,
8/4/2015,26E,2,4,
8/4/2015,26E,2,4,
8/4/2015,26E,3,1,
8/4/2015,26E,3,1,
8/4/2015,26E,3,4,
8/4/2015,26E,3,4,
8/4/2015,26E,4,1,
8/4/2015,26E,4,1,
8/4/2015,26E,4,4,
8/4/2015,26E,4,4,
8/4/2015,31E,1,1,
8/4/2015,31E,1,4,
8/4/2015,31E,1,4,
8/4/2015,31E,2,1,
8/4/2015,31E,2,1,
8/4/2015,31E,2,4,
8/4/2015,31E,2,4,
8/4/2015,31E,3,1,
8/4/2015,31E,3,1,
8/4/2015,8E,1,1,
8/4/2015,8E,1,1,
8/4/2015,8E,1,4,
8/4/2015,8E,1,4,
8/4/2015,8E,2,1,
8/4/2015,8E,2,1,
8/4/2015,8E,2,4,
8/4/2015,8E,2,4,
8/4/2015,8E,3,1,
8/4/2015,8E,3,1,
8/4/2015,8E,3,4,
8/4/2015,8E,3,4,
8/4/2015,8E,4,1,
8/4/2015,8E,4,1,
8/4/2015,8E,4,4,
8/4/2015,8E,4,4,
8/5/2015,25NW,1,1,
8/5/2015,25NW,1,1,
8/5/2015,25NW,1,4,
8/5/2015,25NW,1,4,
8/5/2015,25NW,2,1,
8/5/2015,25NW,2,1,
8/5/2015,25NW,2,4,
8/5/2015,25NW,2,4,
8/5/2015,25NW,3,1,
8/5/2015,25NW,3,1,
8/5/2015,25NW,3,4,
8/5/2015,25NW,3,4,
8/5/2015,25NW,4,1,
8/5/2015,25NW,4,1,
8/5/2015,25NW,4,4,
8/5/2015,25NW,4,4,
8/5/2015,26W,1,1,
8/5/2015,26W,1,1,
8/5/2015,26W,1,4,
8/5/2015,26W,1,4,
8/5/2015,26W,2,1,
8/5/2015,26W,2,1,
8/5/2015,26W,2,4,
8/5/2015,26W,2,4,
8/5/2015,26W,3,1,
8/5/2015,26W,3,1,
8/5/2015,26W,3,4,
8/5/2015,26W,3,4,
8/5/2015,26W,4,1,
8/5/2015,26W,4,1,
8/5/2015,26W,4,4,
8/5/2015,26W,4,4,
8/5/2015,7NW,1,1,
8/5/2015,7NW,1,1,
8/5/2015,7NW,1,4,
8/5/2015,7NW,1,4,
8/5/2015,7NW,2,1,
8/5/2015,7NW,2,1,
8/5/2015,7NW,2,4,
8/5/2015,7NW,2,4,
8/5/2015,7NW,3,1,
8/5/2015,7NW,3,1,
8/5/2015,7NW,3,4,
8/5/2015,7NW,3,4,
8/5/2015,7NW,4,1,
8/5/2015,7NW,4,1,
8/5/2015,7NW,4,4,
8/5/2015,7NW,4,4,
8/6/2015,18S,1,1,
8/6/2015,18S,1,1,
8/6/2015,18S,1,4,
8/6/2015,18S,1,4,
8/6/2015,18S,2,1,
8/6/2015,18S,2,1,
8/6/2015,18S,2,4,
8/6/2015,18S,2,4,
8/6/2015,18S,3,1,
8/6/2015,18S,3,1,
8/6/2015,18S,3,4,
8/6/2015,18S,3,4,
8/6/2015,18S,4,1,
8/6/2015,18S,4,1,
8/6/2015,18S,4,4,
8/6/2015,18S,4,4,
8/6/2015,20SE,1,1,
8/6/2015,20SE,1,1,
8/6/2015,20SE,1,4,
8/6/2015,20SE,1,4,
8/6/2015,20SE,2,1,
8/6/2015,20SE,2,1,
8/6/2015,20SE,2,4,
8/6/2015,20SE,2,4,
8/6/2015,20SE,3,1,
8/6/2015,20SE,3,1,
8/6/2015,20SE,3,4,
8/6/2015,20SE,3,4,
8/6/2015,20SE,4,1,
8/6/2015,20SE,4,1,
8/6/2015,20SE,4,4,
8/6/2015,20SE,4,4,
8/6/2015,20SE,5,1,
8/6/2015,20SE,5,1,
8/6/2015,20SE,5,4,
8/6/2015,20SE,5,4,
8/6/2015,20SE,6,1,
8/6/2015,20SE,6,1,
8/6/2015,20SE,6,4,
8/6/2015,20SE,6,4,
8/6/2015,21N,1,1,
8/6/2015,21N,1,1,
8/6/2015,21N,1,4,
8/6/2015,21N,1,4,
8/6/2015,21N,2,1,
8/6/2015,21N,2,1,
8/6/2015,21N,2,4,
8/6/2015,21N,2,4,
8/6/2015,21N,3,1,
8/6/2015,21N,3,1,
8/6/2015,21N,3,4,
8/6/2015,21N,3,4,
8/6/2015,21N,4,1,
8/6/2015,21N,4,1,
8/6/2015,21N,4,4,
8/6/2015,21N,4,4,
8/6/2015,24W,1,1,
8/6/2015,24W,1,1,
8/6/2015,24W,1,4,
8/6/2015,24W,1,4,
8/6/2015,24W,2,1,
8/6/2015,24W,2,1,
8/6/2015,24W,2,4,
8/6/2015,24W,2,4,
8/6/2015,24W,3,1,
8/6/2015,24W,3,1,
8/6/2015,24W,3,4,
8/6/2015,24W,3,4,
8/6/2015,24W,4,1,
8/6/2015,24W,4,1,
8/6/2015,24W,4,4,
8/6/2015,24W,4,4,
8/7/2015,17S,1,1,
8/7/2015,17S,1,1,
8/7/2015,17S,1,4,
8/7/2015,17S,1,4,
8/7/2015,17S,2,1,
8/7/2015,17S,2,1,
8/7/2015,17S,2,4,
8/7/2015,17S,2,4,
8/7/2015,17S,3,1,
8/7/2015,17S,3,1,
8/7/2015,17S,3,4,
8/7/2015,17S,3,4,
8/7/2015,17S,4,1,
8/7/2015,17S,4,1,
8/7/2015,17S,4,4,
8/7/2015,17S,4,4,
8/7/2015,17S,5,1,
8/7/2015,17S,5,1,
8/7/2015,17S,5,4,
8/7/2015,17S,5,4,
8/7/2015,17S,6,1,
8/7/2015,17S,6,1,
8/7/2015,17S,6,4,
8/7/2015,17S,6,4,
8/7/2015,19N,1,1,
8/7/2015,19N,1,1,
8/7/2015,19N,1,4,
8/7/2015,19N,1,4,
8/7/2015,19N,2,1,
8/7/2015,19N,2,1,
8/7/2015,19N,2,4,
8/7/2015,19N,2,4,
8/7/2015,19N,3,1,
8/7/2015,19N,3,1,
8/7/2015,19N,3,4,
8/7/2015,19N,3,4,
8/7/2015,19N,4,1,
8/7/2015,19N,4,1,
8/7/2015,19N,4,4,
8/7/2015,19N,4,4,
8/7/2015,31W,1,1,
8/7/2015,31W,1,1,
8/7/2015,31W,1,4,
8/7/2015,31W,1,4,
8/7/2015,31W,2,1,
8/7/2015,31W,2,1,
8/7/2015,31W,2,4,
8/7/2015,31W,2,4,
8/7/2015,31W,3,1,
8/7/2015,31W,3,1,
8/7/2015,31W,3,4,
8/7/2015,31W,3,4,
8/7/2015,31W,4,1,
8/7/2015,31W,4,1,
8/7/2015,31W,4,4,
8/7/2015,31W,4,4,
8/2/2016,7NW,1,1,
8/2/2016,7NW,1,1,
8/2/2016,7NW,1,4,
8/2/2016,7NW,1,4,
8/2/2016,7NW,2,1,
8/2/2016,7NW,2,1,
8/2/2016,7NW,2,4,
8/2/2016,7NW,2,4,
8/2/2016,7NW,3,1,
8/2/2016,7NW,3,1,
8/2/2016,7NW,3,4,
8/2/2016,7NW,3,4,
8/2/2016,7NW,4,1,
8/2/2016,7NW,4,1,
8/2/2016,7NW,4,4,
8/2/2016,7NW,4,4,
8/2/2016,7NW,5,1,
8/2/2016,7NW,5,1,
8/2/2016,7NW,5,4,
8/2/2016,7NW,5,4,
8/2/2016,7NW,6,1,
8/2/2016,7NW,6,1,
8/2/2016,7NW,6,4,
8/2/2016,7NW,6,4,
8/3/2016,17S,2,1,
8/3/2016,17S,2,1,
8/3/2016,17S,2,4,
8/3/2016,17S,2,4,
8/3/2016,18S,1,1,
8/3/2016,18S,1,1,
8/3/2016,18S,2,1,
8/3/2016,18S,2,1,
8/3/2016,18S,2,4,
8/3/2016,18S,2,4,
8/3/2016,18S,4,1,
8/3/2016,18S,4,1,
8/3/2016,18S,4,4,
8/3/2016,18S,4,4,
8/3/2016,20NW,3,4,
8/3/2016,20NW,3,4,
8/3/2016,20NW,4,1,
8/3/2016,20NW,4,1,
8/3/2016,20NW,4,4,
8/3/2016,20NW,4,4,
8/3/2016,20NW,5,1,
8/3/2016,20NW,5,1,
8/3/2016,20NW,5,4,
8/3/2016,20NW,5,4,
8/3/2016,20NW,6,1,
8/3/2016,20NW,6,1,
8/3/2016,20NW,6,4,
8/3/2016,20NW,6,4,
8/3/2016,5E,1,1,
8/3/2016,5E,1,1,
8/3/2016,5E,1,4,
8/3/2016,5E,1,4,
8/3/2016,5E,2,1,
8/3/2016,5E,2,1,
8/3/2016,5E,2,4,
8/3/2016,5E,2,4,
8/3/2016,5E,3,1,
8/3/2016,5E,3,1,
8/3/2016,5E,3,4,
8/3/2016,5E,3,4,
8/3/2016,5E,4,1,
8/3/2016,5E,4,1,
8/3/2016,5E,4,4,
8/3/2016,5E,4,4,
8/3/2016,8E,4,1,
8/3/2016,8E,4,1,
8/4/2016,17S,1,1,
8/4/2016,17S,1,1,
8/4/2016,17S,1,4,
8/4/2016,17S,1,4,
8/4/2016,17S,3,1,
8/4/2016,17S,3,1,
8/4/2016,17S,3,4,
8/4/2016,17S,3,4,
8/4/2016,17S,4,1,
8/4/2016,17S,4,1,
8/4/2016,17S,4,4,
8/4/2016,17S,4,4,
8/4/2016,17S,5,1,
8/4/2016,17S,5,1,
8/4/2016,17S,5,4,
8/4/2016,17S,5,4,
8/4/2016,17S,6,1,
8/4/2016,17S,6,1,
8/4/2016,17S,6,4,
8/4/2016,17S,6,4,
8/4/2016,18S,1,4,
8/4/2016,18S,1,4,
8/4/2016,18S,3,1,
8/4/2016,18S,3,1,
8/4/2016,18S,3,4,
8/4/2016,18S,3,4,
8/4/2016,20NW,1,1,
8/4/2016,20NW,1,1,
8/4/2016,20NW,1,4,
8/4/2016,20NW,1,4,
8/4/2016,20NW,2,1,
8/4/2016,20NW,2,1,
8/4/2016,20NW,2,4,
8/4/2016,20NW,2,4,
8/4/2016,20NW,3,1,
8/4/2016,20NW,3,1,
8/4/2016,20SE,4,4,
8/4/2016,20SE,4,4,
8/4/2016,20SE,5,1,
8/4/2016,20SE,5,1,
8/4/2016,20SE,5,4,
8/4/2016,20SE,5,4,
8/4/2016,20SE,6,1,
8/4/2016,20SE,6,1,
8/4/2016,20SE,6,4,
8/4/2016,20SE,6,4,
8/4/2016,25NW,1,1,
8/4/2016,25NW,1,1,
8/4/2016,31E,1,1,
8/4/2016,31E,1,1,
8/4/2016,31E,1,4,
8/4/2016,31E,1,4,
8/4/2016,31E,3,1,
8/4/2016,31E,3,1,
8/4/2016,31E,3,4,
8/4/2016,31E,3,4,
8/4/2016,8E,1,1,
8/4/2016,8E,1,1,
8/4/2016,8E,1,4,
8/4/2016,8E,1,4,
8/4/2016,8E,2,1,
8/4/2016,8E,2,1,
8/4/2016,8E,2,4,
8/4/2016,8E,2,4,
8/4/2016,8E,3,1,
8/4/2016,8E,3,1,
8/4/2016,8E,3,4,
8/4/2016,8E,3,4,
8/4/2016,8E,4,4,
8/4/2016,8E,4,4,
8/5/2016,20SE,1,1,
8/5/2016,20SE,1,1,
8/5/2016,20SE,1,4,
8/5/2016,20SE,1,4,
8/5/2016,20SE,2,1,
8/5/2016,20SE,2,1,
8/5/2016,20SE,2,4,
8/5/2016,20SE,2,4,
8/5/2016,20SE,3,1,
8/5/2016,20SE,3,1,
8/5/2016,20SE,3,4,
