Concatenate,Year,Pasture Name,PastureID,Treatment,Herd,Week,Date,Rotation,Crude Protein (%),DOM(%),DOM/CP,Fecal Nitrogen (%),Fecal Phosphorus (%),Tag #'s,Notes,Ecological Site,Julian Day,Precip(mm),HerdTreat,WOY,DOY,Phase,NDVI,NDVI_d30,iNDVI,t_peak_IRG,iNDVI_dry,SOS_doy,t_SOS
2014_7NW_TGM_Paired TRM_8,2014,,7NW,TRM,Paired TRM,8,2014-07-08 00:00:00+00:00,3,8.03,60.83,7.6,1.3,0.09,,,Mixed,,,,27,188,2-middle,0.39388157714285715,-0.07769576571428571,21.550091326549452,85.0,3.071130759233136,60.0,128.0
2014_5E_TGM_Paired TRM_9,2014,,5E,TRM,Paired TRM,9,2014-07-15 00:00:00+00:00,4,9.42,63.56,6.7,0.95,0.14,,,Mixed,,,,28,195,2-middle,0.37057982714285714,-0.05397521714285714,21.024662465274726,92.0,2.3406822749645277,60.0,135.0
2014_5E_TGM_Paired TRM_10,2014,,5E,TRM,Paired TRM,10,2014-07-23 00:00:00+00:00,4,8.29,62.0,7.5,1.1,0.02,,,Mixed,,,,29,203,2-middle,0.36495579857142857,-0.04647422714285715,22.54202222362638,100.0,2.635958671919713,60.0,143.0
2014_17N_TGM_Paired TRM_11,2014,,17N,TRM,Paired TRM,11,2014-07-29 00:00:00+00:00,5,8.54,62.12,7.3,1.24,0.16,,,Sandy,,,,30,209,2-middle,0.37797230857142855,-0.04850037857142858,23.39755859703297,104.0,3.012042681578417,61.0,148.0
2014_17N_TGM_Paired TRM_12,2014,,17N,TRM,Paired TRM,12,2014-08-05 00:00:00+00:00,5,7.72,62.11,8.0,1.01,0.0,,,Sandy,,,,31,216,2-middle,0.3699371771428571,-0.04109847714285713,24.608888955824174,111.0,3.432605163214112,61.0,155.0
2014_17N_TGM_Paired TRM_13,2014,,17N,TRM,Paired TRM,13,2014-08-12 00:00:00+00:00,5,8.09,61.82,7.6,1.38,0.07,,,Sandy,,,,32,223,3-late,0.36038165714285714,-0.03775134,25.758703804615383,118.0,3.947650153290528,61.0,162.0
2014_17N_TGM_Paired TRM_14,2014,,17N,TRM,Paired TRM,14,2014-08-18 00:00:00+00:00,5,7.1,63.27,8.9,1.25,0.05,,,Sandy,,,,33,229,3-late,0.3505533842857143,-0.039022562857142847,26.684775121538458,124.0,4.5047088992100885,61.0,168.0
2014_25SE_TGM_Paired TRM_15,2014,,25SE,TRM,Paired TRM,15,2014-08-26 00:00:00+00:00,6,7.98,60.86,7.6,1.04,0.05,,,Mixed,,,,34,237,3-late,0.3561523228571429,-0.01892222428571429,23.92743342731868,147.0,3.111875921901133,58.0,179.0
2014_25SE_TGM_Paired TRM_16,2014,,25SE,TRM,Paired TRM,16,2014-09-02 00:00:00+00:00,6,7.87,60.95,7.7,0.97,0.0,,,Mixed,,,,35,244,3-late,0.34411038,-0.03191961142857143,24.784684760901097,154.0,3.7763077100854328,58.0,186.0
2014_25SE_TGM_Paired TRM_17,2014,,25SE,TRM,Paired TRM,17,2014-09-08 00:00:00+00:00,6,9.32,60.33,6.5,1.04,0.0,,,Mixed,,,,36,250,3-late,0.3334562457142857,-0.0415984757142857,25.451209817032968,160.0,4.382913053843542,58.0,192.0
2014_26E_TGM_Paired TRM_18,2014,,26E,TRM,Paired TRM,18,2014-09-15 00:00:00+00:00,7,,,,,,,Samples were merged into one at the GANLab so no accurate sample could be distinguished between CARM and TRM,Loamy,,,,37,257,3-late,0.31120778714285713,-0.033387625714285704,19.335405775846162,178.0,5.077439061061935,61.0,196.0
2014_26E_TGM_Paired TRM_19,2014,,26E,TRM,Paired TRM,19,2014-09-23 00:00:00+00:00,7,10.01,54.69,5.5,0.36,0.04,,,Loamy,,,,38,265,3-late,0.29982266571428573,-0.03792149714285714,19.612748766219788,186.0,5.547944565082797,61.0,204.0
2014_26E_TGM_Paired TRM_20,2014,,26E,TRM,Paired TRM,20,2014-09-29 00:00:00+00:00,7,6.86,59.43,8.7,0.87,0.0,,,Loamy,,,,39,271,3-late,0.29093140285714286,-0.03978275428571428,19.759700112571434,192.0,5.918596336333532,61.0,210.0
2015_18S_AGM_CARM_1,2015,Snowfence,18S,CARM,CARM,1,2015-05-21 00:00:00+00:00,1,7.69,64.94,8.4,1.34,0.01,,,Sandy,141.0,0.254,,20,140,1-early,0.3296936242857143,0.09229437,3.661053069450549,4.0,1.1733935953966797e-07,63.0,77.0
2015_19N_TGM_Paired TRM_1,2015,,19N,TRM,Paired TRM,1,2015-05-21 00:00:00+00:00,1,11.98,63.96,5.3,1.64,0.24,,,Sandy,141.0,0.254,,20,140,1-early,0.3462147328571428,0.0991364542857143,3.8910933989011007,6.0,-2.8464921511017722e-08,68.0,72.0
2015_15E_TGM_TRM_1,2015,,15E,TRM,TRM,1,2015-05-21 00:00:00+00:00,1,10.63,60.76,5.7,1.46,0.19,,,Loamy,141.0,0.254,,20,140,1-early,0.33363539571428563,0.09628531285714285,3.3514937756043963,3.0,0.0,75.0,65.0
2015_7NW_TGM_TRM_1,2015,,7NW,TRM,TRM,1,2015-05-21 00:00:00+00:00,1,10.45,64.03,6.1,1.57,0.1,,,Mixed,141.0,0.254,,20,140,1-early,0.33051048,0.09868959428571429,3.6641177584615385,8.0,-3.3105008283193964e-05,63.0,77.0
2015_18S_AGM_CARM_2,2015,Snowfence,18S,CARM,CARM,2,2015-05-27 00:00:00+00:00,1,8.12,63.03,7.8,1.19,0.01,,,Sandy,147.0,20.066,,21,146,1-early,0.3534798971428571,0.09911263428571429,4.622402793406593,10.0,1.1733935953966797e-07,63.0,83.0
2015_19N_TGM_Paired TRM_2,2015,,19N,TRM,Paired TRM,2,2015-05-27 00:00:00+00:00,1,11.5,62.44,5.4,1.77,0.24,,,Sandy,147.0,20.066,,21,146,1-early,0.3707874928571428,0.10495062571428572,4.915192239296705,12.0,-2.8464921511017722e-08,68.0,78.0
2015_15E_TGM_TRM_2,2015,,15E,TRM,TRM,2,2015-05-27 00:00:00+00:00,1,11.1,60.94,5.5,1.53,0.14,,,Loamy,147.0,20.066,,21,146,1-early,0.35860399000000004,0.10351891571428572,4.305374794505495,9.0,0.0,75.0,71.0
2015_7NW_TGM_TRM_2,2015,,7NW,TRM,TRM,2,2015-05-27 00:00:00+00:00,1,11.64,63.7,5.5,1.59,0.11,,,Mixed,147.0,20.066,,21,146,1-early,0.3534255657142858,0.10237799000000002,4.656592274967034,14.0,-3.3105008283193964e-05,63.0,83.0
2015_17S_AGM_CARM_3,2015,Saltflat,17S,CARM,CARM,3,2015-06-03 00:00:00+00:00,2,10.93,63.79,5.8,1.59,0.1,,,Sandy,154.0,9.143999999999998,,22,153,1-early,0.35583750285714283,0.08259095571428572,5.4659932158241755,25.0,0.0,70.0,83.0
2015_17N_TGM_Paired TRM_3,2015,,17N,TRM,Paired TRM,3,2015-06-03 00:00:00+00:00,2,13.97,63.9,4.6,1.98,0.39,,,Sandy,154.0,9.143999999999998,,22,153,1-early,0.4115710914285714,0.11371833571428572,7.242117038021975,21.0,0.0,71.0,82.0
2015_15E_TGM_TRM_3,2015,,15E,TRM,TRM,3,2015-06-03 00:00:00+00:00,2,12.79,63.33,5.0,1.62,0.09,,,Loamy,154.0,9.143999999999998,,22,153,1-early,0.39079893142857136,0.11438224571428572,5.62076761989011,16.0,0.0,75.0,78.0
2015_19N_TGM_TRM_3,2015,,19N,TRM,TRM,3,2015-06-03 00:00:00+00:00,2,12.47,64.32,5.2,1.74,0.16,,,Sandy,154.0,9.143999999999998,,22,153,1-early,0.4023234442857143,0.11419542714285716,6.3086735569011,19.0,-2.8464921511017722e-08,68.0,85.0
2015_7NW_TGM_TRM_3,2015,,7NW,TRM,TRM,3,2015-06-03 00:00:00+00:00,2,14.94,67.35,4.5,2.03,0.22,,,Mixed,154.0,9.143999999999998,,22,153,1-early,0.38239571571428577,0.10858171142857143,5.997913527318682,21.0,-3.3105008283193964e-05,63.0,90.0
2015_17S_AGM_CARM_4,2015,Saltflat,17S,CARM,CARM,4,2015-06-10 00:00:00+00:00,2,10.55,61.99,5.9,1.79,0.12,,,Sandy,161.0,21.59,,23,160,1-early,0.3748100228571429,0.08281292142857145,6.744361234175825,32.0,0.0,70.0,90.0
2015_17N_TGM_Paired TRM_4,2015,,17N,TRM,Paired TRM,4,2015-06-10 00:00:00+00:00,2,12.61,63.72,5.1,1.94,0.27,,,Sandy,161.0,21.59,,23,160,1-early,0.43976577,0.11759991571428571,8.964069206241755,28.0,0.0,71.0,89.0
2015_15E_TGM_TRM_4,2015,,15E,TRM,TRM,4,2015-06-10 00:00:00+00:00,2,13.83,63.92,4.6,1.94,0.3,,,Loamy,161.0,21.59,,23,160,1-early,0.42190395857142865,0.1239118,7.160102839560439,23.0,0.0,75.0,85.0
2015_19N_TGM_TRM_4,2015,,19N,TRM,TRM,4,2015-06-10 00:00:00+00:00,2,12.33,65.92,5.3,2.16,0.26,,,Sandy,161.0,21.59,,23,160,1-early,0.43271911999999996,0.12234612285714286,7.921232965934067,26.0,-2.8464921511017722e-08,68.0,92.0
2015_7NW_TGM_TRM_4,2015,,7NW,TRM,TRM,4,2015-06-10 00:00:00+00:00,2,14.84,68.73,4.6,2.01,0.3,,,Mixed,161.0,21.59,,23,160,1-early,0.41038875142857145,0.11438884857142857,7.54038896967033,28.0,-3.3105008283193964e-05,63.0,97.0
2015_17S_AGM_CARM_5,2015,Saltflat,17S,CARM,CARM,5,2015-06-17 00:00:00+00:00,2,9.03,60.8,6.7,1.63,0.19,,,Sandy,168.0,18.034,,24,167,1-early,0.3902351085714285,0.08002343285714286,8.142934331098902,39.0,0.0,70.0,97.0
2015_17N_TGM_Paired TRM_5,2015,,17N,TRM,Paired TRM,5,2015-06-17 00:00:00+00:00,2,13.48,64.11,4.8,1.96,0.38,,,Sandy,168.0,18.034,,24,167,1-early,0.46222363571428576,0.11567931714285713,10.863248994461534,35.0,0.0,71.0,96.0
2015_15E_TGM_TRM_5,2015,,15E,TRM,TRM,5,2015-06-17 00:00:00+00:00,2,14.06,65.82,4.7,2.48,0.39,,,Loamy,168.0,18.034,,24,167,1-early,0.4470375814285715,0.12559207857142857,8.89587856923077,30.0,0.0,75.0,92.0
2015_19N_TGM_TRM_5,2015,,19N,TRM,TRM,5,2015-06-17 00:00:00+00:00,2,12.11,66.27,5.5,1.92,0.23,,,Sandy,168.0,18.034,,24,167,1-early,0.45683453,0.12289487142857144,9.72437747068132,33.0,-2.8464921511017722e-08,68.0,99.0
2015_7NW_TGM_TRM_5,2015,,7NW,TRM,TRM,5,2015-06-17 00:00:00+00:00,2,13.79,65.79,4.8,2.09,0.34,,,Mixed,168.0,18.034,,24,167,1-early,0.4332632385714286,0.11434280714285715,9.260941544879119,35.0,-3.3105008283193964e-05,63.0,104.0
2015_17S_AGM_CARM_6,2015,Saltflat,17S,CARM,CARM,6,2015-06-24 00:00:00+00:00,2,9.86,60.09,6.1,1.81,0.15,,,Sandy,175.0,1.016,,25,174,1-early,0.3981359928571428,0.07033426,9.621829912307692,46.0,0.0,70.0,104.0
2015_17N_TGM_Paired TRM_6,2015,,17N,TRM,Paired TRM,6,2015-06-24 00:00:00+00:00,2,10.73,65.15,6.1,1.69,0.23,,,Sandy,175.0,1.016,,25,174,1-early,0.47431800714285716,0.10303752,12.880486342681317,42.0,0.0,71.0,103.0
2015_15E_TGM_TRM_6,2015,,15E,TRM,TRM,6,2015-06-24 00:00:00+00:00,2,11.22,62.75,5.6,1.66,0.28,,,Loamy,175.0,1.016,,25,174,1-early,0.46149812142857144,0.11450362,10.76753288032967,37.0,0.0,75.0,99.0
2015_19N_TGM_TRM_6,2015,,19N,TRM,TRM,6,2015-06-24 00:00:00+00:00,2,13.08,64.99,5.0,1.9,0.32,,,Sandy,175.0,1.016,,25,174,1-early,0.4692058585714286,0.11018761857142856,11.652403426857145,40.0,-2.8464921511017722e-08,68.0,106.0
2015_7NW_TGM_TRM_6,2015,,7NW,TRM,TRM,6,2015-06-24 00:00:00+00:00,2,11.91,64.78,5.4,1.73,0.37,,,Mixed,175.0,1.016,,25,174,1-early,0.4453426614285715,0.10277277714285714,11.101836841516484,42.0,-3.3105008283193964e-05,63.0,111.0
2015_17S_AGM_CARM_7,2015,Saltflat,17S,CARM,CARM,7,2015-07-01 00:00:00+00:00,2,7.82,59.33,7.6,1.37,0.21,,,Sandy,182.0,3.556,,26,181,2-middle,0.3967895428571428,0.05031413714285714,11.118622772087914,53.0,0.04188301353697921,70.0,111.0
2015_17N_TGM_Paired TRM_7,2015,,17N,TRM,Paired TRM,7,2015-07-01 00:00:00+00:00,2,11.19,62.79,5.6,1.49,0.29,,,Sandy,182.0,3.556,,26,181,2-middle,0.47384446714285716,0.07573443714285714,14.932309160901097,49.0,0.04690828546075387,71.0,110.0
2015_15E_TGM_TRM_7,2015,,15E,TRM,TRM,7,2015-07-01 00:00:00+00:00,2,11.93,63.8,5.3,1.77,0.32,,,Loamy,182.0,3.556,,26,181,2-middle,0.4627744728571429,0.08654740999999999,12.687826441428573,44.0,0.026231098612383857,75.0,106.0
2015_19N_TGM_TRM_7,2015,,19N,TRM,TRM,7,2015-07-01 00:00:00+00:00,2,9.63,65.29,6.8,1.52,0.28,,,Sandy,182.0,3.556,,26,181,2-middle,0.46702657142857146,0.07954786428571427,13.608930340175826,47.0,0.07019028289999499,68.0,113.0
2015_7NW_TGM_TRM_7,2015,,7NW,TRM,TRM,7,2015-07-01 00:00:00+00:00,2,11.31,64.85,5.7,1.78,0.35,,,Mixed,182.0,3.556,,26,181,2-middle,0.44391351714285715,0.07502553857142856,12.97295546386813,49.0,0.056575004710504515,63.0,118.0
2015_17S_AGM_CARM_8,2015,Saltflat,17S,CARM,CARM,8,2015-07-07 00:00:00+00:00,2,8.27,61.14,7.4,1.42,0.12,,,Sandy,188.0,2.54,,27,187,2-middle,0.3895787257142857,0.026833188571428555,12.370883706593407,59.0,0.2320470927985809,70.0,117.0
2015_17N_TGM_Paired TRM_8,2015,,17N,TRM,Paired TRM,8,2015-07-07 00:00:00+00:00,2,10.17,62.77,6.2,1.58,0.32,,,Sandy,188.0,2.54,,27,187,2-middle,0.46408064,0.042201671428571445,16.653291754681316,55.0,0.3298981913235419,71.0,116.0
2015_19N_TGM_TRM_8,2015,,19N,TRM,TRM,8,2015-07-07 00:00:00+00:00,2,10.28,64.67,6.3,1.65,0.27,,,Sandy,188.0,2.54,,27,187,2-middle,0.4544369528571428,0.0413534057142857,15.23362264914286,53.0,0.412392442778811,68.0,119.0
2015_7NW_TGM_TRM_8,2015,,7NW,TRM,TRM,8,2015-07-07 00:00:00+00:00,2,9.66,64.12,6.6,1.39,0.26,,,Mixed,188.0,2.54,,27,187,2-middle,0.4334084942857142,0.04090258714285715,14.533549777516484,55.0,0.3438241510056979,63.0,124.0
2015_15E_TGM_TRM_8,2015,,15E,TRM,TRM,8,2015-07-08 00:00:00+00:00,2,10.95,62.73,5.7,1.81,0.3,,,Loamy,188.0,2.54,,27,188,2-middle,0.4520440214285714,0.045160635714285725,14.567605578241759,51.0,0.3012517969434513,75.0,113.0
2015_7NW_TGM_TRM_9,2015,,7NW,TRM,TRM,9,2015-07-15 00:00:00+00:00,2,8.6,63.67,7.4,1.18,0.11,,,Mixed,197.0,19.558,,28,195,2-middle,0.4107470914285714,-0.010508231428571444,16.47703119428572,63.0,1.098557919688089,63.0,132.0
2015_10S_AGM_CARM_9,2015,Nighthawk,10S,CARM,CARM,9,2015-07-16 00:00:00+00:00,3,7.69,62.07,8.1,0.96,0.01,,,Loamy,197.0,19.558,,28,196,2-middle,0.43288547571428576,-0.029662485714285727,17.772540346263735,59.0,1.6398990536703464,63.0,133.0
2015_15E_TGM_Paired TRM_9,2015,,15E,TRM,Paired TRM,9,2015-07-17 00:00:00+00:00,3,9.5,62.03,6.5,1.44,0.18,,,Loamy,197.0,19.558,,28,197,2-middle,0.42663611571428567,-0.014200267142857135,16.81445325945055,60.0,1.1268705802168262,75.0,122.0
2015_19N_TGM_TRM_9,2015,,19N,TRM,TRM,9,2015-07-17 00:00:00+00:00,3,9.07,62.1,6.8,1.37,0.2,,,Sandy,197.0,19.558,,28,197,2-middle,0.41876509285714286,-0.03125895428571429,17.69502669408791,63.0,1.6187293535243386,68.0,129.0
2015_19N_TGM_TRM_10,2015,,19N,TRM,TRM,10,2015-07-20 00:00:00+00:00,3,9.87,62.1,6.3,1.34,0.23,,,Sandy,204.0,5.588,,29,200,2-middle,0.4070142128571429,-0.05090214714285714,18.358858735714286,66.0,2.068750969231376,68.0,132.0
2015_7NW_TGM_TRM_10,2015,,7NW,TRM,TRM,10,2015-07-20 00:00:00+00:00,3,10.53,62.18,5.9,0.97,0.07,,,Mixed,204.0,5.588,,29,200,2-middle,0.3949161285714285,-0.04003664571428571,17.59170548494506,68.0,1.6993353352165221,63.0,137.0
2015_10S_AGM_CARM_10,2015,Nighthawk,10S,CARM,CARM,10,2015-07-23 00:00:00+00:00,3,8.11,61.91,7.6,1.12,0.02,,,Loamy,204.0,5.588,,29,203,2-middle,0.4019827042857143,-0.07754642428571427,19.308380868681322,66.0,2.8153099683755007,63.0,140.0
2015_15E_TGM_Paired TRM_10,2015,,15E,TRM,Paired TRM,10,2015-07-23 00:00:00+00:00,3,10.95,62.08,5.7,1.33,0.36,,,Loamy,204.0,5.588,,29,203,2-middle,0.4078621342857143,-0.04775025428571428,18.174450172637357,66.0,1.8323270098601345,75.0,128.0
2015_10S_AGM_CARM_11,2015,Nighthawk,10S,CARM,CARM,11,2015-07-27 00:00:00+00:00,3,7.37,60.67,8.2,1.11,0.02,,,Loamy,208.0,0.0,,30,207,2-middle,0.3852475971428571,-0.09726846000000001,20.091532298021985,70.0,3.495188885751695,63.0,144.0
2015_15E_TGM_Paired TRM_11,2015,,15E,TRM,Paired TRM,11,2015-07-27 00:00:00+00:00,3,8.39,61.66,7.3,1.04,0.14,,,Loamy,208.0,0.0,,30,207,2-middle,0.39569493571428577,-0.06448920142857142,19.01954794285714,70.0,2.3191496778375145,75.0,132.0
2015_7NW_TGM_TRM_11,2015,,7NW,TRM,TRM,11,2015-07-28 00:00:00+00:00,3,7.64,60.42,7.9,0.82,0.08,,,Mixed,208.0,0.0,,30,208,2-middle,0.3715806985714286,-0.07198708142857142,19.217890208857142,76.0,2.6692096153770666,63.0,145.0
2015_19N_TGM_TRM_11,2015,,19N,TRM,TRM,11,2015-07-29 00:00:00+00:00,3,9.0,60.92,6.8,1.05,0.18,,,Sandy,208.0,0.0,,30,209,2-middle,0.3744419214285714,-0.09188993000000001,20.149171046307696,75.0,3.4139495991952313,68.0,141.0
2015_10S_AGM_CARM_12,2015,Nighthawk,10S,CARM,CARM,12,2015-08-05 00:00:00+00:00,3,7.22,60.89,8.4,0.93,0.01,,,Loamy,217.0,0.0,,31,216,2-middle,0.3508099371428572,-0.12015606000000001,21.621565794395604,79.0,4.986900612192111,63.0,153.0
2015_15E_TGM_Paired TRM_12,2015,,15E,TRM,Paired TRM,12,2015-08-05 00:00:00+00:00,3,9.15,61.57,6.7,1.37,0.07,,,Loamy,217.0,0.0,,31,216,2-middle,0.36993775714285715,-0.08528759285714285,20.749080372637366,79.0,3.4299674580732034,75.0,141.0
2015_19N_TGM_TRM_12,2015,,19N,TRM,TRM,12,2015-08-05 00:00:00+00:00,3,10.02,64.07,6.4,1.46,0.18,,,Sandy,217.0,0.0,,31,216,2-middle,0.35288435285714287,-0.10390006714285713,21.35437429391209,82.0,4.383572651186079,68.0,148.0
