Date,StationID,Air Temperature Maximum,Air Temperature Minimum,Precipitation Increment,Relative Humidity,Wind Speed Maximum,Wind Speed Average,Solar Radiation Average,Solar Radiation/langley Total,Vapor Pressure - Partial,Vapor Pressure - Saturated,Soil Moisture Percent,Soil Moisture Percent,Soil Moisture Percent,Soil Moisture Percent,Soil Moisture Percent,Soil Temperature Observed,Soil Temperature Observed,Soil Temperature Observed,Soil Temperature Observed,Soil Temperature Observed
2/8/2012,2017,40.1,1.6,0,68.08,12.1,3.7,82.03,,,,16.1,21.8,20.8,20.6,11.3,31,32,33,34,38
2/9/2012,2017,43.7,14.7,0,60.17,30.9,11.6,109.14,,,,16.4,21.1,20.8,20.6,11.3,31,32,33,34,38
2/10/2012,2017,34.7,10,0,78.25,16.5,7.8,77.33,,,,15.8,21,20.8,20.7,11.2,31,32,33,33,38
2/11/2012,2017,15.6,6.3,0,88.88,12.7,4.5,148.82,,,,15.7,20.7,20.9,20.5,11.2,31,32,33,33,38
2/12/2012,2017,32.7,-3.1,0.13,86.58,15,2.6,124.29,,,,15.7,20.7,20.6,20.5,11,31,32,33,33,38
2/13/2012,2017,37.9,18.1,0.01,82.08,19,9.1,146.06,,,,16.1,21.2,20.4,20.5,11,32,32,33,33,38
2/14/2012,2017,44.8,16.5,0,76.08,21.8,4.8,136.66,,,,16.4,21.2,20.5,20.5,11,32,32,33,33,38
2/15/2012,2017,35.8,18,0,77.25,22,8.8,150.3,,,,17.7,22.1,20.6,20.5,11,32,32,33,33,38
2/16/2012,2017,44.6,14.9,0,70.25,16.1,4.2,169.25,,,,19.2,24,20.6,20.5,11.1,32,32,33,33,38
2/17/2012,2017,39,15.1,0,66.54,27,8.2,96.64,,,,19.4,25,20.5,20.5,11.1,32,32,33,33,38
2/18/2012,2017,40.5,8.1,0,82.08,14.6,4.1,143.13,,,,19.8,25,20.4,20.5,11.1,32,32,33,33,38
2/19/2012,2017,43.7,21.2,0,67.54,26.7,6.9,104.31,,,,20.8,24.8,20.5,20.5,11,32,32,33,34,38
2/20/2012,2017,35.6,23.2,0,53.12,37.2,19,164.09,,,,21.6,24.9,20.8,20.5,11,32,33,34,34,38
2/21/2012,2017,46.2,25.5,0,38.62,40.4,13.9,128.75,,,,21.4,24.8,20.8,20.5,11,32,32,34,34,38
2/22/2012,2017,56.1,40.5,0,38.88,45.5,24,177.3,,,,21.9,25.2,20.8,20.5,11,35,34,34,34,38
2/23/2012,2017,45.5,9.5,0,69.71,46.8,19.5,131.17,,,,22.1,25.2,20.9,20.8,11.1,34,34,35,35,38
2/24/2012,2017,40.6,12.7,0,53.79,30.2,10.6,188.05,,,,21.6,25,20.8,20.6,11.3,32,33,34,34,38
2/25/2012,2017,60.4,7.9,0,47.04,45.1,13,183.17,,,,21.8,24.8,20.9,20.5,11.2,32,33,34,34,38
2/26/2012,2017,35.1,10.8,0,29.38,43.2,16.8,200.39,,,,21.9,24.8,20.8,20.5,11.2,32,33,34,34,38
2/27/2012,2017,45.9,4.1,0,58.33,23.3,7.6,193.68,,,,21.6,24.8,20.9,20.5,11.2,32,32,34,34,38
2/28/2012,2017,43,16.5,0,68.54,33.1,10.9,68.25,,,,21.5,25,20.9,20.6,11.2,32,32,34,34,38
2/29/2012,2017,52.3,24.8,0,30,32.7,12.3,191.5,,,,21.8,24.9,20.9,20.6,11.2,33,33,34,34,38
3/1/2012,2017,39.9,18.9,0,43.21,26.2,11,119.78,,,,21.8,24.9,20.8,20.5,11.3,32,33,34,34,38
3/2/2012,2017,32.4,10.2,0,49.46,31.5,12.6,145.26,,,,21.5,24.8,20.9,20.5,11.2,32,33,34,34,38
3/3/2012,2017,44.8,21.9,0,33.17,37.7,18.9,203.38,,,,21.5,24.8,20.9,20.6,11.2,32,32,34,34,38
3/4/2012,2017,57.9,27.1,0,32.04,40.4,16.6,202.21,,,,21.9,25,20.9,20.6,11.2,35,34,34,34,38
3/5/2012,2017,64.4,18,0,37.96,28.8,8.4,211.96,,,,22,25.2,21,20.6,11.2,37,36,36,35,38
3/6/2012,2017,69.1,22.5,0,26.62,37.1,9.8,216.02,,,,22.1,25.4,21.2,20.7,11.2,39,38,38,36,38
3/7/2012,2017,34.7,16.9,0,72.38,34.7,11.2,90.97,,,,21.9,25.5,21.4,20.7,11.4,38,38,39,37,38
3/8/2012,2017,49.1,10.2,0,49.83,19.3,5.6,221.04,,,,21.7,25.2,21.1,20.6,11.6,37,37,37,37,39
3/9/2012,2017,58.5,14.4,0,37.54,15.5,5.7,221.33,,,,21.7,25.3,21.2,20.6,11.4,38,38,38,37,39
3/10/2012,2017,65.7,16.3,0,44.08,21.6,6.6,223.99,,,,21.8,25.5,21.4,20.7,11.3,40,39,39,37,39
3/11/2012,2017,64,28.2,0,54.08,25.7,7.1,174.39,,,,21.9,25.8,21.6,21.1,11.4,43,42,41,38,39
3/12/2012,2017,65.7,28.6,0,25.29,24.4,7.2,203.08,,,,21.9,25.9,21.8,21.2,11.5,44,43,42,40,40
3/13/2012,2017,70.3,29.5,0,23.17,27.8,7.7,184.9,,,,21.8,25.9,21.8,21.4,11.4,44,43,43,41,40
3/14/2012,2017,69.8,27.1,0,19.96,26.5,8.6,240.74,,,,21.8,25.9,21.9,21.3,11.5,45,45,44,41,41
3/15/2012,2017,68.2,35.8,0,25.33,18.2,8,206.28,,,,22,26.2,22,21.3,11.7,48,47,46,42,41
3/16/2012,2017,72.9,30.9,0,30.17,16.2,5.5,214.36,,,,21.9,26.2,22.2,21.6,11.7,48,48,47,44,42
3/17/2012,2017,72.5,30,0,25.96,21.3,7.4,225.77,,,,21.7,26.1,22.2,21.7,11.8,49,48,47,44,42
3/18/2012,2017,69.3,28.8,0,31.25,43.7,12.8,179.03,,,,21.4,26,22.1,21.7,11.9,48,47,47,45,43
3/19/2012,2017,49.5,18.5,0,27.92,21.5,8.7,232.83,,,,21.2,25.7,22,21.7,11.8,47,47,47,45,44
3/20/2012,2017,52,19.2,0,39.92,19.6,7.7,245.5,,,,20.9,25.6,21.9,21.7,11.9,46,46,46,45,44
3/21/2012,2017,62.4,19.4,0,35.33,24.2,9.6,245.7,,,,20.6,25.4,21.8,21.7,12,46,46,46,45,44
3/22/2012,2017,67.5,28.4,0,44.12,21.6,8.6,256.57,,,,20.4,25.5,21.9,21.7,11.9,48,47,47,45,44
3/23/2012,2017,73.8,27.7,0,39.79,15.4,5.7,256.37,,,,20.1,25.6,22,21.8,11.8,50,49,48,46,45
3/24/2012,2017,68.7,35.8,0,37.17,24.2,9.9,251.69,,,,19.8,25.6,22.1,21.8,11.9,51,50,49,47,45
3/25/2012,2017,71.2,30,0,66.75,17.7,4.9,187.8,,,,19.4,25.5,22.1,21.9,11.9,51,50,50,47,46
3/26/2012,2017,78.4,37.2,0,50.46,44.4,12.7,182.34,,,,19,25.3,22.1,21.8,12.1,51,51,50,48,46
3/27/2012,2017,66.4,40.5,0,20.79,31.3,10.5,253.07,,,,18.8,25.1,22,21.8,12.1,52,51,50,48,46
3/28/2012,2017,71.8,26.6,0,33.88,20.1,5.6,250.75,,,,18.4,25,22,21.9,12,53,52,51,49,47
3/29/2012,2017,67.3,39.4,0,29.33,29.1,11.2,258.79,,,,18,24.9,22,21.8,12.1,53,53,52,49,47
3/30/2012,2017,73.6,36.5,0,27.25,24.2,6.9,237.85,,,,17.6,24.6,22,21.8,12.2,54,53,52,50,47
3/31/2012,2017,77.5,44.1,0,27.67,21.2,7.9,261.29,,,,17.3,24.4,22,21.8,12.2,56,55,53,51,48
4/1/2012,2017,78.6,42.8,0,17.96,46.2,9.4,280.93,,,,16.9,24.3,21.9,21.8,12.3,57,56,55,51,48
4/2/2012,2017,47.8,34.5,0,64.79,45.2,24,88.36,,,,16.2,23.7,21.8,21.7,12.3,52,54,54,52,49
4/3/2012,2017,40.5,25.3,0.01,65.12,25.7,10.2,73.93,,,,15.6,23,21.2,21.8,12.4,47,49,51,51,49
4/4/2012,2017,61.7,28.9,0,57.62,17.2,4.7,275.85,,,,15.7,22.9,21.1,21.7,12.5,50,50,50,49,49
4/5/2012,2017,69.3,27.1,0,62.92,24.9,10.3,263.5,,,,15.6,23,21.1,21.7,12.5,52,51,51,50,49
4/6/2012,2017,75.2,36.5,0,49.25,39,15,285.16,,,,15.7,22.9,21.1,21.6,12.5,55,54,53,50,49
4/7/2012,2017,58.5,25.9,0,20.17,29.2,9.3,299.01,,,,15.4,22.6,21,21.6,12.4,53,52,53,51,49
4/8/2012,2017,70.9,18.1,0,27.38,18.9,6.6,297.56,,,,15.2,22.3,20.8,21.4,12.4,53,52,52,51,50
4/9/2012,2017,64.6,26.2,0,38.75,19,7.1,290.22,,,,15,22.1,20.7,21.5,12.3,55,54,53,51,50
4/10/2012,2017,74.7,42.4,0,59.25,19.7,6.2,279.19,,,,15,22.2,20.6,21.4,12.6,58,56,55,52,50
4/11/2012,2017,56.8,45.9,0.07,91.71,26,11.8,72.78,,,,14.6,22,20.6,21.6,12.5,56,56,56,53,50
4/12/2012,2017,63.5,41.9,0.03,57.62,25.5,8,184.13,,,,14.4,21.7,20.2,21.4,12.5,54,54,54,53,51
4/13/2012,2017,60.4,38.1,0,39.62,21.8,7.1,227.28,,,,14.4,21.4,20.2,21.1,12.7,54,53,54,52,51
4/14/2012,2017,57.6,38.5,0,55.75,25.5,11.2,216.16,,,,14.4,21.3,20,21.1,12.7,54,54,54,52,51
4/15/2012,2017,50.4,32.4,0,64.25,41.8,18.3,259.83,,,,14.3,21,19.8,20.8,12.6,52,52,53,52,51
4/16/2012,2017,57,30.2,0.07,60.42,21.7,5.2,209.07,,,,14.2,20.8,19.6,20.9,12.6,51,52,52,51,51
4/17/2012,2017,65.5,27.5,0,46.88,22.9,6.8,172.94,,,,14.1,20.6,19.3,20.7,12.6,50,50,51,51,51
4/18/2012,2017,68.7,30.6,0,56.04,22,7.7,212.33,,,,14.3,20.6,19.3,20.4,12.6,52,51,52,51,51
4/19/2012,2017,61.3,37.2,0,48.62,32.7,13.3,183.65,,,,14.4,20.6,19.1,20.3,12.6,53,53,53,51,51
4/20/2012,2017,68.2,28.4,0,53.21,23.9,8.1,187.2,,,,14.4,20.5,19,20.2,12.6,52,52,53,51,51
4/21/2012,2017,68.4,36.9,0,39.79,21.2,9.6,265.28,,,,14.6,20.6,19,20.1,12.6,56,55,54,51,51
4/22/2012,2017,70.5,29.3,0,51.75,17.9,5.8,312.79,,,,14.5,20.5,18.9,20,12.7,57,56,55,53,51
4/23/2012,2017,81.3,33.1,0,38.25,15.4,4.8,272.73,,,,14.5,20.5,18.9,19.8,12.5,59,58,57,53,51
4/24/2012,2017,84.6,45.1,0,25.88,31.5,9.2,208.47,,,,14.3,20.4,18.8,19.6,12.6,60,59,58,54,52
4/25/2012,2017,77.9,44.8,0,31.71,29,8.2,174.89,,,,14.1,20.2,18.6,19.3,12.6,60,59,58,55,52
4/26/2012,2017,78.4,49.1,0.15,47.62,34.2,10.7,210.35,,,,14,20.1,18.5,19.2,12.7,61,60,59,56,53
4/27/2012,2017,59,38.3,0.09,51.17,39.9,17.2,284.95,,,,13.7,19.9,18.4,19.1,12.7,58,58,59,56,53
4/28/2012,2017,58.8,34.3,0,30.83,28.3,11,332.63,,,,13.8,19.5,18.1,18.8,12.9,55,55,56,55,54
4/29/2012,2017,64.8,32.5,0,57,16.5,5.5,284.21,,,,14.3,19.6,18,18.9,12.7,57,57,56,55,54
4/30/2012,2017,74.7,30.2,0,34.08,24.1,7.3,314.21,,,,14.6,19.6,17.9,18.6,12.7,58,57,57,55,54
5/1/2012,2017,73.8,39.6,0,32.12,29.1,7.7,163.81,,,,14.5,19.6,17.9,18.4,12.9,58,58,58,55,54
5/2/2012,2017,71.1,48,0.01,45.17,29.1,8.6,205.43,,,,14.7,19.6,17.8,18.2,12.8,60,59,58,56,54
5/3/2012,2017,77.9,37.8,0,44.79,27.7,9.8,287.25,,,,14.6,19.6,17.8,18.1,12.8,60,59,58,56,54
5/4/2012,2017,83.7,44.1,0,28.92,21.9,7.8,331.67,,,,14.8,19.7,17.9,18,12.9,64,62,60,57,54
5/5/2012,2017,81.9,48.2,0,53.62,36.5,10.3,264.22,,,,14.8,19.7,17.9,17.9,12.9,65,64,62,58,54
5/6/2012,2017,58.8,35.8,0.05,57.92,24.6,8.9,293.51,,,,14.4,19.4,17.8,17.9,13,64,63,62,59,55
5/7/2012,2017,49.3,31.3,0.05,82.79,14,5.3,100.48,,,,13.8,18.9,17.5,17.8,12.8,58,59,61,59,56
5/8/2012,2017,66.7,30.2,0,51.71,17.3,5.2,320.9,,,,13.6,18.6,17.2,17.5,13.1,57,57,58,57,56
5/9/2012,2017,79.7,29.3,0,40.17,20.1,5.8,339.51,,,,13.8,18.8,17.2,17.5,13.1,60,59,59,57,56
5/10/2012,2017,83.3,36.7,0,29.17,40.7,10.2,303.95,,,,14.1,18.9,17.3,17.4,13.1,64,62,61,58,56
5/11/2012,2017,46.8,35.1,0,63.29,30.3,9.7,110.18,,,,13.8,18.6,17.2,17.4,13,59,60,61,59,56
5/12/2012,2017,50.4,34,0,84.5,13.3,4.9,101.52,,,,13.4,18,16.9,17.3,13,55,56,58,58,56
5/13/2012,2017,65.7,33.4,0,64.96,18.9,4.8,265.72,,,,13.5,18.1,16.7,17,13,59,58,57,56,56
5/14/2012,2017,79.3,32.9,0,32.04,23.2,5.4,349.7,,,,13.6,18.3,16.9,16.9,13,62,61,59,57,56
5/15/2012,2017,78.4,40.6,0,20.79,20.9,8.9,341.82,,,,13.6,18.4,17,16.9,13,65,63,62,58,56
5/16/2012,2017,81.9,38.8,0,32.92,24,7,254.83,,,,13.3,18.3,17,16.9,13,65,64,63,59,56
5/17/2012,2017,80.2,45,0,30.92,39.6,7.6,209.63,,,,13,18.2,17,16.9,13.1,65,64,63,60,57
5/18/2012,2017,83.5,43.9,0,35,37.7,9.9,233.2,,,,12.7,18.1,16.9,16.8,13.2,66,64,63,60,57
5/19/2012,2017,58.6,38.5,0.31,69.88,33.3,12.3,137.51,,,,20.7,17.8,16.8,16.8,13.2,60,62,63,61,57
5/20/2012,2017,72.9,33.1,0,58.04,21.8,5.6,328.89,,,,22.8,17.8,16.6,16.7,13.1,61,60,60,59,58
5/21/2012,2017,83.5,36.9,0,44.62,18.4,4.9,299.12,,,,20.9,18.3,16.7,16.7,13.2,64,63,62,60,58
5/22/2012,2017,89.6,42.6,0,26.08,25.7,9.7,285.28,,,,19,18.5,16.8,16.8,13.5,65,64,63,60,58
5/23/2012,2017,64,45.7,0.16,60.58,31,13.4,174.88,,,,17.3,18.5,16.9,16.8,13.5,63,64,64,61,58
5/24/2012,2017,63,37.4,0,50.33,29.1,9.7,316,,,,16.3,18.2,16.5,16.7,13.3,59,60,61,60,58
5/25/2012,2017,63,35.8,0,79.42,25.1,11.7,71.43,,,,15.7,17.9,16.4,16.6,13,55,57,59,59,58
5/26/2012,2017,88.3,50.2,0,56.88,27.7,9.8,285.29,,,,16.1,18.2,16.4,16.3,13.2,62,60,59,58,58
5/27/2012,2017,67.8,44.6,0,18.38,31.6,12.1,300.64,,,,15.7,18.4,16.7,16.6,13.4,62,62,62,59,58
5/28/2012,2017,73,39.9,0,25,24,9,355.28,,,,15.3,18.3,16.6,16.6,13.4,64,63,62,60,58
5/29/2012,2017,75.2,35.8,0,35.83,22.1,6.8,343.73,,,,14.9,18.3,16.8,16.6,13.4,66,64,63,60,58
5/30/2012,2017,79.2,40.3,0,36.17,32,11.3,305.54,,,,14.6,18.2,16.9,16.6,13.3,67,66,65,61,58
5/31/2012,2017,72.5,39.6,0,45.58,15,4.9,326.79,,,,14.3,18,16.8,16.5,13.3,68,66,65,62,58
6/1/2012,2017,75.6,39.2,0,46.5,26.7,7.6,230.09,,,,13.7,18,16.9,16.5,13.5,67,66,66,62,59
6/2/2012,2017,79.2,41,0,48.58,34,8,223.53,,,,13.3,17.7,16.7,16.4,13.6,67,66,65,63,59
6/3/2012,2017,86.4,45.1,0,40.08,32.3,6.6,204.13,,,,13.1,17.6,16.7,16.3,13.5,68,67,66,63,60
6/4/2012,2017,91,45.3,0,39.71,35.5,10.3,333.46,,,,13,17.7,16.7,16.4,13.3,70,68,66,63,60
6/5/2012,2017,85.6,51.1,0,40,37.2,15.8,292.59,,,,12.6,17.7,16.8,16.4,13.5,71,69,68,64,60
6/6/2012,2017,87.4,52.2,0,45.38,34.2,12.2,330.86,,,,12.5,17.7,16.8,16.4,13.4,73,71,69,65,60
6/7/2012,2017,80.1,50.7,0.35,69.46,32.6,9.6,197.17,,,,14.8,17.7,16.8,16.5,13.4,71,71,70,66,61
6/8/2012,2017,86.7,51.3,0,53,25.2,8.2,348.48,,,,28.4,17.9,16.7,16.4,13.4,70,70,69,66,61
6/9/2012,2017,89.4,51.1,0,37.04,35.4,7.4,289.38,,,,25,18.4,16.8,16.5,13.2,71,70,69,66,62
6/10/2012,2017,73,49.8,0,19.42,39.9,19.2,291.7,,,,22.2,18.4,16.6,16.5,13.4,68,68,68,66,62
6/11/2012,2017,73.9,42.3,0,24.12,27.5,8.4,331.87,,,,20,18.5,16.6,16.4,13.4,68,67,67,65,62
6/12/2012,2017,81.5,44.2,0,25.92,33.4,6.7,264.95,,,,18,18.7,16.7,16.5,13.6,69,68,68,65,62
6/13/2012,2017,89.2,48.6,0,19.46,40.1,7.8,316.14,,,,16.6,18.6,16.8,16.5,13.6,71,70,69,66,62
6/14/2012,2017,82.8,56.8,0,29.79,26.9,10.1,303.77,,,,15.6,18.5,17,16.6,13.4,73,72,70,67,63
6/15/2012,2017,85.3,55.2,0,42.54,27.8,10.1,278.28,,,,14.7,18.2,17,16.8,13.5,73,72,71,67,63
6/16/2012,2017,77.2,53.2,0,51.25,24.8,9.9,307.04,,,,14.1,18.1,17,16.7,13.6,74,72,71,68,63
6/17/2012,2017,93.2,47.5,0,28.25,42.8,9.9,331.56,,,,13.5,18,17,16.5,13.6,74,73,71,68,64
6/18/2012,2017,96.1,56.1,0,14.25,20.7,7.8,328.5,,,,13.1,17.9,17,16.5,13.6,76,74,72,69,64
6/19/2012,2017,88.7,55.8,0,20.46,31.8,12.7,333.9,,,,12.5,17.9,17,16.5,13.8,77,76,74,69,64
6/20/2012,2017,73.2,52.2,0,51.46,24.7,9.6,288.1,,,,12,17.7,17,16.4,13.7,77,75,74,70,65
6/21/2012,2017,84.2,43.7,0,32.67,25.9,10.7,352.2,,,,11.7,17.5,16.9,16.6,13.3,76,75,74,70,65
6/22/2012,2017,94.6,46,0,30.58,18.6,5.2,284.68,,,,11.5,17.5,16.8,16.5,13.5,77,76,74,70,65
6/23/2012,2017,97.9,60.1,0,11.67,19.8,7.3,295.88,,,,11.3,17.4,16.8,16.6,13.7,78,76,75,71,66
6/24/2012,2017,99.1,59.7,0,21.5,37.8,8.5,270.1,,,,11.2,17.5,16.8,16.5,13.7,80,78,76,71,66
6/25/2012,2017,100.4,58.6,0,33.17,23.3,9.5,287.95,,,,11.1,17.5,16.8,16.7,13.7,82,80,77,72,66
6/26/2012,2017,100.4,61.9,0.08,23.08,42.2,8.6,276.94,,,,10.9,17.4,16.8,16.7,13.7,82,80,78,73,67
6/27/2012,2017,90.5,56.3,0.02,46.33,29,8.4,205.13,,,,10.8,17,16.6,16.6,13.7,76,77,77,74,67
6/28/2012,2017,93.6,52.9,0,34.46,23.6,7.1,235.48,,,,10.9,16.7,16.4,16.5,13.8,75,74,74,72,68
6/29/2012,2017,97,52,0,32.25,25.9,5.3,246.6,,,,11.2,16.8,16.4,16.4,13.8,77,76,75,72,68
6/30/2012,2017,95.5,57.7,0,20.83,29.7,6.2,248.08,,,,11.2,17,16.4,16.4,13.9,79,77,76,72,68
7/1/2012,2017,97.2,54.7,0,29.83,31.4,8.5,298.62,,,,10.8,17,16.4,16.3,13.8,80,78,77,73,68
7/2/2012,2017,92.8,57.2,0,38.08,30.9,9.4,251.39,,,,10.8,17,16.5,16.4,13.8,81,79,78,74,68
7/3/2012,2017,94.3,58.6,0.02,38.83,22.6,5.7,221.07,,,,10.5,16.9,16.5,16.5,13.9,80,79,78,74,69
7/4/2012,2017,93.4,57.2,0,35.38,31.2,12.9,313.11,,,,10.5,16.7,16.4,16.4,13.9,79,78,77,74,69
7/5/2012,2017,92.8,63.3,0,50.58,33.3,8.6,299.17,,,,10.7,16.9,16.4,16.4,13.9,83,81,78,74,69
7/6/2012,2017,84.2,60.4,0.49,63.08,27.7,11.5,213.67,,,,10.9,16.7,16.5,16.5,13.8,79,79,79,75,69
7/7/2012,2017,77.7,58.1,1.3,81.25,26.5,6.7,157.41,,,,30.4,20,19,17.7,13.7,72,73,75,74,70
7/8/2012,2017,72,58.1,0.42,81.08,17.6,5.6,189.85,,,,33.3,37.3,33,31.1,13.6,70,70,72,72,70
7/9/2012,2017,78.4,60.3,0,70.38,16.9,5.6,235.89,,,,30.7,35.7,30.9,30.1,13.6,72,72,72,71,69
7/10/2012,2017,80.6,57.4,0,54.58,21.5,6.5,338.94,,,,29.5,34.8,29.9,29,13.7,73,73,73,71,69
7/11/2012,2017,88.9,54.5,0,52.58,36.8,7.3,335.33,,,,28.6,34.2,29.4,28.6,13.7,75,74,73,71,69
7/12/2012,2017,89.6,55.2,0,40.79,21.4,7.1,326.29,,,,27.6,33.7,29,28.1,13.7,77,76,75,72,69
7/13/2012,2017,91,56.7,0,39.92,20.6,6,332.26,,,,26.4,32.7,28.5,27.6,13.7,77,77,76,73,69
7/14/2012,2017,92.1,55,0,37.92,28.7,8.6,304.45,,,,24.8,31.6,28,27.3,13.9,78,77,76,74,69
7/15/2012,2017,91.8,58.5,0,39.46,29.2,7.5,284.39,,,,23.3,30.1,27.3,26.8,13.9,79,78,77,74,69
7/16/2012,2017,90.7,61,0.03,46.12,33.4,8.2,297.46,,,,21.8,28.2,26.9,26.4,14,79,78,78,74,70
7/17/2012,2017,86.5,58.8,0,46.92,22,7.7,262.68,,,,20.5,26.3,26.2,26.2,13.8,76,77,77,74,70
