"Concatenate","Year","Pasture","Allocation.number","type","Actual.on.date","Actual.off.date","Season.on.date","Season.off.date","Treatment","notes","Rotn","Year_Treatment_Rotn","Caveats"
"2015_23E",2015,"23E","30","yearling steers","2015-05-14","2015-10-03",2015-05-15,2015-10-02,"LTGI_HVY",NA,NA,"2015_LTGI_HVY_",NA
"2016_23E",2016,"23E","30","yearling steers","2016-05-11","2016-10-01",2016-05-13,2016-09-30,"LTGI_HVY",NA,NA,"2016_LTGI_HVY_",NA
"2017_23E",2017,"23E","30","yearling steers","2017-05-10","2017-09-30",2017-05-11,2017-09-29,"LTGI_HVY",NA,NA,"2017_LTGI_HVY_",NA
"2018_23E",2018,"23E","35","yearling steers","2018-05-09","2018-09-29",2018-05-10,2018-09-28,"LTGI_HVY",NA,NA,"2018_LTGI_HVY_",NA
"2019_23E",2019,"23E","34","yearling steers","2019-05-16","2019-09-28",2019-05-16,2019-09-27,"LTGI_HVY",NA,NA,"2019_LTGI_HVY_",NA
"2020_23E",2020,"23E","34","yearling steers","2020-05-14","2020-10-03",2020-05-16,2020-10-02,"LTGI_HVY",NA,NA,"2020_LTGI_HVY_",NA
"2021_23E",2021,"23E","30","yearling steers","2021-05-20","2021-10-02",2021-05-22,2021-10-01,"LTGI_HVY",NA,NA,"2021_LTGI_HVY_",NA
"2022_23E",2022,"23E","34","yearling steers","2022-05-19","2022-06-16",2022-05-23,2022-07-30,"LTGI_HVY","Animals removed from 23E on 6/16/22 and moved to 13W due to drought conditions",NA,"2022_LTGI_HVY_",NA
"2023_23E",2023,"23E","26","yearling steers","2023-05-18","2023-09-30",2023-05-19,2023-09-29,"LTGI_HVY",NA,NA,"2023_LTGI_HVY_",NA
"2024_23E",2024,"23E","45","yearling steers","2024-05-16","2024-09-08",2024-05-17,2024-09-07,"LTGI_HVY",NA,NA,"2024_LTGI_HVY_",NA
"2000_23W",2000,"23W","15","replacement heifers","2000-05-19","2000-08-10",2000-05-19,2000-08-11,"LTGI_LHT","animals were moved into rotations after 8/11/00",NA,"2000_LTGI_LHT_",NA
"2001_23W",2001,"23W","15","replacement heifers","2001-05-17","2001-10-22",2001-05-17,2001-10-03,"LTGI_LHT",NA,NA,"2001_LTGI_LHT_",NA
"2002_23W",2002,"23W","15","replacement heifers","2002-05-17","2002-08-07",2002-05-17,2002-08-06,"LTGI_LHT","Animals were moved into rotations after 8/8/02 as far as I can tell",NA,"2002_LTGI_LHT_",NA
"2003_23W",2003,"23W","15","replacement heifers","2003-05-22","2003-10-08",2003-05-22,2003-10-08,"LTGI_LHT",NA,NA,"2003_LTGI_LHT_",NA
"2004_23W",2004,"23W","15","replacement heifers","2004-05-19","2004-10-13",2004-05-19,2004-10-12,"LTGI_LHT",NA,NA,"2004_LTGI_LHT_",NA
"2005_23W",2005,"23W","14","replacement heifers","2005-05-17","2005-10-19",2005-05-17,2005-10-18,"LTGI_LHT",NA,NA,"2005_LTGI_LHT_",NA
"2006_23W",2006,"23W","15","replacement heifers","2006-05-18","2006-10-19",2006-05-18,2006-10-18,"LTGI_LHT",NA,NA,"2006_LTGI_LHT_",NA
"2007_23W",2007,"23W","15","replacement heifers","2007-05-17","2007-10-22",2007-05-17,2007-10-21,"LTGI_LHT",NA,NA,"2007_LTGI_LHT_",NA
"2008_23W",2008,"23W","15","replacement heifers","2008-05-15","2008-10-14",2008-05-16,2008-10-13,"LTGI_LHT",NA,NA,"2008_LTGI_LHT_",NA
"2009_23W",2009,"23W","15","yearling steers","2009-05-15","2009-10-01",2009-05-15,2009-09-29,"LTGI_LHT",NA,NA,"2009_LTGI_LHT_",NA
"2010_23W",2010,"23W","15","yearling steers","2010-05-10","2010-10-04",2010-05-11,2010-10-01,"LTGI_LHT",NA,NA,"2010_LTGI_LHT_",NA
"2011_23W",2011,"23W","15","yearling steers","2011-05-12","2011-09-28",2011-05-12,2011-09-27,"LTGI_LHT",NA,NA,"2011_LTGI_LHT_",NA
"2012_23W",2012,"23W","15","yearling steers","2012-05-17","2012-09-25",2012-05-17,2012-09-22,"LTGI_LHT",NA,NA,"2012_LTGI_LHT_",NA
"2013_23W",2013,"23W","15","yearling steers","2013-05-30","2013-09-29",2013-05-30,2013-09-28,"LTGI_LHT",NA,NA,"2013_LTGI_LHT_",NA
"2014_23W",2014,"23W","15","yearling steers","2014-05-14","2014-10-03",2014-05-15,2014-10-02,"LTGI_LHT",NA,NA,"2014_LTGI_LHT_",NA
"2015_23W",2015,"23W","15","yearling steers","2015-05-14","2015-10-03",2015-05-15,2015-10-02,"LTGI_LHT",NA,NA,"2015_LTGI_LHT_",NA
"2016_23W",2016,"23W","15","yearling steers","2016-05-11","2016-10-01",2016-05-13,2016-09-30,"LTGI_LHT",NA,NA,"2016_LTGI_LHT_",NA
"2017_23W",2017,"23W","15","yearling steers","2017-05-10","2017-09-30",2017-05-11,2017-09-29,"LTGI_LHT",NA,NA,"2017_LTGI_LHT_",NA
"2018_23W",2018,"23W","16","yearling steers","2018-05-09","2018-09-29",2018-05-10,2018-09-28,"LTGI_LHT",NA,NA,"2018_LTGI_LHT_",NA
"2019_23W",2019,"23W","17","yearling steers","2019-05-16","2019-09-28",2019-05-16,2019-09-27,"LTGI_LHT",NA,NA,"2019_LTGI_LHT_",NA
"2020_23W",2020,"23W","17","yearling steers","2020-05-14","2020-10-03",2020-05-16,2020-10-02,"LTGI_LHT",NA,NA,"2020_LTGI_LHT_",NA
"2021_23W",2021,"23W","15","yearling steers","2021-05-20","2021-10-02",2021-05-22,2021-10-01,"LTGI_LHT",NA,NA,"2021_LTGI_LHT_",NA
"2022_23W",2022,"23W","17","yearling steers","2022-05-19","2022-07-31",2022-05-23,2022-07-30,"LTGI_LHT",NA,NA,"2022_LTGI_LHT_",NA
"2023_23W",2023,"23W","13","yearling steers","2023-05-18","2023-09-30",2023-05-19,2023-09-29,"LTGI_LHT",NA,NA,"2023_LTGI_LHT_",NA
"2024_23W",2024,"23W","23","yearling steers","2024-05-16","2024-09-08",2024-05-17,2024-09-07,"LTGI_LHT",NA,NA,"2024_LTGI_LHT_",NA
