Date,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Notes
6/18/2019,21N,2,1,3,16,1,CHLE,16,6,CHLE,16,3.5,
6/18/2019,21N,2,1,6,16,2,PASM,16,5,LEDE,16,3.5,
6/18/2019,21N,2,1,9,10,3,BOGR,14,1,BOGR,12,2,
6/18/2019,21N,2,1,12,10,6,OPPO,9,2,BOGR,9.5,4,
6/18/2019,21N,2,1,15,16,3,BOGR,26,5,PASM,21,4,
6/18/2019,21N,2,1,18,37,4,PASM,19,4,ARFR,28,4,
6/18/2019,21N,2,1,21,8,3,BOGR,28,4,PASM,18,3.5,
6/18/2019,21N,2,1,24,36,17,PASM,24,1,GUSA,30,9,
6/18/2019,21N,2,2,3,11,3,VUOC,8,1,VUOC,9.5,2,
6/18/2019,21N,2,2,6,12,3,CADU,15,3,CADU,13.5,3,
6/18/2019,21N,2,2,9,11,1,BOGR,12,2,VUOC,11.5,1.5,
6/18/2019,21N,2,2,12,16,2,BOGR,7,1,BOGR,11.5,1.5,
6/18/2019,21N,2,2,15,16,2,CHLE,7,3,BOGR,11.5,2.5,
6/18/2019,21N,2,2,18,11,4,BOGR,9,2,BOGR,10,3,
6/18/2019,21N,2,2,21,8,2,BOGR,9,4,BOGR,8.5,3,
6/18/2019,21N,2,2,24,12,1,BOGR,7,1,BOGR,9.5,1,
6/18/2019,21N,2,3,3,12,1,BOGR,7,2,SPCO,9.5,1.5,
6/18/2019,21N,2,3,6,11,3,CHIN,6,1,BOGR,8.5,2,
6/18/2019,21N,2,3,9,7,2,BOGR,5,2,BOGR,6,2,
6/18/2019,21N,2,3,12,29,7,PASM,24,8,PASM,26.5,7.5,
6/18/2019,21N,2,3,15,25,8,PASM,19,1,BOGR,22,4.5,
6/18/2019,21N,2,3,18,24,3,BOGR,10,2,BOGR,17,2.5,
6/18/2019,21N,2,3,21,25,4,PASM,17,3,PASM,21,3.5,
6/18/2019,21N,2,3,24,20,5,ELEL,11,2,ELEL,15.5,3.5,
6/18/2019,21N,2,4,3,10,1,BOGR,9,1,BOGR,9.5,1,
6/18/2019,21N,2,4,6,6,2,BUDA,4,1,BUDA,5,1.5,
6/18/2019,21N,2,4,9,22,3,PASM,33,3,PASM,27.5,3,
6/18/2019,21N,2,4,12,12,1,BUDA,16,12,ERNA,14,6.5,
6/18/2019,21N,2,4,15,8,2,BOGR,10,3,VUOC,9,2.5,
6/18/2019,21N,2,4,18,13,4,OPPO,12,3,OEAL,12.5,3.5,
6/18/2019,21N,2,4,21,9,3,VUOC,10,1,VUOC,9.5,2,
6/18/2019,21N,2,4,24,17,7,IVAX,14,2,VUOC,15.5,4.5,
6/19/2019,21N,3,1,3,21,4,HECO,13,3,BOGR,17,3.5,
6/19/2019,21N,3,1,6,28,3,HECO,19,5,CHLE,23.5,4,
6/19/2019,21N,3,1,9,13,5,BOGR,6,3,BOGR,9.5,4,
6/19/2019,21N,3,1,12,5,2,CHLE,20,4,HECO,12.5,3,
6/19/2019,21N,3,1,15,13,2,OPPO,13,6,GUSA,13,4,
6/19/2019,21N,3,1,18,8,2,BOGR,6,2,BOGR,7,2,
6/19/2019,21N,3,1,21,8,1,BOGR,57,7,ORHY,32.5,4,
6/19/2019,21N,3,1,24,11,2,BOGR,14,3,OPPO,12.5,2.5,
6/19/2019,21N,3,2,3,18,6,VUOC,9,5,BOGR,13.5,5.5,
6/19/2019,21N,3,2,6,23,7,CHLE,21,5,HECO,22,6,
6/19/2019,21N,3,2,9,36,12,HECO,35,9,CHLE,35.5,10.5,
6/19/2019,21N,3,2,12,32,8,HECO,14,1,HECO,23,4.5,
6/19/2019,21N,3,2,15,48,10,CHLE,27,10,HECO,37.5,10,
6/19/2019,21N,3,2,18,24,2,BOGR,14,9,CRMI,19,5.5,
6/19/2019,21N,3,2,21,48,4,GUSA,22,14,CHLE,35,9,
6/19/2019,21N,3,2,24,25,2,CADU,15,4,CHLE,20,3,
6/19/2019,21N,3,3,3,34,4,CHLE,39,4,CRMI,36.5,4,
6/19/2019,21N,3,3,6,36,8,CRMI,41,2,CHLE,38.5,5,
6/19/2019,21N,3,3,9,30,5,OPPO,21,9,CRMI,25.5,7,
6/19/2019,21N,3,3,12,26,7,CHLE,24,10,CHLE,25,8.5,
6/19/2019,21N,3,3,15,25,8,CHLE,42,3,CHLE,33.5,5.5,
6/19/2019,21N,3,3,18,25,9,CHLE,24,12,CRMI,24.5,10.5,
6/19/2019,21N,3,3,21,30,8,PASM,46,10,CHLE,38,9,
6/19/2019,21N,3,3,24,20,4,CHLE,28,11,HECO,24,7.5,
6/19/2019,21N,3,4,3,10,2,PASM,22,6,CHLE,16,4,
6/19/2019,21N,3,4,6,34,8,CHLE,33,6,PASM,33.5,7,
6/19/2019,21N,3,4,9,45,14,CHLE,55,13,CHLE,50,13.5,
6/19/2019,21N,3,4,12,86,6,CHLE,40,16,CHLE,63,11,
6/19/2019,21N,3,4,15,66,10,PASM,65,19,CHLE,65.5,14.5,
6/19/2019,21N,3,4,18,40,22,BRTE,59,24,BRTE,49.5,23,
6/19/2019,21N,3,4,21,34,10,CHLE,26,12,CHLE,30,11,
6/19/2019,21N,3,4,24,32,9,BRTE,34,10,HECO,33,9.5,
6/19/2019,21N,4,1,3,41,13,PASM,34,15,PASM,37.5,14,
6/19/2019,21N,4,1,6,46,7,CRMI,36,5,CADU,41,6,
6/19/2019,21N,4,1,9,19,8,CRMI,26,7,CRMI,22.5,7.5,
6/19/2019,21N,4,1,12,36,10,PASM,41,13,SIAL,38.5,11.5,
6/19/2019,21N,4,1,15,33,17,BRTE,41,22,PASM,37,19.5,
6/19/2019,21N,4,1,18,29,9,BRTE,52,9,BRTE,40.5,9,
6/19/2019,21N,4,1,21,47,27,PASM,39,26,BRTE,43,26.5,
6/19/2019,21N,4,1,24,61,11,CHLE,36,16,PASM,48.5,13.5,
6/19/2019,21N,4,2,3,28,8,CHLE,38,15,CHLE,33,11.5,
6/19/2019,21N,4,2,6,31,10,PASM,34,16,CHLE,32.5,13,
6/19/2019,21N,4,2,9,32,15,PASM,26,11,PASM,29,13,
6/19/2019,21N,4,2,12,21,7,PASM,23,9,OPPO,22,8,
6/19/2019,21N,4,2,15,28,9,PASM,64,16,SIAL,46,12.5,
6/19/2019,21N,4,2,18,63,8,CHLE,46,10,PASM,54.5,9,
6/19/2019,21N,4,2,21,40,7,PASM,29,24,CHLE,34.5,15.5,
6/19/2019,21N,4,2,24,32,14,CHLE,64,11,PASM,48,12.5,
6/19/2019,21N,4,3,3,6,3,BOGR,22,10,CRMI,14,6.5,
6/19/2019,21N,4,3,6,21,3,CRMI,14,7,CRMI,17.5,5,
6/19/2019,21N,4,3,9,12,3,GUSA,35,9,CRMI,23.5,6,
6/19/2019,21N,4,3,12,15,3,ELEL,23,2,LEDE,19,2.5,
6/19/2019,21N,4,3,15,47,21,CHLE,35,6,ELEL,41,13.5,
6/19/2019,21N,4,3,18,33,11,GUSA,29,7,OPPO,31,9,
6/19/2019,21N,4,3,21,36,14,GUSA,29,4,VUOC,32.5,9,
6/19/2019,21N,4,3,24,28,5,CHLE,34,11,CHLE,31,8,
6/19/2019,21N,4,4,3,44,12,CHLE,52,11,CHLE,48,11.5,
6/19/2019,21N,4,4,6,29,14,CHLE,18,9,CRMI,23.5,11.5,
6/19/2019,21N,4,4,9,24,3,CHLE,36,5,CADU,30,4,
6/19/2019,21N,4,4,12,12,3,CRMI,12,2,BOGR,12,2.5,
6/19/2019,21N,4,4,15,10,5,CRMI,12,7,CRMI,11,6,
6/19/2019,21N,4,4,18,6,2,BOGR,17,2,BOGR,11.5,2,
6/19/2019,21N,4,4,21,23,2,BOGR,11,2,BOGR,17,2,
6/19/2019,21N,4,4,24,13,7,OPPO,39,2,BOGR,26,4.5,
6/10/2019,20SE,4,1,3,23,7,CHLE,28,9,SPAI,25.5,8,
6/10/2019,20SE,4,1,6,16,2,PASM,18,9,CHLE,17,5.5,
6/10/2019,20SE,4,1,9,26,7,PASM,25,2,PASM,25.5,4.5,
6/10/2019,20SE,4,1,12,17,4,CHLE,17,3,CHLE,17,3.5,
6/10/2019,20SE,4,1,15,20,4,SPAI,19,4,SPAI,19.5,4,
6/10/2019,20SE,4,1,18,26,4,SPAI,14,2,SPAI,20,3,
6/10/2019,20SE,4,1,21,16,0,PASM,25,3,PASM,20.5,1.5,
6/10/2019,20SE,4,1,24,10,2,CHLE,14,3,DISP,12,2.5,
6/10/2019,20SE,4,2,3,12,5,PASM,28,10,PASM,20,7.5,
6/10/2019,20SE,4,2,6,20,3,PASM,14,4,PASM,17,3.5,
6/10/2019,20SE,4,2,9,21,7,PASM,24,5,LEDE,22.5,6,
6/10/2019,20SE,4,2,12,19,5,SPAI,18,3,PASM,18.5,4,
6/10/2019,20SE,4,2,15,18,7,SPAI,21,5,SPAI,19.5,6,
6/10/2019,20SE,4,2,18,24,7,HECO,13,1,CHLE,18.5,4,
6/10/2019,20SE,4,2,21,11,2,PASM,16,3,SPAI,13.5,2.5,
6/10/2019,20SE,4,2,24,29,8,SPAI,15,2,SPAI,22,5,
6/10/2019,20SE,4,3,3,22,3,SPAI,24,7,SPAI,23,5,
6/10/2019,20SE,4,3,6,14,5,SPAI,19,8,SPAI,16.5,6.5,
6/10/2019,20SE,4,3,9,13,11,SPAI,16,9,SPAI,14.5,10,
6/10/2019,20SE,4,3,12,15,7,BRTE,19,7,SPAI,17,7,
6/10/2019,20SE,4,3,15,18,9,SPAI,12,5,BRTE,15,7,
6/10/2019,20SE,4,3,18,21,5,SPAI,41,3,SPAI,31,4,
6/10/2019,20SE,4,3,21,24,5,SPAI,21,3,PASM,22.5,4,
6/10/2019,20SE,4,3,24,23,5,SPAI,30,5,PASM,26.5,5,
6/10/2019,20SE,4,4,3,22,9,SPAI,18,1,SPAI,20,5,
6/10/2019,20SE,4,4,6,17,3,SPAI,19,5,CHLE,18,4,
6/10/2019,20SE,4,4,9,23,5,PASM,27,7,SPAI,25,6,
6/10/2019,20SE,4,4,12,23,2,PASM,18,7,SPAI,20.5,4.5,
6/10/2019,20SE,4,4,15,25,2,PASM,9,7,SPAI,17,4.5,
6/10/2019,20SE,4,4,18,12,1,DEPE,10,5,LARE,11,3,
6/10/2019,20SE,4,4,21,18,2,PASM,12,6,CHLE,15,4,
6/10/2019,20SE,4,4,24,16,3,LARE,12,5,CHLE,14,4,
6/10/2019,20SE,5,1,3,18,1,BOGR,35,6,HECO,26.5,3.5,
6/10/2019,20SE,5,1,6,7,1,BOGR,10,3,SPCO,8.5,2,
6/10/2019,20SE,5,1,9,7,2,SPCO,6,2,CADU,6.5,2,
6/10/2019,20SE,5,1,12,8,5,SPCO,10,1,CADU,9,3,
6/10/2019,20SE,5,1,15,20,6,PASM,22,2,PASM,21,4,
6/10/2019,20SE,5,1,18,28,8,SPAI,12,9,PASM,20,8.5,
6/10/2019,20SE,5,1,21,29,9,SPAI,22,9,PASM,25.5,9,
6/10/2019,20SE,5,1,24,22,9,SPAI,25,8,PASM,23.5,8.5,
6/10/2019,20SE,5,2,3,16,3,SPAI,15,7,PASM,15.5,5,
6/10/2019,20SE,5,2,6,13,5,SPAI,29,7,PASM,21,6,
6/10/2019,20SE,5,2,9,16,4,SPAI,28,5,PASM,22,4.5,
6/10/2019,20SE,5,2,12,15,9,OPPO,21,5,OPPO,18,7,
6/10/2019,20SE,5,2,15,12,4,CADU,13,5,SPCO,12.5,4.5,
6/10/2019,20SE,5,2,18,24,9,SPAI,12,3,SPAI,18,6,
6/10/2019,20SE,5,2,21,14,2,SPAI,20,6,PASM,17,4,
6/10/2019,20SE,5,2,24,14,3,PASM,24,7,PASM,19,5,
6/10/2019,20SE,5,3,3,11,2,SPAI,27,1,SPAI,19,1.5,
6/10/2019,20SE,5,3,6,6,1,SPAI,4,0,SPAI,5,0.5,
6/10/2019,20SE,5,3,9,9,0,SPAI,18,2,SPAI,13.5,1,
6/10/2019,20SE,5,3,12,10,1,CADU,21,4,SPAI,15.5,2.5,
6/10/2019,20SE,5,3,15,15,4,CRMI,16,5,SPAI,15.5,4.5,
6/10/2019,20SE,5,3,18,14,4,CHLE,14,3,SPAI,14,3.5,
6/10/2019,20SE,5,3,21,20,10,SPAI,18,1,CHLE,19,5.5,
6/10/2019,20SE,5,3,24,11,2,SPAI,5,1,CADU,8,1.5,
6/10/2019,20SE,5,4,3,22,3,PASM,24,7,PASM,23,5,
6/10/2019,20SE,5,4,6,24,4,CHLE,19,8,CHLE,21.5,6,
6/10/2019,20SE,5,4,9,24,8,OPPO,20,3,OPPO,22,5.5,
6/10/2019,20SE,5,4,12,14,5,PASM,19,7,SPAI,16.5,6,
6/10/2019,20SE,5,4,15,20,5,SPAI,21,4,SPAI,20.5,4.5,
6/10/2019,20SE,5,4,18,22,4,SPAI,28,8,PASM,25,6,
6/10/2019,20SE,5,4,21,18,3,PASM,28,9,PASM,23,6,
6/10/2019,20SE,5,4,24,19,4,PASM,26,9,PASM,22.5,6.5,
6/10/2019,20SE,1,1,3,14,7,CHLE,8,2,LEDE,11,4.5,
6/10/2019,20SE,1,1,6,12,1,HECO,20,3,HECO,16,2,
6/10/2019,20SE,1,1,9,6,1,HECO,7,0,LIT,6.5,0.5,
6/10/2019,20SE,1,1,12,16,2,HECO,1,0,LIT,8.5,1,
6/10/2019,20SE,1,1,15,5,1,CRMI,10,2,CRMI,7.5,1.5,
6/10/2019,20SE,1,1,18,8,3,SPCR,8,0,CADU,8,1.5,
6/10/2019,20SE,1,1,21,15,3,HECO,8,1,CADU,11.5,2,
6/10/2019,20SE,1,1,24,8,3,CRMI,7,2,DCR,7.5,2.5,
6/10/2019,20SE,1,2,3,23,3,HECO,12,5,HECO,17.5,4,
6/10/2019,20SE,1,2,6,12,3,HECO,21,3,HECO,16.5,3,
6/10/2019,20SE,1,2,9,12,1,HECO,15,1,HECO,13.5,1,
6/10/2019,20SE,1,2,12,17,5,HECO,11,2,HECO,14,3.5,
6/10/2019,20SE,1,2,15,3,1,CADU,7,0,BARE,5,0.5,
6/10/2019,20SE,1,2,18,7,1,CADU,11,5,HECO,9,3,
6/10/2019,20SE,1,2,21,11,2,HECO,18,3,HECO,14.5,2.5,
6/10/2019,20SE,1,2,24,14,1,HECO,13,7,LARE,13.5,4,
6/10/2019,20SE,1,3,3,23,3,HECO,26,6,HECO,24.5,4.5,
6/10/2019,20SE,1,3,6,22,7,HECO,15,2,HECO,18.5,4.5,
6/10/2019,20SE,1,3,9,28,6,HECO,19,11,HECO,23.5,8.5,
6/10/2019,20SE,1,3,12,27,5,HECO,21,6,HECO,24,5.5,
6/10/2019,20SE,1,3,15,24,4,HECO,23,9,HECO,23.5,6.5,
6/10/2019,20SE,1,3,18,28,4,HECO,13,3,HECO,20.5,3.5,
6/10/2019,20SE,1,3,21,15,6,CHLE,16,6,HECO,15.5,6,
6/10/2019,20SE,1,3,24,22,5,HECO,15,5,HECO,18.5,5,
6/10/2019,20SE,1,4,3,13,1,HECO,13,1,HECO,13,1,
6/10/2019,20SE,1,4,6,11,1,HECO,15,1,HECO,13,1,
6/10/2019,20SE,1,4,9,21,6,HECO,19,5,HECO,20,5.5,
6/10/2019,20SE,1,4,12,21,2,MEOF,21,9,CHLE,21,5.5,
6/10/2019,20SE,1,4,15,12,1,HECO,13,2,HECO,12.5,1.5,
6/10/2019,20SE,1,4,18,20,1,HECO,22,3,HECO,21,2,
6/10/2019,20SE,1,4,21,16,1,HECO,20,3,HECO,18,2,
6/10/2019,20SE,1,4,24,26,5,HECO,21,3,HECO,23.5,4,
6/7/2019,20SE,2,1,3,18,5,HECO,11,2,HECO,14.5,3.5,
6/7/2019,20SE,2,1,6,13,5,PASM,17,6,HECO,15,5.5,
6/7/2019,20SE,2,1,9,7,2,CHLE,18,7,HECO,12.5,4.5,
6/7/2019,20SE,2,1,12,14,4,HECO,9,0,BARE,11.5,2,
6/7/2019,20SE,2,1,15,9,3,SPCO,21,8,HECO,15,5.5,
6/7/2019,20SE,2,1,18,15,4,HECO,11,2,HECO,13,3,
6/7/2019,20SE,2,1,21,7,1,BOGR,9,1,HECO,8,1,
6/7/2019,20SE,2,1,24,12,7,TROC,23,8,HECO,17.5,7.5,
6/7/2019,20SE,2,2,3,15,5,PASM,24,5,HECO,19.5,5,
6/7/2019,20SE,2,2,6,9,2,PASM,6,3,CHLE,7.5,2.5,
6/7/2019,20SE,2,2,9,11,2,CHLE,5,1,BOGR,8,1.5,
6/7/2019,20SE,2,2,12,10,7,PASM,18,9,HECO,14,8,
6/7/2019,20SE,2,2,15,14,3,PASM,9,5,PASM,11.5,4,
6/7/2019,20SE,2,2,18,9,1,CHLE,12,3,PASM,10.5,2,
6/7/2019,20SE,2,2,21,8,2,CHLE,10,3,CHLE,9,2.5,
6/7/2019,20SE,2,2,24,7,2,BOGR,7,2,BOGR,7,2,
6/7/2019,20SE,2,3,3,24,9,HECO,16,7,CHLE,20,8,
6/7/2019,20SE,2,3,6,15,5,HECO,18,5,HECO,16.5,5,
6/7/2019,20SE,2,3,9,16,4,HECO,25,11,HECO,20.5,7.5,
6/7/2019,20SE,2,3,12,13,3,HECO,24,6,HECO,18.5,4.5,
6/7/2019,20SE,2,3,15,25,7,HECO,14,2,HECO,19.5,4.5,
6/7/2019,20SE,2,3,18,18,4,HECO,27,5,HECO,22.5,4.5,
6/7/2019,20SE,2,3,21,17,2,HECO,26,4,HECO,21.5,3,
6/7/2019,20SE,2,3,24,11,4,CHLE,13,2,HECO,12,3,
6/7/2019,20SE,2,4,3,20,5,HECO,20,4,HECO,20,4.5,
6/7/2019,20SE,2,4,6,19,4,HECO,17,4,HECO,18,4,
6/7/2019,20SE,2,4,9,12,4,HECO,11,5,HECO,11.5,4.5,
6/7/2019,20SE,2,4,12,13,2,HECO,15,3,HECO,14,2.5,
6/7/2019,20SE,2,4,15,5,2,LIT,19,6,HECO,12,4,
6/7/2019,20SE,2,4,18,5,3,CHLE,22,7,HECO,13.5,5,
6/7/2019,20SE,2,4,21,10,3,CHLE,18,3,HECO,14,3,
6/7/2019,20SE,2,4,24,15,3,HECO,6,2,HECO,10.5,2.5,
6/6/2019,20SE,3,1,3,11,6,HECO,3,1,HECO,7,3.5,
6/6/2019,20SE,3,1,6,20,4,HECO,5,2,CHLE,12.5,3,
6/6/2019,20SE,3,1,9,19,5,HECO,14,0,HECO,16.5,2.5,
6/6/2019,20SE,3,1,12,10,4,HECO,12,1,HECO,11,2.5,
6/6/2019,20SE,3,1,15,8,5,OPPO,10,2,BOGR,9,3.5,
6/6/2019,20SE,3,1,18,6,3,BOGR,8,1,BOGR,7,2,
6/6/2019,20SE,3,1,21,11,2,BOGR,8,1,CADU,9.5,1.5,
6/6/2019,20SE,3,1,24,8,2,CADU,8,1,CADU,8,1.5,
6/6/2019,20SE,3,2,3,17,1,MEOF,11,3,CHLE,14,2,
6/6/2019,20SE,3,2,6,12,1,HECO,9,1,HECO,10.5,1,
6/6/2019,20SE,3,2,9,2,2,CRMI,9,3,HECO,5.5,2.5,
6/6/2019,20SE,3,2,12,12,4,HECO,12,5,HECO,12,4.5,
6/6/2019,20SE,3,2,15,16,3,HECO,7,3,CADU,11.5,3,
6/6/2019,20SE,3,2,18,8,1,CADU,6,3,CADU,7,2,
6/6/2019,20SE,3,2,21,7,1,CADU,7,2,CADU,7,1.5,
6/6/2019,20SE,3,2,24,8,1,CADU,7,1,CHLE,7.5,1,
6/6/2019,20SE,3,3,3,19,8,HECO,12,3,HECO,15.5,5.5,
6/6/2019,20SE,3,3,6,33,4,HECO,15,3,CHLE,24,3.5,
6/6/2019,20SE,3,3,9,26,5,HECO,13,5,HECO,19.5,5,
6/6/2019,20SE,3,3,12,24,7,HECO,25,7,HECO,24.5,7,
6/6/2019,20SE,3,3,15,19,5,HECO,20,7,HECO,19.5,6,
6/6/2019,20SE,3,3,18,21,1,HECO,16,1,HECO,18.5,1,
6/6/2019,20SE,3,3,21,16,3,CHLE,14,3,CHLE,15,3,
6/6/2019,20SE,3,3,24,12,2,HECO,28,11,HECO,20,6.5,
6/6/2019,20SE,3,4,3,12,2,CADU,17,5,HECO,14.5,3.5,
6/6/2019,20SE,3,4,6,9,2,CADU,21,3,HECO,15,2.5,
6/6/2019,20SE,3,4,9,3,2,CHLE,4,1,CHLE,3.5,1.5,
6/6/2019,20SE,3,4,12,4,1,BOGR,3,1,BOGR,3.5,1,
6/6/2019,20SE,3,4,15,27,5,HECO,8,1,CHLE,17.5,3,
6/6/2019,20SE,3,4,18,15,4,HECO,17,4,HECO,16,4,
6/6/2019,20SE,3,4,21,6,1,CHLE,11,3,HECO,8.5,2,
6/6/2019,20SE,3,4,24,19,1,HECO,7,1,BOGR,13,1,
6/6/2019,20SE,6,1,3,4,1,BOGR,16,1,BOGR,10,1,
6/6/2019,20SE,6,1,6,12,2,BOGR,14,2,PASM,13,2,
6/6/2019,20SE,6,1,9,15,1,BOGR,11,2,PASM,13,1.5,
6/6/2019,20SE,6,1,12,18,2,BOGR,9,2,BOGR,13.5,2,
6/6/2019,20SE,6,1,15,18,1,CHIN,20,3,PASM,19,2,
6/6/2019,20SE,6,1,18,5,1,BOGR,12,3,PASM,8.5,2,
6/6/2019,20SE,6,1,21,17,1,PASM,13,5,PASM,15,3,
6/6/2019,20SE,6,1,24,10,1,BOGR,11,4,CHLE,10.5,2.5,
6/6/2019,20SE,6,2,3,4,2,SPCO,2,1,BOGR,3,1.5,
6/6/2019,20SE,6,2,6,1,1,BOGR,5,2,BOGR,3,1.5,
6/6/2019,20SE,6,2,9,7,3,BOGR,5,1,BOGR,6,2,
6/6/2019,20SE,6,2,12,6,3,BOGR,3,2,BOGR,4.5,2.5,
6/6/2019,20SE,6,2,15,11,4,BOGR,10,4,PIOP,10.5,4,
6/6/2019,20SE,6,2,18,11,4,SCBR,11,3,PASM,11,3.5,
6/6/2019,20SE,6,2,21,12,1,BOGR,13,4,EREF,12.5,2.5,
6/6/2019,20SE,6,2,24,15,5,EREF,14,5,EREF,14.5,5,
6/6/2019,20SE,6,3,3,11,4,EREF,5,3,BOGR,8,3.5,
6/6/2019,20SE,6,3,6,5,3,BOGR,10,3,BOGR,7.5,3,
6/6/2019,20SE,6,3,9,11,3,BOGR,11,3,CHIN,11,3,
6/6/2019,20SE,6,3,12,17,3,PASM,16,1,PASM,16.5,2,
6/6/2019,20SE,6,3,15,7,1,BOGR,17,2,PASM,12,1.5,
6/6/2019,20SE,6,3,18,7,5,OPPO,12,3,OPPO,9.5,4,
6/6/2019,20SE,6,3,21,13,5,PASM,12,1,PASM,12.5,3,
6/6/2019,20SE,6,3,24,5,2,BOGR,5,3,BOGR,5,2.5,
6/6/2019,20SE,6,4,3,20,6,BOGR,7,4,CRMI,13.5,5,
6/6/2019,20SE,6,4,6,4,2,BOGR,2,0,BOGR,3,1,
6/6/2019,20SE,6,4,9,6,3,BOGR,7,5,SPCO,6.5,4,
6/6/2019,20SE,6,4,12,7,4,BOGR,9,5,BOGR,8,4.5,
6/6/2019,20SE,6,4,15,6,3,BOGR,4,1,BOGR,5,2,
6/6/2019,20SE,6,4,18,12,4,PASM,13,2,BOGR,12.5,3,
6/6/2019,20SE,6,4,21,6,3,BOGR,11,4,BOGR,8.5,3.5,
6/6/2019,20SE,6,4,24,12,3,PASM,10,3,BOGR,11,3,
6/10/2019,7NW,1,1,3,7,2,BOGR,5,1,BOGR,6,1.5,
6/10/2019,7NW,1,1,6,7,4,CRMI,6,2,BOGR,6.5,3,
6/10/2019,7NW,1,1,9,8,2,CRMI,9,2,BOGR,8.5,2,
6/10/2019,7NW,1,1,12,10,2,BOGR,12,3,LARE,11,2.5,
6/10/2019,7NW,1,1,15,4,1,CRMI,3,2,LARE,3.5,1.5,
6/10/2019,7NW,1,1,18,3,1,BOGR,11,2,CRMI,7,1.5,
6/10/2019,7NW,1,1,21,19,2,CRMI,15,3,PASM,17,2.5,
6/10/2019,7NW,1,1,24,20,2,PASM,10,1,SPCO,15,1.5,
6/10/2019,7NW,1,2,3,19,2,PASM,22,5,PASM,20.5,3.5,
6/10/2019,7NW,1,2,6,13,2,PASM,15,1,BOGR,14,1.5,
6/10/2019,7NW,1,2,9,18,2,PASM,21,3,PASM,19.5,2.5,
6/10/2019,7NW,1,2,12,14,2,PASM,15,3,PASM,14.5,2.5,
6/10/2019,7NW,1,2,15,18,3,EREF,20,5,PASM,19,4,
6/10/2019,7NW,1,2,18,15,1,PASM,24,3,BOGR,19.5,2,
6/10/2019,7NW,1,2,21,15,2,OPPO,5,1,BOGR,10,1.5,
6/10/2019,7NW,1,2,24,23,4,PASM,8,3,BOGR,15.5,3.5,
6/10/2019,7NW,1,3,3,23,5,PASM,21,8,PASM,22,6.5,
6/10/2019,7NW,1,3,6,30,5,PASM,25,4,PASM,27.5,4.5,
6/10/2019,7NW,1,3,9,16,1,PASM,22,3,HECO,19,2,
6/10/2019,7NW,1,3,12,32,5,PASM,27,3,HECO,29.5,4,
6/10/2019,7NW,1,3,15,19,2,PASM,21,3,PASM,20,2.5,
