Year,Pasture,Plot,Transect , Distance,East-High,East-Low,East-Spp,West-High,West-Low,West-Spp,Average High,Average Low,Notes,,,,
2017,10S,2,3,3,26,4,PASM,22,10,PASM,24,7,,,,,
2017,10S,2,3,6,23,8,PASM,18,5,PASM,20.5,6.5,,,,,
2017,10S,2,3,9,13,4,PASM,21,6,ELEL,17,5,,,,,
2017,10S,2,3,12,19,4,PASM,15,4,PASM,17,4,,,,,
2017,10S,2,3,15,23,5,ELEL,14,6,CADU,18.5,5.5,,,,,
2017,10S,2,3,18,28,10,ARFR,28,6,ARFR,28,8,,,,,
2017,10S,2,3,21,16,4,ARFR,10,3,SPCO,13,3.5,,,,,
2017,10S,2,3,24,7,3,BOGR,16,4,ELEL,11.5,3.5,,,,,
2017,10S,2,4,3,22,6,OPPO,18,8,OPPO,20,7,,,,,
2017,10S,2,4,6,17,5,BOGR,21,9,CADU,19,7,,,,,
2017,10S,2,4,9,18,4,BOGR,16,7,CADU,17,5.5,,,,,
2017,10S,2,4,12,14,3,SPCO,16,4,BOGR,15,3.5,,,,,
2017,10S,2,4,15,16,4,BOGR,16,9,CRMI,16,6.5,,,,,
2017,10S,2,4,18,14,5,BOGR,14,5,BOGR,14,5,,,,,
2017,10S,2,4,21,29,5,PASM,23,5,PASM,26,5,,,,,
2017,10S,2,4,24,12,4,BOGR,24,5,OPPO,18,4.5,,,,,
2017,10S,3,1,3,25,5,PASM,20,3,PSTE,22.5,4,,,,,
2017,10S,3,1,6,26,5,PASM,26,9,PASM,26,7,,,,,
2017,10S,3,1,9,22,2,BUDA,20,4,ARFR,21,3,,,,,
2017,10S,3,1,12,18,2,PASM,21,3,PASM,19.5,2.5,,,,,
2017,10S,3,1,15,20,3,BUDA,22,2,BUDA,21,2.5,,,,,
2017,10S,3,1,18,12,3,BUDA,11,2,BUDA,11.5,2.5,,,,,
2017,10S,3,1,21,6,2,BUDA,9,3,BUDA,7.5,2.5,,,,,
2017,10S,3,1,24,22,5,PASM,19,7,PASM,20.5,6,,,,,
2017,10S,3,2,3,8,3,BUDA,9,5,BOGR,8.5,4,,,,,
2017,10S,3,2,6,11,4,BOGR,15,4,BOGR,13,4,,,,,
2017,10S,3,2,9,10,4,BOGR,9,3,BOGR,9.5,3.5,,,,,
2017,10S,3,2,12,9,2,BOGR,11,4,BOGR,10,3,,,,,
2017,10S,3,2,15,11,2,EREF,20,15,EREF,15.5,8.5,,,,,
2017,10S,3,2,18,19,3,BOGR,8,4,ARFR,13.5,3.5,,,,,
2017,10S,3,2,21,8,3,BUDA,7,3,BOGR,7.5,3,,,,,
2017,10S,3,2,24,9,2,BOGR,6,2,BOGR,7.5,2,,,,,
2017,10S,3,3,3,22,6,PASM,13,3,BOGR,17.5,4.5,stake replaced,,,,
2017,10S,3,3,6,15,2,BOGR,12,4,CADU,13.5,3,,,,,
2017,10S,3,3,9,10,5,BOGR,10,3,CADU,10,4,,,,,
2017,10S,3,3,12,11,3,BOGR,15,4,CADU,13,3.5,,,,,
2017,10S,3,3,15,10,5,CADU,28,8,PASM,19,6.5,,,,,
2017,10S,3,3,18,14,4,BOGR,22,7,PASM,18,5.5,,,,,
2017,10S,3,3,21,29,20,PASM,40,7,PASM,34.5,13.5,,,,,
2017,10S,3,3,24,33,10,PASM,33,8,PASM,33,9,,,,,
2017,10S,3,4,3,29,7,PASM,18,3,BOGR,23.5,5,,,,,
2017,10S,3,4,6,15,5,BOGR,10,3,BOGR,12.5,4,,,,,
2017,10S,3,4,9,24,2,BOGR,25,1,CADU,24.5,1.5,,,,,
2017,10S,3,4,12,17,5,CADU,12,3,CADU,14.5,4,,,,,
2017,10S,3,4,15,31,3,CADU,22,3,CADU,26.5,3,,,,,
2017,10S,3,4,18,10,2,CADU,14,3,CADU,12,2.5,,,,,
2017,10S,3,4,21,26,8,PASM,22,5,PASM,24,6.5,,,,,
2017,10S,3,4,24,14,3,CADU,14,3,CADU,14,3,,,,,
2017,10S,4,1,3,21,4,BOGR,23,3,BOGR,22,3.5,,,,,
2017,10S,4,1,6,14,2,BOGR,12,2,BOGR,13,2,,,,,
2017,10S,4,1,9,10,3,BOGR,16,3,ELEL,13,3,,,,,
2017,10S,4,1,12,10,2,BOGR,14,3,ARFR,12,2.5,,,,,
2017,10S,4,1,15,24,9,ARFR,10,2,CADU,17,5.5,,,,,
2017,10S,4,1,18,18,5,ELEL,12,2,BOGR,15,3.5,,,,,
2017,10S,4,1,21,15,2,BOGR,20,3,ELEL,17.5,2.5,,,,,
2017,10S,4,1,24,24,6,ARFR,16,4,CADU,20,5,,,,,
2017,10S,4,2,3,11,4,BOGR,11,4,VUOC,11,4,,,,,
2017,10S,4,2,6,14,5,BOGR,20,4,VUOC,17,4.5,,,,,
2017,10S,4,2,9,13,3,VUOC,7,3,BOGR,10,3,,,,,
2017,10S,4,2,12,30,8,ELEL,24,6,ELEL,27,7,,,,,
2017,10S,4,2,15,19,6,ELEL,24,9,ELEL,21.5,7.5,,,,,
2017,10S,4,2,18,20,3,VUOC,20,2,VUOC,20,2.5,,,,,
2017,10S,4,2,21,8,3,BOGR,11,2,BOGR,9.5,2.5,,,,,
2017,10S,4,2,24,16,6,ARFR,10,3,PASM,13,4.5,,,,,
2017,10S,4,3,3,34,3,VUOC,11,4,BOGR,22.5,3.5,,,,,
2017,10S,4,3,6,8,1,BOGR,18,3,VUOC,13,2,,,,,
2017,10S,4,3,9,15,4,BOGR,9,3,BOGR,12,3.5,,,,,
2017,10S,4,3,12,24,7,ATCA,29,11,ELEL,26.5,9,,,,,
2017,10S,4,3,15,12,4,BOGR,11,5,BOGR,11.5,4.5,,,,,
2017,10S,4,3,18,13,6,ELEL,11,4,BOGR,12,5,,,,,
2017,10S,4,3,21,18,3,ELEL,15,5,BOGR,16.5,4,,,,,
2017,10S,4,3,24,29,3,ELEL,30,4,ARFR,29.5,3.5,,,,,
2017,10S,4,4,3,43,6,PASM,15,4,CADU,29,5,,,,,
2017,10S,4,4,6,28,6,PASM,28,7,PASM,28,6.5,,,,,
2017,10S,4,4,9,25,4,CADU,20,7,PASM,22.5,5.5,,,,,
2017,10S,4,4,12,21,5,PASM,15,3,ARPU,18,4,,,,,
2017,10S,4,4,15,21,9,PASM,28,3,PASM,24.5,6,,,,,
2017,10S,4,4,18,10,2,BOGR,10,3,BOGR,10,2.5,,,,,
2017,10S,4,4,21,15,6,VUOC,24,2,VUOC,19.5,4,,,,,
2017,10S,4,4,24,21,7,PASM,24,5,PASM,22.5,6,,,,,
2017,31W,1,1,3,9,7,OPPO,4,1,BOGR,6.5,4,,,,,
2017,31W,1,1,6,13,6,BOGR,7,3,BOGR,10,4.5,,,,,
2017,31W,1,1,9,20,2,PASM,13,7,OPPO,16.5,4.5,,,,,
2017,31W,1,1,12,11,4,BOGR,11,4,BOGR,11,4,,,,,
2017,31W,1,1,15,7,1,BOGR,8,3,BOGR,7.5,2,,,,,
2017,31W,1,1,18,8,2,EVNU,7,2,BOGR,7.5,2,,,,,
2017,31W,1,1,21,16,9,OPPO,5,3,BOGR,10.5,6,,,,,
2017,31W,1,1,24,10,2,CADU,11,3,CADU,10.5,2.5,,,,,
2017,31W,1,2,3,20,8,HECO,8,6,CRMI,14,7,,,,,
2017,31W,1,2,6,16,4,CRMI,46,22,HECO,31,13,,,,,
2017,31W,1,2,9,14,4,EREF,12,6,PLPA,13,5,,,,,
2017,31W,1,2,12,12,2,CRMI,10,6,BOGR,11,4,,,,,
2017,31W,1,2,15,68,42,YUGL,10,6,CRMI,39,24,,,,,
2017,31W,1,2,18,12,10,CRMI,12,10,CRMI,12,10,,,,,
2017,31W,1,2,21,10,4,BOGR,12,10,LEDE,11,7,,,,,
2017,31W,1,2,24,22,6,CRMI,10,6,CRMI,16,6,,,,,
2017,31W,1,3,3,6,0,BARE,17,3,BOGR,11.5,1.5,,,,,
2017,31W,1,3,6,16,4,CADU,13,8,SPCO,14.5,6,,,,,
2017,31W,1,3,9,23,5,ARPU,10,5,BOGR,16.5,5,,,,,
2017,31W,1,3,12,8,2,CRMI,16,6,SPCO,12,4,,,,,
2017,31W,1,3,15,12,6,SPCO,14,4,BOGR,13,5,,,,,
2017,31W,1,3,18,6,1,BOGR,9,3,SPCO,7.5,2,,,,,
2017,31W,1,3,21,14,3,ELEL,14,7,CADU,14,5,,,,,
2017,31W,1,3,24,8,3,SPCO,11,9,SPCO,9.5,6,,,,,
2017,31W,1,4,3,6,1,BOGR,7,2,BOGR,6.5,1.5,,,,,
2017,31W,1,4,6,14,4,BOGR,21,6,PASM,17.5,5,,,,,
2017,31W,1,4,9,13,6,PASM,15,5,PASM,14,5.5,,,,,
2017,31W,1,4,12,11,4,BOGR,7,3,BOGR,9,3.5,,,,,
2017,31W,1,4,15,10,2,BOGR,11,3,VUOC,10.5,2.5,,,,,
2017,31W,1,4,18,23,8,ELEL,7,2,LEDE,15,5,,,,,
2017,31W,1,4,21,12,4,BOGR,13,4,BOGR,12.5,4,,,,,
2017,31W,1,4,24,8,1,BOGR,14,5,BOGR,11,3,,,,,
2017,31W,2,1,3,8,1,BUDA,5,1,BUDA,6.5,1,,,,,
2017,31W,2,1,6,7,3,BOGR,4,1,BOGR,5.5,2,,,,,
2017,31W,2,1,9,8,3,BOGR,3,0,BARE,5.5,1.5,,,,,
2017,31W,2,1,12,6,1,BOGR,4,1,BUDA,5,1,,,,,
2017,31W,2,1,15,77,3,BUDA,13,2,HECO,45,2.5,,,,,
2017,31W,2,1,18,5,2,BOGR,8,1,BUDA,6.5,1.5,,,,,
2017,31W,2,1,21,8,2,BOGR,7,2,BOGR,7.5,2,,,,,
2017,31W,2,1,24,5,2,BUDA,5,1,BUDA,5,1.5,,,,,
2017,31W,2,2,3,8,3,BOGR,4,1,BUDA,6,2,,,,,
2017,31W,2,2,6,11,3,CADU,8,3,BOGR,9.5,3,,,,,
2017,31W,2,2,9,3,1,BOGR,12,2,BUDA,7.5,1.5,,,,,
2017,31W,2,2,12,6,1,BOGR,20,8,ARPU,13,4.5,,,,,
2017,31W,2,2,15,14,3,BOGR,12,2,TRDU,13,2.5,,,,,
2017,31W,2,2,18,11,3,BOGR,8,2,BUDA,9.5,2.5,,,,,
2017,31W,2,2,21,13,3,BOGR,6,0,BARE,9.5,1.5,,,,,
2017,31W,2,2,24,12,2,BOGR,10,3,BOGR,11,2.5,,,,,
2017,31W,2,3,3,8,6,BOGR,14,3,BOGR,11,4.5,,,,,
2017,31W,2,3,6,22,14,ARPU,32,11,ARPU,27,12.5,,,,,
2017,31W,2,3,9,16,14,BOGR,13,4,BOGR,14.5,9,,,,,
2017,31W,2,3,12,14,10,BOGR,12,2,BOGR,13,6,,,,,
2017,31W,2,3,15,10,4,PLPA,11,3,BOGR,10.5,3.5,,,,,
2017,31W,2,3,18,12,10,SPCO,10,3,PLPA,11,6.5,,,,,
2017,31W,2,3,21,20,12,BOGR,16,2,BOGR,18,7,,,,,
2017,31W,2,3,24,8,0,BARE,10,3,CRMI,9,1.5,,,,,
2017,31W,2,4,3,34,9,ATCA,12,5,BOGR,23,7,,,,,
2017,31W,2,4,6,13,5,CRMI,10,5,BOGR,11.5,5,,,,,
2017,31W,2,4,9,12,3,BOGR,18,7,ATCA,15,5,,,,,
2017,31W,2,4,12,17,4,BOGR,6,1,PIOP,11.5,2.5,,,,,
2017,31W,2,4,15,13,2,BOGR,11,3,BOGR,12,2.5,,,,,
2017,31W,2,4,18,12,3,BOGR,6,2,BOGR,9,2.5,,,,,
2017,31W,2,4,21,14,2,CADU,12,3,CADU,13,2.5,,,,,
2017,31W,2,4,24,7,1,BUDA,8,2,BUDA,7.5,1.5,,,,,
2017,31W,3,1,3,13,3,BOGR,9,1,BOGR,11,2,,,,,
2017,31W,3,1,6,12,3,BOGR,12,1,BOGR,12,2,,,,,
2017,31W,3,1,9,10,3,BOGR,10,3,BOGR,10,3,,,,,
2017,31W,3,1,12,12,3,CRMI,11,2,SIAL,11.5,2.5,,,,,
2017,31W,3,1,15,14,4,BOGR,12,3,BOGR,13,3.5,,,,,
2017,31W,3,1,18,8,3,BOGR,8,2,BOGR,8,2.5,,,,,
2017,31W,3,1,21,24,5,PASM,13,7,SPCO,18.5,6,,,,,
2017,31W,3,1,24,21,6,PASM,29,7,PASM,25,6.5,,,,,
2017,31W,3,2,3,6,2,BUDA,13,3,BUDA,9.5,2.5,,,,,
2017,31W,3,2,6,18,2,PASM,6,2,BUDA,12,2,,,,,
2017,31W,3,2,9,11,6,BOGR,9,2,PASM,10,4,,,,,
2017,31W,3,2,12,16,6,BOGR,14,2,ELEL,15,4,,,,,
2017,31W,3,2,15,22,2,TROC,12,2,PSTE,17,2,,,,,
2017,31W,3,2,18,41,33,ATCA,13,2,PASM,27,17.5,,,,,
2017,31W,3,2,21,19,8,PASM,11,3,PASM,15,5.5,,,,,
2017,31W,3,2,24,31,10,PASM,31,10,PASM,31,10,,,,,
2017,31W,3,3,3,23,2,PASM,26,9,PASM,24.5,5.5,,,,,
2017,31W,3,3,6,23,9,PASM,30,17,PASM,26.5,13,,,,,
2017,31W,3,3,9,34,8,PASM,27,8,PASM,30.5,8,,,,,
2017,31W,3,3,12,6,2,CRMI,8,2,BOGR,7,2,,,,,
2017,31W,3,3,15,11,3,CRMI,9,3,OECO,10,3,,,,,
2017,31W,3,3,18,13,2,SPCO,7,3,CADU,10,2.5,,,,,
2017,31W,3,3,21,18,3,CRMI,8,2,BOGR,13,2.5,,,,,
2017,31W,3,3,24,32,9,PASM,32,3,PASM,32,6,,,,,
2017,31W,3,4,3,24,7,OPPO,6,1,SPCO,15,4,,,,,
2017,31W,3,4,6,12,6,BOGR,10,4,BOGR,11,5,,,,,
2017,31W,3,4,9,21,4,BOGR,15,2,BOGR,18,3,,,,,
2017,31W,3,4,12,8,2,ELEL,17,4,ELEL,12.5,3,,,,,
2017,31W,3,4,15,7,2,BOGR,11,3,BOGR,9,2.5,,,,,
2017,31W,3,4,18,10,4,BOGR,6,3,CRMI,8,3.5,,,,,
2017,31W,3,4,21,14,4,BOGR,10,3,BOGR,12,3.5,,,,,
2017,31W,3,4,24,15,2,BOGR,16,4,BUDA,15.5,3,,,,,
2017,31W,4,1,3,7,2,BOGR,6,1,BOGR,6.5,1.5,road,,,,
2017,31W,4,1,6,25,10,PASM,26,4,PASM,25.5,7,,,,,
2017,31W,4,1,9,38,11,PASM,20,8,PASM,29,9.5,,,,,
2017,31W,4,1,12,26,3,PASM,25,8,PASM,25.5,5.5,,,,,
2017,31W,4,1,15,31,4,PASM,34,9,PASM,32.5,6.5,,,,,
2017,31W,4,1,18,32,8,PASM,29,7,PASM,30.5,7.5,,,,,
2017,31W,4,1,21,30,3,PASM,21,9,PASM,25.5,6,,,,,
2017,31W,4,1,24,29,6,PASM,30,3,PASM,29.5,4.5,,,,,
2017,31W,4,2,3,35,3,SIAL,35,5,PASM,35,4,,,,,
2017,31W,4,2,6,24,7,PASM,21,5,PASM,22.5,6,,,,,
2017,31W,4,2,9,26,6,PASM,22,3,PASM,24,4.5,,,,,
2017,31W,4,2,12,30,16,PASM,30,9,PASM,30,12.5,,,,,
2017,31W,4,2,15,28,12,PASM,25,15,PASM,26.5,13.5,,,,,
2017,31W,4,2,18,25,13,PASM,25,12,PASM,25,12.5,,,,,
2017,31W,4,2,21,27,8,PASM,24,3,PASM,25.5,5.5,,,,,
2017,31W,4,2,24,34,5,PASM,35,15,PASM,34.5,10,,,,,
2017,31W,4,3,3,36,23,ATCA,28,5,PASM,32,14,,,,,
2017,31W,4,3,6,9,4,CRMI,28,14,ATCA,18.5,9,,,,,
2017,31W,4,3,9,18,3,CRMI,13,5,PIOP,15.5,4,,,,,
2017,31W,4,3,12,31,11,ELEL,22,5,OPPO,26.5,8,,,,,
2017,31W,4,3,15,27,7,PASM,28,9,PASM,27.5,8,,,,,
2017,31W,4,3,18,16,2,BOGR,19,2,BOGR,17.5,2,,,,,
2017,31W,4,3,21,22,4,OPPO,26,4,PASM,24,4,,,,,
2017,31W,4,3,24,25,8,PSTE,23,4,PASM,24,6,,,,,
2017,31W,4,4,3,39,2,PASM,30,4,PASM,34.5,3,,,,,
2017,31W,4,4,6,37,10,PASM,27,9,PASM,32,9.5,,,,,
2017,31W,4,4,9,20,6,HECO,19,4,PASM,19.5,5,,,,,
2017,31W,4,4,12,20,11,KRLA,18,2,PASM,19,6.5,,,,,
2017,31W,4,4,15,25,5,PIOP,26,6,PASM,25.5,5.5,,,,,
2017,31W,4,4,18,25,9,PASM,27,6,PASM,26,7.5,,,,,
2017,31W,4,4,21,29,6,PASM,19,1,PASM,24,3.5,,,,,
2017,31W,4,4,24,17,2,PASM,34,10,PASM,25.5,6,,,,,
2017,26E,1,1,3,7,3,SPCO,10,2,SPCO,8.5,2.5,,,,,
2017,26E,1,1,6,31,6,ARPU,20,5,ARPU,25.5,5.5,,,,,
2017,26E,1,1,9,7,2,BOGR,7,1,BOGR,7,1.5,,,,,
2017,26E,1,1,12,9,2,BOGR,6,1,BOGR,7.5,1.5,,,,,
2017,26E,1,1,15,10,2,BOGR,10,1,BOGR,10,1.5,,,,,
2017,26E,1,1,18,10,3,BOGR,6,1,BOGR,8,2,,,,,
2017,26E,1,1,21,8,2,BOGR,10,3,BOGR,9,2.5,,,,,
2017,26E,1,1,24,6,2,PASM,15,1,BOGR,10.5,1.5,,,,,
2017,26E,1,2,3,20,2,BOGR,46,4,CADU,33,3,,,,,
2017,26E,1,2,6,12,1,CADU,18,3,CADU,15,2,,,,,
2017,26E,1,2,9,26,6,PASM,23,6,ARPU,24.5,6,,,,,
2017,26E,1,2,12,23,4,BOGR,24,8,BOGR,23.5,6,,,,,
2017,26E,1,2,15,21,4,PASM,23,3,BOGR,22,3.5,,,,,
2017,26E,1,2,18,13,4,BOGR,20,6,PASM,16.5,5,,,,,
2017,26E,1,2,21,24,4,BOGR,10,2,BOGR,17,3,,,,,
2017,26E,1,2,24,30,8,PASM,22,4,BOGR,26,6,,,,,
2017,26E,1,3,3,17,4,BOGR,18,3,CADU,17.5,3.5,,,,,
2017,26E,1,3,6,15,4,BOGR,17,1,SPCO,16,2.5,,,,,
2017,26E,1,3,9,15,2,CADU,10,3,BOGR,12.5,2.5,,,,,
2017,26E,1,3,12,16,2,BOGR,21,2,ARPU,18.5,2,,,,,
2017,26E,1,3,15,15,4,EREF,19,2,BOGR,17,3,,,,,
2017,26E,1,3,18,15,10,GUSA,14,3,CADU,14.5,6.5,,,,,
2017,26E,1,3,21,13,5,BOGR,14,2,BOGR,13.5,3.5,,,,,
2017,26E,1,3,24,10,4,SPCO,14,2,SPCO,12,3,,,,,
2017,26E,1,4,3,18,5,CADU,17,2,CADU,17.5,3.5,,,,,
2017,26E,1,4,6,9,3,BOGR,12,3,BOGR,10.5,3,,,,,
2017,26E,1,4,9,15,4,BOGR,4,1,BOGR,9.5,2.5,,,,,
2017,26E,1,4,12,13,5,BOGR,16,4,BOGR,14.5,4.5,,,,,
2017,26E,1,4,15,8,2,BOGR,14,6,BOGR,11,4,,,,,
2017,26E,1,4,18,14,3,BOGR,16,4,BOGR,15,3.5,,,,,
2017,26E,1,4,21,17,5,CADU,16,1,BOGR,16.5,3,,,,,
2017,26E,1,4,24,11,3,CADU,15,4,BOGR,13,3.5,,,,,
2017,26E,2,1,3,11,4,BOGR,20,7,GUSA,15.5,5.5,,,,,
2017,26E,2,1,6,22,1,PASM,20,1,PASM,21,1,,,,,
2017,26E,2,1,9,15,5,GUSA,16,4,PSTE,15.5,4.5,,,,,
2017,26E,2,1,12,13,4,PASM,20,1,BOGR,16.5,2.5,,,,,
2017,26E,2,1,15,20,3,ARFR,14,1,BUDA,17,2,,,,,
2017,26E,2,1,18,17,4,HEVI,12,1,ARPU,14.5,2.5,,,,,
2017,26E,2,1,21,15,2,ARFR,8,2,HECO,11.5,2,,,,,
2017,26E,2,1,24,14,4,ARFR,11,2,BOGR,12.5,3,,,,,
2017,26E,2,2,3,22,4,PASM,27,2,PASM,24.5,3,,,,,
2017,26E,2,2,6,25,5,BOGR,22,2,BOGR,23.5,3.5,,,,,
2017,26E,2,2,9,15,4,BUDA,16,3,PASM,15.5,3.5,,,,,
2017,26E,2,2,12,24,5,ARPU,12,4,BOGR,18,4.5,,,,,
2017,26E,2,2,15,12,5,ELEL,13,3,BOGR,12.5,4,,,,,
2017,26E,2,2,18,12,2,CADU,6,1,BOGR,9,1.5,,,,,
2017,26E,2,2,21,12,3,BOGR,15,6,GUSA,13.5,4.5,,,,,
2017,26E,2,2,24,23,3,ARFR,25,2,PASM,24,2.5,,,,,
2017,26E,2,3,3,12,2,CADU,8,1,BOGR,10,1.5,,,,,
2017,26E,2,3,6,10,4,BOGR,12,3,SPCO,11,3.5,,,,,
2017,26E,2,3,9,12,3,BOGR,18,3,EREF,15,3,,,,,
2017,26E,2,3,12,14,5,BOGR,15,2,BOGR,14.5,3.5,,,,,
2017,26E,2,3,15,11,2,SPCO,15,5,SPCR,13,3.5,,,,,
2017,26E,2,3,18,21,5,BOGR,10,3,BOGR,15.5,4,,,,,
2017,26E,2,3,21,9,3,BOGR,8,2,BOGR,8.5,2.5,,,,,
2017,26E,2,3,24,3,1,BOGR,9,3,BOGR,6,2,,,,,
2017,26E,2,4,3,18,4,BOGR,30,9,SPCR,24,6.5,,,,,
2017,26E,2,4,6,12,3,BOGR,9,1,HECO,10.5,2,,,,,
2017,26E,2,4,9,14,2,BOGR,16,1,BOGR,15,1.5,,,,,
2017,26E,2,4,12,6,2,BOGR,7,1,BOGR,6.5,1.5,,,,,
2017,26E,2,4,15,12,6,GUSA,13,1,BOGR,12.5,3.5,,,,,
2017,26E,2,4,18,16,4,BOGR,10,2,BOGR,13,3,,,,,
2017,26E,2,4,21,11,3,BOGR,10,2,BOGR,10.5,2.5,,,,,
2017,26E,2,4,24,6,1,BOGR,12,4,BOGR,9,2.5,,,,,
2017,26E,3,1,3,8,2,BUDA,15,5,ARPU,11.5,3.5,,,,,
2017,26E,3,1,6,12,2,BOGR,16,4,BOGR,14,3,,,,,
2017,26E,3,1,9,8,2,BOGR,6,2,BOGR,7,2,,,,,
2017,26E,3,1,12,9,1,BOGR,7,2,BOGR,8,1.5,,,,,
2017,26E,3,1,15,10,2,BOGR,10,3,BOGR,10,2.5,,,,,
2017,26E,3,1,18,12,2,BOGR,11,3,BOGR,11.5,2.5,,,,,
2017,26E,3,1,21,15,1,BOGR,7,3,BOGR,11,2,,,,,
2017,26E,3,1,24,12,1,BOGR,7,2,BOGR,9.5,1.5,,,,,
2017,26E,3,2,3,10,3,BOGR,13,4,BOGR,11.5,3.5,,,,,
2017,26E,3,2,6,10,3,BOGR,10,2,BOGR,10,2.5,,,,,
2017,26E,3,2,9,10,2,BOGR,11,3,BOGR,10.5,2.5,,,,,
2017,26E,3,2,12,16,4,BOGR,10,4,BOGR,13,4,,,,,
2017,26E,3,2,15,10,2,BOGR,15,4,BOGR,12.5,3,,,,,
2017,26E,3,2,18,10,3,CADU,8,2,BOGR,9,2.5,,,,,
2017,26E,3,2,21,18,2,BOGR,11,3,BOGR,14.5,2.5,,,,,
2017,26E,3,2,24,10,2,BOGR,11,2,BOGR,10.5,2,,,,,
2017,26E,3,3,3,11,2,BOGR,12,4,BOGR,11.5,3,,,,,
2017,26E,3,3,6,12,4,BOGR,14,4,BOGR,13,4,,,,,
2017,26E,3,3,9,12,2,BOGR,12,2,BOGR,12,2,,,,,
2017,26E,3,3,12,10,1,BOGR,10,1,BOGR,10,1,,,,,
2017,26E,3,3,15,10,0,BOGR,12,1,BOGR,11,0.5,,,,,
2017,26E,3,3,18,8,1,BOGR,10,2,SPCO,9,1.5,,,,,
2017,26E,3,3,21,11,1,BOGR,9,3,BOGR,10,2,,,,,
