Date,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow
6/16/20,23E,4,3,6,6,4,oppo,5,1,bogr,5.5,2.5
6/16/20,23E,4,3,9,3,2,bogr,3,2,bogr,3,2
6/16/20,23E,4,3,12,7,1,bogr,5,1,bogr,6,1
6/16/20,23E,4,3,15,2,1,bogr,3,1,bogr,2.5,1
6/16/20,23E,4,3,18,5,1,bogr,2,1,bogr,3.5,1
6/16/20,23E,4,3,21,1,1,bogr,3,1,bogr,2,1
6/16/20,23E,4,3,24,5,2,bogr,3,1,bogr,4,1.5
6/16/20,23E,4,4,3,11,2,arpu,7,1,arfr,9,1.5
6/16/20,23E,4,4,6,15,1,arpu,6,2,gusa,10.5,1.5
6/16/20,23E,4,4,9,15,3,bogr,3,1,bogr,9,2
6/16/20,23E,4,4,12,17,2,bogr,11,1,gusa,14,1.5
6/16/20,23E,4,4,15,5,1,bogr,5,1,bogr,5,1
6/16/20,23E,4,4,18,5,2,bogr,21,1,arfr,13,1.5
6/16/20,23E,4,4,21,5,1,bogr,3,1,bogr,4,1
6/16/20,23E,4,4,24,7,2,bogr,6,2,bogr,6.5,2
6/2/20,7SE,1,1,3,11,3,bogr,14,1,bogr,12.5,2
6/2/20,7SE,1,1,6,11,3,bogr,4,3,bogr,7.5,3
6/2/20,7SE,1,1,9,11,2,bogr,4,1,bogr,7.5,1.5
6/2/20,7SE,1,1,12,7,3,bogr,6,2,bogr,6.5,2.5
6/2/20,7SE,1,1,15,16,2,bogr,16,3,bogr,16,2.5
6/2/20,7SE,1,1,18,7,3,bogr,8,1,bogr,7.5,2
6/2/20,7SE,1,1,21,27,1,bogr,25,3,bogr,26,2
6/2/20,7SE,1,1,24,5,1,bogr,10,1,bogr,7.5,1
6/2/20,7SE,1,2,3,10,1,heco,32,11,eref,21,6
6/2/20,7SE,1,2,6,6,5,oppo,20,2,oppo,13,3.5
6/2/20,7SE,1,2,9,21,4,oppo,18,3,heco,19.5,3.5
6/2/20,7SE,1,2,12,10,2,bogr,13,7,oppo,11.5,4.5
6/2/20,7SE,1,2,15,16,2,bogr,11,3,bogr,13.5,2.5
6/2/20,7SE,1,2,18,14,0,bare,12,0,bare,13,0
6/2/20,7SE,1,2,21,5,2,bogr,13,2,bogr,9,2
6/2/20,7SE,1,2,24,7,2,bogr,16,1,bogr,11.5,1.5
6/2/20,7SE,1,3,3,14,5,bogr,4,0,bare,9,2.5
6/2/20,7SE,1,3,6,5,1,bogr,10,1,bogr,7.5,1
6/2/20,7SE,1,3,9,13,1,crmi,12,1,eref,12.5,1
6/2/20,7SE,1,3,12,6,1,bogr,5,1,bogr,5.5,1
6/2/20,7SE,1,3,15,15,0,bare,7,0,bare,11,0
6/2/20,7SE,1,3,18,8,1,bogr,9,3,crmi,8.5,2
6/2/20,7SE,1,3,21,5,2,bogr,16,2,bogr,10.5,2
6/2/20,7SE,1,3,24,12,3,spcr,13,1,bogr,12.5,2
6/2/20,7SE,1,4,3,3,0,bare,8,1,bogr,5.5,0.5
6/2/20,7SE,1,4,6,29,7,pasm,24,8,pasm,26.5,7.5
6/2/20,7SE,1,4,9,6,1,bogr,38,5,spcr,22,3
6/2/20,7SE,1,4,12,15,2,bogr,10,3,bogr,12.5,2.5
6/2/20,7SE,1,4,15,8,1,bogr,6,1,bogr,7,1
6/2/20,7SE,1,4,18,11,1,bogr,8,1,bogr,9.5,1
6/2/20,7SE,1,4,21,8,3,bogr,11,4,bogr,9.5,3.5
6/2/20,7SE,1,4,24,11,3,bogr,13,1,bogr,12,2
6/2/20,7SE,2,1,3,18,1,eref,11,1,bogr,14.5,1
6/2/20,7SE,2,1,6,4,2,bogr,12,5,eref,8,3.5
6/2/20,7SE,2,1,9,12,3,bogr,14,3,heco,13,3
6/2/20,7SE,2,1,12,11,6,eref,5,1,bogr,8,3.5
6/2/20,7SE,2,1,15,20,5,heco,19,1,bogr,19.5,3
6/2/20,7SE,2,1,18,4,1,bogr,10,3,oppo,7,2
6/2/20,7SE,2,1,21,14,2,heco,22,2,bogr,18,2
6/2/20,7SE,2,1,24,20,7,heco,12,3,heco,16,5
6/3/20,7SE,2,2,3,17,1,bogr,4,2,bogr,10.5,1.5
6/3/20,7SE,2,2,6,6,1,bogr,5,1,bogr,5.5,1
6/3/20,7SE,2,2,9,27,1,pasm,12,2,pasm,19.5,1.5
6/3/20,7SE,2,2,12,20,1,pasm,21,3,pasm,20.5,2
6/3/20,7SE,2,2,15,16,1,pasm,4,1,pasm,10,1
6/3/20,7SE,2,2,18,12,2,bogr,8,1,elel,10,1.5
6/3/20,7SE,2,2,21,5,1,bogr,10,1,bogr,7.5,1
6/3/20,7SE,2,2,24,13,1,bogr,11,2,bogr,12,1.5
6/3/20,7SE,2,3,3,9,1,cadu,10,3,spcr,9.5,2
6/3/20,7SE,2,3,6,7,1,bogr,17,5,spcr,12,3
6/3/20,7SE,2,3,9,7,1,bogr,1,1,bogr,4,1
6/3/20,7SE,2,3,12,8,1,bogr,9,1,bogr,8.5,1
6/3/20,7SE,2,3,15,6,1,bogr,8,1,bogr,7,1
6/3/20,7SE,2,3,18,5,1,bogr,6,2,bogr,5.5,1.5
6/3/20,7SE,2,3,21,4,1,bogr,3,1,bogr,3.5,1
6/3/20,7SE,2,3,24,7,1,bogr,6,1,bogr,6.5,1
6/3/20,7SE,2,4,3,12,2,bogr,22,3,spcr,17,2.5
6/3/20,7SE,2,4,6,19,2,bogr,12,2,spcr,15.5,2
6/3/20,7SE,2,4,9,14,4,heco,10,1,bogr,12,2.5
6/3/20,7SE,2,4,12,11,1,bogr,16,6,elel,13.5,3.5
6/3/20,7SE,2,4,15,7,1,bogr,10,2,bogr,8.5,1.5
6/3/20,7SE,2,4,18,5,1,bogr,2,1,bogr,3.5,1
6/3/20,7SE,2,4,21,10,1,bogr,10,1,bogr,10,1
6/3/20,7SE,2,4,24,20,4,oppo,9,3,elel,14.5,3.5
6/3/20,7SE,3,1,3,9,2,bogr,20,7,heco,14.5,4.5
6/3/20,7SE,3,1,6,20,1,bogr,10,1,pasm,15,1
6/3/20,7SE,3,1,9,16,2,pasm,21,3,pasm,18.5,2.5
6/3/20,7SE,3,1,12,13,2,pasm,22,3,pasm,17.5,2.5
6/3/20,7SE,3,1,15,17,1,cadu,13,5,pasm,15,3
6/3/20,7SE,3,1,18,14,2,pasm,17,3,pasm,15.5,2.5
6/3/20,7SE,3,1,21,13,1,pasm,12,2,pasm,12.5,1.5
6/3/20,7SE,3,1,24,21,1,bogr,13,1,bogr,17,1
6/3/20,7SE,3,2,3,26,10,pasm,18,2,pasm,22,6
6/3/20,7SE,3,2,6,19,1,pasm,18,3,pasm,18.5,2
6/3/20,7SE,3,2,9,7,1,bogr,9,2,bogr,8,1.5
6/3/20,7SE,3,2,12,6,1,bogr,9,2,bogr,7.5,1.5
6/3/20,7SE,3,2,15,27,2,bogr,8,1,bogr,17.5,1.5
6/3/20,7SE,3,2,18,11,1,bogr,10,1,cadu,10.5,1
6/3/20,7SE,3,2,21,9,1,cadu,15,4,heco,12,2.5
6/3/20,7SE,3,2,24,25,3,bogr,20,3,bogr,22.5,3
6/3/20,7SE,3,3,3,11,3,spcr,6,1,bogr,8.5,2
6/3/20,7SE,3,3,6,14,2,bogr,4,1,bogr,9,1.5
6/3/20,7SE,3,3,9,7,1,bogr,10,4,oppo,8.5,2.5
6/3/20,7SE,3,3,12,5,1,bogr,7,2,bogr,6,1.5
6/3/20,7SE,3,3,15,10,1,bogr,8,3,bogr,9,2
6/3/20,7SE,3,3,18,12,1,bogr,4,1,bogr,8,1
6/3/20,7SE,3,3,21,4,1,bogr,8,2,bogr,6,1.5
6/3/20,7SE,3,3,24,2,0,bare,7,1,bogr,4.5,0.5
6/3/20,7SE,3,4,3,18,1,bogr,5,1,bogr,11.5,1
6/3/20,7SE,3,4,6,11,1,pasm,16,1,pasm,13.5,1
6/3/20,7SE,3,4,9,16,1,pasm,30,8,pasm,23,4.5
6/3/20,7SE,3,4,12,26,1,spcr,25,8,pasm,25.5,4.5
6/3/20,7SE,3,4,15,5,1,bogr,9,1,bogr,7,1
6/3/20,7SE,3,4,18,15,1,bogr,21,2,pasm,18,1.5
6/3/20,7SE,3,4,21,11,2,cadu,8,1,bogr,9.5,1.5
6/3/20,7SE,3,4,24,9,2,bogr,14,5,elel,11.5,3.5
6/2/20,7SE,4,1,3,25,4,bogr,16,3,bogr,20.5,3.5
6/2/20,7SE,4,1,6,9,1,bogr,6,1,bogr,7.5,1
6/2/20,7SE,4,1,9,9,1,cadu,8,1,bogr,8.5,1
6/2/20,7SE,4,1,12,6,1,bogr,9,1,bogr,7.5,1
6/2/20,7SE,4,1,15,6,1,cadu,15,2,cadu,10.5,1.5
6/2/20,7SE,4,1,18,10,1,cadu,10,2,cadu,10,1.5
6/2/20,7SE,4,1,21,11,1,cadu,10,1,cadu,10.5,1
6/2/20,7SE,4,1,24,12,1,cadu,12,1,bogr,12,1
6/2/20,7SE,4,2,3,10,3,bogr,7,1,bogr,8.5,2
6/2/20,7SE,4,2,6,14,2,heco,7,1,heco,10.5,1.5
6/2/20,7SE,4,2,9,15,2,cadu,12,2,heco,13.5,2
6/2/20,7SE,4,2,12,8,1,bogr,10,2,cadu,9,1.5
6/2/20,7SE,4,2,15,16,1,bogr,11,1,cadu,13.5,1
6/2/20,7SE,4,2,18,30,1,bogr,5,1,lemo,17.5,1
6/2/20,7SE,4,2,21,10,5,oppo,19,3,oppo,14.5,4
6/2/20,7SE,4,2,24,14,2,oppo,16,2,pasm,15,2
6/2/20,7SE,4,3,3,14,1,spcr,25,5,heco,19.5,3
6/2/20,7SE,4,3,6,18,4,oppo,22,3,oppo,20,3.5
6/2/20,7SE,4,3,9,15,1,bogr,19,2,bogr,17,1.5
6/2/20,7SE,4,3,12,25,1,heco,15,1,oppo,20,1
6/2/20,7SE,4,3,15,21,6,oppo,11,1,bogr,16,3.5
6/2/20,7SE,4,3,18,20,1,bogr,40,0,heco,30,0.5
6/2/20,7SE,4,3,21,20,1,bogr,24,6,arpu,22,3.5
6/2/20,7SE,4,3,24,11,3,oppo,12,1,bogr,11.5,2
6/2/20,7SE,4,4,3,47,4,oppo,47,5,heco,47,4.5
6/2/20,7SE,4,4,6,38,4,bogr,33,4,heco,35.5,4
6/2/20,7SE,4,4,9,43,1,heco,37,2,bogr,40,1.5
6/2/20,7SE,4,4,12,25,5,heco,20,4,heco,22.5,4.5
6/2/20,7SE,4,4,15,12,3,oppo,70,7,oppo,41,5
6/2/20,7SE,4,4,18,20,5,heco,45,4,oppo,32.5,4.5
6/2/20,7SE,4,4,21,90,10,heco,36,2,heco,63,6
6/2/20,7SE,4,4,24,62,1,heco,74,5,eref,68,3
6/2/20,7NW,1,1,3,5,1,bogr,4,1,bogr,4.5,1
6/2/20,7NW,1,1,6,8,2,bogr,6,3,bogr,7,2.5
6/2/20,7NW,1,1,9,4,1,bogr,4,1,bogr,4,1
6/2/20,7NW,1,1,12,1,0,bogr,16,2,crmi,8.5,1
6/2/20,7NW,1,1,15,9,1,bogr,13,1,bogr,11,1
6/2/20,7NW,1,1,18,1,0,bogr,4,1,bogr,2.5,0.5
6/2/20,7NW,1,1,21,18,1,pasm,18,8,pasm,18,4.5
6/2/20,7NW,1,1,24,22,4,pasm,25,1,bogr,23.5,2.5
6/2/20,7NW,1,2,3,24,4,pasm,21,3,pasm,22.5,3.5
6/2/20,7NW,1,2,6,14,1,pasm,18,3,pasm,16,2
6/2/20,7NW,1,2,9,18,4,pasm,21,3,pasm,19.5,3.5
6/2/20,7NW,1,2,12,19,3,pasm,22,2,pasm,20.5,2.5
6/2/20,7NW,1,2,15,13,1,pasm,22,4,pasm,17.5,2.5
6/2/20,7NW,1,2,18,20,1,pasm,22,1,pasm,21,1
6/2/20,7NW,1,2,21,18,3,oppo,14,1,bogr,16,2
6/2/20,7NW,1,2,24,24,2,pasm,26,0,pasm,25,1
6/2/20,7NW,1,3,3,16,2,heco,22,4,pasm,19,3
6/2/20,7NW,1,3,6,27,6,heco,16,2,heco,21.5,4
6/2/20,7NW,1,3,9,28,7,pasm,22,5,pasm,25,6
6/2/20,7NW,1,3,12,22,1,pasm,22,2,pasm,22,1.5
6/2/20,7NW,1,3,15,21,4,pasm,18,5,pasm,19.5,4.5
6/2/20,7NW,1,3,18,24,6,pasm,14,2,pasm,19,4
6/2/20,7NW,1,3,21,18,4,pasm,24,5,pasm,21,4.5
6/2/20,7NW,1,3,24,24,2,pasm,24,1,pasm,24,1.5
6/2/20,7NW,1,4,3,13,1,bogr,7,2,bogr,10,1.5
6/2/20,7NW,1,4,6,6,1,bogr,3,1,bogr,4.5,1
6/2/20,7NW,1,4,9,5,0,elel,11,1,heco,8,0.5
6/2/20,7NW,1,4,12,29,10,heco,25,1,bogr,27,5.5
6/2/20,7NW,1,4,15,17,3,bogr,24,1,bogr,20.5,2
6/2/20,7NW,1,4,18,4,1,eref,6,1,bogr,5,1
6/2/20,7NW,1,4,21,16,1,eref,19,2,heco,17.5,1.5
6/2/20,7NW,1,4,24,25,1,heco,7,1,heco,16,1
6/2/20,7NW,2,1,3,5,1,bogr,7,1,heco,6,1
6/2/20,7NW,2,1,6,6,1,heco,12,3,eref,9,2
6/2/20,7NW,2,1,9,3,1,bogr,8,1,elel,5.5,1
6/2/20,7NW,2,1,12,10,1,lyju,4,1,bogr,7,1
6/2/20,7NW,2,1,15,3,1,bogr,20,4,heco,11.5,2.5
6/2/20,7NW,2,1,18,4,2,bogr,10,3,oppo,7,2.5
6/2/20,7NW,2,1,21,8,2,bogr,8,2,bogr,8,2
6/2/20,7NW,2,1,24,4,1,bogr,2,1,bogr,3,1
6/2/20,7NW,2,2,3,12,1,bogr,12,2,bogr,12,1.5
6/2/20,7NW,2,2,6,3,1,bogr,12,1,bogr,7.5,1
6/2/20,7NW,2,2,9,6,2,bogr,4,1,bogr,5,1.5
6/2/20,7NW,2,2,12,8,3,bogr,8,1,bogr,8,2
6/2/20,7NW,2,2,15,7,2,bogr,4,1,bogr,5.5,1.5
6/2/20,7NW,2,2,18,4,1,bogr,15,1,bogr,9.5,1
6/2/20,7NW,2,2,21,12,1,bogr,5,1,bogr,8.5,1
6/2/20,7NW,2,2,24,3,1,bogr,3,1,bogr,3,1
6/2/20,7NW,2,3,3,6,1,heco,4,1,bogr,5,1
6/2/20,7NW,2,3,6,2,1,bogr,5,1,bogr,3.5,1
6/2/20,7NW,2,3,9,12,3,elel,20,1,cadu,16,2
6/2/20,7NW,2,3,12,5,1,cadu,6,1,cadu,5.5,1
6/2/20,7NW,2,3,15,4,1,bogr,3,1,bogr,3.5,1
6/2/20,7NW,2,3,18,7,1,bogr,3,1,bogr,5,1
6/2/20,7NW,2,3,21,12,1,heco,12,1,heco,12,1
6/2/20,7NW,2,3,24,1,1,bogr,19,0,bare,10,0.5
6/2/20,7NW,2,4,3,7,1,heco,7,1,heco,7,1
6/2/20,7NW,2,4,6,6,1,heco,3,1,heco,4.5,1
6/2/20,7NW,2,4,9,0,0,bare,3,1,heco,1.5,0.5
6/2/20,7NW,2,4,12,10,1,lyju,31,1,lyju,20.5,1
6/2/20,7NW,2,4,15,8,1,bogr,2,1,bogr,5,1
6/2/20,7NW,2,4,18,6,1,heco,8,1,heco,7,1
6/2/20,7NW,2,4,21,6,1,lyju,6,1,bogr,6,1
6/2/20,7NW,2,4,24,23,2,heco,5,1,oppo,14,1.5
6/2/20,7NW,3,1,3,21,2,pasm,16,1,heco,18.5,1.5
6/2/20,7NW,3,1,6,18,1,spco,22,1,pasm,20,1
6/2/20,7NW,3,1,9,24,1,pasm,15,1,pasm,19.5,1
6/2/20,7NW,3,1,12,20,5,eref,23,7,heco,21.5,6
6/2/20,7NW,3,1,15,8,1,pasm,10,1,pasm,9,1
6/2/20,7NW,3,1,18,14,1,pasm,14,1,pasm,14,1
6/2/20,7NW,3,1,21,15,1,pasm,13,1,pasm,14,1
6/2/20,7NW,3,1,24,5,0,heco,8,1,bogr,6.5,0.5
6/2/20,7NW,3,2,3,11,3,oppo,13,2,elel,12,2.5
6/2/20,7NW,3,2,6,4,2,bogr,12,2,elel,8,2
6/2/20,7NW,3,2,9,11,0,elel,1,0,eref,6,0
6/2/20,7NW,3,2,12,6,1,bogr,3,0,elel,4.5,0.5
6/2/20,7NW,3,2,15,20,2,heco,22,1,heco,21,1.5
6/2/20,7NW,3,2,18,7,1,bogr,16,1,bogr,11.5,1
6/2/20,7NW,3,2,21,6,1,bogr,13,1,eref,9.5,1
6/2/20,7NW,3,2,24,23,8,heco,19,1,heco,21,4.5
6/2/20,7NW,3,3,3,13,1,oppo,14,8,oppo,13.5,4.5
6/2/20,7NW,3,3,6,21,1,eref,3,1,heco,12,1
6/2/20,7NW,3,3,9,20,1,oppo,20,2,pasm,20,1.5
6/2/20,7NW,3,3,12,24,6,pasm,24,5,pasm,24,5.5
6/2/20,7NW,3,3,15,12,1,pasm,17,1,pasm,14.5,1
6/2/20,7NW,3,3,18,18,2,pasm,25,5,pasm,21.5,3.5
6/2/20,7NW,3,3,21,20,1,pasm,16,5,pasm,18,3
6/2/20,7NW,3,3,24,21,5,oppo,23,8,pasm,22,6.5
6/2/20,7NW,3,4,3,2,8,bogr,8,1,eref,5,4.5
6/2/20,7NW,3,4,6,1,1,bogr,6,1,bogr,3.5,1
6/2/20,7NW,3,4,9,1,1,bogr,4,1,bogr,2.5,1
6/2/20,7NW,3,4,12,6,1,bogr,7,3,oppo,6.5,2
6/2/20,7NW,3,4,15,5,1,bogr,12,1,heco,8.5,1
6/2/20,7NW,3,4,18,22,3,heco,21,1,heco,21.5,2
6/2/20,7NW,3,4,21,10,1,heco,9,1,pasm,9.5,1
6/2/20,7NW,3,4,24,19,1,pasm,22,6,pasm,20.5,3.5
6/2/20,7NW,4,1,3,14,1,heco,12,1,bogr,13,1
6/2/20,7NW,4,1,6,9,1,bogr,5,1,bogr,7,1
6/2/20,7NW,4,1,9,7,1,bogr,10,2,heco,8.5,1.5
6/2/20,7NW,4,1,12,5,0,bogr,4,1,bogr,4.5,0.5
6/2/20,7NW,4,1,15,5,1,bogr,6,0,bogr,5.5,0.5
6/2/20,7NW,4,1,18,11,1,cadu,8,2,bogr,9.5,1.5
6/2/20,7NW,4,1,21,11,1,bogr,8,2,bogr,9.5,1.5
6/2/20,7NW,4,1,24,9,1,bogr,2,1,bogr,5.5,1
6/2/20,7NW,4,2,3,12,2,oppo,12,1,bogr,12,1.5
6/2/20,7NW,4,2,6,6,1,cadu,8,1,cadu,7,1
6/2/20,7NW,4,2,9,9,1,bogr,5,1,bogr,7,1
6/2/20,7NW,4,2,12,9,1,heco,14,1,heco,11.5,1
6/2/20,7NW,4,2,15,21,1,eref,24,3,bogr,22.5,2
6/2/20,7NW,4,2,18,11,1,cadu,18,1,heco,14.5,1
6/2/20,7NW,4,2,21,17,1,eref,7,1,cadu,12,1
6/2/20,7NW,4,2,24,7,1,cadu,7,2,heco,7,1.5
6/2/20,7NW,4,3,3,10,1,bogr,11,3,bogr,10.5,2
6/2/20,7NW,4,3,6,8,1,bogr,9,2,bogr,8.5,1.5
6/2/20,7NW,4,3,9,4,1,bogr,1,1,bogr,2.5,1
6/2/20,7NW,4,3,12,10,1,bogr,1,1,bogr,5.5,1
6/2/20,7NW,4,3,15,5,3,oppo,6,1,bogr,5.5,2
6/2/20,7NW,4,3,18,5,1,bogr,11,5,oppo,8,3
6/2/20,7NW,4,3,21,7,1,bogr,3,1,bogr,5,1
6/2/20,7NW,4,3,24,11,1,bogr,8,1,bogr,9.5,1
6/2/20,7NW,4,4,3,19,1,heco,10,3,spcr,14.5,2
6/2/20,7NW,4,4,6,21,3,bogr,23,2,oppo,22,2.5
6/2/20,7NW,4,4,9,15,4,eref,15,3,heco,15,3.5
6/2/20,7NW,4,4,12,9,1,bogr,12,3,bogr,10.5,2
6/2/20,7NW,4,4,15,23,3,heco,35,7,heco,29,5
6/2/20,7NW,4,4,18,20,4,oppo,17,1,heco,18.5,2.5
6/2/20,7NW,4,4,21,18,2,heco,21,2,oppo,19.5,2
6/2/20,7NW,4,4,24,12,3,bogr,12,1,bogr,12,2
6/10/20,17N,1,1,3,6,2,bogr,6,2,bogr,6,2
6/10/20,17N,1,1,6,10,2,bogr,19,6,arpu,14.5,4
6/10/20,17N,1,1,9,6,1,bogr,5,1,bogr,5.5,1
6/10/20,17N,1,1,12,5,1,bogr,4,1,bogr,4.5,1
6/10/20,17N,1,1,15,3,1,bogr,6,0,spcr,4.5,0.5
6/10/20,17N,1,1,18,5,1,cadu,8,5,oppo,6.5,3
6/10/20,17N,1,1,21,8,1,cadu,8,2,cadu,8,1.5
6/10/20,17N,1,1,24,8,1,cadu,4,2,bogr,6,1.5
6/10/20,17N,1,2,3,4,1,bogr,4,2,bogr,4,1.5
6/10/20,17N,1,2,6,4,1,bogr,4,2,bogr,4,1.5
6/10/20,17N,1,2,9,2,1,bogr,1,1,bogr,1.5,1
6/10/20,17N,1,2,12,4,2,bogr,7,3,bogr,5.5,2.5
6/10/20,17N,1,2,15,4,2,bogr,6,1,bogr,5,1.5
6/10/20,17N,1,2,18,4,1,bogr,5,1,buda,4.5,1
6/10/20,17N,1,2,21,2,1,bogr,6,1,bogr,4,1
6/10/20,17N,1,2,24,2,1,bogr,6,2,bogr,4,1.5
6/10/20,17N,1,3,3,6,4,bogr,2,1,bogr,4,2.5
6/10/20,17N,1,3,6,4,1,bogr,3,1,bogr,3.5,1
6/10/20,17N,1,3,9,16,3,heco,10,1,cadu,13,2
6/10/20,17N,1,3,12,4,1,cadu,4,1,bogr,4,1
6/10/20,17N,1,3,15,4,3,bogr,1,1,bogr,2.5,2
6/10/20,17N,1,3,18,5,2,bogr,3,1,bogr,4,1.5
6/10/20,17N,1,3,21,6,3,bogr,7,1,bogr,6.5,2
6/10/20,17N,1,3,24,8,1,cadu,7,1,cadu,7.5,1
6/10/20,17N,1,4,3,14,3,heco,16,3,pasm,15,3
6/10/20,17N,1,4,6,10,2,bogr,14,2,pasm,12,2
6/10/20,17N,1,4,9,2,2,buda,8,3,bogr,5,2.5
6/10/20,17N,1,4,12,15,2,pasm,15,4,pasm,15,3
6/10/20,17N,1,4,15,13,1,pasm,12,1,pasm,12.5,1
6/10/20,17N,1,4,18,12,2,pasm,28,10,arpu,20,6
6/10/20,17N,1,4,21,12,1,bogr,15,4,spcr,13.5,2.5
6/10/20,17N,1,4,24,18,3,pasm,8,2,pasm,13,2.5
6/10/20,17N,2,1,3,6,1,bogr,7,2,cadu,6.5,1.5
6/10/20,17N,2,1,6,2,1,bogr,8,3,bogr,5,2
6/10/20,17N,2,1,9,4,3,bogr,3,1,bogr,3.5,2
6/10/20,17N,2,1,12,15,4,arpu,6,1,bogr,10.5,2.5
6/10/20,17N,2,1,15,15,2,bogr,9,2,bogr,12,2
6/10/20,17N,2,1,18,9,2,cadu,8,1,cadu,8.5,1.5
6/10/20,17N,2,1,21,2,1,bogr,4,1,bogr,3,1
6/10/20,17N,2,1,24,8,2,bogr,6,1,bogr,7,1.5
6/10/20,17N,2,2,3,4,1,bogr,8,1,bogr,6,1
6/10/20,17N,2,2,6,6,1,bogr,4,1,bogr,5,1
6/10/20,17N,2,2,9,8,2,bogr,10,5,oppo,9,3.5
6/10/20,17N,2,2,12,5,2,bogr,4,1,bogr,4.5,1.5
6/10/20,17N,2,2,15,8,1,bogr,6,4,oppo,7,2.5
6/10/20,17N,2,2,18,6,1,bogr,4,2,bogr,5,1.5
6/10/20,17N,2,2,21,6,1,bogr,4,2,bogr,5,1.5
6/10/20,17N,2,2,24,6,3,bogr,6,2,bogr,6,2.5
6/10/20,17N,2,3,3,4,2,bogr,4,2,bogr,4,2
6/10/20,17N,2,3,6,2,1,bogr,4,2,bogr,3,1.5
6/10/20,17N,2,3,9,2,1,bogr,6,1,bogr,4,1
6/10/20,17N,2,3,12,8,2,bogr,10,2,bogr,9,2
6/10/20,17N,2,3,15,6,2,bogr,6,2,bogr,6,2
6/10/20,17N,2,3,18,16,7,eref,10,2,eref,13,4.5
6/10/20,17N,2,3,21,10,3,arpu,9,1,arpu,9.5,2
6/10/20,17N,2,3,24,9,2,bogr,6,3,bogr,7.5,2.5
6/10/20,17N,2,4,3,6,1,bogr,5,3,bogr,5.5,2
6/10/20,17N,2,4,6,4,1,bogr,5,2,bogr,4.5,1.5
6/10/20,17N,2,4,9,6,1,cadu,8,2,bogr,7,1.5
6/10/20,17N,2,4,12,3,2,bogr,4,2,bogr,3.5,2
6/10/20,17N,2,4,15,4,1,bogr,6,2,bogr,5,1.5
6/10/20,17N,2,4,18,4,3,spco,7,1,spco,5.5,2
6/10/20,17N,2,4,21,10,4,lipu,12,3,cadu,11,3.5
6/10/20,17N,2,4,24,9,4,arpu,4,1,bogr,6.5,2.5
6/10/20,17N,5,1,3,13,4,oppo,24,10,oppo,18.5,7
6/10/20,17N,5,1,6,23,7,pasm,26,16,pasm,24.5,11.5
6/10/20,17N,5,1,9,25,9,eref,17,1,pasm,21,5
6/10/20,17N,5,1,12,20,1,pasm,18,7,pasm,19,4
6/10/20,17N,5,1,15,20,2,pasm,16,9,pasm,18,5.5
