Week,Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,V_E_F,G_UG,Screen1,Adj_Low,Biomass_lbs_ac
1,18S,5/9/2017,4,20,15,8,pasm,b,,,0,8,1877.544
1,18S,5/9/2017,4,21,7,2,cadu,g,,,0,2,469.386
1,18S,5/9/2017,4,22,6,3,cadu,b,,,0,3,704.079
1,18S,5/9/2017,4,23,14,8,pasm,b,,,0,8,1877.544
1,18S,5/9/2017,4,24,10,4,oppo,g,,,1,,
1,18S,5/9/2017,4,25,10,3,cadu,g,,,0,3,704.079
2,18S,5/17/2017,1,1,3,3,bogr,b,,,0,3,704.079
2,18S,5/17/2017,1,2,7,5,arfr,g,,,1,,
2,18S,5/17/2017,1,3,8,8,oppo,g,,,1,,
2,18S,5/17/2017,1,4,10,4,spco,g,,,0,4,938.772
2,18S,5/17/2017,1,5,8,2,spco,b,,,0,2,469.386
2,18S,5/17/2017,1,6,12,4,bogr,g,,,0,4,938.772
2,18S,5/17/2017,1,7,10,6,oppo,g,,,1,,
2,18S,5/17/2017,1,8,14,2,elel,b,,,0,2,469.386
2,18S,5/17/2017,1,9,34,23,atca,g,,,1,,
2,18S,5/17/2017,1,10,4,3,bogr,g,,,0,3,704.079
2,18S,5/17/2017,1,11,6,3,elel,g,,,0,3,704.079
2,18S,5/17/2017,1,12,3,2,litt,b,,,0,2,469.386
2,18S,5/17/2017,1,13,1,1,litt,b,,,0,1,234.693
2,18S,5/17/2017,1,14,6,1,cadu,b,,,0,1,234.693
2,18S,5/17/2017,1,15,4,3,litt,b,v,ug,0,3,704.079
2,18S,5/17/2017,1,16,3,2,oppo,g,,,1,,
2,18S,5/17/2017,1,17,12,3,heco,b,,,0,3,704.079
2,18S,5/17/2017,1,18,30,10,arfr,b,v,ug,1,,
2,18S,5/17/2017,1,19,14,3,pasm,b,v,ug,0,3,704.079
2,18S,5/17/2017,1,20,19,8,heco,g,g,g,0,8,1877.544
2,18S,5/17/2017,1,21,21,6,arfr,g,g,g,1,,
2,18S,5/17/2017,1,22,10,2,elel,g,,,0,2,469.386
2,18S,5/17/2017,1,23,4,1,litt,b,,,0,1,234.693
2,18S,5/17/2017,1,24,64,6,litt,b,,,0,6,1408.158
2,18S,5/17/2017,1,25,10,2,pasm,g,v,g,0,2,469.386
2,18S,5/17/2017,2,1,8,2,spcr,g,v,ug,0,2,469.386
2,18S,5/17/2017,2,2,17,7,heco,g,v,ug,0,7,1642.851
2,18S,5/17/2017,2,3,10,3,heco,g,v,ug,0,3,704.079
2,18S,5/17/2017,2,4,8,3,heco,g,e,ug,0,3,704.079
2,18S,5/17/2017,2,5,16,10,heco,g,v,g,0,10,2346.93
2,18S,5/17/2017,2,6,10,4,heco,g,e,g,0,4,938.772
2,18S,5/17/2017,2,7,20,4,heco,g,v,ug,0,4,938.772
2,18S,5/17/2017,2,8,16,6,heco,b,e,g,0,6,1408.158
2,18S,5/17/2017,2,9,10,3,heco,g,v,g,0,3,704.079
2,18S,5/17/2017,2,10,6,4,bogr,g,v,g,0,4,938.772
2,18S,5/17/2017,2,11,10,5,ardr,b,v,g,0,5,1173.465
2,18S,5/17/2017,2,12,18,3,cadu,b,v,g,0,3,704.079
2,18S,5/17/2017,2,13,8,3,heco,g,v,g,0,3,704.079
2,18S,5/17/2017,2,14,3,1,heco,g,v,g,0,1,234.693
2,18S,5/17/2017,2,15,16,3,heco,g,v,ug,0,3,704.079
2,18S,5/17/2017,2,16,16,4,heco,g,v,ug,0,4,938.772
2,18S,5/17/2017,2,17,38,8,eref,b,v,g,1,,
2,18S,5/17/2017,2,18,4,2,heco,g,g,g,0,2,469.386
2,18S,5/17/2017,2,19,4,2,bogr,g,g,g,0,2,469.386
2,18S,5/17/2017,2,20,20,4,heco,b,e,ug,0,4,938.772
2,18S,5/17/2017,2,21,12,2,heco,g,v,g,0,2,469.386
2,18S,5/17/2017,2,22,4,3,heco,g,v,ug,0,3,704.079
2,18S,5/17/2017,2,23,8,3,ardr,g,v,g,0,3,704.079
2,18S,5/17/2017,2,24,6,4,heco,g,g,g,0,4,938.772
2,18S,5/17/2017,2,25,6,2,cadu,g,,,0,2,469.386
2,18S,5/17/2017,3,1,20,12,heco,g,v,ug,0,12,2816.316
2,18S,5/17/2017,3,2,13,2,litt,g,e,g,0,2,469.386
2,18S,5/17/2017,3,3,20,6,pasm,g,,,0,6,1408.158
2,18S,5/17/2017,3,4,15,3,pasm,b,,,0,3,704.079
2,18S,5/17/2017,3,5,13,6,pasm,g,g,g,0,6,1408.158
2,18S,5/17/2017,3,6,14,7,pasm,b,,,0,7,1642.851
2,18S,5/17/2017,3,7,18,5,oppo,g,,,1,,
2,18S,5/17/2017,3,8,70,50,atca,b,v,ug,1,,
2,18S,5/17/2017,3,9,22,8,heco,g,v,g,0,8,1877.544
2,18S,5/17/2017,3,10,6,2,spco,g,,,0,2,469.386
2,18S,5/17/2017,3,11,4,2,bogr,g,,,0,2,469.386
2,18S,5/17/2017,3,12,24,10,oppo,g,v,g,1,,
2,18S,5/17/2017,3,13,26,12,pasm,b,g,g,0,12,2816.316
2,18S,5/17/2017,3,14,16,8,oppo,b,,,1,,
2,18S,5/17/2017,3,15,18,5,pasm,b,v,g,0,5,1173.465
2,18S,5/17/2017,3,16,32,15,atca,g,v,ug,1,,
2,18S,5/17/2017,3,17,16,10,oppo,g,,,1,,
2,18S,5/17/2017,3,18,26,10,pasm,b,,,0,10,2346.93
2,18S,5/17/2017,3,19,17,10,pasm,b,v,ug,0,10,2346.93
2,18S,5/17/2017,3,20,38,27,atca,b,,,1,,
2,18S,5/17/2017,3,21,62,44,atca,b,,,1,,
2,18S,5/17/2017,3,22,10,4,bogr,b,,,0,4,938.772
2,18S,5/17/2017,3,23,22,10,litt,b,,,0,10,2346.93
2,18S,5/17/2017,3,24,33,2,litt,b,v,ug,0,2,469.386
2,18S,5/17/2017,3,25,20,4,heco,g,v,g,0,4,938.772
2,18S,5/17/2017,4,1,16,12,pasm,g,,,0,12,2816.316
2,18S,5/17/2017,4,2,21,6,pasm,b,,,0,6,1408.158
2,18S,5/17/2017,4,3,8,6,pasm,g,,,0,6,1408.158
2,18S,5/17/2017,4,4,20,10,pasm,g,,,0,10,2346.93
2,18S,5/17/2017,4,5,80,19,pasm,b,,,0,19,4459.167
2,18S,5/17/2017,4,6,15,6,pasm,g,,,0,6,1408.158
2,18S,5/17/2017,4,7,18,8,heco,g,v,ug,0,8,1877.544
2,18S,5/17/2017,4,8,6,1,cadu,g,g,g,0,1,234.693
2,18S,5/17/2017,4,9,17,2,pasm,b,g,g,0,2,469.386
2,18S,5/17/2017,4,10,20,3,pasm,b,g,g,0,3,704.079
2,18S,5/17/2017,4,11,11,4,pasm,g,,,0,4,938.772
2,18S,5/17/2017,4,12,10,3,pasm,g,,,0,3,704.079
2,18S,5/17/2017,4,13,20,10,pasm,b,,,0,10,2346.93
2,18S,5/17/2017,4,14,22,9,pasm,g,v,ug,0,9,2112.237
2,18S,5/17/2017,4,15,23,12,pasm,b,,,0,12,2816.316
2,18S,5/17/2017,4,16,7,2,cadu,g,,,0,2,469.386
2,18S,5/17/2017,4,17,20,9,pasm,g,,,0,9,2112.237
2,18S,5/17/2017,4,18,14,7,pasm,b,,,0,7,1642.851
2,18S,5/17/2017,4,19,10,4,pasm,g,,,0,4,938.772
2,18S,5/17/2017,4,20,11,6,pasm,g,,,0,6,1408.158
2,18S,5/17/2017,4,21,11,2,pasm,b,,,0,2,469.386
2,18S,5/17/2017,4,22,6,3,cadu,g,,,0,3,704.079
2,18S,5/17/2017,4,23,4,3,litt,g,g,g,0,3,704.079
2,18S,5/17/2017,4,24,34,12,atca,b,,,1,,
2,18S,5/17/2017,4,25,11,4,pasm,g,,,0,4,938.772
2,18S_burn,5/17/2017,5,1,0,0,bare,,g,g,0,0,0
2,18S_burn,5/17/2017,5,2,5,0,bare,g,g,g,0,0,0
2,18S_burn,5/17/2017,5,3,5,2,spcr,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,4,0,0,bare,,g,g,0,0,0
2,18S_burn,5/17/2017,5,5,9,2,pasm,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,6,9,2,bogr,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,7,0,0,bare,,v,g,0,0,0
2,18S_burn,5/17/2017,5,8,4,2,dcr,g,g,g,1,,
2,18S_burn,5/17/2017,5,9,4,3,bogr,g,g,g,0,3,704.079
2,18S_burn,5/17/2017,5,10,4,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,11,7,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,12,0,0,bare,,g,g,0,0,0
2,18S_burn,5/17/2017,5,13,6,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,14,9,4,heco,g,g,g,0,4,938.772
2,18S_burn,5/17/2017,5,15,8,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,16,8,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,17,4,2,cadu,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,18,4,2,cadu,g,,,0,2,469.386
2,18S_burn,5/17/2017,5,19,6,2,cadu,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,20,6,3,cadu,g,,,0,3,704.079
2,18S_burn,5/17/2017,5,21,6,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,22,4,2,lemo,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,23,0,0,bare,,g,g,0,0,0
2,18S_burn,5/17/2017,5,24,4,2,spcr,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,5,25,5,2,spcr,g,v,g,0,2,469.386
2,18S_burn,5/17/2017,6,1,6,2,heco,g,v,g,0,2,469.386
2,18S_burn,5/17/2017,6,2,8,4,heco,g,g,g,0,4,938.772
2,18S_burn,5/17/2017,6,3,0,0,bare,,v,g,0,0,0
2,18S_burn,5/17/2017,6,4,10,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,6,5,2,0,bare,,v,g,0,0,0
2,18S_burn,5/17/2017,6,6,3,2,bare,g,v,g,0,2,469.386
2,18S_burn,5/17/2017,6,7,6,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,6,8,2,0,bare,,v,ug,0,0,0
2,18S_burn,5/17/2017,6,9,3,2,litt,g,v,g,0,2,469.386
2,18S_burn,5/17/2017,6,10,4,2,bogr,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,6,11,11,2,spcr,g,,,0,2,469.386
2,18S_burn,5/17/2017,6,12,6,2,bogr,g,,,0,2,469.386
2,18S_burn,5/17/2017,6,13,3,2,heco,g,,,0,2,469.386
2,18S_burn,5/17/2017,6,14,4,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,6,15,4,0,bare,g,g,g,0,0,0
2,18S_burn,5/17/2017,6,16,4,2,heco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,6,17,3,0,bare,g,g,g,0,0,0
2,18S_burn,5/17/2017,6,18,4,2,dcr,g,g,g,1,,
2,18S_burn,5/17/2017,6,19,3,0,bare,g,,,0,0,0
2,18S_burn,5/17/2017,6,20,4,2,hevi,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,6,21,7,3,bogr,g,,,0,3,704.079
2,18S_burn,5/17/2017,6,22,8,3,heco,g,,,0,3,704.079
2,18S_burn,5/17/2017,6,23,4,2,spco,g,g,g,0,2,469.386
2,18S_burn,5/17/2017,6,24,5,3,bogr,g,,,0,3,704.079
2,18S_burn,5/17/2017,6,25,0,0,bare,,,,0,0,0
3,18S,5/23/2017,1,1,4,2,bogr,g,,,0,2,469.386
3,18S,5/23/2017,1,2,40,19,atca,b,,,1,,
3,18S,5/23/2017,1,3,18,9,elel,b,,,0,9,2112.237
3,18S,5/23/2017,1,4,4,1,spco,b,,,0,1,234.693
3,18S,5/23/2017,1,5,15,5,dcr,b,,,1,,
3,18S,5/23/2017,1,6,18,4,elel,b,,,0,4,938.772
3,18S,5/23/2017,1,7,8,1,spco,b,,,0,1,234.693
3,18S,5/23/2017,1,8,13,8,oppo,b,,,1,,
3,18S,5/23/2017,1,9,8,1,bogr,b,,,0,1,234.693
3,18S,5/23/2017,1,10,6,5,oppo,g,,,1,,
3,18S,5/23/2017,1,11,9,2,oppo,g,,,1,,
3,18S,5/23/2017,1,12,18,4,oppo,b,,,1,,
3,18S,5/23/2017,1,13,10,7,spco,g,,,0,7,1642.851
3,18S,5/23/2017,1,14,4,2,gusa,g,,,1,,
3,18S,5/23/2017,1,15,6,2,trdu,g,,,0,2,469.386
3,18S,5/23/2017,1,16,2,2,dcr,b,,,1,,
3,18S,5/23/2017,1,17,32,5,litt,b,v,ug,0,5,1173.465
3,18S,5/23/2017,1,18,10,7,arfr,b,v,g,1,,
3,18S,5/23/2017,1,19,30,2,litt,b,,,0,2,469.386
3,18S,5/23/2017,1,20,4,2,bogr,g,,,0,2,469.386
3,18S,5/23/2017,1,21,5,2,bogr,g,,,0,2,469.386
3,18S,5/23/2017,1,22,19,10,atca,b,g,g,1,,
3,18S,5/23/2017,1,23,8,2,litt,b,,,0,2,469.386
3,18S,5/23/2017,1,24,4,3,litt,b,v,g,0,3,704.079
3,18S,5/23/2017,1,25,10,2,heco,b,g,g,0,2,469.386
3,18S,5/23/2017,2,1,10,2,litt,g,g,g,0,2,469.386
3,18S,5/23/2017,2,2,10,2,heco,g,g,g,0,2,469.386
3,18S,5/23/2017,2,3,18,4,bogr,g,g,g,0,4,938.772
3,18S,5/23/2017,2,4,12,3,litt,g,g,g,0,3,704.079
3,18S,5/23/2017,2,5,9,2,litt,b,g,g,0,2,469.386
3,18S,5/23/2017,2,6,6,2,litt,g,g,g,0,2,469.386
3,18S,5/23/2017,2,7,14,8,heco,b,e,g,0,8,1877.544
3,18S,5/23/2017,2,8,12,4,heco,g,v,g,0,4,938.772
3,18S,5/23/2017,2,9,4,3,bogr,g,v,ug,0,3,704.079
3,18S,5/23/2017,2,10,4,1,cadu,g,g,g,0,1,234.693
3,18S,5/23/2017,2,11,6,1,cadu,g,g,g,0,1,234.693
3,18S,5/23/2017,2,12,7,2,cadu,g,g,g,0,2,469.386
3,18S,5/23/2017,2,13,0,0,bare,,g,g,0,0,
3,18S,5/23/2017,2,14,4,0,bare,b,g,g,0,0,
3,18S,5/23/2017,2,15,5,1,litt,b,g,g,0,1,234.693
3,18S,5/23/2017,2,16,10,3,cadu,g,g,g,0,3,704.079
3,18S,5/23/2017,2,17,20,12,heco,g,g,g,0,12,2816.316
3,18S,5/23/2017,2,18,4,2,spcr,g,g,g,0,2,469.386
3,18S,5/23/2017,2,19,6,2,bogr,g,g,g,0,2,469.386
3,18S,5/23/2017,2,20,9,4,heco,g,g,g,0,4,938.772
3,18S,5/23/2017,2,21,6,3,cadu,g,g,g,0,3,704.079
3,18S,5/23/2017,2,22,5,2,cadu,g,g,g,0,2,469.386
3,18S,5/23/2017,2,23,9,2,heco,b,v,g,0,2,469.386
3,18S,5/23/2017,2,24,6,3,bogr,g,g,g,0,3,704.079
3,18S,5/23/2017,2,25,6,1,heco,g,,,0,1,234.693
3,18S,5/23/2017,3,1,16,2,elel,b,e,g,0,2,469.386
3,18S,5/23/2017,3,2,55,22,eref,b,e,ug,1,,
3,18S,5/23/2017,3,3,12,2,elel,g,,,0,2,469.386
3,18S,5/23/2017,3,4,28,9,arfr,b,,,1,,
3,18S,5/23/2017,3,5,10,5,oppo,g,,,1,,
3,18S,5/23/2017,3,6,32,20,trdu,b,,,0,20,4693.86
3,18S,5/23/2017,3,7,18,2,pasm,g,,,0,2,469.386
3,18S,5/23/2017,3,8,15,4,bogr,b,,,0,4,938.772
3,18S,5/23/2017,3,9,15,6,litt,g,g,g,0,6,1408.158
3,18S,5/23/2017,3,10,16,7,bogr,b,,,0,7,1642.851
3,18S,5/23/2017,3,11,17,9,pasm,g,g,g,0,9,2112.237
3,18S,5/23/2017,3,12,4,3,bogr,g,g,g,0,3,704.079
3,18S,5/23/2017,3,13,13,7,oppo,g,,,1,,
3,18S,5/23/2017,3,14,7,3,bogr,g,,,0,3,704.079
3,18S,5/23/2017,3,15,3,3,bogr,g,,,0,3,704.079
3,18S,5/23/2017,3,16,14,10,bogr,g,,,0,10,2346.93
3,18S,5/23/2017,3,17,10,7,oppo,g,e,g,1,,
3,18S,5/23/2017,3,18,14,3,bogr,g,,,0,3,704.079
3,18S,5/23/2017,3,19,5,2,bogr,g,,,0,2,469.386
3,18S,5/23/2017,3,20,5,1,cadu,g,,,0,1,234.693
3,18S,5/23/2017,3,21,18,7,oppo,b,,,1,,
3,18S,5/23/2017,3,22,6,2,bogr,b,g,g,0,2,469.386
3,18S,5/23/2017,3,23,3,3,dung,,,,1,,
3,18S,5/23/2017,3,24,12,3,bogr,g,,,0,3,704.079
3,18S,5/23/2017,3,25,12,7,pasm,b,,,0,7,1642.851
3,18S,5/23/2017,4,1,16,4,pasm,b,,,0,4,938.772
3,18S,5/23/2017,4,2,18,10,stde,b,,,0,10,2346.93
3,18S,5/23/2017,4,3,5,2,bogr,b,g,g,0,2,469.386
3,18S,5/23/2017,4,4,18,10,heco,g,v,g,0,10,2346.93
3,18S,5/23/2017,4,5,6,2,pasm,g,g,g,0,2,469.386
3,18S,5/23/2017,4,6,0,0,litt,,g,g,0,0,0
3,18S,5/23/2017,4,7,8,2,bogr,g,g,g,0,2,469.386
3,18S,5/23/2017,4,8,8,2,pasm,g,,,0,2,469.386
3,18S,5/23/2017,4,9,12,3,cadu,g,v,ug,0,3,704.079
3,18S,5/23/2017,4,10,9,4,pasm,g,,,0,4,938.772
3,18S,5/23/2017,4,11,22,2,oppo,b,,,1,,
3,18S,5/23/2017,4,12,12,7,pasm,g,,,0,7,1642.851
3,18S,5/23/2017,4,13,15,6,cadu,g,,,0,6,1408.158
3,18S,5/23/2017,4,14,10,4,cadu,g,,,0,4,938.772
3,18S,5/23/2017,4,15,8,2,cadu,g,,,0,2,469.386
3,18S,5/23/2017,4,16,5,2,bogr,g,,,0,2,469.386
3,18S,5/23/2017,4,17,8,2,bogr,b,,,0,2,469.386
3,18S,5/23/2017,4,18,3,2,pasm,g,,,0,2,469.386
3,18S,5/23/2017,4,19,6,1,bogr,g,,,0,1,234.693
3,18S,5/23/2017,4,20,6,2,cadu,g,,,0,2,469.386
3,18S,5/23/2017,4,21,4,1,bogr,g,,,0,1,234.693
3,18S,5/23/2017,4,22,12,6,pasm,g,,,0,6,1408.158
3,18S,5/23/2017,4,23,6,2,pasm,g,,,0,2,469.386
3,18S,5/23/2017,4,24,40,10,atca,b,,,0,10,2346.93
3,18S,5/23/2017,4,25,10,4,pasm,g,,,0,4,938.772
3,18S_burn,5/23/2017,5,1,0,0,bare,,g,g,0,0,0
3,18S_burn,5/23/2017,5,2,5,3,heco,g,g,g,0,3,704.079
3,18S_burn,5/23/2017,5,3,0,0,bare,,g,g,0,0,0
3,18S_burn,5/23/2017,5,4,0,0,bare,,g,g,0,0,0
3,18S_burn,5/23/2017,5,5,3,1,bogr,g,,,0,1,234.693
3,18S_burn,5/23/2017,5,6,5,2,bogr,g,g,g,0,2,469.386
3,18S_burn,5/23/2017,5,7,0,0,dcr,,,,1,,
3,18S_burn,5/23/2017,5,8,4,3,bogr,g,,,0,3,704.079
3,18S_burn,5/23/2017,5,9,6,2,bogr,g,,,0,2,469.386
3,18S_burn,5/23/2017,5,10,7,2,bogr,g,g,g,0,2,469.386
3,18S_burn,5/23/2017,5,11,0,0,bare,,g,g,0,0,0
3,18S_burn,5/23/2017,5,12,8,2,spcr,g,g,g,0,2,469.386
3,18S_burn,5/23/2017,5,13,6,1,heco,g,g,g,0,1,234.693
3,18S_burn,5/23/2017,5,14,4,1,bogr,g,g,g,0,1,234.693
3,18S_burn,5/23/2017,5,15,6,0,bare,,g,g,0,0,0
3,18S_burn,5/23/2017,5,16,5,1,cadu,g,,,0,1,234.693
3,18S_burn,5/23/2017,5,17,6,2,spcr,g,g,g,0,2,469.386
3,18S_burn,5/23/2017,5,18,5,2,cadu,g,g,g,0,2,469.386
3,18S_burn,5/23/2017,5,19,6,3,bogr,g,g,g,0,3,704.079
3,18S_burn,5/23/2017,5,20,4,0,bare,g,g,g,0,0,0
3,18S_burn,5/23/2017,5,21,3,2,bogr,g,g,g,0,2,469.386
3,18S_burn,5/23/2017,5,22,8,0,dcr,g,,,1,,
3,18S_burn,5/23/2017,5,23,12,0,dcr,g,g,g,1,,
3,18S_burn,5/23/2017,5,24,3,1,litt,g,g,g,0,1,234.693
3,18S_burn,5/23/2017,5,25,6,2,heco,g,g,g,0,2,469.386
3,18S_burn,5/23/2017,6,1,6,4,heco,g,g,g,0,4,938.772
3,18S_burn,5/23/2017,6,2,0,0,bare,,g,g,0,0,0
