Date,Pasture,Ecosite,Plot,Transect,Distance,High-E,Low-E,Spp-E,High-W,Low-W,Spp-W,Mean High,Mean Low,Screen 1,Screen 2 ,Low 1,Low 2 ,Mean Low Filtered
10/6/2014,17N,Upland,1,3,12,16,4,BOGR,14,4,BOGR,15,4,0,0,4,4,4
10/6/2014,17N,Upland,1,3,15,14,2,BOGR,20,4,BOGR,17,3,0,0,2,4,3
10/6/2014,17N,Upland,1,3,18,15,3,BOGR,13,3,BOGR,14,3,0,0,3,3,3
10/6/2014,17N,Upland,1,3,21,25,2,BOGR,12,4,BOGR,18.5,3,0,0,2,4,3
10/6/2014,17N,Upland,1,3,24,9,5,BOGR,14,2,BOGR,11.5,3.5,0,0,5,2,3.5
10/6/2014,17N,Upland,1,4,3,12,4,BOGR,42,6,STCO,27,5,0,0,4,6,5
10/6/2014,17N,Upland,1,4,6,24,3,BOGR,25,2,BOGR,24.5,2.5,0,0,3,2,2.5
10/6/2014,17N,Upland,1,4,9,8,1,BOGR,4,2,BOGR,6,1.5,0,0,1,2,1.5
10/6/2014,17N,Upland,1,4,12,22,2,BOGR,19,3,BOGR,20.5,2.5,0,0,2,3,2.5
10/6/2014,17N,Upland,1,4,15,20,5,PASM,28,6,BOGR,24,5.5,0,0,5,6,5.5
10/6/2014,17N,Upland,1,4,18,24,9,PASM,22,5,BOGR,23,7,0,0,9,5,7
10/6/2014,17N,Upland,1,4,21,23,4,BOGR,33,5,BOGR,28,4.5,0,0,4,5,4.5
10/6/2014,17N,Upland,1,4,24,22,8,PSTE,22,1,BOGR,22,4.5,0,0,8,1,4.5
10/6/2014,17N,Upland,2,1,3,9,3,BOGR,12,3,BOGR,10.5,3,0,0,3,3,3
10/6/2014,17N,Upland,2,1,6,18,3,BOGR,10,3,BOGR,14,3,0,0,3,3,3
10/6/2014,17N,Upland,2,1,9,21,5,BOGR,4,2,BOGR,12.5,3.5,0,0,5,2,3.5
10/6/2014,17N,Upland,2,1,12,20,4,BOGR,19,5,OPPO,19.5,4.5,0,1,4,,4
10/6/2014,17N,Upland,2,1,15,9,2,VUOC,20,2,ARLO,14.5,2,1,0,,2,2
10/6/2014,17N,Upland,2,1,18,7,2,VUOC,14,1,BOGR,10.5,1.5,1,0,,1,1
10/6/2014,17N,Upland,2,1,21,12,3,VUOC,15,2,BOGR,13.5,2.5,1,0,,2,2
10/6/2014,17N,Upland,2,1,24,22,3,VUOC,16,1,BOGR,19,2,1,0,,1,1
10/6/2014,17N,Upland,2,2,3,14,1,BOGR,19,2,BOGR,16.5,1.5,0,0,1,2,1.5
10/6/2014,17N,Upland,2,2,6,30,5,BOGR,20,1,BOGR,25,3,0,0,5,1,3
10/6/2014,17N,Upland,2,2,9,13,3,OPPO,15,8,ARLO,14,5.5,1,0,,8,8
10/6/2014,17N,Upland,2,2,12,22,5,VUOC,18,4,OPPO,20,4.5,1,1,,, 
10/6/2014,17N,Upland,2,2,15,25,4,OPPO,14,1,BOGR,19.5,2.5,1,0,,1,1
10/6/2014,17N,Upland,2,2,18,12,2,VUOC,23,2,VUOC,17.5,2,1,1,,, 
10/6/2014,17N,Upland,2,2,21,26,4,VUOC,12,4,OPPO,19,4,1,1,,, 
10/6/2014,17N,Upland,2,2,24,28,1,BOGR,8,3,VUOC,18,2,0,1,1,,1
10/6/2014,17N,Upland,2,3,3,18,3,BOGR,13,5,BOGR,15.5,4,0,0,3,5,4
10/6/2014,17N,Upland,2,3,6,7,2,BOGR,10,2,BOGR,8.5,2,0,0,2,2,2
10/6/2014,17N,Upland,2,3,9,17,2,BOGR,9,1,BOGR,13,1.5,0,0,2,1,1.5
10/6/2014,17N,Upland,2,3,12,14,5,ARLO,16,2,ARLO,15,3.5,0,0,5,2,3.5
10/6/2014,17N,Upland,2,3,15,21,4,BOGR,30,3,BOGR,25.5,3.5,0,0,4,3,3.5
10/6/2014,17N,Upland,2,3,18,22,2,BOGR,16,2,EREF,19,2,0,1,2,,2
10/6/2014,17N,Upland,2,3,21,21,3,BOGR,20,8,ARLO,20.5,5.5,0,0,3,8,5.5
10/6/2014,17N,Upland,2,3,24,22,3,BOGR,21,3,BOGR,21.5,3,0,0,3,3,3
10/6/2014,17N,Upland,2,4,3,44,10,CIUN,9,2,BOGR,26.5,6,0,0,10,2,6
10/6/2014,17N,Upland,2,4,6,22,5,BOGR,16,5,OEAL,19,5,0,0,5,5,5
10/6/2014,17N,Upland,2,4,9,18,2,BOGR,20,2,BOGR,19,2,0,0,2,2,2
10/6/2014,17N,Upland,2,4,12,20,3,BOGR,10,2,BOGR,15,2.5,0,0,3,2,2.5
10/6/2014,17N,Upland,2,4,15,10,3,BOGR,15,4,BOGR,12.5,3.5,0,0,3,4,3.5
10/6/2014,17N,Upland,2,4,18,20,2,BOGR,13,4,ARLO,16.5,3,0,0,2,4,3
10/6/2014,17N,Upland,2,4,21,10,5,BOGR,10,2,BOGR,10,3.5,0,0,5,2,3.5
10/6/2014,17N,Upland,2,4,24,12,2,BOGR,25,6,BOGR,18.5,4,0,0,2,6,4
10/6/2014,17N,Salt Flat,3,1,3,28,11,STCO,22,2,BOGR,25,6.5,0,0,11,2,6.5
10/6/2014,17N,Salt Flat,3,1,6,30,4,PASM,28,4,PASM,29,4,0,0,4,4,4
10/6/2014,17N,Salt Flat,3,1,9,21,7,DISP,36,3,PASM,28.5,5,0,0,7,3,5
10/6/2014,17N,Salt Flat,3,1,12,33,3,DISP,48,6,PASM,40.5,4.5,0,0,3,6,4.5
10/6/2014,17N,Salt Flat,3,1,15,40,9,PASM,26,4,DISP,33,6.5,0,0,9,4,6.5
10/6/2014,17N,Salt Flat,3,1,18,19,5,DISP,17,2,BOGR,18,3.5,0,0,5,2,3.5
10/6/2014,17N,Salt Flat,3,1,21,8,3,BOGR,14,5,BOGR,11,4,0,0,3,5,4
10/6/2014,17N,Salt Flat,3,1,24,16,1,BOGR,7,2,BOGR,11.5,1.5,0,0,1,2,1.5
10/6/2014,17N,Salt Flat,3,2,3,17,11,DISP,31,7,SPAI,24,9,0,0,11,7,9
10/6/2014,17N,Salt Flat,3,2,6,18,4,DISP,11,9,SPAI,14.5,6.5,0,0,4,9,6.5
10/6/2014,17N,Salt Flat,3,2,9,21,12,DISP,6,4,DISP,13.5,8,0,0,12,4,8
10/6/2014,17N,Salt Flat,3,2,12,2,1,DISP,5,4,SPAI,3.5,2.5,0,0,1,4,2.5
10/6/2014,17N,Salt Flat,3,2,15,14,5,SPAI,0,0,LIT,7,2.5,0,0,5,0,2.5
10/6/2014,17N,Salt Flat,3,2,18,5,4,BOGR,2,1,BOGR,3.5,2.5,0,0,4,1,2.5
10/6/2014,17N,Salt Flat,3,2,21,16,6,ARLO,16,9,ARLO,16,7.5,0,0,6,9,7.5
10/6/2014,17N,Salt Flat,3,2,24,3,2,BOGR,0,0,LIT,1.5,1,0,0,2,0,1
10/6/2014,17N,Salt Flat,3,3,3,32,9,SPAI,40,6,BOGR,36,7.5,0,0,9,6,7.5
10/6/2014,17N,Salt Flat,3,3,6,50,8,BOGR,44,9,SPAI,47,8.5,0,0,8,9,8.5
10/6/2014,17N,Salt Flat,3,3,9,32,10,PASM,34,8,PASM,33,9,0,0,10,8,9
10/6/2014,17N,Salt Flat,3,3,12,31,11,SPAI,48,8,PASM,39.5,9.5,0,0,11,8,9.5
10/6/2014,17N,Salt Flat,3,3,15,29,6,PASM,42,9,SPAI,35.5,7.5,0,0,6,9,7.5
10/6/2014,17N,Salt Flat,3,3,18,34,4,SPAI,39,7,SPAI,36.5,5.5,0,0,4,7,5.5
10/6/2014,17N,Salt Flat,3,3,21,41,5,DISP,26,5,PASM,33.5,5,0,0,5,5,5
10/6/2014,17N,Salt Flat,3,3,24,42,2,PASM,34,4,DISP,38,3,0,0,2,4,3
10/6/2014,17N,Salt Flat,3,4,3,40,12,CAFI,20,8,CAFI,30,10,0,0,12,8,10
10/6/2014,17N,Salt Flat,3,4,6,63,15,CAFI,62,15,CAFI,62.5,15,0,0,15,15,15
10/6/2014,17N,Salt Flat,3,4,9,45,12,CAFI,44,18,CAFI,44.5,15,0,0,12,18,15
10/6/2014,17N,Salt Flat,3,4,12,31,11,CAFI,31,13,CAFI,31,12,0,0,11,13,12
10/6/2014,17N,Salt Flat,3,4,15,25,9,CAFI,52,12,CAFI,38.5,10.5,0,0,9,12,10.5
10/6/2014,17N,Salt Flat,3,4,18,40,12,CAFI,32,18,CAFI,36,15,0,0,12,18,15
10/6/2014,17N,Salt Flat,3,4,21,32,10,SPAI,30,10,SPAI,31,10,0,0,10,10,10
10/6/2014,17N,Salt Flat,3,4,24,44,6,CAFI,34,4,BOGR,39,5,0,0,6,4,5
10/6/2014,17N,Salt Flat,4,1,3,50,13,STCO,68,22,STCO,59,17.5,0,0,13,22,17.5
10/6/2014,17N,Salt Flat,4,1,6,52,19,STCO,75,28,STCO,63.5,23.5,0,0,19,28,23.5
10/6/2014,17N,Salt Flat,4,1,9,64,10,PASM,58,20,SPAI,61,15,0,0,10,20,15
10/6/2014,17N,Salt Flat,4,1,12,16,5,SPAI,36,10,SPAI,26,7.5,0,0,5,10,7.5
10/6/2014,17N,Salt Flat,4,1,15,14,4,BOGR,22,9,DISP,18,6.5,0,0,4,9,6.5
10/6/2014,17N,Salt Flat,4,1,18,21,4,DISP,16,11,PASM,18.5,7.5,0,0,4,11,7.5
10/6/2014,17N,Salt Flat,4,1,21,31,11,DISP,22,9,DISP,26.5,10,0,0,11,9,10
10/6/2014,17N,Salt Flat,4,1,24,32,6,STCO,36,4,BOGR,34,5,0,0,6,4,5
10/6/2014,17N,Salt Flat,4,2,3,42,18,SPAI,66,9,SPAI,54,13.5,0,0,18,9,13.5
10/6/2014,17N,Salt Flat,4,2,6,65,17,STCO,83,16,SPAI,74,16.5,0,0,17,16,16.5
10/6/2014,17N,Salt Flat,4,2,9,41,13,VUOC,44,12,SPAI,42.5,12.5,1,0,,12,12
10/6/2014,17N,Salt Flat,4,2,12,32,7,PASM,46,12,SPAI,39,9.5,0,0,7,12,9.5
10/6/2014,17N,Salt Flat,4,2,15,47,11,SPAI,44,9,SPAI,45.5,10,0,0,11,9,10
10/6/2014,17N,Salt Flat,4,2,18,33,3,SPAI,34,8,SPAI,33.5,5.5,0,0,3,8,5.5
10/6/2014,17N,Salt Flat,4,2,21,25,10,SPAI,32,7,SPAI,28.5,8.5,0,0,10,7,8.5
10/6/2014,17N,Salt Flat,4,2,24,61,12,SPAI,47,9,PASM,54,10.5,0,0,12,9,10.5
10/6/2014,17N,Salt Flat,4,3,3,33,8,BOGR,28,21,BOGR,30.5,14.5,0,0,8,21,14.5
10/6/2014,17N,Salt Flat,4,3,6,24,12,SPAI,46,16,SPAI,35,14,0,0,12,16,14
10/6/2014,17N,Salt Flat,4,3,9,13,8,BOGR,39,11,SPAI,26,9.5,0,0,8,11,9.5
10/6/2014,17N,Salt Flat,4,3,12,32,12,SPAI,36,24,SPAI,34,18,0,0,12,24,18
10/6/2014,17N,Salt Flat,4,3,15,15,6,SPAI,46,22,PASM,30.5,14,0,0,6,22,14
10/6/2014,17N,Salt Flat,4,3,18,20,10,SPAI,14,11,SPAI,17,10.5,0,0,10,11,10.5
10/6/2014,17N,Salt Flat,4,3,21,14,11,SPAI,21,13,SPAI,17.5,12,0,0,11,13,12
10/6/2014,17N,Salt Flat,4,3,24,41,18,SPAI,46,24,SPAI,43.5,21,0,0,18,24,21
10/6/2014,17N,Salt Flat,4,4,3,45,9,SPAI,30,7,SPAI,37.5,8,0,0,9,7,8
10/6/2014,17N,Salt Flat,4,4,6,32,2,DISP,21,4,DISP,26.5,3,0,0,2,4,3
10/6/2014,17N,Salt Flat,4,4,9,44,4,SPAI,20,7,DISP,32,5.5,0,0,4,7,5.5
10/6/2014,17N,Salt Flat,4,4,12,35,5,BOGR,40,8,SPAI,37.5,6.5,0,0,5,8,6.5
10/6/2014,17N,Salt Flat,4,4,15,40,5,SPAI,32,8,BOGR,36,6.5,0,0,5,8,6.5
10/6/2014,17N,Salt Flat,4,4,18,16,4,VUOC,28,9,SPAI,22,6.5,1,0,,9,9
10/6/2014,17N,Salt Flat,4,4,21,34,6,DISP,30,10,VUOC,32,8,0,1,6,,6
10/6/2014,17N,Salt Flat,4,4,24,50,8,SPAI,37,6,SPAI,43.5,7,0,0,8,6,7
10/9/2014,17N,Upland,5,1,3,53,17,PASM,49,12,BOGR,51,14.5,0,0,17,12,14.5
10/9/2014,17N,Upland,5,1,6,46,20,PASM,12,9,EREF,29,14.5,0,1,20,,20
10/9/2014,17N,Upland,5,1,9,59,18,BOGR,28,10,PASM,43.5,14,0,0,18,10,14
10/9/2014,17N,Upland,5,1,12,29,8,BOGR,49,26,PASM,39,17,0,0,8,26,17
10/9/2014,17N,Upland,5,1,15,28,12,BOGR,43,12,PASM,35.5,12,0,0,12,12,12
10/9/2014,17N,Upland,5,1,18,32,28,ARLO,23,8,SPCO,27.5,18,0,0,28,8,18
10/9/2014,17N,Upland,5,1,21,11,4,BOGR,32,12,BOGR,21.5,8,0,0,4,12,8
10/9/2014,17N,Upland,5,1,24,6,4,BOGR,26,8,BOGR,16,6,0,0,4,8,6
10/9/2014,17N,Upland,5,2,3,12,3,EREF,21,3,VUOC,16.5,3,1,1,,, 
10/9/2014,17N,Upland,5,2,6,32,4,BOGR,24,8,STCO,28,6,0,0,4,8,6
10/9/2014,17N,Upland,5,2,9,76,7,STCO,40,21,STCO,58,14,0,0,7,21,14
10/9/2014,17N,Upland,5,2,12,42,9,PASM,36,8,BOGR,39,8.5,0,0,9,8,8.5
10/9/2014,17N,Upland,5,2,15,12,2,BOGR,20,2,BOGR,16,2,0,0,2,2,2
10/9/2014,17N,Upland,5,2,18,39,3,STCO,31,4,BOGR,35,3.5,0,0,3,4,3.5
10/9/2014,17N,Upland,5,2,21,29,5,SIHY,14,2,BOGR,21.5,3.5,0,0,5,2,3.5
10/9/2014,17N,Upland,5,2,24,41,2,BOGR,44,3,PASM,42.5,2.5,0,0,2,3,2.5
10/9/2014,17N,Upland,5,3,3,63,8,STCO,39,5,OPPO,51,6.5,0,1,8,,8
10/9/2014,17N,Upland,5,3,6,49,2,STCO,31,2,STCO,40,2,0,0,2,2,2
10/9/2014,17N,Upland,5,3,9,48,2,STCO,42,11,STCO,45,6.5,0,0,2,11,6.5
10/9/2014,17N,Upland,5,3,12,25,7,SPCR,38,9,STCO,31.5,8,0,0,7,9,8
10/9/2014,17N,Upland,5,3,15,38,1,BOGR,48,12,STCO,43,6.5,0,0,1,12,6.5
10/9/2014,17N,Upland,5,3,18,44,9,EREF,64,13,STCO,54,11,1,0,,13,13
10/9/2014,17N,Upland,5,3,21,62,12,STCO,69,9,STCO,65.5,10.5,0,0,12,9,10.5
10/9/2014,17N,Upland,5,3,24,61,6,STCO,46,13,EREF,53.5,9.5,0,1,6,,6
10/9/2014,17N,Upland,5,4,3,28,8,PASM,22,4,BOGR,25,6,0,0,8,4,6
10/9/2014,17N,Upland,5,4,6,18,3,BOGR,17,6,BOGR,17.5,4.5,0,0,3,6,4.5
10/9/2014,17N,Upland,5,4,9,36,8,ARLO,12,3,CAEL,24,5.5,0,0,8,3,5.5
10/9/2014,17N,Upland,5,4,12,3,2,BOGR,21,6,BOGR,12,4,0,0,2,6,4
10/9/2014,17N,Upland,5,4,15,18,3,BOGR,12,3,OPPO,15,3,0,1,3,,3
10/9/2014,17N,Upland,5,4,18,26,3,BOGR,12,10,SPCR,19,6.5,0,0,3,10,6.5
10/9/2014,17N,Upland,5,4,21,48,21,STCO,40,12,SPCR,44,16.5,0,0,21,12,16.5
10/9/2014,17N,Upland,5,4,24,44,12,BOGR,42,12,STCO,43,12,0,0,12,12,12
10/10/2014,17N,Upland,6,1,3,60,22,STCO,46,16,STCO,53,19,0,0,22,16,19
10/10/2014,17N,Upland,6,1,6,40,12,BOGR,90,12,BOGR,65,12,0,0,12,12,12
10/10/2014,17N,Upland,6,1,9,12,11,CRMI,21,4,BOGR,16.5,7.5,0,0,11,4,7.5
10/10/2014,17N,Upland,6,1,12,27,16,EREF,14,11,STCO,20.5,13.5,1,0,,11,11
10/10/2014,17N,Upland,6,1,15,3,2,CRMI,38,12,STCO,20.5,7,0,0,2,12,7
10/10/2014,17N,Upland,6,1,18,22,13,SPCO,18,4,BOGR,20,8.5,0,0,13,4,8.5
10/10/2014,17N,Upland,6,1,21,54,12,VUOC,39,12,PLPA,46.5,12,1,0,,12,12
10/10/2014,17N,Upland,6,1,24,20,14,CRMI,40,21,STCO,30,17.5,0,0,14,21,17.5
10/10/2014,17N,Upland,6,2,3,35,1,PASM,29,2,PASM,32,1.5,0,0,1,2,1.5
10/10/2014,17N,Upland,6,2,6,14,1,PASM,4,1,BOGR,9,1,0,0,1,1,1
10/10/2014,17N,Upland,6,2,9,33,2,PASM,17,1,PASM,25,1.5,0,0,2,1,1.5
10/10/2014,17N,Upland,6,2,12,29,3,PASM,31,2,BOGR,30,2.5,0,0,3,2,2.5
10/10/2014,17N,Upland,6,2,15,3,1,BUDA,1,1,BUDA,2,1,0,0,1,1,1
10/10/2014,17N,Upland,6,2,18,3,1,BUDA,5,1,BUDA,4,1,0,0,1,1,1
10/10/2014,17N,Upland,6,2,21,16,0,BARE,2,0,BARE,9,0,0,0,0,0,0
10/10/2014,17N,Upland,6,2,24,0,0,BARE,8,1,PASM,4,0.5,0,0,0,1,0.5
10/10/2014,17N,Upland,6,3,3,88,32,STCO,64,13,STCO,76,22.5,0,0,32,13,22.5
10/10/2014,17N,Upland,6,3,6,55,14,STCO,56,9,STCO,55.5,11.5,0,0,14,9,11.5
10/10/2014,17N,Upland,6,3,9,18,3,BOGR,33,3,BOGR,25.5,3,0,0,3,3,3
10/10/2014,17N,Upland,6,3,12,46,9,BOGR,45,4,STCO,45.5,6.5,0,0,9,4,6.5
10/10/2014,17N,Upland,6,3,15,69,8,STCO,56,4,STCO,62.5,6,0,0,8,4,6
10/10/2014,17N,Upland,6,3,18,34,3,BOGR,38,3,STCO,36,3,0,0,3,3,3
10/10/2014,17N,Upland,6,3,21,31,2,STCO,59,2,BOGR,45,2,0,0,2,2,2
10/10/2014,17N,Upland,6,3,24,27,5,BOGR,64,2,STCO,45.5,3.5,0,0,5,2,3.5
10/10/2014,17N,Upland,6,4,3,6,3,PASM,6,0,BARE,6,1.5,0,0,3,0,1.5
10/10/2014,17N,Upland,6,4,6,19,4,BOGR,28,12,PASM,23.5,8,0,0,4,12,8
10/10/2014,17N,Upland,6,4,9,19,2,BOGR,3,2,BOGR,11,2,0,0,2,2,2
10/10/2014,17N,Upland,6,4,12,19,5,PASM,12,4,BOGR,15.5,4.5,0,0,5,4,4.5
10/10/2014,17N,Upland,6,4,15,39,12,SPAI,32,12,PASM,35.5,12,0,0,12,12,12
10/10/2014,17N,Upland,6,4,18,26,12,BOGR,51,12,PASM,38.5,12,0,0,12,12,12
10/10/2014,17N,Upland,6,4,21,51,22,PASM,56,27,PASM,53.5,24.5,0,0,22,27,24.5
10/10/2014,17N,Upland,6,4,24,38,6,PASM,42,3,BOGR,40,4.5,0,0,6,3,4.5
10/6/2014,17S,Upland,1,1,3,30,1,BOGR,21,6,STCO,25.5,3.5,0,0,1,6,3.5
10/6/2014,17S,Upland,1,1,6,52,6,VUOC,19,2,OPPO,35.5,4,1,1,,, 
10/6/2014,17S,Upland,1,1,9,18,2,BOGR,20,1,BOGR,19,1.5,0,0,2,1,1.5
10/6/2014,17S,Upland,1,1,12,32,3,BOGR,18,2,OPPO,25,2.5,0,1,3,,3
10/6/2014,17S,Upland,1,1,15,22,4,VUOC,16,2,VUOC,19,3,1,1,,, 
10/6/2014,17S,Upland,1,1,18,23,3,BOGR,29,2,BOGR,26,2.5,0,0,3,2,2.5
10/6/2014,17S,Upland,1,1,21,18,1,BOGR,20,3,BOGR,19,2,0,0,1,3,2
10/6/2014,17S,Upland,1,1,24,28,5,CRMI,21,2,BOGR,24.5,3.5,0,0,5,2,3.5
10/6/2014,17S,Upland,1,2,3,34,3,OPPO,46,7,STCO,40,5,1,0,,7,7
10/6/2014,17S,Upland,1,2,6,18,2,BOGR,65,2,PASM,41.5,2,0,0,2,2,2
10/6/2014,17S,Upland,1,2,9,10,0,BARE,40,5,BOGR,25,2.5,0,0,0,5,2.5
10/6/2014,17S,Upland,1,2,12,56,10,STCO,35,3,BOGR,45.5,6.5,0,0,10,3,6.5
10/6/2014,17S,Upland,1,2,15,44,2,STCO,36,9,STCO,40,5.5,0,0,2,9,5.5
10/6/2014,17S,Upland,1,2,18,54,9,PASM,42,3,VUOC,48,6,0,1,9,,9
10/6/2014,17S,Upland,1,2,21,51,11,PASM,23,4,STCO,37,7.5,0,0,11,4,7.5
10/6/2014,17S,Upland,1,2,24,49,9,PASM,17,6,VUOC,33,7.5,0,1,9,,9
10/6/2014,17S,Upland,1,3,3,13,4,ARLO,19,4,BOGR,16,4,0,0,4,4,4
10/6/2014,17S,Upland,1,3,6,12,6,VUOC,27,3,BOGR,19.5,4.5,1,0,,3,3
10/6/2014,17S,Upland,1,3,9,0,0,BARE,16,4,VUOC,8,2,0,1,0,,0
10/6/2014,17S,Upland,1,3,12,14,3,BOGR,13,1,VUOC,13.5,2,0,1,3,,3
10/6/2014,17S,Upland,1,3,15,22,5,ARLO,10,4,BOGR,16,4.5,0,0,5,4,4.5
10/6/2014,17S,Upland,1,3,18,11,4,VUOC,19,3,BOGR,15,3.5,1,0,,3,3
10/6/2014,17S,Upland,1,3,21,16,3,VUOC,18,2,BOGR,17,2.5,1,0,,2,2
10/6/2014,17S,Upland,1,3,24,16,2,BOGR,14,4,BOGR,15,3,0,0,2,4,3
10/6/2014,17S,Upland,1,4,3,35,9,STCO,45,6,STCO,40,7.5,0,0,9,6,7.5
10/6/2014,17S,Upland,1,4,6,51,25,STCO,48,7,STCO,49.5,16,0,0,25,7,16
10/6/2014,17S,Upland,1,4,9,34,3,STCO,52,5,STCO,43,4,0,0,3,5,4
10/6/2014,17S,Upland,1,4,12,44,7,STCO,34,3,EREF,39,5,0,1,7,,7
10/6/2014,17S,Upland,1,4,15,33,7,STCO,45,7,STCO,39,7,0,0,7,7,7
10/6/2014,17S,Upland,1,4,18,54,12,STCO,43,10,STCO,48.5,11,0,0,12,10,11
10/6/2014,17S,Upland,1,4,21,37,3,STCO,33,2,STCO,35,2.5,0,0,3,2,2.5
10/6/2014,17S,Upland,1,4,24,14,1,BOGR,48,4,OPPO,31,2.5,0,1,1,,1
10/6/2014,17S,Upland,2,1,3,8,4,BOGR,12,2,STCO,10,3,0,0,4,2,3
10/6/2014,17S,Upland,2,1,6,20,4,BOGR,18,4,BOGR,19,4,0,0,4,4,4
10/6/2014,17S,Upland,2,1,9,8,2,BOGR,18,2,BOGR,13,2,0,0,2,2,2
10/6/2014,17S,Upland,2,1,12,11,5,BOGR,9,2,BOGR,10,3.5,0,0,5,2,3.5
10/6/2014,17S,Upland,2,1,15,10,3,BOGR,10,3,VUOC,10,3,0,1,3,,3
10/6/2014,17S,Upland,2,1,18,10,4,BOGR,10,4,BOGR,10,4,0,0,4,4,4
10/6/2014,17S,Upland,2,1,21,12,5,VUOC,7,2,BOGR,9.5,3.5,1,0,,2,2
10/6/2014,17S,Upland,2,1,24,7,3,BOGR,14,2,BOGR,10.5,2.5,0,0,3,2,2.5
10/6/2014,17S,Upland,2,2,3,4,1,BOGR,18,2,BOGR,11,1.5,0,0,1,2,1.5
10/6/2014,17S,Upland,2,2,6,7,1,BOGR,19,3,BOGR,13,2,0,0,1,3,2
10/6/2014,17S,Upland,2,2,9,26,6,BOGR,21,2,BOGR,23.5,4,0,0,6,2,4
10/6/2014,17S,Upland,2,2,12,7,2,BOGR,26,5,BOGR,16.5,3.5,0,0,2,5,3.5
10/6/2014,17S,Upland,2,2,15,28,4,OPPO,14,3,BOGR,21,3.5,1,0,,3,3
10/6/2014,17S,Upland,2,2,18,20,6,BOGR,18,2,BOGR,19,4,0,0,6,2,4
10/6/2014,17S,Upland,2,2,21,10,3,CRMI,34,6,OPPO,22,4.5,0,1,3,,3
10/6/2014,17S,Upland,2,2,24,20,6,BOGR,36,5,STCO,28,5.5,0,0,6,5,5.5
10/6/2014,17S,Upland,2,3,3,6,2,BOGR,1,0,BOGR,3.5,1,0,0,2,0,1
10/6/2014,17S,Upland,2,3,6,7,3,BOGR,2,1,BOGR,4.5,2,0,0,3,1,2
10/6/2014,17S,Upland,2,3,9,22,3,BOGR,13,2,BOGR,17.5,2.5,0,0,3,2,2.5
10/6/2014,17S,Upland,2,3,12,4,3,BOGR,6,1,BOGR,5,2,0,0,3,1,2
10/6/2014,17S,Upland,2,3,15,6,3,BOGR,21,3,VUOC,13.5,3,0,1,3,,3
10/6/2014,17S,Upland,2,3,18,13,1,BOGR,5,2,VUOC,9,1.5,0,1,1,,1
10/6/2014,17S,Upland,2,3,21,7,2,BOGR,10,4,VUOC,8.5,3,0,1,2,,2
10/6/2014,17S,Upland,2,3,24,14,3,BOGR,4,2,BOGR,9,2.5,0,0,3,2,2.5
10/6/2014,17S,Upland,2,4,3,24,3,BOGR,16,5,BOGR,20,4,0,0,3,5,4
10/6/2014,17S,Upland,2,4,6,16,7,OPPO,21,2,BOGR,18.5,4.5,1,0,,2,2
10/6/2014,17S,Upland,2,4,9,21,5,SPCO,24,3,CRMI,22.5,4,0,0,5,3,4
10/6/2014,17S,Upland,2,4,12,10,3,OPPO,16,1,CRMI,13,2,1,0,,1,1
