Date,Pasture,Plot,Transect , Distance,East-High,East-High-Spp,East-Low,East-Low-Spp,West-High,West-High-Sp,West-Low,West-Low-Spp
9/29/2022,5E,2,2,18,26,BOGR,2,OPPO,30,BOGR,1,OPPO
9/29/2022,5E,2,2,21,34,BOGR,1,PASM,30,BOGR,1,BOGR
9/29/2022,5E,2,2,24,28,BOGR,1,PASM,24,BOGR,2,PASM
9/29/2022,5E,2,3,3,14,BOGR,1,BOGR,7,ARPU,1,ARPU
9/29/2022,5E,2,3,6,5,BOGR,1,BOGR,3,BUDA,1,BUDA
9/29/2022,5E,2,3,9,0,BARE,0,BARE,1,BOGR,0,BOGR
9/29/2022,5E,2,3,12,0,BARE,0,BARE,1,BOGR,1,BOGR
9/29/2022,5E,2,3,15,3,BOGR,1,BOGR,0,BARE,0,BARE
9/29/2022,5E,2,3,18,6,BOGR,1,BOGR,14,BOGR,4,OPPO
9/29/2022,5E,2,3,21,14,BOGR,2,SAIB,30,ATCA,20,ATCA
9/29/2022,5E,2,3,24,36,ATCA,1,PASM,50,ATCA,45,ATCA
9/29/2022,5E,2,4,3,14,BOGR,1,BOGR,10,BOGR,1,CADU
9/29/2022,5E,2,4,6,12,BOGR,2,OPPO,12,SAIB,1,BOGR
9/29/2022,5E,2,4,9,24,BOGR,2,EREF,29,BOGR,2,PASM
9/29/2022,5E,2,4,12,3,BOGR,1,BOGR,6,SPCR,1,BOGR
9/29/2022,5E,2,4,15,0,BARE,0,BARE,28,BOGR,2,OPPO
9/29/2022,5E,2,4,18,38,BOGR,2,OPPO,18,BOGR,1,PASM
9/29/2022,5E,2,4,21,21,BOGR,1,PASM,24,BOGR,1,PASM
9/29/2022,5E,2,4,24,24,BOGR,2,PASM,34,BOGR,1,BOGR
9/29/2022,5E,3,1,3,20,BOGR,1,PASM,17,PASM,2,PASM
9/29/2022,5E,3,1,6,7,BOGR,0,BARE,16,PASM,1,PASM
9/29/2022,5E,3,1,9,7,PASM,1,PASM,10,PASM,1,PASM
9/29/2022,5E,3,1,12,0,BARE,0,BARE,7,PASM,1,PASM
9/29/2022,5E,3,1,15,10,PASM,2,OPPO,16,BOGR,1,PASM
9/29/2022,5E,3,1,18,20,ATCA,1,PASM,3,PASM,1,PASM
9/29/2022,5E,3,1,21,14,PASM,1,PASM,16,BOGR,1,BOGR
9/29/2022,5E,3,1,24,0,BARE,0,BARE,3,PASM,0,BARE
9/29/2022,5E,3,2,3,1,ATCA,0,BARE,7,BOGR,1,BOGR
9/29/2022,5E,3,2,6,16,BOGR,1,BOGR,30,ATCA,25,ATCA
9/29/2022,5E,3,2,9,2,BOGR,1,BOGR,32,BOGR,1,BOGR
9/29/2022,5E,3,2,12,18,BOGR,2,BOGR,2,BOGR,1,BOGR
9/29/2022,5E,3,2,15,32,BOGR,2,BOGR,20,BOGR,2,OPPO
9/29/2022,5E,3,2,18,31,BOGR,1,BOGR,16,PASM,1,PASM
9/29/2022,5E,3,2,21,9,CHLE,1,OPPO,24,BOGR,1,BOGR
9/29/2022,5E,3,2,24,16,BOGR,0,BARE,34,BOGR,2,OPPO
9/29/2022,5E,3,3,3,11,PASM,2,OPPO,9,PASM,1,PASM
9/29/2022,5E,3,3,6,1,CADU,0,BARE,10,PASM,1,PASM
9/29/2022,5E,3,3,9,26,ATCA,4,ATCA,44,ATCA,10,ATCA
9/29/2022,5E,3,3,12,24,BOGR,1,PASM,4,PASM,1,PASM
9/29/2022,5E,3,3,15,24,PASM,5,OPPO,19,PASM,1,PASM
9/29/2022,5E,3,3,18,15,BOGR,1,PASM,15,ATCA,4,ATCA
9/29/2022,5E,3,3,21,17,BOGR,3,CHLE,6,CHLE,2,CHLE
9/29/2022,5E,3,3,24,4,BOGR,1,BOGR,2,BOGR,1,BOGR
9/29/2022,7NW,5,1,3,34,BOGR,5,ATCA,4,CHLE,0,CHLE
9/29/2022,7NW,5,1,6,40,ATCA,9,ATCA,28,SPCR,6,CIUN
9/29/2022,7NW,5,1,9,14,SAIB,2,SAIB,48,ATCA,35,ATCA
9/29/2022,7NW,5,1,12,26,CHLE,2,BOGR,13,EREF,1,EREF
9/29/2022,7NW,5,1,15,22,BOGR,3,OPPO,50,BOGR,5,OPPO
9/29/2022,7NW,5,1,18,14,BOGR,3,OPPO,16,CHLE,3,SAIB
9/29/2022,7NW,5,1,21,8,HECO,0,HECO,20,BOGR,3,OPPO
9/29/2022,7NW,5,1,24,32,SAIB,2,OPPO,12,CHLE,0,CHLE
9/29/2022,7NW,5,2,3,20,BOGR,1,BOGR,16,BOGR,2,BOGR
9/29/2022,7NW,5,2,6,11,DISP,1,DISP,18,BOGR,1,POOL
9/29/2022,7NW,5,2,9,44,BOGR,2,BOGR,12,DISP,3,DISP
9/29/2022,7NW,5,2,12,26,BOGR,0,SAIB,22,BOGR,1,BOGR
9/29/2022,7NW,5,2,15,17,BOGR,1,DISP,22,BOGR,0,BOGR
9/29/2022,7NW,5,2,18,14,DISP,0,DISP,16,DISP,0,DISP
9/29/2022,7NW,5,2,21,4,DISP,0,POOL,4,DISP,0,DISP
9/29/2022,7NW,5,2,24,14,ATCA,1,DISP,14,DISP,1,EREF
9/29/2022,7NW,5,3,3,4,BOGR,1,BOGR,5,BOGR,0,BOGR
9/29/2022,7NW,5,3,6,20,BOGR,2,BOGR,2,BOGR,0,BOGR
9/29/2022,7NW,5,3,9,7,BOGR,1,BOGR,4,BUDA,0,BUDA
9/29/2022,7NW,5,3,12,1,BOGR,0,BOGR,0,BARE,0,BARE
9/29/2022,7NW,5,3,15,32,BOGR,3,OPPO,24,BOGR,2,OPPO
9/29/2022,7NW,5,3,18,14,BOGR,0,BOGR,22,BOGR,1,BOGR
9/29/2022,7NW,5,3,21,8,CADU,0,CADU,8,CADU,0,CADU
9/29/2022,7NW,5,3,24,4,CADU,0,CADU,44,ATCA,3,ATCA
9/29/2022,7NW,5,4,3,22,BOGR,3,BOGR,20,CHLE,6,CHLE
9/29/2022,7NW,5,4,6,12,DISP,7,OPPO,14,DISP,3,DISP
9/29/2022,7NW,5,4,9,40,ATCA,13,ATCA,32,BOGR,5,DISP
9/29/2022,7NW,5,4,12,40,BOGR,3,OPPO,34,BOGR,3,DISP
9/29/2022,7NW,5,4,15,84,ATCA,60,ATCA,38,BOGR,3,ATCA
9/29/2022,7NW,5,4,18,10,CHLE,1,CHLE,34,BOGR,3,IVAX
9/29/2022,7NW,5,4,21,31,BOGR,3,BOGR,10,BOGR,0,BOGR
9/29/2022,7NW,5,4,24,22,BOGR,1,BOGR,32,BOGR,5,CIUN
9/29/2022,7NW,6,1,3,30,BOGR,2,SAIB,31,PASM,3,PASM
9/29/2022,7NW,6,1,6,18,BOGR,4,EREF,14,BOGR,1,BOGR
9/29/2022,7NW,6,1,9,16,HECO,6,ATCA,8,SAIB,4,SAIB
9/29/2022,7NW,6,1,12,11,PASM,0,PASM,11,CADU,0,BOGR
9/29/2022,7NW,6,1,15,14,BOGR,0,PASM,12,ARPU,0,PASM
9/29/2022,7NW,6,1,18,16,BOGR,3,BOGR,14,BOGR,3,BOGR
9/29/2022,7NW,6,1,21,16,HECO,3,OPPO,16,BOGR,2,BOGR
9/29/2022,7NW,6,1,24,4,BOGR,0,BOGR,12,BOGR,1,BOGR
9/29/2022,7NW,6,2,3,14,PASM,2,PASM,6,SAIB,0,BARE
9/29/2022,7NW,6,2,6,10,PASM,0,PASM,9,DISP,1,DISP
9/29/2022,7NW,6,2,9,10,DISP,0,DISP,12,BOGR,2,BOGR
9/29/2022,7NW,6,2,12,30,SAIB,3,OPPO,31,BOGR,2,BOGR
9/29/2022,7NW,6,2,15,10,PASM,0,PASM,34,BOGR,3,PASM
9/29/2022,7NW,6,2,18,10,SAIB,0,DISP,17,ATCA,0,CADU
9/29/2022,7NW,6,2,21,12,BOGR,1,PASM,11,PASM,0,PASM
9/29/2022,7NW,6,2,24,32,ATCA,21,ATCA,6,PASM,3,OPPO
9/29/2022,7NW,6,3,3,14,BOGR,2,ATCA,8,PASM,0,PASM
9/29/2022,7NW,6,3,6,2,PASM,0,CADU,6,BOGR,1,BOGR
9/29/2022,7NW,6,3,9,10,LYJU,2,PASM,6,CADU,0,CADU
9/29/2022,7NW,6,3,12,0,BARE,0,BARE,2,SPCO,0,SPCO
9/29/2022,7NW,6,3,15,14,BOGR,2,BOGR,6,PASM,0,PASM
9/29/2022,7NW,6,3,18,12,BOGR,1,BOGR,10,BOGR,0,BOGR
9/29/2022,7NW,6,3,21,45,SPAY,3,SPAY,14,SPAY,1,SPAY
9/29/2022,7NW,6,3,24,34,SPAY,1,SPAY,15,SPAY,1,SPAY
9/29/2022,7NW,6,4,3,6,PASM,0,PASM,4,PASM,0,PASM
9/29/2022,7NW,6,4,6,16,BOGR,0,PASM,14,BOGR,0,BOGR
9/29/2022,7NW,6,4,9,25,BOGR,0,BOGR,18,SPAY,3,SPAY
9/29/2022,7NW,6,4,12,12,BOGR,0,BOGR,28,BOGR,2,BOGR
9/29/2022,7NW,6,4,15,18,SPAY,4,SPAY,11,SPAY,1,BOGR
9/29/2022,7NW,6,4,18,31,BOGR,3,BOGR,31,BOGR,2,SPAY
9/29/2022,7NW,6,4,21,10,SPAY,2,SPAY,12,SPAY,1,SPAY
9/29/2022,7NW,6,4,24,16,BOGR,0,BOGR,20,SPAY,3,SPAY
9/29/2022,18S,1,1,3,34,BOGR,3,BOGR,22,BOGR,1,BOGR
9/29/2022,18S,1,1,6,14,BOGR,3,BOGR,11,BOGR,5,OPPO
9/29/2022,18S,1,1,9,37,SPCR,1,BOGR,7,BOGR,1,CADU
9/29/2022,18S,1,1,12,31,ATCA,4,ATCA,24,ATCA,1,BOGR
9/29/2022,18S,1,1,15,19,BOGR,2,OPPO,34,BOGR,4,OPPO
9/29/2022,18S,1,1,18,29,BOGR,3,BOGR,14,BOGR,0,BOGR
9/29/2022,18S,1,1,21,7,BOGR,3,OPPO,11,BOGR,4,OPPO
9/29/2022,18S,1,1,24,42,SPCR,6,OPPO,28,SPCR,5,OPPO
9/29/2022,18S,1,2,3,23,HECO,2,HECO,14,HECO,2,HECO
9/29/2022,18S,1,2,6,47,ATCA,8,ATCA,83,ATCA,5,ATCA
9/29/2022,18S,1,2,9,57,ATCA,3,BOGR,7,SAIB,1,SAIB
9/29/2022,18S,1,2,12,30,ATCA,1,ATCA,53,ATCA,8,ATCA
9/29/2022,18S,1,2,15,20,ATCA,7,ATCA,26,ATCA,3,HECO
9/29/2022,18S,1,2,18,60,ATCA,18,ATCA,50,HECO,1,HECO
9/29/2022,18S,1,2,21,22,ATCA,1,BOGR,40,SIAL,3,OPPO
9/29/2022,18S,1,2,24,75,ATCA,1,BOGR,52,HECO,3,OPPO
9/29/2022,18S,1,3,3,22,SAIB,0,SAIB,12,SAIB,1,SAIB
9/29/2022,18S,1,3,6,10,SAIB,1,SAIB,9,HECO,2,HECO
9/29/2022,18S,1,3,9,29,ATCA,1,BOGR,14,SAIB,2,SAIB
9/29/2022,18S,1,3,12,0,BARE,0,BARE,13,SAIB,1,SAIB
9/29/2022,18S,1,3,15,14,BOGR,1,BOGR,44,ATCA,2,ATCA
9/29/2022,18S,1,3,18,13,EREF,2,EREF,16,BOGR,1,BOGR
9/29/2022,18S,1,3,21,63,ATCA,7,ATCA,24,BOGR,0,BOGR
9/29/2022,18S,1,3,24,10,SAIB,1,SAIB,59,SPCR,8,ATCA
9/29/2022,18S,1,4,3,69,ATCA,52,ATCA,12,BOGR,1,EREF
9/29/2022,18S,1,4,6,38,ATCA,6,ATCA,9,HECO,1,HECO
9/29/2022,18S,1,4,9,51,ATCA,10,ATCA,17,SAIB,1,SAIB
9/29/2022,18S,1,4,12,71,ATCA,4,HECO,66,ATCA,2,HECO
9/29/2022,18S,1,4,15,36,ATCA,1,CHLE,24,SAIB,1,SAIB
9/29/2022,18S,1,4,18,17,BOGR,0,BOGR,24,HECO,7,OPPO
9/29/2022,18S,1,4,21,54,ATCA,14,ATCA,16,BOGR,1,BOGR
9/29/2022,18S,1,4,24,41,ATCA,0,BARE,10,HECO,1,HECO
9/29/2022,18S,2,1,3,11,SAIB,2,SAIB,15,BOGR,1,BOGR
9/29/2022,18S,2,1,6,10,CHLE,0,CHLE,13,CHLE,1,CHLE
9/29/2022,18S,2,1,9,27,BOGR,0,BOGR,62,ATCA,1,BOGR
9/29/2022,18S,2,1,12,59,SPCR,3,EREF,0,BARE,0,BARE
9/29/2022,18S,2,1,15,19,BOGR,1,SPCO,35,BOGR,1,SAIB
9/29/2022,18S,2,1,18,17,BOGR,1,BOGR,25,BOGR,1,BOGR
9/29/2022,18S,2,1,21,19,BOGR,0,BARE,25,BOGR,1,BOGR
9/29/2022,18S,2,1,24,27,BOGR,0,BOGR,22,BOGR,2,BOGR
9/29/2022,18S,2,2,3,12,SAIB,1,SPCO,12,SAIB,1,SAIB
9/29/2022,18S,2,2,6,20,SAIB,6,OPPO,22,ATCA,1,EREF
9/29/2022,18S,2,2,9,24,SAIB,1,SAIB,61,ATCA,4,ATCA
9/29/2022,18S,2,2,12,19,BOGR,2,BOGR,22,BOGR,2,BOGR
9/29/2022,18S,2,2,15,78,ATCA,18,ATCA,32,BOGR,6,OPPO
9/29/2022,18S,2,2,18,24,BOGR,1,BOGR,19,BOGR,1,BOGR
9/29/2022,18S,2,2,21,62,ATCA,14,ATCA,42,SIAL,2,BOGR
9/29/2022,18S,2,2,24,27,BOGR,1,BOGR,11,SAIB,3,SAIB
9/29/2022,18S,2,3,3,21,SAIB,2,SAIB,17,BOGR,1,BOGR
9/29/2022,18S,2,3,6,22,SAIB,1,SAIB,26,BOGR,1,BOGR
9/29/2022,18S,2,3,9,8,HECO,1,HECO,33,BOGR,4,EREF
9/29/2022,18S,2,3,12,41,SIAL,1,SAIB,24,SAIB,1,SAIB
9/29/2022,18S,2,3,15,24,BOGR,1,OPPO,8,LYJU,0,LYJU
9/29/2022,18S,2,3,18,22,CHLE,1,HECO,14,CHLE,2,OPPO
9/29/2022,18S,2,3,21,15,BOGR,1,BOGR,27,BOGR,2,EREF
9/29/2022,18S,2,3,24,29,BOGR,3,EREF,22,BOGR,1,BOGR
9/29/2022,18S,2,4,3,22,BOGR,1,BOGR,21,BOGR,1,OPPO
9/29/2022,18S,2,4,6,2,BOGR,1,BOGR,18,SAIB,3,OPPO
9/29/2022,18S,2,4,9,75,ATCA,27,ATCA,17,BOGR,1,BOGR
9/29/2022,18S,2,4,12,8,SAIB,1,BOGR,15,ATCA,0,BARE
9/29/2022,18S,2,4,15,15,BOGR,1,BOGR,36,BOGR,1,BOGR
9/29/2022,18S,2,4,18,52,ATCA,6,ATCA,19,ATCA,3,ATCA
9/29/2022,18S,2,4,21,18,BOGR,6,OPPO,20,ELEL,7,OPPO
9/29/2022,18S,2,4,24,81,ATCA,24,ATCA,21,SAIB,1,SAIB
9/29/2022,18S,3,1,3,27,PASM,2,OPPO,7,SAIB,1,SAIB
9/29/2022,18S,3,1,6,46,ATCA,3,ATCA,16,BOGR,1,BOGR
9/29/2022,18S,3,1,9,46,ATCA,12,ATCA,40,PASM,8,OPPO
9/29/2022,18S,3,1,12,59,ATCA,18,ATCA,70,ATCA,28,ATCA
9/29/2022,18S,3,1,15,13,BOGR,1,BOGR,54,ATCA,3,ATCA
9/29/2022,18S,3,1,18,50,ATCA,7,ATCA,14,BOGR,1,CADU
9/29/2022,18S,3,1,21,39,ATCA,6,ATCA,21,BOGR,1,BOGR
9/29/2022,18S,3,1,24,29,BOGR,1,OPPO,24,EREF,2,EREF
9/29/2022,18S,3,2,3,20,BOGR,3,BOGR,42,BOGR,2,OPPO
9/29/2022,18S,3,2,6,33,BOGR,3,BOGR,86,ATCA,16,ATCA
9/29/2022,18S,3,2,9,32,SAIB,1,SAIB,29,SAIB,1,SAIB
9/29/2022,18S,3,2,12,35,SAIB,1,SAIB,52,ATCA,4,ATCA
9/29/2022,18S,3,2,15,55,ATCA,1,ATCA,35,HECO,6,HECO
9/29/2022,18S,3,2,18,28,ATCA,8,ATCA,50,ATCA,3,ATCA
9/29/2022,18S,3,2,21,74,ATCA,3,OPPO,20,SAIB,3,HECO
9/29/2022,18S,3,2,24,67,ATCA,14,ATCA,46,ATCA,1,ATCA
9/29/2022,18S,3,3,3,14,SAIB,0,BARE,15,SAIB,1,SAIB
9/29/2022,18S,3,3,6,42,SAIB,1,SAIB,44,CHLE,4,PASM
9/29/2022,18S,3,3,9,29,BOGR,4,OPPO,33,BOGR,4,OPPO
9/29/2022,18S,3,3,12,12,BOGR,3,HECO,16,PASM,0,PASM
9/29/2022,18S,3,3,15,16,BOGR,1,OPPO,0,BARE,0,BARE
9/29/2022,18S,3,3,18,11,BOGR,1,BOGR,16,HECO,1,BOGR
9/29/2022,18S,3,3,21,0,BARE,0,BARE,29,BOGR,2,BOGR
9/29/2022,18S,3,3,24,16,PASM,2,OPPO,30,BOGR,3,OPPO
9/29/2022,18S,3,4,3,35,SAIB,2,SAIB,26,SAIB,1,SAIB
9/29/2022,18S,3,4,6,27,BOGR,3,BOGR,33,BOGR,1,BOGR
9/29/2022,18S,3,4,9,14,CHLE,2,CHLE,17,BOGR,1,BOGR
9/29/2022,18S,3,4,12,0,BARE,0,BARE,25,CHLE,0,CHLE
9/29/2022,18S,3,4,15,21,SAIB,0,SAIB,6,HECO,1,HECO
9/29/2022,18S,3,4,18,56,ATCA,0,ATCA,23,SAIB,1,SAIB
9/29/2022,18S,3,4,21,16,BOGR,0,BOGR,21,BOGR,7,OPPO
9/29/2022,18S,3,4,24,14,BOGR,4,OPPO,84,ATCA,4,OPPO
9/29/2022,18S,4,1,3,8,BOGR,2,BOGR,12,PASM,0,BARE
9/29/2022,18S,4,1,6,0,BARE,0,BARE,10,BOGR,1,BOGR
9/29/2022,18S,4,1,9,28,CIUN,1,CIUN,12,PASM,1,PASM
9/29/2022,18S,4,1,12,16,SAIB,2,OPPO,11,CHLE,6,EREF
9/29/2022,18S,4,1,15,36,CHLE,2,CHLE,24,BOGR,1,BOGR
9/29/2022,18S,4,1,18,21,BOGR,2,BOGR,14,CHLE,6,OPPO
9/29/2022,18S,4,1,21,20,BOGR,2,BOGR,19,BOGR,2,PASM
9/29/2022,18S,4,1,24,8,PASM,1,PASM,11,PASM,1,PASM
9/29/2022,18S,4,2,3,14,SAIB,1,SAIB,37,ATCA,1,ATCA
9/29/2022,18S,4,2,6,28,BOGR,0,BOGR,32,BOGR,0,BARE
9/29/2022,18S,4,2,9,62,ATCA,18,ATCA,61,ATCA,48,ATCA
9/29/2022,18S,4,2,12,32,BOGR,1,BOGR,34,BOGR,2,BOGR
9/29/2022,18S,4,2,15,29,SAIB,1,SAIB,55,ATCA,3,OPPO
9/29/2022,18S,4,2,18,24,PASM,1,PASM,18,BOGR,1,BOGR
9/29/2022,18S,4,2,21,12,SAIB,1,CHLE,19,BOGR,0,BOGR
9/29/2022,18S,4,2,24,7,SAIB,0,BARE,14,BOGR,1,OPPO
9/29/2022,18S,4,3,3,8,PASM,1,PASM,14,EREF,1,EREF
9/29/2022,18S,4,3,6,8,PASM,1,OPPO,16,EREF,1,EREF
9/29/2022,18S,4,3,9,4,BOGR,1,BOGR,22,SAIB,1,HECO
9/29/2022,18S,4,3,12,18,SAIB,2,SAIB,17,BOGR,3,BOGR
9/29/2022,18S,4,3,15,22,BOGR,1,BOGR,27,ATCA,3,ATCA
9/29/2022,18S,4,3,18,19,PASM,9,OPPO,15,PASM,5,OPPO
9/29/2022,18S,4,3,21,16,BOGR,1,HECO,23,BOGR,1,BOGR
9/29/2022,18S,4,3,24,22,PASM,5,OPPO,10,CHLE,1,CHLE
9/29/2022,18S,4,4,3,38,BOGR,4,OPPO,38,ATCA,4,OPPO
9/29/2022,18S,4,4,6,16,PASM,2,BOGR,29,ATCA,8,ATCA
9/29/2022,18S,4,4,9,0,BARE,0,BARE,42,ATCA,0,ATCA
9/29/2022,18S,4,4,12,42,ATCA,4,OPPO,13,BOGR,3,OPPO
9/29/2022,18S,4,4,15,52,ATCA,4,BOGR,26,BOGR,1,BOGR
9/29/2022,18S,4,4,18,27,SAIB,1,SAIB,44,SIAL,2,BOGR
9/29/2022,18S,4,4,21,23,BOGR,3,OPPO,37,BOGR,3,ATCA
9/29/2022,18S,4,4,24,0,BARE,0,BARE,65,ATCA,26,ATCA
9/29/2022,18S,5,1,3,19,SPCR,2,BOGR,5,CADU,1,CADU
9/29/2022,18S,5,1,6,30,SPCR,4,SPCR,33,SPCR,0,SPCR
9/29/2022,18S,5,1,9,22,CHLE,2,CHLE,14,PASM,1,CHLE
9/29/2022,18S,5,1,12,32,BOGR,1,BOGR,29,BOGR,2,BOGR
9/29/2022,18S,5,1,15,8,BOGR,1,BOGR,5,CADU,0,CADU
9/29/2022,18S,5,1,18,19,BOGR,2,BOGR,34,SPCR,2,SPCR
9/29/2022,18S,5,1,21,41,BOGR,1,BOGR,38,BOGR,2,BOGR
9/29/2022,18S,5,1,24,34,BOGR,1,BOGR,58,SPCR,2,SPCO
9/29/2022,18S,5,2,3,4,HECO,1,HECO,16,SAIB,2,SPCO
9/29/2022,18S,5,2,6,12,SPCR,1,SPCR,4,HECO,1,HECO
9/29/2022,18S,5,2,9,41,SPCR,1,SPCR,20,SPCR,2,SPCO
9/29/2022,18S,5,2,12,28,SPCR,1,SPCR,32,SPCR,1,SPCR
9/29/2022,18S,5,2,15,30,BOGR,2,BOGR,30,BOGR,1,BOGR
9/29/2022,18S,5,2,18,25,SPCR,1,SPCR,27,SPCR,0,BARE
9/29/2022,18S,5,2,21,29,SPCR,1,SPCR,22,SAIB,1,SAIB
9/29/2022,18S,5,2,24,25,SPCR,2,SPCR,31,SPCR,2,SPCR
9/29/2022,18S,5,3,3,7,BOGR,1,BOGR,12,BOGR,1,BOGR
9/29/2022,18S,5,3,6,21,BOGR,1,BOGR,12,BOGR,2,BOGR
9/29/2022,18S,5,3,9,5,CADU,0,CADU,0,BARE,0,BARE
9/29/2022,18S,5,3,12,20,SAIB,1,SAIB,28,SPCR,0,SPCR
9/29/2022,18S,5,3,15,8,BOGR,3,BOGR,5,CADU,0,CADU
9/29/2022,18S,5,3,18,0,BARE,0,BARE,0,BARE,0,BARE
9/29/2022,18S,5,3,21,4,HECO,1,HECO,7,CADU,0,CADU
9/29/2022,18S,5,3,24,18,BOGR,1,BOGR,11,BOGR,0,BOGR
9/29/2022,18S,5,4,3,27,SPCR,1,SPCR,42,SPCR,2,SPCR
9/29/2022,18S,5,4,6,0,BARE,0,BARE,15,CHLE,0,CHLE
9/29/2022,18S,5,4,9,15,SPCR,2,SPCR,13,SAIB,1,SAIB
9/29/2022,18S,5,4,12,17,SAIB,1,SAIB,16,SPCR,2,SPCR
9/29/2022,18S,5,4,15,11,SPCR,2,SPCO,0,BARE,0,BARE
9/29/2022,18S,5,4,18,10,BOGR,0,BARE,14,SAIB,2,HECO
9/29/2022,18S,5,4,21,40,SIAL,2,HECO,24,SPCR,1,HECO
9/29/2022,18S,5,4,24,20,SAIB,1,SAIB,40,SPCR,1,SPCR
9/29/2022,18S,6,1,3,14,SPCR,1,SPCR,3,SPCO,1,SPCO
9/29/2022,18S,6,1,6,20,BOGR,2,BOGR,12,BOGR,2,BOGR
9/29/2022,18S,6,1,9,21,BOGR,0,BOGR,21,BOGR,2,BOGR
9/29/2022,18S,6,1,12,49,SPCR,2,HECO,22,HECO,3,HECO
9/29/2022,18S,6,1,15,18,SAIB,1,HECO,17,SAIB,1,SAIB
9/29/2022,18S,6,1,18,21,SPCR,3,SPCR,33,SPCR,2,SPCR
9/29/2022,18S,6,1,21,12,SPCR,1,SPCR,22,SPCR,1,SAIB
9/29/2022,18S,6,1,24,24,SPCR,1,SPCR,11,HECO,1,HECO
