ID,Year,SamplingDate,Season,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow
,2020,9/29/2020,Fall,17S,3,2,9,9,1,SPAI,19,1,SPAI,14,1
,2020,9/29/2020,Fall,17S,3,2,12,16,2,SPAI,44,3,SPAI,30,2.5
,2020,9/29/2020,Fall,17S,3,2,15,27,7,SPAI,12,1,SPAI,19.5,4
,2020,9/29/2020,Fall,17S,3,2,18,20,4,DISP,20,2,SPAI,20,3
,2020,9/29/2020,Fall,17S,3,2,21,20,5,JUBA,12,3,JUBA,16,4
,2020,9/29/2020,Fall,17S,3,2,24,40,5,SPAI,15,2,DISP,27.5,3.5
,2020,9/29/2020,Fall,17S,3,3,3,8,1,HECO,8,1,HECO,8,1
,2020,9/29/2020,Fall,17S,3,3,6,2,1,BOGR,2,1,BOGR,2,1
,2020,9/29/2020,Fall,17S,3,3,9,10,0,LYJU,1,0,BOGR,5.5,0
,2020,9/29/2020,Fall,17S,3,3,12,12,4,OPPO,12,2,DISP,12,3
,2020,9/29/2020,Fall,17S,3,3,15,4,0,PASM,12,1,SPCR,8,0.5
,2020,9/29/2020,Fall,17S,3,3,18,15,5,SPAI,22,2,SPAI,18.5,3.5
,2020,9/29/2020,Fall,17S,3,3,21,22,1,SPAI,14,3,SPAI,18,2
,2020,9/29/2020,Fall,17S,3,3,24,8,1,DISP,8,2,DISP,8,1.5
,2020,9/29/2020,Fall,17S,3,4,3,5,3,BOGR,18,2,SPAI,11.5,2.5
,2020,9/29/2020,Fall,17S,3,4,6,41,2,SPAI,48,2,SPAI,44.5,2
,2020,9/29/2020,Fall,17S,3,4,9,44,2,SPAI,30,5,SPAI,37,3.5
,2020,9/29/2020,Fall,17S,3,4,12,11,3,PASM,23,3,SPAI,17,3
,2020,9/29/2020,Fall,17S,3,4,15,12,2,DISP,20,5,DISP,16,3.5
,2020,9/29/2020,Fall,17S,3,4,18,22,4,CANE,16,2,CANE,19,3
,2020,9/29/2020,Fall,17S,3,4,21,14,5,CANE,18,3,CANE,16,4
,2020,9/29/2020,Fall,17S,3,4,24,6,3,CANE,24,3,CANE,15,3
,2020,9/29/2020,Fall,17S,4,1,3,9,1,HECO,7,1,BOGR,8,1
,2020,9/29/2020,Fall,17S,4,1,6,4,0,HECO,12,2,HECO,8,1
,2020,9/29/2020,Fall,17S,4,1,9,5,1,HECO,5,1,BOGR,5,1
,2020,9/29/2020,Fall,17S,4,1,12,2,1,HECO,18,1,HECO,10,1
,2020,9/29/2020,Fall,17S,4,1,15,6,1,HECO,2,1,BOGR,4,1
,2020,9/29/2020,Fall,17S,4,1,18,10,1,BOGR,4,3,OPPO,7,2
,2020,9/29/2020,Fall,17S,4,1,21,14,2,OPPO,14,1,HECO,14,1.5
,2020,9/29/2020,Fall,17S,4,1,24,8,2,OPPO,10,1,HECO,9,1.5
,2020,9/29/2020,Fall,17S,4,2,3,11,3,SPAI,26,3,SPAI,18.5,3
,2020,9/29/2020,Fall,17S,4,2,6,18,4,SPAI,23,3,SPAI,20.5,3.5
,2020,9/29/2020,Fall,17S,4,2,9,21,5,CICA,21,4,DISP,21,4.5
,2020,9/29/2020,Fall,17S,4,2,12,12,4,CANE,11,5,DISP,11.5,4.5
,2020,9/29/2020,Fall,17S,4,2,15,19,3,CANE,9,4,CICA,14,3.5
,2020,9/29/2020,Fall,17S,4,2,18,22,8,SPAI,21,4,DISP,21.5,6
,2020,9/29/2020,Fall,17S,4,2,21,21,2,SPAI,21,5,DISP,21,3.5
,2020,9/29/2020,Fall,17S,4,2,24,18,4,DISP,12,3,DISP,15,3.5
,2020,9/29/2020,Fall,17S,4,3,3,14,1,DISP,12,2,DISP,13,1.5
,2020,9/29/2020,Fall,17S,4,3,6,15,1,DISP,10,1,SPAI,12.5,1
,2020,9/29/2020,Fall,17S,4,3,9,19,1,DISP,16,2,SPAI,17.5,1.5
,2020,9/29/2020,Fall,17S,4,3,12,16,3,PASM,10,2,DISP,13,2.5
,2020,9/29/2020,Fall,17S,4,3,15,10,2,SPAI,12,1,SPAI,11,1.5
,2020,9/29/2020,Fall,17S,4,3,18,10,1,SPAI,15,3,SPAI,12.5,2
,2020,9/29/2020,Fall,17S,4,3,21,14,2,SPAI,14,1,PASM,14,1.5
,2020,9/29/2020,Fall,17S,4,3,24,12,2,PASM,48,4,PASM,30,3
,2020,9/29/2020,Fall,17S,4,4,3,15,2,DISP,20,7,SPAI,17.5,4.5
,2020,9/29/2020,Fall,17S,4,4,6,16,4,SPAI,24,1,SPAI,20,2.5
,2020,9/29/2020,Fall,17S,4,4,9,8,1,SPAI,10,1,DISP,9,1
,2020,9/29/2020,Fall,17S,4,4,12,10,2,SPAI,17,2,DISP,13.5,2
,2020,9/29/2020,Fall,17S,4,4,15,8,1,DISP,12,2,DISP,10,1.5
,2020,9/29/2020,Fall,17S,4,4,18,10,1,DISP,6,1,DISP,8,1
,2020,9/29/2020,Fall,17S,4,4,21,5,2,DISP,6,2,DISP,5.5,2
,2020,9/29/2020,Fall,17S,4,4,24,14,1,DISP,10,2,DISP,12,1.5
,2020,9/29/2020,Fall,17S,5,1,3,9,1,PASM,9,3,PASM,9,2
,2020,9/29/2020,Fall,17S,5,1,6,7,1,PASM,7,4,OPPO,7,2.5
,2020,9/29/2020,Fall,17S,5,1,9,6,2,OPPO,12,2,OPPO,9,2
,2020,9/29/2020,Fall,17S,5,1,12,9,2,BOGR,4,1,BOGR,6.5,1.5
,2020,9/29/2020,Fall,17S,5,1,15,3,1,OPPO,11,0,BOGR,7,0.5
,2020,9/29/2020,Fall,17S,5,1,18,8,1,BOGR,8,5,OPPO,8,3
,2020,9/29/2020,Fall,17S,5,1,21,8,5,OPPO,8,1,EREF,8,3
,2020,9/29/2020,Fall,17S,5,1,24,3,1,LYJU,3,1,BOGR,3,1
,2020,9/29/2020,Fall,17S,5,2,3,4,1,HECO,6,1,HECO,5,1
,2020,9/29/2020,Fall,17S,5,2,6,6,0,HECO,9,2,HECO,7.5,1
,2020,9/29/2020,Fall,17S,5,2,9,12,1,BOGR,10,1,HECO,11,1
,2020,9/29/2020,Fall,17S,5,2,12,8,1,HECO,4,1,HECO,6,1
,2020,9/29/2020,Fall,17S,5,2,15,4,0,HECO,4,0,VUOC,4,0
,2020,9/29/2020,Fall,17S,5,2,18,14,1,HECO,20,9,EREF,17,5
,2020,9/29/2020,Fall,17S,5,2,21,10,0,BARE,12,5,EREF,11,2.5
,2020,9/29/2020,Fall,17S,5,2,24,7,1,HECO,6,3,HECO,6.5,2
,2020,9/29/2020,Fall,17S,5,3,3,2,1,BOGR,3,1,BOGR,2.5,1
,2020,9/29/2020,Fall,17S,5,3,6,3,1,BOGR,14,1,BOGR,8.5,1
,2020,9/29/2020,Fall,17S,5,3,9,6,2,CADU,9,1,ARPU,7.5,1.5
,2020,9/29/2020,Fall,17S,5,3,12,20,2,ARPU,11,0,ARPU,15.5,1
,2020,9/29/2020,Fall,17S,5,3,15,1,0,BUDA,4,0,BOGR,2.5,0
,2020,9/29/2020,Fall,17S,5,3,18,4,2,ARPU,9,1,OPPO,6.5,1.5
,2020,9/29/2020,Fall,17S,5,3,21,4,1,BUDA,4,1,BOGR,4,1
,2020,9/29/2020,Fall,17S,5,3,24,13,2,GUSA,5,1,PASM,9,1.5
,2020,9/29/2020,Fall,17S,5,4,3,3,1,BOGR,7,0,BOGR,5,0.5
,2020,9/29/2020,Fall,17S,5,4,6,4,1,ARPU,2,1,BOGR,3,1
,2020,9/29/2020,Fall,17S,5,4,9,11,1,BOGR,3,1,GUSA,7,1
,2020,9/29/2020,Fall,17S,5,4,12,1,0,BOGR,6,0,BUDA,3.5,0
,2020,9/29/2020,Fall,17S,5,4,15,3,2,BOGR,2,1,BUDA,2.5,1.5
,2020,9/29/2020,Fall,17S,5,4,18,1,1,BOGR,2,1,BOGR,1.5,1
,2020,9/29/2020,Fall,17S,5,4,21,6,0,BOGR,6,1,BOGR,6,0.5
,2020,9/29/2020,Fall,17S,5,4,24,6,1,OPPO,2,1,OPPO,4,1
,2020,9/29/2020,Fall,17S,6,1,3,2,0,HECO,14,2,HECO,8,1
,2020,9/29/2020,Fall,17S,6,1,6,4,0,HECO,0,0,BARE,2,0
,2020,9/29/2020,Fall,17S,6,1,9,12,4,HECO,8,0,HECO,10,2
,2020,9/29/2020,Fall,17S,6,1,12,6,1,HECO,2,0,HECO,4,0.5
,2020,9/29/2020,Fall,17S,6,1,15,11,0,HECO,9,1,HECO,10,0.5
,2020,9/29/2020,Fall,17S,6,1,18,12,2,HECO,10,0,HECO,11,1
,2020,9/29/2020,Fall,17S,6,1,21,7,0,HECO,8,1,HECO,7.5,0.5
,2020,9/29/2020,Fall,17S,6,1,24,7,1,HECO,8,1,HECO,7.5,1
,2020,9/29/2020,Fall,17S,6,2,3,12,1,EREF,8,1,ARPU,10,1
,2020,9/29/2020,Fall,17S,6,2,6,8,1,HECO,6,0,ATCA,7,0.5
,2020,9/29/2020,Fall,17S,6,2,9,11,1,PASM,13,1,PASM,12,1
,2020,9/29/2020,Fall,17S,6,2,12,14,3,EREF,10,1,PASM,12,2
,2020,9/29/2020,Fall,17S,6,2,15,14,1,PASM,14,2,BRTE,14,1.5
,2020,9/29/2020,Fall,17S,6,2,18,13,0,PASM,21,1,HECO,17,0.5
,2020,9/29/2020,Fall,17S,6,2,21,4,0,OPPO,6,0,BOGR,5,0
,2020,9/29/2020,Fall,17S,6,2,24,22,1,ATCA,4,0,SCBR,13,0.5
,2020,9/29/2020,Fall,17S,6,3,3,4,1,BOGR,2,1,BOGR,3,1
,2020,9/29/2020,Fall,17S,6,3,6,9,1,BOGR,3,1,BOGR,6,1
,2020,9/29/2020,Fall,17S,6,3,9,8,1,BOGR,7,0,PASM,7.5,0.5
,2020,9/29/2020,Fall,17S,6,3,12,6,1,EREF,32,1,PASM,19,1
,2020,9/29/2020,Fall,17S,6,3,15,6,0,BOGR,12,1,HECO,9,0.5
,2020,9/29/2020,Fall,17S,6,3,18,6,1,BUDA,14,2,HECO,10,1.5
,2020,9/29/2020,Fall,17S,6,3,21,2,1,BOGR,3,1,BOGR,2.5,1
,2020,9/29/2020,Fall,17S,6,3,24,14,4,HECO,12,1,HECO,13,2.5
,2020,9/29/2020,Fall,17S,6,4,3,7,1,PASM,6,1,DISP,6.5,1
,2020,9/29/2020,Fall,17S,6,4,6,4,0,DISP,6,3,OPPO,5,1.5
,2020,9/29/2020,Fall,17S,6,4,9,8,1,PASM,8,0,DISP,8,0.5
,2020,9/29/2020,Fall,17S,6,4,12,11,1,PASM,8,1,DISP,9.5,1
,2020,9/29/2020,Fall,17S,6,4,15,64,46,ATCA,11,1,EREF,37.5,23.5
,2020,9/29/2020,Fall,17S,6,4,18,16,1,HECO,7,1,PASM,11.5,1
,2020,9/29/2020,Fall,17S,6,4,21,8,1,DISP,6,2,SAIB,7,1.5
,2020,9/29/2020,Fall,17S,6,4,24,64,40,ATCA,59,20,ATCA,61.5,30
,2020,10/1/2020,Fall,5E,1,1,3,12,5,KRLA,8,6,KRLA,10,5.5
,2020,10/1/2020,Fall,5E,1,1,6,16,0,PASM,14,1,HECO,15,0.5
,2020,10/1/2020,Fall,5E,1,1,9,18,4,OPPO,11,1,OPPO,14.5,2.5
,2020,10/1/2020,Fall,5E,1,1,12,8,1,HECO,2,1,BOGR,5,1
,2020,10/1/2020,Fall,5E,1,1,15,4,1,BOGR,4,1,CADU,4,1
,2020,10/1/2020,Fall,5E,1,1,18,21,5,OPPO,11,3,OPPO,16,4
,2020,10/1/2020,Fall,5E,1,1,21,3,1,BOGR,11,1,BOGR,7,1
,2020,10/1/2020,Fall,5E,1,1,24,3,1,BOGR,3,1,BOGR,3,1
,2020,10/1/2020,Fall,5E,1,2,3,16,1,BOGR,10,1,BOGR,13,1
,2020,10/1/2020,Fall,5E,1,2,6,20,2,PASM,15,5,ATCA,17.5,3.5
,2020,10/1/2020,Fall,5E,1,2,9,31,2,ATCA,12,2,BOGR,21.5,2
,2020,10/1/2020,Fall,5E,1,2,12,12,2,OPPO,5,2,PASM,8.5,2
,2020,10/1/2020,Fall,5E,1,2,15,16,1,BOGR,13,1,EREF,14.5,1
,2020,10/1/2020,Fall,5E,1,2,18,10,1,OPPO,12,1,EREF,11,1
,2020,10/1/2020,Fall,5E,1,2,21,12,1,PASM,16,1,PASM,14,1
,2020,10/1/2020,Fall,5E,1,2,24,4,1,PASM,14,1,BOGR,9,1
,2020,10/1/2020,Fall,5E,1,3,3,72,23,ATCA,15,2,ATCA,43.5,12.5
,2020,10/1/2020,Fall,5E,1,3,6,4,1,BOGR,18,1,EREF,11,1
,2020,10/1/2020,Fall,5E,1,3,9,13,2,PASM,12,1,PASM,12.5,1.5
,2020,10/1/2020,Fall,5E,1,3,12,8,1,PASM,8,1,PASM,8,1
,2020,10/1/2020,Fall,5E,1,3,15,6,2,EREF,2,1,BOGR,4,1.5
,2020,10/1/2020,Fall,5E,1,3,18,12,2,PASM,6,3,OPPO,9,2.5
,2020,10/1/2020,Fall,5E,1,3,21,9,2,OPPO,14,3,KRLA,11.5,2.5
,2020,10/1/2020,Fall,5E,1,3,24,24,4,ATCA,7,1,BOGR,15.5,2.5
,2020,10/1/2020,Fall,5E,1,4,3,18,4,PASM,4,1,KRLA,11,2.5
,2020,10/1/2020,Fall,5E,1,4,6,11,1,PASM,6,2,BOGR,8.5,1.5
,2020,10/1/2020,Fall,5E,1,4,9,19,2,PASM,21,3,PASM,20,2.5
,2020,10/1/2020,Fall,5E,1,4,12,12,0,PASM,14,1,PASM,13,0.5
,2020,10/1/2020,Fall,5E,1,4,15,5,1,BOGR,15,3,EREF,10,2
,2020,10/1/2020,Fall,5E,1,4,18,14,2,PASM,14,2,BOGR,14,2
,2020,10/1/2020,Fall,5E,1,4,21,14,1,EREF,4,1,PASM,9,1
,2020,10/1/2020,Fall,5E,1,4,24,8,2,PASM,14,2,BUDA,11,2
,2020,10/1/2020,Fall,5E,2,1,3,36,2,ATCA,18,1,PASM,27,1.5
,2020,10/1/2020,Fall,5E,2,1,6,20,2,PASM,2,1,PASM,11,1.5
,2020,10/1/2020,Fall,5E,2,1,9,2,1,PASM,14,1,BOGR,8,1
,2020,10/1/2020,Fall,5E,2,1,12,6,1,BOGR,10,1,BOGR,8,1
,2020,10/1/2020,Fall,5E,2,1,15,4,1,BOGR,15,2,BOGR,9.5,1.5
,2020,10/1/2020,Fall,5E,2,1,18,5,1,BOGR,20,3,OPPO,12.5,2
,2020,10/1/2020,Fall,5E,2,1,21,4,1,BOGR,8,2,BOGR,6,1.5
,2020,10/1/2020,Fall,5E,2,1,24,4,1,HECO,8,1,BOGR,6,1
,2020,10/1/2020,Fall,5E,2,2,3,14,2,BOGR,2,0,BOGR,8,1
,2020,10/1/2020,Fall,5E,2,2,6,2,1,BOGR,4,1,BOGR,3,1
,2020,10/1/2020,Fall,5E,2,2,9,6,1,BOGR,2,0,BOGR,4,0.5
,2020,10/1/2020,Fall,5E,2,2,12,2,1,BOGR,1,1,BOGR,1.5,1
,2020,10/1/2020,Fall,5E,2,2,15,4,2,BOGR,2,1,BOGR,3,1.5
,2020,10/1/2020,Fall,5E,2,2,18,10,1,OPPO,16,5,OPPO,13,3
,2020,10/1/2020,Fall,5E,2,2,21,6,1,PASM,14,0,EREF,10,0.5
,2020,10/1/2020,Fall,5E,2,2,24,12,6,PASM,12,1,PASM,12,3.5
,2020,10/1/2020,Fall,5E,2,3,3,8,0,BOGR,7,2,BOGR,7.5,1
,2020,10/1/2020,Fall,5E,2,3,6,4,1,BOGR,2,0,BUDA,3,0.5
,2020,10/1/2020,Fall,5E,2,3,9,2,1,BOGR,3,1,BOGR,2.5,1
,2020,10/1/2020,Fall,5E,2,3,12,4,1,BOGR,4,1,BOGR,4,1
,2020,10/1/2020,Fall,5E,2,3,15,2,0,BOGR,2,1,BOGR,2,0.5
,2020,10/1/2020,Fall,5E,2,3,18,2,0,BOGR,14,4,ARPU,8,2
,2020,10/1/2020,Fall,5E,2,3,21,4,0,ARFR,26,5,ATCA,15,2.5
,2020,10/1/2020,Fall,5E,2,3,24,4,2,PASM,44,14,ATCA,24,8
,2020,10/1/2020,Fall,5E,2,4,3,2,1,PASM,8,1,PASM,5,1
,2020,10/1/2020,Fall,5E,2,4,6,2,1,BOGR,2,1,BOGR,2,1
,2020,10/1/2020,Fall,5E,2,4,9,6,1,PASM,12,1,BOGR,9,1
,2020,10/1/2020,Fall,5E,2,4,12,2,1,BOGR,4,1,BOGR,3,1
,2020,10/1/2020,Fall,5E,2,4,15,5,0,BOGR,19,2,PASM,12,1
,2020,10/1/2020,Fall,5E,2,4,18,14,2,OPPO,18,3,OPPO,16,2.5
,2020,10/1/2020,Fall,5E,2,4,21,3,1,PASM,7,3,PASM,5,2
,2020,10/1/2020,Fall,5E,2,4,24,3,2,PASM,7,1,PASM,5,1.5
,2020,10/1/2020,Fall,5E,3,1,3,19,2,PASM,11,1,PASM,15,1.5
,2020,10/1/2020,Fall,5E,3,1,6,21,2,PASM,20,2,PASM,20.5,2
,2020,10/1/2020,Fall,5E,3,1,9,7,1,PASM,18,3,PASM,12.5,2
,2020,10/1/2020,Fall,5E,3,1,12,8,2,PASM,14,1,PASM,11,1.5
,2020,10/1/2020,Fall,5E,3,1,15,22,8,PASM,11,2,PASM,16.5,5
,2020,10/1/2020,Fall,5E,3,1,18,8,2,PASM,10,2,PASM,9,2
,2020,10/1/2020,Fall,5E,3,1,21,2,1,PASM,16,2,PASM,9,1.5
,2020,10/1/2020,Fall,5E,3,1,24,8,1,PASM,12,1,PASM,10,1
,2020,10/1/2020,Fall,5E,3,2,3,9,1,ATCA,35,1,BOGR,22,1
,2020,10/1/2020,Fall,5E,3,2,6,9,2,BOGR,31,7,ATCA,20,4.5
,2020,10/1/2020,Fall,5E,3,2,9,8,1,BOGR,2,0,BOGR,5,0.5
,2020,10/1/2020,Fall,5E,3,2,12,4,1,BOGR,5,1,BOGR,4.5,1
,2020,10/1/2020,Fall,5E,3,2,15,26,2,ELEL,9,5,OPPO,17.5,3.5
,2020,10/1/2020,Fall,5E,3,2,18,16,4,OPPO,13,2,PASM,14.5,3
,2020,10/1/2020,Fall,5E,3,2,21,1,0,PASM,7,2,PASM,4,1
,2020,10/1/2020,Fall,5E,3,2,24,5,1,ELEL,4,0,BOGR,4.5,0.5
,2020,10/1/2020,Fall,5E,3,3,3,15,1,BOGR,6,0,PASM,10.5,0.5
,2020,10/1/2020,Fall,5E,3,3,6,1,1,PASM,9,1,PASM,5,1
,2020,10/1/2020,Fall,5E,3,3,9,42,3,ATCA,5,1,PASM,23.5,2
,2020,10/1/2020,Fall,5E,3,3,12,6,2,PASM,14,1,PASM,10,1.5
,2020,10/1/2020,Fall,5E,3,3,15,19,2,PASM,24,1,PASM,21.5,1.5
,2020,10/1/2020,Fall,5E,3,3,18,20,1,PASM,18,7,ATCA,19,4
,2020,10/1/2020,Fall,5E,3,3,21,12,1,PASM,5,2,PASM,8.5,1.5
,2020,10/1/2020,Fall,5E,3,3,24,2,1,BUDA,4,1,BUDA,3,1
,2020,10/1/2020,Fall,5E,3,4,3,4,1,BOGR,4,1,BOGR,4,1
,2020,10/1/2020,Fall,5E,3,4,6,4,1,PASM,9,2,BOGR,6.5,1.5
,2020,10/1/2020,Fall,5E,3,4,9,8,1,PASM,11,2,OPPO,9.5,1.5
,2020,10/1/2020,Fall,5E,3,4,12,24,11,ATCA,8,0,PASM,16,5.5
,2020,10/1/2020,Fall,5E,3,4,15,5,1,BOGR,12,3,ELEL,8.5,2
,2020,10/1/2020,Fall,5E,3,4,18,4,1,BOGR,21,1,BOGR,12.5,1
,2020,10/1/2020,Fall,5E,3,4,21,5,1,BOGR,6,3,OPPO,5.5,2
,2020,10/1/2020,Fall,5E,3,4,24,32,3,ATCA,12,1,BOGR,22,2
,2020,10/1/2020,Fall,5E,4,1,3,3,1,BOGR,6,1,OPPO,4.5,1
,2020,10/1/2020,Fall,5E,4,1,6,18,1,BOGR,4,1,BOGR,11,1
,2020,10/1/2020,Fall,5E,4,1,9,2,1,BOGR,10,2,BOGR,6,1.5
,2020,10/1/2020,Fall,5E,4,1,12,2,1,BOGR,4,1,BOGR,3,1
,2020,10/1/2020,Fall,5E,4,1,15,4,1,BOGR,6,1,BOGR,5,1
,2020,10/1/2020,Fall,5E,4,1,18,8,2,BOGR,2,1,BOGR,5,1.5
,2020,10/1/2020,Fall,5E,4,1,21,4,1,BOGR,4,1,BOGR,4,1
,2020,10/1/2020,Fall,5E,4,1,24,6,1,HECO,7,1,BOGR,6.5,1
