Date,Pasture,Plot,Transect,Distance,High-E,Low-E,Spp-E,High-W,Low-W,Spp-W,MeanLowAll,ForageSppCheck,ForageSppCheck,LowFor-E,LowFor-W,MeanLowFor
10/5/15,10S,2,1,3,16,2,vuoc,18,2,vuoc,2,1,1,2,2,2
10/5/15,10S,2,1,6,28,4,vuoc,23,3,thfi,3.5,1,1,4,3,3.5
10/5/15,10S,2,1,9,23,3,vuoc,32,4,bogr,3.5,1,1,3,4,3.5
10/5/15,10S,2,1,12,24,6,thfi,20,2,thfi,4,1,1,6,2,4
10/5/15,10S,2,1,15,20,3,thfi,22,3,thfi,3,1,1,3,3,3
10/5/15,10S,2,1,18,8,2,bogr,23,4,thfi,3,1,1,2,4,3
10/5/15,10S,2,1,21,20,3,bogr,23,3,bogr,3,1,1,3,3,3
10/5/15,10S,2,1,24,32,5,thfi,22,5,thfi,5,1,1,5,5,5
10/5/15,10S,2,2,3,9,1,bogr,21,4,thfi,2.5,1,1,1,4,2.5
10/5/15,10S,2,2,6,34,15,thfi,28,3,thfi,9,1,1,15,3,9
10/5/15,10S,2,2,9,11,3,bogr,8,1,bogr,2,1,1,3,1,2
10/5/15,10S,2,2,12,25,3,bogr,18,1,thfi,2,1,1,3,1,2
10/5/15,10S,2,2,15,28,2,bogr,24,6,thfi,4,1,1,2,6,4
10/5/15,10S,2,2,18,28,4,thfi,17,3,bogr,3.5,1,1,4,3,3.5
10/5/15,10S,2,2,21,10,2,bogr,4,1,bogr,1.5,1,1,2,1,1.5
10/5/15,10S,2,2,24,6,3,bogr,18,1,bogr,2,1,1,3,1,2
10/5/15,10S,2,3,3,14,2,thfi,12,4,bogr,3,1,1,2,4,3
10/5/15,10S,2,3,6,16,3,bogr,20,11,thfi,7,1,1,3,11,7
10/5/15,10S,2,3,9,8,1,bogr,14,2,thfi,1.5,1,1,1,2,1.5
10/5/15,10S,2,3,12,16,0,bare,2,1,piop,0.5,1,1,0,1,0.5
10/5/15,10S,2,3,15,4,1,bogr,8,2,bogr,1.5,1,1,1,2,1.5
10/5/15,10S,2,3,18,4,1,bogr,8,1,bogr,1,1,1,1,1,1
10/5/15,10S,2,3,21,6,2,bogr,6,2,bogr,2,1,1,2,2,2
10/5/15,10S,2,3,24,8,1,bogr,8,2,bogr,1.5,1,1,1,2,1.5
10/5/15,10S,2,4,3,4,1,bogr,2,0,bare,0.5,1,1,1,0,0.5
10/5/15,10S,2,4,6,34,2,bogr,28,1,bogr,1.5,1,1,2,1,1.5
10/5/15,10S,2,4,9,18,4,pasm,54,4,pasm,4,1,1,4,4,4
10/5/15,10S,2,4,12,14,3,bogr,22,0,bare,1.5,1,1,3,0,1.5
10/5/15,10S,2,4,15,42,2,bogr,10,1,bogr,1.5,1,1,2,1,1.5
10/5/15,10S,2,4,18,4,1,bogr,4,0,bare,0.5,1,1,1,0,0.5
10/5/15,10S,2,4,21,4,1,bogr,4,1,bogr,1,1,1,1,1,1
10/5/15,10S,2,4,24,18,2,pasm,4,1,bogr,1.5,1,1,2,1,1.5
10/6/15,10S,3,1,3,12,2,pasm,22,1,pasm,1.5,1,1,2,1,1.5
10/6/15,10S,3,1,6,20,3,bogr,12,1,bogr,2,1,1,3,1,2
10/6/15,10S,3,1,9,13,3,bogr,20,3,pasm,3,1,1,3,3,3
10/6/15,10S,3,1,12,29,4,pasm,17,1,pasm,2.5,1,1,4,1,2.5
10/6/15,10S,3,1,15,22,1,bogr,18,3,bogr,2,1,1,1,3,2
10/6/15,10S,3,1,18,9,1,bogr,18,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,3,1,21,21,2,bogr,22,2,bogr,2,1,1,2,2,2
10/6/15,10S,3,1,24,22,3,pasm,17,4,pasm,3.5,1,1,3,4,3.5
10/6/15,10S,3,2,3,10,2,bogr,3,1,bogr,1.5,1,1,2,1,1.5
10/6/15,10S,3,2,6,11,1,bogr,16,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,3,2,9,12,1,bogr,3,1,bogr,1,1,1,1,1,1
10/6/15,10S,3,2,12,14,3,bogr,33,3,bogr,3,1,1,3,3,3
10/6/15,10S,3,2,15,25,1,bogr,4,1,bogr,1,1,1,1,1,1
10/6/15,10S,3,2,18,4,2,bogr,6,2,bogr,2,1,1,2,2,2
10/6/15,10S,3,2,21,6,2,bogr,14,2,bogr,2,1,1,2,2,2
10/6/15,10S,3,2,24,12,2,bogr,5,2,bogr,2,1,1,2,2,2
10/6/15,10S,3,3,3,11,2,bogr,6,3,bogr,2.5,1,1,2,3,2.5
10/6/15,10S,3,3,6,22,1,bogr,18,3,bogr,2,1,1,1,3,2
10/6/15,10S,3,3,9,18,1,bogr,6,4,bogr,2.5,1,1,1,4,2.5
10/6/15,10S,3,3,12,8,2,bogr,39,3,bogr,2.5,1,1,2,3,2.5
10/6/15,10S,3,3,15,4,2,bogr,25,3,bogr,2.5,1,1,2,3,2.5
10/6/15,10S,3,3,18,14,1,bogr,41,4,bogr,2.5,1,1,1,4,2.5
10/6/15,10S,3,3,21,19,1,bogr,31,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,3,3,24,40,3,bogr,49,7,pasm,5,1,1,3,7,5
10/6/15,10S,3,4,3,23,1,bogr,13,1,bogr,1,1,1,1,1,1
10/6/15,10S,3,4,6,6,2,bogr,5,2,bogr,2,1,1,2,2,2
10/6/15,10S,3,4,9,14,2,bogr,7,3,bogr,2.5,1,1,2,3,2.5
10/6/15,10S,3,4,12,5,1,bogr,17,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,3,4,15,2,1,bogr,8,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,3,4,18,19,1,bogr,7,3,bogr,2,1,1,1,3,2
10/6/15,10S,3,4,21,31,1,pasm,28,3,pasm,2,1,1,1,3,2
10/6/15,10S,3,4,24,15,1,bogr,29,3,bogr,2,1,1,1,3,2
10/6/15,10S,4,1,3,14,1,vuoc,21,3,vuoc,2,1,1,1,3,2
10/6/15,10S,4,1,6,25,4,thfi,17,3,bogr,3.5,1,1,4,3,3.5
10/6/15,10S,4,1,9,28,4,thfi,28,2,thfi,3,1,1,4,2,3
10/6/15,10S,4,1,12,24,4,thfi,24,7,thfi,5.5,1,1,4,7,5.5
10/6/15,10S,4,1,15,22,3,thfi,34,3,bogr,3,1,1,3,3,3
10/6/15,10S,4,1,18,11,3,bogr,23,2,bogr,2.5,1,1,3,2,2.5
10/6/15,10S,4,1,21,19,4,thfi,18,6,vuoc,5,1,1,4,6,5
10/6/15,10S,4,1,24,29,2,bogr,28,2,bogr,2,1,1,2,2,2
10/6/15,10S,4,2,3,11,2,bogr,21,4,vuoc,3,1,1,2,4,3
10/6/15,10S,4,2,6,32,8,thfi,23,3,thfi,5.5,1,1,8,3,5.5
10/6/15,10S,4,2,9,8,1,bogr,7,1,bogr,1,1,1,1,1,1
10/6/15,10S,4,2,12,23,6,vuoc,15,3,bogr,4.5,1,1,6,3,4.5
10/6/15,10S,4,2,15,13,3,bogr,21,4,thfi,3.5,1,1,3,4,3.5
10/6/15,10S,4,2,18,20,1,bogr,18,3,bogr,2,1,1,1,3,2
10/6/15,10S,4,2,21,26,1,bogr,18,1,bogr,1,1,1,1,1,1
10/6/15,10S,4,2,24,28,1,arfr,14,1,arfr,1,0,1,,1,
10/6/15,10S,4,3,3,6,2,bogr,7,3,cael,2.5,1,1,2,3,2.5
10/6/15,10S,4,3,6,8,1,pasm,7,1,bogr,1,1,1,1,1,1
10/6/15,10S,4,3,9,40,2,pasm,42,6,pasm,4,1,1,2,6,4
10/6/15,10S,4,3,12,37,1,bogr,3,1,cael,1,1,1,1,1,1
10/6/15,10S,4,3,15,6,1,bogr,8,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,4,3,18,4,3,bogr,3,1,bogr,2,1,1,3,1,2
10/6/15,10S,4,3,21,15,1,bogr,23,4,arfr,2.5,1,1,1,4,2.5
10/6/15,10S,4,3,24,4,3,bogr,7,1,bogr,2,1,1,3,1,2
10/6/15,10S,4,4,3,24,2,thfi,15,1,bogr,1.5,1,1,2,1,1.5
10/6/15,10S,4,4,6,20,3,thfi,40,8,thfi,5.5,1,1,3,8,5.5
10/6/15,10S,4,4,9,6,2,bogr,21,3,thfi,2.5,1,1,2,3,2.5
10/6/15,10S,4,4,12,16,1,arlo,0,0,bare,0.5,0,1,,0,
10/6/15,10S,4,4,15,4,2,bogr,5,1,bogr,1.5,1,1,2,1,1.5
10/6/15,10S,4,4,18,2,1,cael,5,2,bogr,1.5,1,1,1,2,1.5
10/6/15,10S,4,4,21,12,3,bogr,4,3,bogr,3,1,1,3,3,3
10/6/15,10S,4,4,24,3,1,bogr,15,2,vuoc,1.5,1,1,1,2,1.5
10/1/15,15E,1,1,3,37,2,EREF,36,2,EVNU,2,1,1,2,2,2
10/1/15,15E,1,1,6,24,3,BOGR,27,1,BOGR,2,1,1,3,1,2
10/1/15,15E,1,1,9,21,2,BOGR,36,2,ARFR,2,1,1,2,2,2
10/1/15,15E,1,1,12,6,1,BOGR,48,2,BOGR,1.5,1,1,1,2,1.5
10/1/15,15E,1,1,15,16,3,BOGR,33,3,BOGR,3,1,1,3,3,3
10/1/15,15E,1,1,18,30,2,BOGR,32,2,BOGR,2,1,1,2,2,2
10/1/15,15E,1,1,21,28,4,BOGR,34,3,EREF,3.5,1,1,4,3,3.5
10/1/15,15E,1,1,24,30,6,EREF,21,1,BOGR,3.5,1,1,6,1,3.5
10/1/15,15E,1,2,3,14,2,BOGR,30,3,BOGR,2.5,1,1,2,3,2.5
10/1/15,15E,1,2,6,34,2,BOGR,13,4,BOGR,3,1,1,2,4,3
10/1/15,15E,1,2,9,35,2,BOGR,30,4,SIHY,3,1,1,2,4,3
10/1/15,15E,1,2,12,28,3,BOGR,27,4,BOGR,3.5,1,1,3,4,3.5
10/1/15,15E,1,2,15,20,3,BOGR,36,2,BOGR,2.5,1,1,3,2,2.5
10/1/15,15E,1,2,18,34,4,SPCR,25,3,OPPO,3.5,1,1,4,3,3.5
10/1/15,15E,1,2,21,29,2,BOGR,31,4,PASM,3,1,1,2,4,3
10/1/15,15E,1,2,24,25,3,BOGR,26,2,BOGR,2.5,1,1,3,2,2.5
10/1/15,15E,1,3,3,31,4,PASM,33,4,ARFR,4,1,1,4,4,4
10/1/15,15E,1,3,6,30,1,BOGR,21,1,SPCO,1,1,1,1,1,1
10/1/15,15E,1,3,9,18,3,BOGR,22,2,BOGR,2.5,1,1,3,2,2.5
10/1/15,15E,1,3,12,27,2,BOGR,25,6,EREF,4,1,1,2,6,4
10/1/15,15E,1,3,15,26,4,BOGR,27,5,PASM,4.5,1,1,4,5,4.5
10/1/15,15E,1,3,18,11,3,BOGR,20,3,BOGR,3,1,1,3,3,3
10/1/15,15E,1,3,21,17,2,EREF,31,2,BOGR,2,1,1,2,2,2
10/1/15,15E,1,3,24,33,8,EREF,32,4,BOGR,6,1,1,8,4,6
10/1/15,15E,1,4,3,24,3,BOGR,33,1,BOGR,2,1,1,3,1,2
10/1/15,15E,1,4,6,25,4,BOGR,25,3,BOGR,3.5,1,1,4,3,3.5
10/1/15,15E,1,4,9,6,1,BOGR,17,3,CAEL,2,1,1,1,3,2
10/1/15,15E,1,4,12,33,3,BOGR,24,3,BOGR,3,1,1,3,3,3
10/1/15,15E,1,4,15,36,3,BOGR,26,3,BOGR,3,1,1,3,3,3
10/1/15,15E,1,4,18,35,10,ARFR,34,3,BOGR,6.5,0,1,,3,
10/1/15,15E,1,4,21,15,3,VUOC,38,2,BOGR,2.5,1,1,3,2,2.5
10/1/15,15E,1,4,24,23,3,BOGR,39,4,BOGR,3.5,1,1,3,4,3.5
10/1/15,15E,2,1,3,18,3,BOGR,21,3,BOGR,3,1,1,3,3,3
10/1/15,15E,2,1,6,27,3,BOGR,18,3,ARFR,3,1,1,3,3,3
10/1/15,15E,2,1,9,34,4,CHNA,17,1,BOGR,2.5,1,1,4,1,2.5
10/1/15,15E,2,1,12,20,3,BOGR,21,3,PASM,3,1,1,3,3,3
10/1/15,15E,2,1,15,6,2,EREF,22,3,BOGR,2.5,1,1,2,3,2.5
10/1/15,15E,2,1,18,27,3,BOGR,24,2,BOGR,2.5,1,1,3,2,2.5
10/1/15,15E,2,1,21,11,1,BOGR,13,3,PASM,2,1,1,1,3,2
10/1/15,15E,2,1,24,30,3,BOGR,27,2,BOGR,2.5,1,1,3,2,2.5
10/1/15,15E,2,2,3,26,3,BOGR,36,2,BOGR,2.5,1,1,3,2,2.5
10/1/15,15E,2,2,6,35,2,BOGR,19,3,BOGR,2.5,1,1,2,3,2.5
10/1/15,15E,2,2,9,28,1,BOGR,23,3,CHNA,2,1,1,1,3,2
10/1/15,15E,2,2,12,20,1,BOGR,24,2,BOGR,1.5,1,1,1,2,1.5
10/1/15,15E,2,2,15,33,3,BOGR,20,3,BOGR,3,1,1,3,3,3
10/1/15,15E,2,2,18,20,2,BOGR,28,3,BOGR,2.5,1,1,2,3,2.5
10/1/15,15E,2,2,21,25,2,BOGR,20,1,BOGR,1.5,1,1,2,1,1.5
10/1/15,15E,2,2,24,5,1,BOGR,7,3,BOGR,2,1,1,1,3,2
10/1/15,15E,2,3,3,28,3,STCO,29,2,PASM,2.5,1,1,3,2,2.5
10/1/15,15E,2,3,6,16,2,BOGR,28,1,BOGR,1.5,1,1,2,1,1.5
10/1/15,15E,2,3,9,34,5,BOGR,11,4,PASM,4.5,1,1,5,4,4.5
10/1/15,15E,2,3,12,24,3,BOGR,22,3,BOGR,3,1,1,3,3,3
10/1/15,15E,2,3,15,24,2,SPCR,33,2,BOGR,2,1,1,2,2,2
10/1/15,15E,2,3,18,26,1,BOGR,24,2,BOGR,1.5,1,1,1,2,1.5
10/1/15,15E,2,3,21,33,3,BOGR,15,1,BOGR,2,1,1,3,1,2
10/1/15,15E,2,3,24,33,2,ARLO,35,1,BOGR,1.5,0,1,,1,
10/1/15,15E,2,4,3,27,3,BOGR,32,4,ARLO,3.5,1,1,3,4,3.5
10/1/15,15E,2,4,6,30,4,PASM,31,3,BOGR,3.5,1,1,4,3,3.5
10/1/15,15E,2,4,9,19,3,VUOC,11,2,VUOC,2.5,1,1,3,2,2.5
10/1/15,15E,2,4,12,28,4,PASM,18,3,VUOC,3.5,1,1,4,3,3.5
10/1/15,15E,2,4,15,13,3,BOGR,27,2,VUOC,2.5,1,1,3,2,2.5
10/1/15,15E,2,4,18,11,3,BOGR,26,3,BOGR,3,1,1,3,3,3
10/1/15,15E,2,4,21,23,3,BOGR,9,3,VUOC,3,1,1,3,3,3
10/1/15,15E,2,4,24,16,4,VUOC,12,2,BOGR,3,1,1,4,2,3
10/7/15,15E,3,1,3,21,4,BOGR,10,3,BOGR,3.5,1,1,4,3,3.5
10/7/15,15E,3,1,6,32,2,BOGR,29,3,BOGR,2.5,1,1,2,3,2.5
10/7/15,15E,3,1,9,19,3,BOGR,17,1,BOGR,2,1,1,3,1,2
10/7/15,15E,3,1,12,22,4,OPPO,21,5,BOGR,4.5,0,1,,5,
10/7/15,15E,3,1,15,30,2,BOGR,30,3,SPCR,2.5,1,1,2,3,2.5
10/7/15,15E,3,1,18,15,3,BOGR,24,2,STCO,2.5,1,1,3,2,2.5
10/7/15,15E,3,1,21,13,4,BOGR,32,4,VUOC,4,1,1,4,4,4
10/7/15,15E,3,1,24,11,3,BOGR,22,3,BOGR,3,1,1,3,3,3
10/7/15,15E,3,2,3,24,2,EREF,30,3,EREF,2.5,1,1,2,3,2.5
10/7/15,15E,3,2,6,26,5,BOGR,23,2,BOGR,3.5,1,1,5,2,3.5
10/7/15,15E,3,2,9,20,10,BOGR,30,7,BOGR,8.5,1,1,10,7,8.5
10/7/15,15E,3,2,12,52,20,SPCR,36,7,ARLO,13.5,1,1,20,7,13.5
10/7/15,15E,3,2,15,30,2,SPCR,17,2,BOGR,2,1,1,2,2,2
10/7/15,15E,3,2,18,23,5,BOGR,20,2,BOGR,3.5,1,1,5,2,3.5
10/7/15,15E,3,2,21,35,4,OPPO,23,4,BOGR,4,0,1,,4,
10/7/15,15E,3,2,24,12,2,BOGR,12,3,BOGR,2.5,1,1,2,3,2.5
10/7/15,15E,3,3,3,24,4,SPCR,42,7,ARLO,5.5,1,1,4,7,5.5
10/7/15,15E,3,3,6,34,4,ARFR,33,3,SPCR,3.5,0,1,,3,
10/7/15,15E,3,3,9,26,5,SPCR,33,6,VUOC,5.5,1,1,5,6,5.5
10/7/15,15E,3,3,12,21,4,OPPO,29,2,BOGR,3,0,1,,2,
10/7/15,15E,3,3,15,28,7,BOGR,38,7,BOGR,7,1,1,7,7,7
10/7/15,15E,3,3,18,24,2,BOGR,24,6,BOGR,4,1,1,2,6,4
10/7/15,15E,3,3,21,34,4,STCO,28,2,BOGR,3,1,1,4,2,3
10/7/15,15E,3,3,24,38,2,SPCR,24,2,ARFR,2,1,1,2,2,2
10/7/15,15E,3,4,3,15,2,BOGR,3,2,BOGR,2,1,1,2,2,2
10/7/15,15E,3,4,6,11,7,CHNA,27,1,BOGR,4,1,1,7,1,4
10/7/15,15E,3,4,9,29,4,ARLO,30,3,BOGR,3.5,0,1,,3,
10/7/15,15E,3,4,12,27,3,ARLO,7,2,BOGR,2.5,0,1,,2,
10/7/15,15E,3,4,15,16,3,IVAX,20,5,BOGR,4,1,1,3,5,4
10/7/15,15E,3,4,18,21,1,ARFR,7,2,BOGR,1.5,0,1,,2,
10/7/15,15E,3,4,21,13,6,IVAX,5,4,IVAX,5,1,1,6,4,5
10/7/15,15E,3,4,24,18,4,BOGR,16,6,GUSA,5,1,1,4,6,5
10/7/15,15E,4,1,3,31,7,ARLO,21,3,BOGR,5,0,1,,3,
10/7/15,15E,4,1,6,24,3,ARFR,22,6,ARLO,4.5,0,1,,6,
10/7/15,15E,4,1,9,20,1,BOGR,10,1,BOGR,1,1,1,1,1,1
10/7/15,15E,4,1,12,31,4,STCO,14,2,OPPO,3,1,1,4,2,3
10/7/15,15E,4,1,15,1,4,BOGR,13,7,THFI,5.5,1,1,4,7,5.5
10/7/15,15E,4,1,18,16,2,BOGR,12,5,VUOC,3.5,1,1,2,5,3.5
10/7/15,15E,4,1,21,16,1,BOGR,13,2,BOGR,1.5,1,1,1,2,1.5
10/7/15,15E,4,1,24,20,3,BOGR,27,4,BOGR,3.5,1,1,3,4,3.5
10/7/15,15E,4,2,3,11,5,BOGR,17,5,BOGR,5,1,1,5,5,5
10/7/15,15E,4,2,6,18,2,PASM,19,6,STCO,4,1,1,2,6,4
10/7/15,15E,4,2,9,14,3,BOGR,19,4,CAEL,3.5,1,1,3,4,3.5
10/7/15,15E,4,2,12,26,4,BOGR,30,7,GUSA,5.5,1,1,4,7,5.5
10/7/15,15E,4,2,15,32,5,BOGR,35,5,ARFR,5,1,1,5,5,5
10/7/15,15E,4,2,18,26,2,BOGR,19,2,BOGR,2,1,1,2,2,2
10/7/15,15E,4,2,21,13,3,BOGR,22,6,OPPO,4.5,1,1,3,6,4.5
10/7/15,15E,4,2,24,7,2,BOGR,22,4,BOGR,3,1,1,2,4,3
10/7/15,15E,4,3,3,15,5,ARFR,23,2,BOGR,3.5,0,1,,2,
10/7/15,15E,4,3,6,23,3,BOGR,25,5,BOGR,4,1,1,3,5,4
10/7/15,15E,4,3,9,24,3,BOGR,26,3,BOGR,3,1,1,3,3,3
10/7/15,15E,4,3,12,24,2,PASM,30,3,BOGR,2.5,1,1,2,3,2.5
10/7/15,15E,4,3,15,28,4,VUOC,26,4,VUOC,4,1,1,4,4,4
10/7/15,15E,4,3,18,28,7,ARLO,28,3,BOGR,5,0,1,,3,
10/7/15,15E,4,3,21,46,7,ARFR,37,5,BOGR,6,0,1,,5,
10/7/15,15E,4,3,24,26,8,ARFR,12,6,OPPO,7,0,1,,6,
10/7/15,15E,4,4,3,43,3,SPCR,34,5,BOGR,4,1,1,3,5,4
10/7/15,15E,4,4,6,46,10,EREF,27,2,BOGR,6,1,1,10,2,6
10/7/15,15E,4,4,9,60,15,SPCR,43,6,PASM,10.5,1,1,15,6,10.5
10/7/15,15E,4,4,12,30,3,BOGR,20,4,EREF,3.5,1,1,3,4,3.5
10/7/15,15E,4,4,15,23,4,BOGR,35,3,BOGR,3.5,1,1,4,3,3.5
10/7/15,15E,4,4,18,34,8,PASM,15,2,BOGR,5,1,1,8,2,5
10/7/15,15E,4,4,21,28,4,PASM,24,8,OPPO,6,1,1,4,8,6
10/7/15,15E,4,4,24,13,3,BOGR,25,4,BOGR,3.5,1,1,3,4,3.5
10/7/15,17N,1,1,3,12,3,bogr,5,3,bogr,3,1,1,3,3,3
10/7/15,17N,1,1,6,11,3,arlo,19,3,bogr,3,0,1,,3,
10/7/15,17N,1,1,9,11,3,bogr,4,2,bogr,2.5,1,1,3,2,2.5
10/7/15,17N,1,1,12,32,2,bogr,10,3,bogr,2.5,1,1,2,3,2.5
10/7/15,17N,1,1,15,5,2,bogr,7,3,bogr,2.5,1,1,2,3,2.5
10/7/15,17N,1,1,18,16,2,bogr,6,3,bogr,2.5,1,1,2,3,2.5
10/7/15,17N,1,1,21,6,3,bogr,3,2,bogr,2.5,1,1,3,2,2.5
10/7/15,17N,1,1,24,28,5,bogr,16,2,bogr,3.5,1,1,5,2,3.5
10/7/15,17N,1,2,3,5,4,bogr,18,2,bogr,3,1,1,4,2,3
10/7/15,17N,1,2,6,6,3,buda,12,3,lede,3,1,1,3,3,3
10/7/15,17N,1,2,9,10,3,buda,8,3,buda,3,1,1,3,3,3
10/7/15,17N,1,2,12,10,3,buda,11,3,bogr,3,1,1,3,3,3
10/7/15,17N,1,2,15,20,2,bogr,20,3,bogr,2.5,1,1,2,3,2.5
10/7/15,17N,1,2,18,34,3,bogr,28,4,bogr,3.5,1,1,3,4,3.5
10/7/15,17N,1,2,21,31,2,bogr,26,3,bogr,2.5,1,1,2,3,2.5
10/7/15,17N,1,2,24,22,3,bogr,28,3,bogr,3,1,1,3,3,3
10/7/15,17N,1,3,3,6,2,buda,6,1,buda,1.5,1,1,2,1,1.5
10/7/15,17N,1,3,6,5,2,buda,5,1,buda,1.5,1,1,2,1,1.5
10/7/15,17N,1,3,9,0,0,dung,8,1,bogr,0.5,1,1,0,1,0.5
10/7/15,17N,1,3,12,7,2,buda,4,2,buda,2,1,1,2,2,2
10/7/15,17N,1,3,15,6,1,bogr,7,1,buda,1,1,1,1,1,1
10/7/15,17N,1,3,18,16,2,buda,7,2,buda,2,1,1,2,2,2
10/7/15,17N,1,3,21,14,3,bogr,9,2,buda,2.5,1,1,3,2,2.5
10/7/15,17N,1,3,24,8,2,bogr,5,2,buda,2,1,1,2,2,2
10/7/15,17N,1,4,3,20,7,ivax,14,2,stco,4.5,1,1,7,2,4.5
10/7/15,17N,1,4,6,27,2,bogr,8,3,buda,2.5,1,1,2,3,2.5
10/7/15,17N,1,4,9,7,2,buda,23,3,buda,2.5,1,1,2,3,2.5
10/7/15,17N,1,4,12,29,3,pasm,26,3,pasm,3,1,1,3,3,3
10/7/15,17N,1,4,15,27,1,plpa,24,2,pasm,1.5,1,1,1,2,1.5
10/7/15,17N,1,4,18,27,3,pasm,29,3,pasm,3,1,1,3,3,3
10/7/15,17N,1,4,21,30,2,thfi,28,3,pasm,2.5,1,1,2,3,2.5
10/7/15,17N,1,4,24,28,4,eref,24,2,disp,3,1,1,4,2,3
10/7/15,17N,2,1,3,4,1,bogr,14,2,buda,1.5,1,1,1,2,1.5
10/7/15,17N,2,1,6,22,2,bogr,6,1,buda,1.5,1,1,2,1,1.5
10/7/15,17N,2,1,9,21,3,bogr,18,3,bogr,3,1,1,3,3,3
10/7/15,17N,2,1,12,27,2,arlo,13,3,bogr,2.5,0,1,,3,
10/7/15,17N,2,1,15,18,3,bogr,5,1,buda,2,1,1,3,1,2
10/7/15,17N,2,1,18,6,1,bogr,3,1,buda,1,1,1,1,1,1
10/7/15,17N,2,1,21,5,3,bogr,24,2,bogr,2.5,1,1,3,2,2.5
10/7/15,17N,2,1,24,5,1,bogr,5,1,bogr,1,1,1,1,1,1
10/7/15,17N,2,2,3,14,1,bogr,16,2,bogr,1.5,1,1,1,2,1.5
10/7/15,17N,2,2,6,23,2,bogr,8,3,bogr,2.5,1,1,2,3,2.5
10/7/15,17N,2,2,9,25,3,arlo,24,2,bogr,2.5,0,1,,2,
10/7/15,17N,2,2,12,30,3,bogr,11,3,bogr,3,1,1,3,3,3
10/7/15,17N,2,2,15,24,1,bogr,22,3,oppo,2,1,1,1,3,2
10/7/15,17N,2,2,18,30,3,bogr,31,1,bogr,2,1,1,3,1,2
10/7/15,17N,2,2,21,28,3,bogr,24,3,bogr,3,1,1,3,3,3
10/7/15,17N,2,2,24,19,3,bogr,12,2,bogr,2.5,1,1,3,2,2.5
