Date,Pasture,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Notes,,,,,
10/9/18,31E,2,1,9,7,3,VUOC,12,5,VUOC,,,,,,,,
10/9/18,31E,2,1,12,4,1,BOGR,3,1,BOGR,,,,,,,,
10/9/18,31E,2,1,15,10,3,VUOC,11,4,VUOC,,,,,,,,
10/9/18,31E,2,1,18,7,1,VUOC,5,1,BOGR,,,,,,,,
10/9/18,31E,2,1,21,16,1,VUOC,4,1,BOGR,,,,,,,,
10/9/18,31E,2,1,24,2,1,BOGR,15,4,VUOC,,,,,,,,
10/9/18,31E,2,2,3,11,2,VUOC,3,1,VUOC,,,,,,,,
10/9/18,31E,2,2,6,8,3,VUOC,16,4,ARPU,,,,,,,,
10/9/18,31E,2,2,9,12,2,VUOC,28,3,ARPU,,,,,,,,
10/9/18,31E,2,2,12,7,2,VUOC,12,1,VUOC,,,,,,,,
10/9/18,31E,2,2,15,4,2,BOGR,2,1,BOGR,,,,,,,,
10/9/18,31E,2,2,18,14,3,ARPU,6,1,VUOC,,,,,,,,
10/9/18,31E,2,2,21,3,1,BOGR,8,2,BOGR,,,,,,,,
10/9/18,31E,2,2,24,16,6,VUOC,6,2,BOGR,,,,,,,,
10/9/18,31E,2,3,3,21,5,GUSA,13,4,VUOC,,,,,,,,
10/9/18,31E,2,3,6,3,1,BUDA,5,1,BOGR,,,,,,,,
10/9/18,31E,2,3,9,3,2,BOGR,1,1,BOGR,,,,,,,,
10/9/18,31E,2,3,12,3,1,BUDA,2,1,BOGR,,,,,,,,
10/9/18,31E,2,3,15,21,8,ARPU,10,1,BUDA,,,,,,,,
10/9/18,31E,2,3,18,3,2,BOGR,3,3,BUDA,,,,,,,,
10/9/18,31E,2,3,21,1,1,BOGR,2,1,BOGR,,,,,,,,
10/9/18,31E,2,3,24,20,6,ARPU,3,2,BOGR,,,,,,,,
10/9/18,31E,2,4,3,1,1,BOGR,1,1,BOGR,,,,,,,,
10/9/18,31E,2,4,6,2,1,BOGR,18,2,ARPU,,,,,,,,
10/9/18,31E,2,4,9,3,1,BOGR,14,3,ARPU,,,,,,,,
10/9/18,31E,2,4,12,2,1,BUDA,12,1,VUOC,,,,,,,,
10/9/18,31E,2,4,15,1,1,BUDA,1,1,BOGR,,,,,,,,
10/9/18,31E,2,4,18,6,1,ARPU,3,2,BUDA,,,,,,,,
10/9/18,31E,2,4,21,4,2,BOGR,7,3,BOGR,,,,,,,,
10/9/18,31E,2,4,24,8,2,VUOC,13,1,VUOC,,,,,,,,
10/9/18,31E,3,1,3,7,1,BOGR,11,2,VUOC,,,,,,,,
10/9/18,31E,3,1,6,1,0,BUDA,1,0,BOGR,,,,,,,,
10/9/18,31E,3,1,9,16,3,VUOC,12,3,ELEL,,,,,,,,
10/9/18,31E,3,1,12,12,6,YUGL,19,6,ARPU,,,,,,,,
10/9/18,31E,3,1,15,10,3,VUOC,14,3,BOGR,,,,,,,,
10/9/18,31E,3,1,18,7,1,VUOC,11,3,BOGR,,,,,,,,
10/9/18,31E,3,1,21,16,3,VUOC,10,3,VUOC,,,,,,,,
10/9/18,31E,3,1,24,10,2,VUOC,10,1,BOGR,,,,,,,,
10/9/18,31E,3,2,3,10,2,PASM,19,2,PASM,,,,,,,,
10/9/18,31E,3,2,6,24,2,PASM,16,1,PASM,,,,,,,,
10/9/18,31E,3,2,9,16,1,BOGR,14,3,PASM,,,,,,,,
10/9/18,31E,3,2,12,14,3,VUOC,5,1,VUOC,,,,,,,,
10/9/18,31E,3,2,15,10,2,VUOC,4,1,VUOC,,,,,,,,
10/9/18,31E,3,2,18,10,2,PASM,26,3,PASM,,,,,,,,
10/9/18,31E,3,2,21,23,7,GUSA,19,4,PASM,,,,,,,,
10/9/18,31E,3,2,24,14,1,PASM,14,2,PASM,,,,,,,,
10/9/18,31E,3,3,3,10,3,VUOC,28,3,BOGR,,,,,,,,
10/9/18,31E,3,3,6,12,2,ARPU,19,8,GUSA,,,,,,,,
10/9/18,31E,3,3,9,14,1,VUOC,2,1,BOGR,,,,,,,,
10/9/18,31E,3,3,12,8,1,VUOC,10,3,ELEL,,,,,,,,
10/9/18,31E,3,3,15,17,5,ARPU,1,0,BOGR,,,,,,,,
10/9/18,31E,3,3,18,4,2,BOGR,16,1,ARPU,,,,,,,,
10/9/18,31E,3,3,21,2,1,BOGR,5,3,BOGR,,,,,,,,
10/9/18,31E,3,3,24,8,1,PLPA,8,1,VUOC,,,,,,,,
10/9/18,31E,3,4,3,3,2,BOGR,2,1,BOGR,,,,,,,,
10/9/18,31E,3,4,6,15,1,PASM,24,6,YUGL,,,,,,,,
10/9/18,31E,3,4,9,17,3,ELEL,2,1,BOGR,,,,,,,,
10/9/18,31E,3,4,12,13,3,ELEL,3,2,BOGR,,,,,,,,
10/9/18,31E,3,4,15,16,3,BOGR,16,3,ARPU,,,,,,,,
10/9/18,31E,3,4,18,9,1,BOGR,15,5,PASM,,,,,,,,
10/9/18,31E,3,4,21,17,3,PASM,18,2,PASM,,,,,,,,
10/9/18,31E,3,4,24,27,3,PASM,20,2,PASM,,,,,,,,
10/9/18,31E,4,1,3,9,1,VUOC,14,6,OPPO,,,,,,,,
10/9/18,31E,4,1,6,7,1,BOGR,8,2,VUOC,,,,,,,,
10/9/18,31E,4,1,9,8,0,BOGR,15,0,PASM,,,,,,,,
10/9/18,31E,4,1,12,6,1,VUOC,11,1,BOGR,,,,,,,,
10/9/18,31E,4,1,15,21,6,ATCA,8,1,BOGR,,,,,,,,
10/9/18,31E,4,1,18,12,2,OPPO,13,1,BOGR,,,,,,,,
10/9/18,31E,4,1,21,23,7,VUOC,15,0,VUOC,,,,,,,,
10/9/18,31E,4,1,24,24,1,PASM,17,1,PASM,,,,,,,,
10/9/18,31E,4,2,3,6,1,PASM,9,2,PASM,,,,,,,,
10/9/18,31E,4,2,6,0,0,BARE,0,0,BARE,,,,,,,,
10/9/18,31E,4,2,9,1,1,BOGR,2,1,BOGR,,,,,,,,
10/9/18,31E,4,2,12,10,1,VUOC,10,1,VUOC,,,,,,,,
10/9/18,31E,4,2,15,22,2,VUOC,6,1,VUOC,,,,,,,,
10/9/18,31E,4,2,18,32,17,ATCA,20,12,ATCA,,,,,,,,
10/9/18,31E,4,2,21,6,1,VUOC,13,2,PASM,,,,,,,,
10/9/18,31E,4,2,24,18,2,PASM,11,1,PASM,,,,,,,,
10/9/18,31E,4,3,3,11,1,PASM,2,1,BOGR,,,,,,,,
10/9/18,31E,4,3,6,19,1,PASM,22,4,ATCA,,,,,,,,
10/9/18,31E,4,3,9,8,1,PASM,52,36,ATCA,,,,,,,,
10/9/18,31E,4,3,12,13,1,VUOC,18,1,PASM,,,,,,,,
10/9/18,31E,4,3,15,12,1,BOGR,1,0,BOGR,,,,,,,,
10/9/18,31E,4,3,18,26,2,PASM,13,2,PASM,,,,,,,,
10/9/18,31E,4,3,21,28,2,PASM,14,2,PASM,,,,,,,,
10/9/18,31E,4,3,24,10,0,BOGR,20,1,PASM,,,,,,,,
10/9/18,31E,4,4,3,2,1,BOGR,3,1,BOGR,,,,,,,,
10/9/18,31E,4,4,6,12,1,OPPO,5,2,BOGR,,,,,,,,
10/9/18,31E,4,4,9,17,12,ATCA,3,1,BOGR,,,,,,,,
10/9/18,31E,4,4,12,4,1,BOGR,1,1,BOGR,,,,,,,,
10/9/18,31E,4,4,15,1,0,BOGR,8,1,ATCA,,,,,,,,
10/9/18,31E,4,4,18,2,1,BOGR,1,0,BOGR,,,,,,,,
10/9/18,31E,4,4,21,2,1,BOGR,12,1,ARFR,,,,,,,,
10/9/18,31E,4,4,24,4,1,BOGR,14,1,ARPU,,,,,,,,
10/11/18,31W,1,1,3,18,2,BOGR,5,2,VUOC,,,,,,,,
10/11/18,31W,1,1,6,5,1,BOGR,16,3,VUOC,,,,,,,,
10/11/18,31W,1,1,9,20,4,OPPO,16,4,VUOC,,,,,,,,
10/11/18,31W,1,1,12,32,4,OPPO,8,2,CADU,,,,,,,,
10/11/18,31W,1,1,15,30,3,ATCA,31,1,VUOC,,,,,,,,
10/11/18,31W,1,1,18,11,2,VUOC,15,5,OPPO,,,,,,,,
10/11/18,31W,1,1,21,4,1,BOGR,7,1,BOGR,,,,,,,,
10/11/18,31W,1,1,24,4,1,BOGR,8,1,BOGR,,,,,,,,
10/11/18,31W,1,2,3,56,3,HECO,49,4,ARPU,,,,,,,,
10/11/18,31W,1,2,6,48,15,HECO,40,3,HECO,,,,,,,,
10/11/18,31W,1,2,9,37,1,HECO,4,1,BOGR,,,,,,,,
10/11/18,31W,1,2,12,12,2,BOGR,14,3,BOGR,,,,,,,,
10/11/18,31W,1,2,15,27,4,YUGL,27,1,YUGL,,,,,,,,
10/11/18,31W,1,2,18,16,2,HECO,12,2,BOGR,,,,,,,,
10/11/18,31W,1,2,21,26,2,VUOC,26,1,VUOC,,,,,,,,
10/11/18,31W,1,2,24,7,1,BOGR,36,6,EREF,,,,,,,,
10/11/18,31W,1,3,3,3,1,VUOC,1,1,BOGR,,,,,,,,
10/11/18,31W,1,3,6,5,1,BOGR,13,3,VUOC,,,,,,,,
10/11/18,31W,1,3,9,24,2,VUOC,10,2,VUOC,,,,,,,,
10/11/18,31W,1,3,12,7,1,BOGR,12,2,VUOC,,,,,,,,
10/11/18,31W,1,3,15,2,0,BOGR,16,1,VUOC,,,,,,,,
10/11/18,31W,1,3,18,3,1,BOGR,9,1,BOGR,,,,,,,,
10/11/18,31W,1,3,21,16,2,ELEL,10,2,VUOC,,,,,,,,
10/11/18,31W,1,3,24,10,1,SPCR,8,1,BOGR,,,,,,,,
10/11/18,31W,1,4,3,11,1,VUOC,10,3,BOGR,,,,,,,,
10/11/18,31W,1,4,6,13,2,VUOC,11,2,BOGR,,,,,,,,
10/11/18,31W,1,4,9,10,2,BOGR,14,2,BOGR,,,,,,,,
10/11/18,31W,1,4,12,12,2,BOGR,4,1,VUOC,,,,,,,,
10/11/18,31W,1,4,15,10,1,BOGR,9,1,VUOC,,,,,,,,
10/11/18,31W,1,4,18,14,1,ELEL,12,1,VUOC,,,,,,,,
10/11/18,31W,1,4,21,13,1,BOGR,20,1,VUOC,,,,,,,,
10/11/18,31W,1,4,24,3,1,BOGR,13,1,BOGR,,,,,,,,
10/11/18,31W,2,1,3,2,1,BUDA,1,1,BUDA,,,,,,,,
10/11/18,31W,2,1,6,3,1,BUDA,2,1,BUDA,,,,,,,,
10/11/18,31W,2,1,9,2,1,BUDA,4,1,BOGR,,,,,,,,
10/11/18,31W,2,1,12,8,1,BOGR,4,2,BOGR,,,,,,,,
10/11/18,31W,2,1,15,4,1,BUDA,13,1,BUDA,,,,,,,,
10/11/18,31W,2,1,18,6,1,BOGR,4,1,BOGR,,,,,,,,
10/11/18,31W,2,1,21,6,2,BUDA,12,3,OPPO,,,,,,,,
10/11/18,31W,2,1,24,6,1,BOGR,4,2,BOGR,,,,,,,,
10/11/18,31W,2,2,3,10,2,BUDA,12,2,OPPO,,,,,,,,
10/11/18,31W,2,2,6,8,1,BOGR,7,2,OPPO,,,,,,,,
10/11/18,31W,2,2,9,4,1,BOGR,4,1,BOGR,,,,,,,,
10/11/18,31W,2,2,12,14,2,BOGR,25,3,ARPU,,,,,,,,
10/11/18,31W,2,2,15,8,1,BOGR,5,1,BOGR,,,,,,,,
10/11/18,31W,2,2,18,6,4,OPPO,6,2,BUDA,,,,,,,,
10/11/18,31W,2,2,21,6,2,BOGR,5,1,BOGR,,,,,,,,
10/11/18,31W,2,2,24,4,1,BUDA,6,2,BUDA,,,,,,,,
10/11/18,31W,2,3,3,6,1,BOGR,5,2,VUOC,,,,,,,,
10/11/18,31W,2,3,6,27,6,ARPU,34,9,ARPU,,,,,,,,
10/11/18,31W,2,3,9,15,2,BOGR,1,1,BOGR,,,,,,,,
10/11/18,31W,2,3,12,25,2,VUOC,6,2,ARPU,,,,,,,,
10/11/18,31W,2,3,15,7,1,BOGR,12,0,ELEL,,,,,,,,
10/11/18,31W,2,3,18,9,1,BOGR,13,1,PLPA,,,,,,,,
10/11/18,31W,2,3,21,13,3,ARPU,3,1,VUOC,,,,,,,,
10/11/18,31W,2,3,24,7,1,BUDA,2,1,BOGR,,,,,,,,
10/11/18,31W,2,4,3,33,5,ATCA,16,2,ELEL,,,,,,,,
10/11/18,31W,2,4,6,25,4,ELEL,6,1,ELEL,,,,,,,,
10/11/18,31W,2,4,9,12,2,VUOC,22,2,ATCA,,,,,,,,
10/11/18,31W,2,4,12,21,0,BOGR,4,1,BOGR,,,,,,,,
10/11/18,31W,2,4,15,12,2,ELEL,4,2,BUDA,,,,,,,,
10/11/18,31W,2,4,18,19,2,ELEL,3,2,BOGR,,,,,,,,
10/11/18,31W,2,4,21,11,3,GUSA,10,2,BOGR,,,,,,,,
10/11/18,31W,2,4,24,2,1,BUDA,4,1,BUDA,,,,,,,,
10/11/18,31W,3,1,3,22,1,VUOC,11,2,BOGR,,,,,,,,
10/11/18,31W,3,1,6,10,1,BOGR,13,3,ELEL,,,,,,,,
10/11/18,31W,3,1,9,10,2,BOGR,10,2,VUOC,,,,,,,,
10/11/18,31W,3,1,12,4,1,BOGR,9,1,BOGR,,,,,,,,
10/11/18,31W,3,1,15,14,3,VUOC,17,5,VUOC,,,,,,,,
10/11/18,31W,3,1,18,4,1,BOGR,4,1,BOGR,,,,,,,,
10/11/18,31W,3,1,21,7,1,BOGR,20,1,BOGR,,,,,,,,
10/11/18,31W,3,1,24,5,1,PASM,6,1,PASM,,,,,,,,
10/11/18,31W,3,2,3,4,1,BUDA,11,3,OPPO,,,,,,,,
10/11/18,31W,3,2,6,12,1,BUDA,3,1,BOGR,,,,,,,,
10/11/18,31W,3,2,9,8,4,ARPU,9,2,BOGR,,,,,,,,
10/11/18,31W,3,2,12,15,3,BOGR,16,1,BOGR,,,,,,,,
10/11/18,31W,3,2,15,7,3,GUSA,14,1,PASM,,,,,,,,
10/11/18,31W,3,2,18,30,4,ATCA,5,1,BOGR,,,,,,,,
10/11/18,31W,3,2,21,20,3,GUSA,14,2,BOGR,,,,,,,,
10/11/18,31W,3,2,24,12,3,PASM,13,6,PASM,,,,,,,,
10/11/18,31W,3,3,3,13,2,BOGR,31,3,PASM,,,,,,,,
10/11/18,31W,3,3,6,11,1,PASM,15,2,PASM,,,,,,,,
10/11/18,31W,3,3,9,20,3,PASM,24,2,PASM,,,,,,,,
10/11/18,31W,3,3,12,2,1,BOGR,9,1,BOGR,,,,,,,,
10/11/18,31W,3,3,15,8,2,BOGR,6,2,BOGR,,,,,,,,
10/11/18,31W,3,3,18,11,2,ELEL,8,1,BOGR,,,,,,,,
10/11/18,31W,3,3,21,10,2,BOGR,7,2,BOGR,,,,,,,,
10/11/18,31W,3,3,24,28,2,PASM,15,1,PASM,,,,,,,,
10/11/18,31W,3,4,3,14,1,BOGR,7,0,BUDA,,,,,,,,
10/11/18,31W,3,4,6,5,3,BOGR,5,3,BOGR,,,,,,,,
10/11/18,31W,3,4,9,4,3,BUDA,2,1,BUDA,,,,,,,,
10/11/18,31W,3,4,12,5,2,BOGR,28,2,ELEL,,,,,,,,
10/11/18,31W,3,4,15,6,1,BUDA,24,1,BOGR,,,,,,,,
10/11/18,31W,3,4,18,4,1,BOGR,26,3,BOGR,,,,,,,,
10/11/18,31W,3,4,21,4,2,BUDA,3,1,VUOC,,,,,,,,
10/11/18,31W,3,4,24,10,1,BUDA,9,2,BUDA,,,,,,,,
10/11/18,31W,4,1,3,9,2,ARPU,11,2,BOGR,,,,,,,,
10/11/18,31W,4,1,6,30,3,PASM,23,4,PASM,,,,,,,,
10/11/18,31W,4,1,9,26,4,PASM,18,6,PASM,,,,,,,,
10/11/18,31W,4,1,12,24,3,PASM,26,2,PASM,,,,,,,,
10/11/18,31W,4,1,15,24,1,PASM,22,2,PASM,,,,,,,,
10/11/18,31W,4,1,18,26,4,PASM,24,6,PASM,,,,,,,,
10/11/18,31W,4,1,21,14,2,PASM,21,5,PASM,,,,,,,,
10/11/18,31W,4,1,24,16,2,OPPO,18,3,PASM,,,,,,,,
10/11/18,31W,4,2,3,24,2,PASM,18,3,PASM,,,,,,,,
10/11/18,31W,4,2,6,19,2,OPPO,20,2,PASM,,,,,,,,
10/11/18,31W,4,2,9,9,1,VUOC,16,2,PASM,,,,,,,,
10/11/18,31W,4,2,12,39,18,ATCA,9,1,CRMI,,,,,,,,
10/11/18,31W,4,2,15,44,22,ATCA,36,8,ATCA,,,,,,,,
10/11/18,31W,4,2,18,35,2,PASM,42,12,ATCA,,,,,,,,
10/11/18,31W,4,2,21,21,4,OPPO,20,4,PASM,,,,,,,,
10/11/18,31W,4,2,24,15,2,PASM,24,8,EREF,,,,,,,,
10/11/18,31W,4,3,3,30,7,ATCA,13,2,PASM,,,,,,,,
10/11/18,31W,4,3,6,16,4,VUOC,35,10,ATCA,,,,,,,,
10/11/18,31W,4,3,9,16,2,BOGR,10,2,VUOC,,,,,,,,
10/11/18,31W,4,3,12,22,8,PASM,15,3,PASM,,,,,,,,
10/11/18,31W,4,3,15,17,2,PASM,27,1,PASM,,,,,,,,
10/11/18,31W,4,3,18,21,3,PASM,30,4,PASM,,,,,,,,
10/11/18,31W,4,3,21,15,2,PASM,16,3,PASM,,,,,,,,
10/11/18,31W,4,3,24,21,3,PASM,22,3,PASM,,,,,,,,
10/11/18,31W,4,4,3,25,10,PASM,22,2,PASM,,,,,,,,
10/11/18,31W,4,4,6,25,4,YUGL,13,1,PASM,,,,,,,,
10/11/18,31W,4,4,9,19,2,PASM,21,2,PASM,,,,,,,,
10/11/18,31W,4,4,12,20,5,ERNA,24,1,PASM,,,,,,,,
10/11/18,31W,4,4,15,12,3,PASM,12,2,PASM,,,,,,,,
10/11/18,31W,4,4,18,15,6,PASM,24,1,PASM,,,,,,,,
10/11/18,31W,4,4,21,23,10,PASM,16,2,PASM,,,,,,,,
10/11/18,31W,4,4,24,11,4,PASM,28,7,PASM,,,,,,,,
10/2/18,7NW,1,1,3,5,0,BOGR,4,2,BOGR,,,,,,,,
10/2/18,7NW,1,1,6,4,2,BOGR,4,3,BOGR,,,,,,,,
10/2/18,7NW,1,1,9,4,2,BOGR,2,1,BOGR,,,,,,,,
10/2/18,7NW,1,1,12,4,1,BOGR,7,2,BOGR,,,,,,,,
10/2/18,7NW,1,1,15,2,0,BOGR,4,1,BOGR,,,,,,,,
10/2/18,7NW,1,1,18,1,0,BOGR,6,1,BOGR,,,,,,,,
10/2/18,7NW,1,1,21,2,1,BOGR,6,2,BOGR,,,,,,,,
10/2/18,7NW,1,1,24,7,2,PASM,6,3,PASM,,,,,,,,
10/2/18,7NW,1,2,3,13,1,PASM,16,1,BOGR,,,,,,,,
10/2/18,7NW,1,2,6,15,2,BOGR,12,1,BOGR,,,,,,,,
10/2/18,7NW,1,2,9,14,5,PASM,18,2,BOGR,,,,,,,,
10/2/18,7NW,1,2,12,21,1,PASM,18,2,HECO,,,,,,,,
10/2/18,7NW,1,2,15,22,3,PASM,34,5,HECO,,,,,,,,
10/2/18,7NW,1,2,18,29,1,HECO,13,2,BOGR,,,,,,,,
10/2/18,7NW,1,2,21,29,4,PASM,2,0,BOGR,,,,,,,,
10/2/18,7NW,1,2,24,59,3,BOGR,6,1,BOGR,,,,,,,,
10/2/18,7NW,1,3,3,25,2,PASM,21,2,OPPO,,,,,,,,
10/2/18,7NW,1,3,6,3,1,BOGR,20,2,EREF,,,,,,,,
10/2/18,7NW,1,3,9,19,3,OPPO,0.19,2,PASM,,,,,,,,
10/2/18,7NW,1,3,12,28,3,PASM,39,4,HECO,,,,,,,,
10/2/18,7NW,1,3,15,29,5,HECO,18,2,PASM,,,,,,,,
10/2/18,7NW,1,3,18,24,3,PASM,18,5,OPPO,,,,,,,,
10/2/18,7NW,1,3,21,19,2,BOGR,21,3,PASM,,,,,,,,
10/2/18,7NW,1,3,24,19,3,OPPO,4,1,BOGR,,,,,,,,
10/2/18,7NW,1,4,3,4,2,BOGR,32,1,BOGR,,,,,,,,
10/2/18,7NW,1,4,6,4,1,BOGR,6,1,BOGR,,,,,,,,
10/2/18,7NW,1,4,9,6,2,BOGR,8,1,BOGR,,,,,,,,
10/2/18,7NW,1,4,12,31,3,HECO,4,1,BOGR,,,,,,,,
10/2/18,7NW,1,4,15,25,7,ELEL,14,2,ELEL,,,,,,,,
10/2/18,7NW,1,4,18,4,1,BOGR,4,1,BOGR,,,,,,,,
10/2/18,7NW,1,4,21,18,1,EREF,3,1,BOGR,,,,,,,,
10/2/18,7NW,1,4,24,20,2,BOGR,15,1,BOGR,,,,,,,,
10/2/18,7NW,2,1,3,6,2,HECO,20,8,HECO,,,,,,,,
10/2/18,7NW,2,1,6,11,2,HECO,20,2,HECO,,,,,,,,
10/2/18,7NW,2,1,9,15,0,HECO,14,2,BOGR,,,,,,,,
10/2/18,7NW,2,1,12,4,1,BOGR,2,1,BOGR,,,,,,,,
10/2/18,7NW,2,1,15,16,2,HECO,27,5,OPPO,,,,,,,,
10/2/18,7NW,2,1,18,2,0,BOGR,2,1,BOGR,,,,,,,,
10/2/18,7NW,2,1,21,4,2,BOGR,3,2,BOGR,,,,,,,,
10/2/18,7NW,2,1,24,7,2,BOGR,2,0,BOGR,,,,,,,,
10/2/18,7NW,2,2,3,5,2,OPPO,20,2,OPPO,,,,,,,,
10/2/18,7NW,2,2,6,5,2,BOGR,4,1,BOGR,,,,,,,,
10/2/18,7NW,2,2,9,4,1,BOGR,2,0,BOGR,,,,,,,,
10/2/18,7NW,2,2,12,14,1,BOGR,4,1,HECO,,,,,,,,
10/2/18,7NW,2,2,15,7,2,BOGR,6,2,BOGR,,,,,,,,
10/2/18,7NW,2,2,18,1,0,BOGR,4,1,BOGR,,,,,,,,
10/2/18,7NW,2,2,21,6,2,BOGR,3,0,BOGR,,,,,,,,
10/2/18,7NW,2,2,24,4,1,BOGR,5,2,BOGR,,,,,,,,
10/2/18,7NW,2,3,3,2,0,BOGR,22,3,HECO,,,,,,,,
10/2/18,7NW,2,3,6,7,1,BOGR,8,0,BOGR,,,,,,,,
10/2/18,7NW,2,3,9,1,0,BOGR,3,1,BOGR,,,,,,,,
10/2/18,7NW,2,3,12,3,1,BOGR,2,0,BOGR,,,,,,,,
10/2/18,7NW,2,3,15,5,1,BOGR,4,2,BOGR,,,,,,,,
10/2/18,7NW,2,3,18,6,2,BOGR,2,1,BOGR,,,,,,,,
10/2/18,7NW,2,3,21,6,3,BOGR,8,1,BOGR,,,,,,,,
10/2/18,7NW,2,3,24,4,1,BOGR,6,1,BOGR,,,,,,,,
10/2/18,7NW,2,4,3,4,1,HECO,5,2,BOGR,,,,,,,,
10/2/18,7NW,2,4,6,22,3,HECO,4,0,HECO,,,,,,,,
10/2/18,7NW,2,4,9,2,0,HECO,30,5,HECO,,,,,,,,
10/2/18,7NW,2,4,12,9,3,BOGR,20,2,HECO,,,,,,,,
10/2/18,7NW,2,4,15,12,3,OPPO,12,2,BOGR,,,,,,,,
10/2/18,7NW,2,4,18,4,1,BOGR,4,0,BOGR,,,,,,,,
10/2/18,7NW,2,4,21,2,1,BOGR,13,2,BOGR,,,,,,,,
10/2/18,7NW,2,4,24,9,2,OPPO,16,3,ELEL,,,,,,,,
10/2/18,7NW,3,1,3,19,5,HECO,30,1,HECO,,,,,,,,
10/2/18,7NW,3,1,6,15,4,GUSA,16,2,HECO,,,,,,,,
10/2/18,7NW,3,1,9,18,5,HECO,30,10,HECO,,,,,,,,
10/2/18,7NW,3,1,12,29,7,HECO,38,6,HECO,,,,,,,,
10/2/18,7NW,3,1,15,22,2,HECO,28,5,HECO,,,,,,,,
10/2/18,7NW,3,1,18,24,2,PASM,28,2,PASM,,,,,,,,
10/2/18,7NW,3,1,21,20,2,PASM,22,2,PASM,,,,,,,,
10/2/18,7NW,3,1,24,10,3,BOGR,16,3,PASM,,,,,,,,
10/2/18,7NW,3,2,3,18,5,OPPO,12,4,OPPO,,,,,,,,
10/2/18,7NW,3,2,6,11,5,ELEL,15,4,BOGR,,,,,,,,
10/2/18,7NW,3,2,9,16,6,ELEL,5,2,EREF,,,,,,,,
10/2/18,7NW,3,2,12,14,2,BOGR,10,2,BOGR,,,,,,,,
10/2/18,7NW,3,2,15,36,2,HECO,28,5,HECO,,,,,,,,
10/2/18,7NW,3,2,18,8,1,BOGR,4,2,BOGR,,,,,,,,
10/2/18,7NW,3,2,21,4,1,BOGR,20,3,EREF,,,,,,,,
10/2/18,7NW,3,2,24,22,3,HECO,22,4,ELEL,,,,,,,,
10/2/18,7NW,3,3,3,46,4,HECO,16,5,OPPO,,,,,,,,
10/2/18,7NW,3,3,6,22,2,HECO,29,4,HECO,,,,,,,,
10/2/18,7NW,3,3,9,8,2,HECO,18,2,HECO,,,,,,,,
10/2/18,7NW,3,3,12,14,2,PASM,22,5,HECO,,,,,,,,
