Date,Pasture,Plot,Transect , Distance,East-High,East-High-Spp,East-Low,East-Low-Spp,West-High,West-High-Sp,West-Low,West-Low-Spp,
6/8/2022,18S,1,2,9,68,atca,1,cadu,16,heco,1,cadu,0
6/8/2022,18S,1,2,12,58,atca,12,atca,70,sial,19,atca,0
6/8/2022,18S,1,2,15,51,atca,8,atca,62,atca,9,atca,0
6/8/2022,18S,1,2,18,72,atca,18,atca,60,heco,18,heco,0
6/8/2022,18S,1,2,21,40,heco,1,heco,18,heco,4,heco,0
6/8/2022,18S,1,2,24,90+,atca,4,atca,58,sial,6,oppo,0
6/8/2022,18S,1,3,3,6,spcr,1,spcr,26,bogr,3,heco,0
6/8/2022,18S,1,3,6,34,chle,2,vuoc,18,heco,1,saib,0
6/8/2022,18S,1,3,9,20,sial,1,atca,14,sial,2,cadu,0
6/8/2022,18S,1,3,12,42,sial,1,sial,64,sial,9,atca,0
6/8/2022,18S,1,3,15,44,heco,2,heco,24,heco,3,bogr,0
6/8/2022,18S,1,3,18,36,bogr,3,eref,18,heco,1,heco,0
6/8/2022,18S,1,3,21,62,atca,5,atca,76,heco,12,atca,0
6/8/2022,18S,1,3,24,32,heco,2,heco,10,heco,1,spco,0
6/8/2022,18S,1,4,3,64,atca,29,atca,25,chle,6,heco,0
6/8/2022,18S,1,4,6,34,atca,6,atca,22,heco,6,heco,0
6/8/2022,18S,1,4,9,62,atca,20,atca,24,heco,2,heco,0
6/8/2022,18S,1,4,12,72,atca,8,atca,68,atca,1,heco,0
6/8/2022,18S,1,4,15,42,atca,1,atca,36,chle,1,hean,0
6/8/2022,18S,1,4,18,38,sial,1,heco,27,heco,9,heco ,0
6/8/2022,18S,1,4,21,54,atca,1,atca,26,chle,1,heco,0
6/8/2022,18S,1,4,24,11,heco,1,heco,20,heco,5,heco,0
6/8/2022,18S,2,1,3,38,heco ,1,heco,48,sial,2,chle,0
6/8/2022,18S,2,1,6,16,bogr,2,bogr,28,heco,3,heco,0
6/8/2022,18S,2,1,9,72,atca,1,heco,62,atca,1,elel,0
6/8/2022,18S,2,1,12,56,heco,2,heco,36,heco,2,heco,0
6/8/2022,18S,2,1,15,40,heco,1,cadu,35,heco,3,heco,0
6/8/2022,18S,2,1,18,25,heco,1,heco,58,sial,1,eref,0
6/8/2022,18S,2,1,21,32, sial,2,heco,18,bogr,1,bogr,0
6/8/2022,18S,2,1,24,40,sial,1, bogr,41,bogr,2,elel,0
6/8/2022,18S,2,2,3,68,sial,1,sial,42,sial,1,sial,0
6/8/2022,18S,2,2,6,50,heco,7,heco,20,chle,1,heco,0
6/8/2022,18S,2,2,9,40,chle,1,chle,72,sial,4,atca,0
6/8/2022,18S,2,2,12,16,chle,1,heco,40,heco,9,heco,0
6/8/2022,18S,2,2,15,90+,atca,6,atca,34,chle,2,heco,0
6/8/2022,18S,2,2,18,30,heco,3,heco,32,chle,1,heco,0
6/8/2022,18S,2,2,21,45,chle ,3,chle,29,heco,2,heco,0
6/8/2022,18S,2,2,24,66,heco,2,heco,50,chle,3,saib,0
6/8/2022,18S,2,3,3,36,chle,2,pasm,38,chle,7,heco,0
6/8/2022,18S,2,3,6,54,chle,1,heco,22,heco,2,heco,0
6/8/2022,18S,2,3,9,74,chle,4,heco,36,chle,3,heco,0
6/8/2022,18S,2,3,12,40,chle,1,chle,52,chle,1,heco,0
6/8/2022,18S,2,3,15,41,chle,1,chle,24,chle,1,spco,0
6/8/2022,18S,2,3,18,44,chle,4,oppo,10,heco,3,oppo,0
6/8/2022,18S,2,3,21,36,heco,3,cadu,26,heco,7,eref,0
6/8/2022,18S,2,3,24,32,chle,3,eref,26,chle,1,chle,0
6/8/2022,18S,2,4,3,27,pasm ,11,oppo,80,atca,1,bogr,0
6/8/2022,18S,2,4,6,10,bogr,1,bogr,38,heco,2,bogr,0
6/8/2022,18S,2,4,9,85,atca,36,atca,32,pasm,3,pasm,0
6/8/2022,18S,2,4,12,12,sial,1,sial,44,pasm,1,pasm,0
6/8/2022,18S,2,4,15,18,pasm,2,pasm,36,chle,1,pasm,0
6/8/2022,18S,2,4,18,70,atca,1,pasm,36,atca,3,pasm,0
6/8/2022,18S,2,4,21,32,chle,4,heco,24,pasm,2,pasm,0
6/8/2022,18S,2,4,24,63,atca,40,atca,31,pasm,2,pasm,0
6/7/2022,18S,3,1,3,44,pasm,5,pasm,26,pasm,2,pasm,0
6/7/2022,18S,3,1,6,50,atca,5,pasm,16,chle,1,chle,0
6/7/2022,18S,3,1,9,26,atca,1,pasm,46,atca,6,atca,0
6/7/2022,18S,3,1,12,42,pasm,2,pasm,86,atca,27,atca,0
6/7/2022,18S,3,1,15,44,chle,1,pasm,48,pasm,3,pasm,0
6/7/2022,18S,3,1,18,60,pasm,1,pasm,48,atca,4,atca,0
6/7/2022,18S,3,1,21,50,atca,20,atca,39,atca,2,pasm,0
6/7/2022,18S,3,1,24,43,heco,5,heco,15,pasm,1,pasm,0
6/7/2022,18S,3,2,3,30,heco,2,heco,46,heco,3,heco,0
6/7/2022,18S,3,2,6,35,chle,3,chle,90+,atca,29,atca,#VALUE!
6/7/2022,18S,3,2,9,33,chle,3,heco,44,sial ,2,heco,0
6/7/2022,18S,3,2,12,34,sial,1,heco,54,chle,1,chle,0
6/7/2022,18S,3,2,15,44,sial,1,sial,40,chle,23,heco,0
6/7/2022,18S,3,2,18,58,sial,10,sial,54,atca,21,atca,0
6/7/2022,18S,3,2,21,56,sial,2,heco,42,sial ,1,heco,0
6/7/2022,18S,3,2,24,62,atca,6,heco,68,atca,9,atca,0
6/7/2022,18S,3,3,3,36,chle,1,pasm,76,sial,3,pasm,0
6/7/2022,18S,3,3,6,28,pasm,1,pasm,45,heco,9,heco,0
6/7/2022,18S,3,3,9,90,heco,3,chle,24,heco,4,oppo,0
6/7/2022,18S,3,3,12,40,pasm,9,pasm,22,heco,2,pasm,0
6/7/2022,18S,3,3,15,33,heco,3,heco,22,pasm,2,pasm,0
6/7/2022,18S,3,3,18,52,heco,5,heco,36,heco,4,pasm,0
6/7/2022,18S,3,3,21,22,heco,3,heco,30,atca,11,pasm,0
6/7/2022,18S,3,3,24,29,pasm,5,pasm,24,pasm,3,oppo,0
6/7/2022,18S,3,4,3,2,oppo,1,oppo,60,chle,1,chle,0
6/7/2022,18S,3,4,6,32,chle,2,chle,40,chle,2,heco,0
6/7/2022,18S,3,4,9,15,chle,1,chle,24,chle,1,bogr,0
6/7/2022,18S,3,4,12,33,chle,1,chle,26,chle,1,chle,0
6/7/2022,18S,3,4,15,24,chle,1,heco,24,chle ,2,heco,0
6/7/2022,18S,3,4,18,32,chle,2,heco,26,heco,2,heco,0
6/7/2022,18S,3,4,21,34,sial ,5,oppo,58,chle,3,oppo,0
6/7/2022,18S,3,4,24,50,sial,4,heco,60,atca,4,oppo,0
6/7/2022,18S,4,1,3,23,chle,4,chal,32,chle,1,chle,0
6/7/2022,18S,4,1,6,28,pasm,3,bogr,30,pasm,3,pasm,0
6/7/2022,18S,4,1,9,24,pasm,3,pasm,29,pasm,4,pasm,0
6/7/2022,18S,4,1,12,8,pasm,2,pasm,17,eref,3,eref,0
6/7/2022,18S,4,1,15,36,pasm,1,pasm,27,pasm,1,cadu,0
6/7/2022,18S,4,1,18,22,pasm,4,pasm,10,heco,1,heco,0
6/7/2022,18S,4,1,21,32,heco,4,heco,38,heco,8,heco,0
6/7/2022,18S,4,1,24,27,pasm,2,pasm,24,pasm,6,pasm,0
6/7/2022,18S,4,2,3,36,spcr,2,spcr,47,sial,2,heco,0
6/7/2022,18S,4,2,6,40,chle,2,piop,54,chle,1,heco,0
6/7/2022,18S,4,2,9,86,atca,25,atca,74,atca,65,atca,0
6/7/2022,18S,4,2,12,38,chle,1,bogr,41,chle,6,heco,0
6/7/2022,18S,4,2,15,38,heco,1,heco,38,chle,9,heco,0
6/7/2022,18S,4,2,18,49,chle,1,cafi,22,chle,7,heco,0
6/7/2022,18S,4,2,21,22,chle,1,bogr,29,chle,1,chle,0
6/7/2022,18S,4,2,24,32,chle,1,heco,28,chle,4,oppo,0
6/7/2022,18S,4,3,3,20,pasm,2,pasm,30,pasm,1,pasm,0
6/7/2022,18S,4,3,6,53,chle,5,pasm,34,pasm,3,pasm,0
6/7/2022,18S,4,3,9,38,chle,1,pasm,34,pasm,1,pasm,0
6/7/2022,18S,4,3,12,71,chle,1,chle,20,pasm,2,pasm,0
6/7/2022,18S,4,3,15,34,chle,1,chle,60,atca,10,atca,0
6/7/2022,18S,4,3,18,25,pasm,2,pasm,38,chle,4,oppo,0
6/7/2022,18S,4,3,21,24,bogr,2,saib,42,pasm,5,heco,0
6/7/2022,18S,4,3,24,50,chle,6,sial,36,chle,1,chle,0
6/7/2022,18S,4,4,3,33,chle,3,pasm,56,chle,7,atca ,0
6/7/2022,18S,4,4,6,40,chle,5,chle,72,sial,2,pasm,0
6/7/2022,18S,4,4,9,52,sial,1,chle,40,atca,10,atca,0
6/7/2022,18S,4,4,12,41,sial,3,oppo,15,heco,3,heco,0
6/7/2022,18S,4,4,15,61,chle,5,heco,54,sial,1,bogr,0
6/7/2022,18S,4,4,18,40,chle,3,heco,25,heco,1,heco,0
6/7/2022,18S,4,4,21,25,chle,2,chle,43,sial,24,atca,0
6/7/2022,18S,4,4,24,20,chle,1,chle,82,atca,62,atca,0
6/8/2022,18S,5,1,3,34,spcr,1,cadu,11,cadu,3,cadu,0
6/8/2022,18S,5,1,6,31,spcr,2,spcr,36,spcr,1,spcr,0
6/8/2022,18S,5,1,9,35,spcr,1,cadu,28,spcr,1,cadu,0
6/8/2022,18S,5,1,12,38,sial,1,cadu,34,sial,1,bogr,0
6/8/2022,18S,5,1,15,36,sial,1,cadu,14,bogr,2,vuoc,0
6/8/2022,18S,5,1,18,41,bogr,2,bogr,48,spcr,2,spcr,0
6/8/2022,18S,5,1,21,31,bogr,1,bogr,49,spcr,4,spcr,0
6/8/2022,18S,5,1,24,61,agcr,1,agcr,64,spcr,6,spcr,0
6/8/2022,18S,5,2,3,10,chle,1,heco,28,heco,1,heco,0
6/8/2022,18S,5,2,6,42,chle,1,heco,54,sial,1,sial,0
6/8/2022,18S,5,2,9,40,chle,5,heco,52,spcr,2,saib,0
6/8/2022,18S,5,2,12,73,spcr,4,spcr,32,spcr,2,spcr,0
6/8/2022,18S,5,2,15,66,spcr,1,spcr,38,spcr,8,liin,0
6/8/2022,18S,5,2,18,44,spcr,5,spcr,44,spcr,1,spcr,0
6/8/2022,18S,5,2,21,32,chle,1,troc,62,spcr,6,spcr,0
6/8/2022,18S,5,2,24,40,sial,3,spcr,51,spcr,4,spcr,0
6/8/2022,18S,5,3,3,12,spcr,2,spcr,14,chle,1,bogr,0
6/8/2022,18S,5,3,6,26,bogr,1,bogr,13,spcr,1,cadu ,0
6/8/2022,18S,5,3,9,14,spcr,1,spco,24,chle,1,cadu,0
6/8/2022,18S,5,3,12,70,chle,1,cadu,30,spcr,1,vuoc,0
6/8/2022,18S,5,3,15,24,bogr,1,bogr,8,cadu,1,cadu,0
6/8/2022,18S,5,3,18,20,spcr,1,spcr,6,cadu,1,cadu,0
6/8/2022,18S,5,3,21,18,bogr,1,bogr,22,spcr,1,vuoc,0
6/8/2022,18S,5,3,24,48,spcr,2,bogr,26,spcr,1,spcr,0
6/8/2022,18S,5,4,3,42,spcr,7,spcr,58,spcr,4,heco,0
6/8/2022,18S,5,4,6,20,spcr,2,spcr,14,spcr,1,spcr,0
6/8/2022,18S,5,4,9,80,chle,3,chle,15,spcr,2,arpu ,0
6/8/2022,18S,5,4,12,42,spcr,1,spcr,48,sial,2,spco,0
6/8/2022,18S,5,4,15,44,sial,1,heco,38,sial,6,heco,0
6/8/2022,18S,5,4,18,34,chle,3,chle,38,chle,3,heco,0
6/8/2022,18S,5,4,21,50,chle,4,spcr,36,chle,2,heco,0
6/8/2022,18S,5,4,24,36,spcr,1,spcr,45,chle,1,heco,0
6/7/2022,18S,6,1,3,40,spcr,3,spcr,31,spcr,1,lyju,0
6/7/2022,18S,6,1,6,29,bogr,1,bogr,32,heco,1,bogr,0
6/7/2022,18S,6,1,9,34,sial,1,bogr,38,chle,1,bogr,0
6/7/2022,18S,6,1,12,60,spcr,2,heco,20,heco,4,heco,0
6/7/2022,18S,6,1,15,50,chle,2,heco,34,chle,1,heco,0
6/7/2022,18S,6,1,18,20,heco,5,heco,28,heco,2,heco,0
6/7/2022,18S,6,1,21,33,heco,4,heco,23,chle,2,heco,0
6/7/2022,18S,6,1,24,17,heco,3,heco,24,chle,3,heco,0
6/7/2022,18S,6,2,3,22,heco,2,heco,26,heco,3,heco,0
6/7/2022,18S,6,2,6,74,agcr,8,agcr,67,agcr,2,agcr,0
6/7/2022,18S,6,2,9,24,bogr,2,bogr,36,agcr,1,bogr,0
6/7/2022,18S,6,2,12,27,agcr,1,bogr,39,agcr,4,heco,0
6/7/2022,18S,6,2,15,10,bogr,2,bogr,43,bogr,2,bogr,0
6/7/2022,18S,6,2,18,30,heco,2,heco,17,heco,1,heco,0
6/7/2022,18S,6,2,21,36,agcr,1,agcr,40,agcr,1,agcr,0
6/7/2022,18S,6,2,24,30,heco,1,heco,41,heco,2,arpu ,0
6/7/2022,18S,6,3,3,20,bogr,1,bogr,40,bogr,2,bogr,0
6/7/2022,18S,6,3,6,38,bogr,4,bogr,39,agcr,1,argcr,0
6/7/2022,18S,6,3,9,26,bogr,1,bogr,28,heco,2,heco,0
6/7/2022,18S,6,3,12,23,arpu,4,spcr,16,heco,1,arpu ,0
6/7/2022,18S,6,3,15,29,bogr,1,bogr,14,bogr,2,bogr,0
6/7/2022,18S,6,3,18,31,spcr,3,heco,16,arpu,1,arpu ,0
6/7/2022,18S,6,3,21,20,heco,3,heco,36,heco,4,heco,0
6/7/2022,18S,6,3,24,34,bogr,2,bogr,39,heco,9,heco,0
6/7/2022,18S,6,4,3,34,heco,6,heco,12,heco,5,heco,0
6/7/2022,18S,6,4,6,51,heco,2,heco,54,heco,3,heco,0
6/7/2022,18S,6,4,9,18,heco,1,heco,48,heco,8,heco,0
6/7/2022,18S,6,4,12,44,heco,1,heco,34,heco,1,troc,0
6/7/2022,18S,6,4,15,43,sial,1,heco,56,heco,5,heco,0
6/7/2022,18S,6,4,18,23,bogr,1,bogr,32,bogr,2,bogr,0
6/7/2022,18S,6,4,21,30,bogr,1,bogr,24,sial,1,bogr,0
6/7/2022,18S,6,4,24,7,bogr,1,bogr,20,bogr,1,bogr,0
6/10/2022,25SE,1,1,3,30,bogr,1,bogr,21,bogr,2,bogr,0
6/10/2022,25SE,1,1,6,12,bogr,1,bogr,10,bogr,2,bogr,0
6/10/2022,25SE,1,1,9,28,bogr,2,bogr,26,bogr,3,bogr,0
6/10/2022,25SE,1,1,12,24,bogr,2,bogr,27,bogr,1,cadu,0
6/10/2022,25SE,1,1,15,5,cadu,2,cadu,18,bogr,3,bogr,0
6/10/2022,25SE,1,1,18,18,bogr,2,bogr,36,bogr,1,bogr,0
6/10/2022,25SE,1,1,21,7,bogr,1,bogr,18,bogr,1,bogr,0
6/10/2022,25SE,1,1,24,3,bogr,1,bogr,25,bogr,2,bogr,0
6/10/2022,25SE,1,2,3,5,bogr,2,bogr,23,bogr,2,oppo,0
6/10/2022,25SE,1,2,6,17,bogr,1,bogr,27,bogr,2,bogr,0
6/10/2022,25SE,1,2,9,32,bogr,2,bogr,11,bogr,3,bogr,0
6/10/2022,25SE,1,2,12,21,bogr,2,bogr,32,bogr,1,bogr,0
6/10/2022,25SE,1,2,15,22,bogr,2,bogr,17,bogr,3,bogr,0
6/10/2022,25SE,1,2,18,8,bogr,1,bogr,6,bogr,1,bogr,0
6/10/2022,25SE,1,2,21,19,bogr,2,bogr,24,bogr,1,bogr,0
6/10/2022,25SE,1,2,24,27,bogr,1,bogr,13,bogr,2,bogr,0
6/10/2022,25SE,1,3,3,33,bogr,2,bogr,37,bogr,7,bogr,0
6/10/2022,25SE,1,3,6,16,bogr,5,bogr,12,bogr,2,bogr,0
6/10/2022,25SE,1,3,9,30,bogr,2,bogr,16,vuoc,3,vuoc,0
6/10/2022,25SE,1,3,12,25,bogr,2,bogr,17,bogr,1,arpu ,0
6/10/2022,25SE,1,3,15,31,bogr,2,bogr,34,bogr,3,bogr,0
6/10/2022,25SE,1,3,18,40,bogr,2,bogr,31,bogr,3,bogr,0
6/10/2022,25SE,1,3,21,37,bogr,5,bogr,17,bogr,3,bogr,0
6/10/2022,25SE,1,3,24,23,bogr,4,bogr,16,bogr,1,bogr,0
6/10/2022,25SE,1,4,3,14,bogr,1,bogr,22,bogr,1,bogr,0
6/10/2022,25SE,1,4,6,18,bogr,2,cadu,24,bogr,2,bogr,0
6/10/2022,25SE,1,4,9,33,bogr,1,bogr,34,bogr,3,bogr,0
6/10/2022,25SE,1,4,12,38,bogr,2,bogr,27,bogr,4,bogr,0
6/10/2022,25SE,1,4,15,24,bogr,1,bogr,25,bogr,4,bogr,0
6/10/2022,25SE,1,4,18,36,bogr,1,bogr,38,bogr,3,bogr,0
6/10/2022,25SE,1,4,21,37,bogr,2,bogr,28,bogr,2,bogr,0
6/10/2022,25SE,1,4,24,34,bogr,1,bogr,41,bogr,2,bogr,0
6/9/2022,25SE,2,1,3,3,buda,1,buda,3,bogr,1,bogr,0
6/9/2022,25SE,2,1,6,0,bare,0,bare,5,bogr,1,bogr,0
6/9/2022,25SE,2,1,9,3,oppo,2,oppo,10,vuoc,1,bogr,0
6/9/2022,25SE,2,1,12,8,bogr,2,bogr,2,buda,1,buda,0
6/9/2022,25SE,2,1,15,3,buda,1,buda,6,bogr,2,bogr,0
6/9/2022,25SE,2,1,18,6,bogr,3,bogr,12,bogr,2,bogr,0
6/9/2022,25SE,2,1,21,20,bogr,3,bogr,20,bogr,2,bogr,0
6/9/2022,25SE,2,1,24,28,bogr,1,dung,32,bogr,5,bogr,0
6/9/2022,25SE,2,2,3,23,bogr,3,bogr,8,bogr,1,cadu,0
6/9/2022,25SE,2,2,6,35,bogr,2,bogr,31,bogr,2,bogr,0
6/9/2022,25SE,2,2,9,31,bogr,3,buda,26,bogr,1,bogr,0
6/9/2022,25SE,2,2,12,36,bogr,3,oppo,31,bogr,2,oppo,0
6/9/2022,25SE,2,2,15,30,bogr,3,bogr,19,bogr,1,buda,0
6/9/2022,25SE,2,2,18,30,bogr,3,bogr,41,bogr,2,bogr,0
6/9/2022,25SE,2,2,21,40,arpu,2,arpu,45,bogr,6,elel,0
6/9/2022,25SE,2,2,24,20,bogr,2,bogr,34,bogr,3,bogr,0
6/9/2022,25SE,2,3,3,10,bogr,1,bogr,32,pasm,1,bogr,0
6/9/2022,25SE,2,3,6,12,bogr,1,pasm,10,pasm,1,pasm,0
6/9/2022,25SE,2,3,9,22,pasm,1,pasm,18,pasm,4,pasm,0
6/9/2022,25SE,2,3,12,32,bogr,2,vuoc,21,arpu,2,arpu ,0
6/9/2022,25SE,2,3,15,25,pasm,2,pasm,32,bogr,1,bogr,0
6/9/2022,25SE,2,3,18,32,bogr,3,bogr,30,bogr,9,crmi,0
6/9/2022,25SE,2,3,21,8,bogr,4,bogr,30,bogr,2,bogr,0
6/9/2022,25SE,2,3,24,26,bogr,3,bogr,26,bogr,5,oppo,0
6/9/2022,25SE,2,4,3,26,bogr,2,bogr,9,bogr,2,bogr,0
6/9/2022,25SE,2,4,6,40,bogr,2,bogr,33,bogr,2,bogr,0
6/9/2022,25SE,2,4,9,26,bogr,3,bogr,6,bogr,2,bogr,0
6/9/2022,25SE,2,4,12,22,bogr,3,buda,6,buda,2,buda,0
6/9/2022,25SE,2,4,15,0,bare,0,bare,0,bare,0,bare,0
6/9/2022,25SE,2,4,18,33,bogr,3,bogr,27,bogr,2,bogr,0
6/9/2022,25SE,2,4,21,24,bogr,1,bogr,14,bogr,1,bogr,0
6/9/2022,25SE,2,4,24,30,bogr,1,bogr,30,bogr,3,bogr,0
6/9/2022,25SE,3,1,3,19,pasm,3,pasm,26,bogr,1,bogr,0
6/9/2022,25SE,3,1,6,32,pasm,1,pasm,22,pasm,3,pasm,0
6/9/2022,25SE,3,1,9,20,bogr,2,bogr,24,bogr,2,bogr,0
6/9/2022,25SE,3,1,12,25,bogr,2,chal,32,bogr,3,bogr,0
6/9/2022,25SE,3,1,15,12,pasm,2,pasm,30,bogr,2,bogr,0
6/9/2022,25SE,3,1,18,38,bogr,1,bogr,11,vuoc,3,spco,0
6/9/2022,25SE,3,1,21,14,bogr,3,bogr,22,bogr,4,bogr,0
6/9/2022,25SE,3,1,24,8,cadu,2,cadu,21,bogr,3,elel,0
6/9/2022,25SE,3,2,3,13,bogr,1,bogr,3,bogr,1,bogr,0
6/9/2022,25SE,3,2,6,24,bogr,1,bogr,20,bogr,2,bogr,0
6/9/2022,25SE,3,2,9,21,pasm,1,pasm,16,bogr,3,pasm,0
6/9/2022,25SE,3,2,12,10,pasm,1,bogr,17,pasm,2,pasm,0
6/9/2022,25SE,3,2,15,24,bogr,1,pasm,7,pasm,1,pasm,0
6/9/2022,25SE,3,2,18,3,bogr,1,bogr,12,pasm,1,bogr,0
6/9/2022,25SE,3,2,21,12,bogr,2,bogr,11,pasm,3,cadu,0
6/9/2022,25SE,3,2,24,0,bare,0,bare,7,pasm,1,bogr,0
6/9/2022,25SE,3,3,3,12,pasm,1,pasm,10,pasm,1,pasm,0
6/9/2022,25SE,3,3,6,10,pasm,1,pasm,17,pasm,5,oppo,0
6/9/2022,25SE,3,3,9,10,bogr,1,pasm,7,pasm,2,pasm,0
