Week,Pasture,Date,Plot,Reading_No,High,Low,Spp,G_B,Screen1,Adj_Low,Biomass_lbs_ac
1,8E,4/12/2016,2,22,6,0,bogr,b,0,0,0
1,8E,4/12/2016,2,23,29,1,bogr,b,0,1,234.693
1,8E,4/12/2016,2,24,28,4,bogr,b,0,4,938.772
1,8E,4/12/2016,2,25,24,7,oppo,b,1,,
1,8E,4/12/2016,3,1,31,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,3,2,22,4,bogr,b,0,4,938.772
1,8E,4/12/2016,3,3,16,3,bogr,b,0,3,704.079
1,8E,4/12/2016,3,4,23,7,pasm,b,0,7,1642.851
1,8E,4/12/2016,3,5,27,4,bogr,b,0,4,938.772
1,8E,4/12/2016,3,6,12,1,bogr,b,0,1,234.693
1,8E,4/12/2016,3,7,32,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,3,8,24,6,bogr,b,0,6,1408.158
1,8E,4/12/2016,3,9,19,3,bogr,b,0,3,704.079
1,8E,4/12/2016,3,10,12,1,bogr,b,0,1,234.693
1,8E,4/12/2016,3,11,28,2,bogr,b,0,2,469.386
1,8E,4/12/2016,3,12,33,7,bogr,b,0,7,1642.851
1,8E,4/12/2016,3,13,17,5,elel,b,0,5,1173.465
1,8E,4/12/2016,3,14,32,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,3,15,21,2,bogr,b,0,2,469.386
1,8E,4/12/2016,3,16,24,3,bogr,b,0,3,704.079
1,8E,4/12/2016,3,17,15,2,bogr,b,0,2,469.386
1,8E,4/12/2016,3,18,23,4,bogr,b,0,4,938.772
1,8E,4/12/2016,3,19,31,2,bogr,b,0,2,469.386
1,8E,4/12/2016,3,20,16,2,bogr,b,0,2,469.386
1,8E,4/12/2016,3,21,37,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,3,22,28,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,3,23,22,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,3,24,33,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,3,25,22,2,bogr,b,0,2,469.386
1,8E,4/12/2016,4,1,24,2,bogr,b,0,2,469.386
1,8E,4/12/2016,4,2,27,0,pasm,b,0,0,0
1,8E,4/12/2016,4,3,25,5,pasm,b,0,5,1173.465
1,8E,4/12/2016,4,4,10,4,gusa,b,1,,
1,8E,4/12/2016,4,5,31,3,pasm,b,0,3,704.079
1,8E,4/12/2016,4,6,22,2,bogr,b,0,2,469.386
1,8E,4/12/2016,4,7,28,3,pasm,b,0,3,704.079
1,8E,4/12/2016,4,8,20,2,pasm,b,0,2,469.386
1,8E,4/12/2016,4,9,21,5,pasm,b,0,5,1173.465
1,8E,4/12/2016,4,10,33,3,pasm,b,0,3,704.079
1,8E,4/12/2016,4,11,21,3,pasm,b,0,3,704.079
1,8E,4/12/2016,4,12,19,2,bogr,b,0,2,469.386
1,8E,4/12/2016,4,13,20,2,bogr,b,0,2,469.386
1,8E,4/12/2016,4,14,24,3,bogr,b,0,3,704.079
1,8E,4/12/2016,4,15,18,5,bogr,b,0,5,1173.465
1,8E,4/12/2016,4,16,22,4,bogr,b,0,4,938.772
1,8E,4/12/2016,4,17,19,4,bogr,b,0,4,938.772
1,8E,4/12/2016,4,18,21,3,bogr,b,0,3,704.079
1,8E,4/12/2016,4,19,24,3,bogr,b,0,3,704.079
1,8E,4/12/2016,4,20,21,2,bogr,b,0,2,469.386
1,8E,4/12/2016,4,21,11,1,bogr,b,0,1,234.693
1,8E,4/12/2016,4,22,21,2,bogr,b,0,2,469.386
1,8E,4/12/2016,4,23,24,4,bogr,b,0,4,938.772
1,8E,4/12/2016,4,24,28,4,bogr,b,0,4,938.772
1,8E,4/12/2016,4,25,12,1,pasm,b,0,1,234.693
2,8E,5/19/2016,1,1,36,2,bogr,b,0,2,469.386
2,8E,5/19/2016,1,2,26,5,bogr,b,0,5,1173.465
2,8E,5/19/2016,1,3,28,7,eref,g,1,,
2,8E,5/19/2016,1,4,32,1,pasm,b,0,1,234.693
2,8E,5/19/2016,1,5,13,3,bogr,b,0,3,704.079
2,8E,5/19/2016,1,6,31,3,pasm,b,0,3,704.079
2,8E,5/19/2016,1,7,23,3,bogr,b,0,3,704.079
2,8E,5/19/2016,1,8,22,1,bogr,b,0,1,234.693
2,8E,5/19/2016,1,9,32,2,bogr,b,0,2,469.386
2,8E,5/19/2016,1,10,19,2,bogr,b,0,2,469.386
2,8E,5/19/2016,1,11,14,1,bogr,b,0,1,234.693
2,8E,5/19/2016,1,12,16,2,bogr,b,0,2,469.386
2,8E,5/19/2016,1,13,21,2,pasm,b,0,2,469.386
2,8E,5/19/2016,1,14,22,9,pasm,b,0,9,2112.237
2,8E,5/19/2016,1,15,26,3,pasm,b,0,3,704.079
2,8E,5/19/2016,1,16,24,4,pasm,b,0,4,938.772
2,8E,5/19/2016,1,17,18,1,bogr,g,0,1,234.693
2,8E,5/19/2016,1,18,20,2,pasm,b,0,2,469.386
2,8E,5/19/2016,1,19,9,1,bogr,b,0,1,234.693
2,8E,5/19/2016,1,20,18,2,pasm,b,0,2,469.386
2,8E,5/19/2016,1,21,22,2,pasm,b,0,2,469.386
2,8E,5/19/2016,1,22,19,3,pasm,b,0,3,704.079
2,8E,5/19/2016,1,23,18,5,pasm,b,0,5,1173.465
2,8E,5/19/2016,1,24,15,1,pasm,b,0,1,234.693
2,8E,5/19/2016,1,25,31,4,bogr,b,0,4,938.772
2,8E,5/19/2016,2,1,20,3,pasm,b,0,3,704.079
2,8E,5/19/2016,2,2,22,4,bogr,b,0,4,938.772
2,8E,5/19/2016,2,3,28,1,bogr,b,0,1,234.693
2,8E,5/19/2016,2,4,24,6,bogr,b,0,6,1408.158
2,8E,5/19/2016,2,5,29,6,pasm,b,0,6,1408.158
2,8E,5/19/2016,2,6,11,2,cadu,b,0,2,469.386
2,8E,5/19/2016,2,7,25,2,bogr,b,0,2,469.386
2,8E,5/19/2016,2,8,23,1,eref,b,1,,
2,8E,5/19/2016,2,9,18,1,bogr,b,0,1,234.693
2,8E,5/19/2016,2,10,23,1,bogr,b,0,1,234.693
2,8E,5/19/2016,2,11,11,1,bogr,b,0,1,234.693
2,8E,5/19/2016,2,12,23,2,bogr,b,0,2,469.386
2,8E,5/19/2016,2,13,23,4,bogr,b,0,4,938.772
2,8E,5/19/2016,2,14,19,6,pasm,b,0,6,1408.158
2,8E,5/19/2016,2,15,15,1,bogr,b,0,1,234.693
2,8E,5/19/2016,2,16,9,3,pasm,b,0,3,704.079
2,8E,5/19/2016,2,17,7,2,bogr,b,0,2,469.386
2,8E,5/19/2016,2,18,13,3,oppo,b,1,,
2,8E,5/19/2016,2,19,29,2,bogr,b,0,2,469.386
2,8E,5/19/2016,2,20,11,1,bogr,b,0,1,234.693
2,8E,5/19/2016,2,21,19,2,bogr,b,0,2,469.386
2,8E,5/19/2016,2,22,26,2,pasm,b,0,2,469.386
2,8E,5/19/2016,2,23,23,1,bogr,b,0,1,234.693
2,8E,5/19/2016,2,24,19,2,bogr,b,0,2,469.386
2,8E,5/19/2016,2,25,22,3,bogr,b,0,3,704.079
2,8E,5/19/2016,3,1,20,4,bogr,b,0,4,938.772
2,8E,5/19/2016,3,2,29,3,bogr,b,0,3,704.079
2,8E,5/19/2016,3,3,24,3,bogr,b,0,3,704.079
2,8E,5/19/2016,3,4,29,4,pasm,b,0,4,938.772
2,8E,5/19/2016,3,5,24,4,bogr,b,0,4,938.772
2,8E,5/19/2016,3,6,24,5,vuoc,b,1,,
2,8E,5/19/2016,3,7,11,0,bogr,b,0,0,0
2,8E,5/19/2016,3,8,39,3,bogr,b,0,3,704.079
2,8E,5/19/2016,3,9,7,0,bogr,b,0,0,0
2,8E,5/19/2016,3,10,26,5,bogr,b,0,5,1173.465
2,8E,5/19/2016,3,11,32,2,bogr,b,0,2,469.386
2,8E,5/19/2016,3,12,29,3,bogr,b,0,3,704.079
2,8E,5/19/2016,3,13,19,1,bogr,b,0,1,234.693
2,8E,5/19/2016,3,14,25,2,bogr,b,0,2,469.386
2,8E,5/19/2016,3,15,8,0,spco,b,0,0,0
2,8E,5/19/2016,3,16,29,1,bogr,b,0,1,234.693
2,8E,5/19/2016,3,17,27,2,bogr,b,0,2,469.386
2,8E,5/19/2016,3,18,29,2,bogr,b,0,2,469.386
2,8E,5/19/2016,3,19,32,4,bogr,b,0,4,938.772
2,8E,5/19/2016,3,20,28,2,atca,b,0,2,469.386
2,8E,5/19/2016,3,21,42,6,bogr,b,0,6,1408.158
2,8E,5/19/2016,3,22,31,3,bogr,b,0,3,704.079
2,8E,5/19/2016,3,23,28,4,bogr,b,0,4,938.772
2,8E,5/19/2016,3,24,21,5,bogr,b,0,5,1173.465
2,8E,5/19/2016,3,25,34,4,bogr,b,0,4,938.772
2,8E,5/19/2016,4,1,27,4,pasm,b,0,4,938.772
2,8E,5/19/2016,4,2,11,0,pasm,b,0,0,0
2,8E,5/19/2016,4,3,27,1,pasm,b,0,1,234.693
2,8E,5/19/2016,4,4,17,1,gusa,b,1,,
2,8E,5/19/2016,4,5,20,0,gusa,b,1,,
2,8E,5/19/2016,4,6,19,2,pasm,b,0,2,469.386
2,8E,5/19/2016,4,7,39,1,bogr,b,0,1,234.693
2,8E,5/19/2016,4,8,9,2,pasm,b,0,2,469.386
2,8E,5/19/2016,4,9,12,1,bogr,b,0,1,234.693
2,8E,5/19/2016,4,10,33,4,pasm,b,0,4,938.772
2,8E,5/19/2016,4,11,33,5,pasm,b,0,5,1173.465
2,8E,5/19/2016,4,12,27,4,pasm,b,0,4,938.772
2,8E,5/19/2016,4,13,29,2,bogr,b,0,2,469.386
2,8E,5/19/2016,4,14,31,1,bogr,b,0,1,234.693
2,8E,5/19/2016,4,15,48,9,pasm,b,0,9,2112.237
2,8E,5/19/2016,4,16,21,2,bogr,b,0,2,469.386
2,8E,5/19/2016,4,17,23,3,pasm,b,0,3,704.079
2,8E,5/19/2016,4,18,28,9,pasm,b,0,9,2112.237
2,8E,5/19/2016,4,19,29,9,pasm,b,0,9,2112.237
2,8E,5/19/2016,4,20,20,5,pasm,b,0,5,1173.465
2,8E,5/19/2016,4,21,7,3,bogr,b,0,3,704.079
2,8E,5/19/2016,4,22,23,2,pasm,b,0,2,469.386
2,8E,5/19/2016,4,23,27,8,pasm,b,0,8,1877.544
2,8E,5/19/2016,4,24,21,4,pasm,b,0,4,938.772
2,8E,5/19/2016,4,25,4,1,bogr,b,0,1,234.693
3,8E,5/25/2016,1,1,36,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,1,2,21,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,1,3,48,27,atca,b,0,27,6336.711
3,8E,5/25/2016,1,4,17,3,bogr,b,0,3,704.079
3,8E,5/25/2016,1,5,31,3,bogr,b,0,3,704.079
3,8E,5/25/2016,1,6,32,4,pasm,b,0,4,938.772
3,8E,5/25/2016,1,7,24,9,pasm,b,0,9,2112.237
3,8E,5/25/2016,1,8,32,12,pasm,b,0,12,2816.316
3,8E,5/25/2016,1,9,30,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,1,10,24,9,pasm,b,0,9,2112.237
3,8E,5/25/2016,1,11,21,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,1,12,30,4,pasm,b,0,4,938.772
3,8E,5/25/2016,1,13,20,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,1,14,12,4,pasm,b,0,4,938.772
3,8E,5/25/2016,1,15,24,3,bogr,b,0,3,704.079
3,8E,5/25/2016,1,16,24,3,bogr,b,0,3,704.079
3,8E,5/25/2016,1,17,28,12,pasm,b,0,12,2816.316
3,8E,5/25/2016,1,18,30,15,pasm,b,0,15,3520.395
3,8E,5/25/2016,1,19,14,8,pasm,b,0,8,1877.544
3,8E,5/25/2016,1,20,28,9,pasm,b,0,9,2112.237
3,8E,5/25/2016,1,21,16,6,oppo,b,1,,
3,8E,5/25/2016,1,22,8,3,bogr,b,0,3,704.079
3,8E,5/25/2016,1,23,24,3,bogr,b,0,3,704.079
3,8E,5/25/2016,1,24,5,3,buda,b,0,3,704.079
3,8E,5/25/2016,1,25,24,4,pasm,b,0,4,938.772
3,8E,5/25/2016,2,1,17,4,pasm,g,0,4,938.772
3,8E,5/25/2016,2,2,20,2,oppo,b,1,,
3,8E,5/25/2016,2,3,24,7,bogr,b,0,7,1642.851
3,8E,5/25/2016,2,4,13,1,bogr,b,0,1,234.693
3,8E,5/25/2016,2,5,28,2,bogr,b,0,2,469.386
3,8E,5/25/2016,2,6,30,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,2,7,30,9,gusa,b,1,,
3,8E,5/25/2016,2,8,34,4,bogr,b,0,4,938.772
3,8E,5/25/2016,2,9,24,8,oppo,b,1,,
3,8E,5/25/2016,2,10,30,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,2,11,30,2,bogr,b,0,2,469.386
3,8E,5/25/2016,2,12,14,0,bogr,b,0,0,0
3,8E,5/25/2016,2,13,21,4,bogr,b,0,4,938.772
3,8E,5/25/2016,2,14,23,3,bogr,b,0,3,704.079
3,8E,5/25/2016,2,15,10,2,bogr,b,0,2,469.386
3,8E,5/25/2016,2,16,32,3,bogr,b,0,3,704.079
3,8E,5/25/2016,2,17,13,1,pasm,b,0,1,234.693
3,8E,5/25/2016,2,18,40,2,bogr,b,0,2,469.386
3,8E,5/25/2016,2,19,23,4,bogr,b,0,4,938.772
3,8E,5/25/2016,2,20,16,2,bogr,b,0,2,469.386
3,8E,5/25/2016,2,21,34,4,bogr,b,0,4,938.772
3,8E,5/25/2016,2,22,28,3,bogr,b,0,3,704.079
3,8E,5/25/2016,2,23,36,16,atca,g,0,16,3755.088
3,8E,5/25/2016,2,24,34,0,bogr,b,0,0,0
3,8E,5/25/2016,2,25,21,2,bogr,b,0,2,469.386
3,8E,5/25/2016,3,1,12,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,2,24,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,3,3,31,3,bogr,b,0,3,704.079
3,8E,5/25/2016,3,4,23,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,3,5,23,10,pasm,b,0,10,2346.93
3,8E,5/25/2016,3,6,25,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,3,7,32,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,3,8,31,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,3,9,9,1,spco,b,0,1,234.693
3,8E,5/25/2016,3,10,19,2,bogr,b,0,2,469.386
3,8E,5/25/2016,3,11,25,6,bogr,b,0,6,1408.158
3,8E,5/25/2016,3,12,29,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,13,23,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,14,26,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,3,15,19,3,bogr,b,0,3,704.079
3,8E,5/25/2016,3,16,25,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,17,27,6,bogr,b,0,6,1408.158
3,8E,5/25/2016,3,18,29,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,19,13,1,siab,b,0,1,234.693
3,8E,5/25/2016,3,20,34,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,21,28,6,bogr,b,0,6,1408.158
3,8E,5/25/2016,3,22,24,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,23,30,4,bogr,b,0,4,938.772
3,8E,5/25/2016,3,24,23,3,bogr,b,0,3,704.079
3,8E,5/25/2016,3,25,31,3,bogr,b,0,3,704.079
3,8E,5/25/2016,4,1,30,1,pasm,b,0,1,234.693
3,8E,5/25/2016,4,2,20,4,pasm,b,0,4,938.772
3,8E,5/25/2016,4,3,19,4,oppo,b,1,,
3,8E,5/25/2016,4,4,12,1,bogr,b,0,1,234.693
3,8E,5/25/2016,4,5,27,1,pasm,b,0,1,234.693
3,8E,5/25/2016,4,6,24,4,pasm,b,0,4,938.772
3,8E,5/25/2016,4,7,29,4,pasm,b,0,4,938.772
3,8E,5/25/2016,4,8,13,2,bogr,b,0,2,469.386
3,8E,5/25/2016,4,9,33,2,pasm,b,0,2,469.386
3,8E,5/25/2016,4,10,27,3,pasm,b,0,3,704.079
3,8E,5/25/2016,4,11,14,0,pasm,b,0,0,0
3,8E,5/25/2016,4,12,24,4,pasm,b,0,4,938.772
3,8E,5/25/2016,4,13,24,3,bogr,b,0,3,704.079
3,8E,5/25/2016,4,14,22,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,4,15,28,3,bogr,b,0,3,704.079
3,8E,5/25/2016,4,16,33,2,bogr,b,0,2,469.386
3,8E,5/25/2016,4,17,24,4,bogr,b,0,4,938.772
3,8E,5/25/2016,4,18,29,5,bogr,b,0,5,1173.465
3,8E,5/25/2016,4,19,30,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,4,20,17,2,pasm,b,0,2,469.386
3,8E,5/25/2016,4,21,28,2,bogr,b,0,2,469.386
3,8E,5/25/2016,4,22,26,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,4,23,25,5,pasm,b,0,5,1173.465
3,8E,5/25/2016,4,24,52,9,atca,b,0,9,2112.237
3,8E,5/25/2016,4,25,22,4,pasm,b,0,4,938.772
4,8E,6/1/2016,1,1,17,3,pasm,b,0,3,704.079
4,8E,6/1/2016,1,2,11,2,bogr,b,0,2,469.386
4,8E,6/1/2016,1,3,14,3,gusa,b,1,,
4,8E,6/1/2016,1,4,21,2,pasm,b,0,2,469.386
4,8E,6/1/2016,1,5,29,4,pasm,b,0,4,938.772
4,8E,6/1/2016,1,6,22,2,bogr,b,0,2,469.386
4,8E,6/1/2016,1,7,16,1,bogr,b,0,1,234.693
4,8E,6/1/2016,1,8,28,4,pasm,b,0,4,938.772
4,8E,6/1/2016,1,9,24,2,bogr,b,0,2,469.386
4,8E,6/1/2016,1,10,19,5,pasm,b,0,5,1173.465
4,8E,6/1/2016,1,11,19,3,pasm,g,0,3,704.079
4,8E,6/1/2016,1,12,25,1,bogr,b,0,1,234.693
4,8E,6/1/2016,1,13,28,5,bogr,b,0,5,1173.465
4,8E,6/1/2016,1,14,18,1,bogr,b,0,1,234.693
4,8E,6/1/2016,1,15,29,3,bogr,b,0,3,704.079
4,8E,6/1/2016,1,16,20,2,pasm,b,0,2,469.386
4,8E,6/1/2016,1,17,30,8,pasm,b,0,8,1877.544
4,8E,6/1/2016,1,18,9,3,bogr,g,0,3,704.079
4,8E,6/1/2016,1,19,18,2,bogr,b,0,2,469.386
4,8E,6/1/2016,1,20,24,3,bogr,b,0,3,704.079
4,8E,6/1/2016,1,21,17,2,pasm,b,0,2,469.386
4,8E,6/1/2016,1,22,28,2,arlo,b,1,,
4,8E,6/1/2016,1,23,11,1,bogr,b,0,1,234.693
4,8E,6/1/2016,1,24,14,2,pasm,b,0,2,469.386
4,8E,6/1/2016,1,25,13,4,pasm,b,0,4,938.772
4,8E,6/1/2016,2,1,22,8,pasm,b,0,8,1877.544
4,8E,6/1/2016,2,2,23,2,bogr,b,0,2,469.386
4,8E,6/1/2016,2,3,26,3,bogr,b,0,3,704.079
4,8E,6/1/2016,2,4,12,0,bogr,b,0,0,0
4,8E,6/1/2016,2,5,34,7,pasm,b,0,7,1642.851
4,8E,6/1/2016,2,6,29,3,pasm,b,0,3,704.079
4,8E,6/1/2016,2,7,26,4,pasm,b,0,4,938.772
4,8E,6/1/2016,2,8,32,10,atca,g,0,10,2346.93
4,8E,6/1/2016,2,9,19,3,bogr,b,0,3,704.079
4,8E,6/1/2016,2,10,14,4,bogr,b,0,4,938.772
4,8E,6/1/2016,2,11,20,2,bogr,b,0,2,469.386
4,8E,6/1/2016,2,12,31,2,bogr,b,0,2,469.386
4,8E,6/1/2016,2,13,33,2,bogr,b,0,2,469.386
4,8E,6/1/2016,2,14,30,3,bogr,b,0,3,704.079
4,8E,6/1/2016,2,15,12,2,eref,b,1,,
4,8E,6/1/2016,2,16,29,3,bogr,b,0,3,704.079
4,8E,6/1/2016,2,17,31,2,bogr,b,0,2,469.386
4,8E,6/1/2016,2,18,17,1,bogr,b,0,1,234.693
4,8E,6/1/2016,2,19,29,2,pasm,b,0,2,469.386
4,8E,6/1/2016,2,20,23,1,pasm,b,0,1,234.693
4,8E,6/1/2016,2,21,32,2,bogr,b,0,2,469.386
4,8E,6/1/2016,2,22,19,0,pasm,g,0,0,0
4,8E,6/1/2016,2,23,31,1,bogr,b,0,1,234.693
4,8E,6/1/2016,2,24,14,0,pasm,b,0,0,0
4,8E,6/1/2016,2,25,10,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,1,16,1,bogr,b,0,1,234.693
4,8E,6/1/2016,3,2,30,1,bogr,b,0,1,234.693
4,8E,6/1/2016,3,3,16,1,bogr,b,0,1,234.693
4,8E,6/1/2016,3,4,29,17,pasm,b,0,17,3989.781
4,8E,6/1/2016,3,5,8,1,bogr,b,0,1,234.693
4,8E,6/1/2016,3,6,26,7,pasm,b,0,7,1642.851
4,8E,6/1/2016,3,7,6,3,bogr,g,0,3,704.079
4,8E,6/1/2016,3,8,12,3,bogr,g,0,3,704.079
4,8E,6/1/2016,3,9,7,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,10,28,5,bogr,b,0,5,1173.465
4,8E,6/1/2016,3,11,8,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,12,32,1,bogr,b,0,1,234.693
4,8E,6/1/2016,3,13,19,2,bogr,b,0,2,469.386
4,8E,6/1/2016,3,14,6,2,bogr,b,0,2,469.386
4,8E,6/1/2016,3,15,22,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,16,29,5,bogr,b,0,5,1173.465
4,8E,6/1/2016,3,17,34,6,bogr,b,0,6,1408.158
4,8E,6/1/2016,3,18,26,4,bogr,b,0,4,938.772
4,8E,6/1/2016,3,19,27,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,20,24,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,21,38,5,bogr,b,0,5,1173.465
4,8E,6/1/2016,3,22,27,2,bogr,b,0,2,469.386
4,8E,6/1/2016,3,23,24,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,24,22,3,bogr,b,0,3,704.079
4,8E,6/1/2016,3,25,25,3,bogr,b,0,3,704.079
4,8E,6/1/2016,4,1,21,3,pasm,b,0,3,704.079
4,8E,6/1/2016,4,2,15,2,bogr,b,0,2,469.386
4,8E,6/1/2016,4,3,26,3,bogr,b,0,3,704.079
4,8E,6/1/2016,4,4,26,3,pasm,b,0,3,704.079
4,8E,6/1/2016,4,5,36,3,pasm,b,0,3,704.079
4,8E,6/1/2016,4,6,18,2,bogr,b,0,2,469.386
4,8E,6/1/2016,4,7,20,2,bogr,b,0,2,469.386
4,8E,6/1/2016,4,8,24,2,pasm,b,0,2,469.386
4,8E,6/1/2016,4,9,35,9,pasm,b,0,9,2112.237
4,8E,6/1/2016,4,10,19,5,pasm,b,0,5,1173.465
4,8E,6/1/2016,4,11,19,3,bogr,b,0,3,704.079
4,8E,6/1/2016,4,12,5,3,bogr,g,0,3,704.079
4,8E,6/1/2016,4,13,22,5,bogr,b,0,5,1173.465
4,8E,6/1/2016,4,14,19,3,bogr,b,0,3,704.079
4,8E,6/1/2016,4,15,24,2,bogr,b,0,2,469.386
4,8E,6/1/2016,4,16,28,4,atca,g,0,4,938.772
4,8E,6/1/2016,4,17,14,3,bogr,b,0,3,704.079
4,8E,6/1/2016,4,18,25,7,pasm,b,0,7,1642.851
4,8E,6/1/2016,4,19,31,7,pasm,b,0,7,1642.851
4,8E,6/1/2016,4,20,32,7,pasm,b,0,7,1642.851
4,8E,6/1/2016,4,21,19,4,pasm,b,0,4,938.772
4,8E,6/1/2016,4,22,33,9,pasm,b,0,9,2112.237
4,8E,6/1/2016,4,23,24,5,pasm,b,0,5,1173.465
4,8E,6/1/2016,4,24,32,3,atca,g,0,3,704.079
4,8E,6/1/2016,4,25,16,2,pasm,b,0,2,469.386
5,8E,6/7/2016,1,1,20,2,pasm,b,0,2,469.386
5,8E,6/7/2016,1,2,27,8,erna,b,0,8,1877.544
5,8E,6/7/2016,1,3,13,2,bogr,b,0,2,469.386
5,8E,6/7/2016,1,4,13,9,sonu,b,0,9,2112.237
5,8E,6/7/2016,1,5,43,4,pasm,b,0,4,938.772
5,8E,6/7/2016,1,6,29,2,pasm,b,0,2,469.386
5,8E,6/7/2016,1,7,34,7,pasm,b,0,7,1642.851
5,8E,6/7/2016,1,8,16,0,bogr,b,0,0,0
5,8E,6/7/2016,1,9,13,1,pasm,b,0,1,234.693
