Year,SamplingDate,Season,Pasture,Plot,Transect,Distance,High East,EastHighSpp,Low East,EastLowSpp,High West,WestHighSpp,Low West,WestLowSpp,MeanHigh,MeanLow
2021,10/12/2021,Fall,20SE,2,3,15,33,heco,5,heco,40,heco,8,chle,36.5,6.5
2021,10/12/2021,Fall,20SE,2,3,18,31,heco,2,heco,39,heco,7,chle,35,4.5
2021,10/12/2021,Fall,20SE,2,3,21,61,chle,3,chle,58,chle,4,chle,59.5,3.5
2021,10/12/2021,Fall,20SE,2,3,24,47,chle,7,chle,36,heco,5,heco,41.5,6
2021,10/12/2021,Fall,20SE,2,4,3,26,chle,0,bare,49,spcr,1,spcr,37.5,0.5
2021,10/12/2021,Fall,20SE,2,4,6,23,chle,1,heco,34,chle,1,heco,28.5,1
2021,10/12/2021,Fall,20SE,2,4,9,57,chle,4,chle,20,chle,3,chle,38.5,3.5
2021,10/12/2021,Fall,20SE,2,4,12,31,chle,1,heco,38,chle,3,heco,34.5,2
2021,10/12/2021,Fall,20SE,2,4,15,53,chle,2,chle,66,chle,2,heco,59.5,2
2021,10/12/2021,Fall,20SE,2,4,18,51,chle,1,chle,53,chle,4,chle,52,2.5
2021,10/12/2021,Fall,20SE,2,4,21,36,chle,1,chle,36,chle,2,chle,36,1.5
2021,10/12/2021,Fall,20SE,2,4,24,36,chle,2,chle,45,chle,2,chle,40.5,2
2021,10/12/2021,Fall,20SE,3,1,3,49,chle,1,heco,36,chle,1,heco,42.5,1
2021,10/12/2021,Fall,20SE,3,1,6,48,chle,2,chle,49,chle,3,heco,48.5,2.5
2021,10/12/2021,Fall,20SE,3,1,9,23,chle,2,chle,47,chle,0,bare,35,1
2021,10/12/2021,Fall,20SE,3,1,12,30,chle,2,bogr,24,chle,2,bogr,27,2
2021,10/12/2021,Fall,20SE,3,1,15,33,bogr,5,oppo,26,bogr,1,bogr,29.5,3
2021,10/12/2021,Fall,20SE,3,1,18,35,bogr,3,bogr,31,bogr,4,ciun,33,3.5
2021,10/12/2021,Fall,20SE,3,1,21,14,bogr,1,bogr,38,bogr,2,bogr,26,1.5
2021,10/12/2021,Fall,20SE,3,1,24,31,bogr,1,bogr,30,bogr,3,meop,30.5,2
2021,10/12/2021,Fall,20SE,3,2,3,24,chle,3,chle,35,bogr,3,lede,29.5,3
2021,10/12/2021,Fall,20SE,3,2,6,53,ciun,7,heco,29,heco,2,chle,41,4.5
2021,10/12/2021,Fall,20SE,3,2,9,58,chle,2,chle,27,saib,1,heco,42.5,1.5
2021,10/12/2021,Fall,20SE,3,2,12,32,spcr,2,spcr,50,chle,3,heco,41,2.5
2021,10/12/2021,Fall,20SE,3,2,15,24,chle,1,chle,33,spcr,1,cadu,28.5,1
2021,10/12/2021,Fall,20SE,3,2,18,6,cadu,1,cadu,15,bogr,2,bogr,10.5,1.5
2021,10/12/2021,Fall,20SE,3,2,21,8,cadu,1,cadu,7,cadu,2,cadu,7.5,1.5
2021,10/12/2021,Fall,20SE,3,2,24,55,chle,3,chle,64,chle,3,chle,59.5,3
2021,10/12/2021,Fall,20SE,3,3,3,22,chle,1,chle,33,chle,2,chle,27.5,1.5
2021,10/12/2021,Fall,20SE,3,3,6,49,spcr,7,ciun,17,heco,1,heco,33,4
2021,10/12/2021,Fall,20SE,3,3,9,17,heco,3,heco,21,chle,3,heco,19,3
2021,10/12/2021,Fall,20SE,3,3,12,54,heco,4,heco,35,heco,1,heco,44.5,2.5
2021,10/12/2021,Fall,20SE,3,3,15,33,chle,1,heco,44,heco,3,heco,38.5,2
2021,10/12/2021,Fall,20SE,3,3,18,46,heco,3,heco,24,chle,3,chle,35,3
2021,10/12/2021,Fall,20SE,3,3,21,25,chle,3,chle,35,chle,3,chle,30,3
2021,10/12/2021,Fall,20SE,3,3,24,26,heco,1,heco,37,heco,1,heco,31.5,1
2021,10/12/2021,Fall,20SE,3,4,3,38,bogr,4,bogr,42,bogr,2,bogr,40,3
2021,10/12/2021,Fall,20SE,3,4,6,60,chle,3,bogr,28,bogr,2,lede,44,2.5
2021,10/12/2021,Fall,20SE,3,4,9,43,chle,3,bogr,40,bogr,2,bogr,41.5,2.5
2021,10/12/2021,Fall,20SE,3,4,12,30,bogr,2,bogr,32,bogr,2,bogr,31,2
2021,10/12/2021,Fall,20SE,3,4,15,42,bogr,0,bare,44,bogr,4,bogr,43,2
2021,10/12/2021,Fall,20SE,3,4,18,59,chle,2,heco,39,bogr,1,bogr,49,1.5
2021,10/12/2021,Fall,20SE,3,4,21,41,chle,6,heco,38,spcr,6,heco,39.5,6
2021,10/12/2021,Fall,20SE,3,4,24,31,heco,3,heco,34,heco,3,heco,32.5,3
2021,10/12/2021,Fall,20SE,4,1,3,46,chle,2,spai,56,chle,12,spai,51,7
2021,10/12/2021,Fall,20SE,4,1,6,44,chle,6,spai,49,chle,1,spai,46.5,3.5
2021,10/12/2021,Fall,20SE,4,1,9,58,spai,5,spai,51,spai,5,spai,54.5,5
2021,10/12/2021,Fall,20SE,4,1,12,72,spai,9,spai,38,spai,4,spai,55,6.5
2021,10/12/2021,Fall,20SE,4,1,15,61,spai,11,spai,71,chle,12,spai,66,11.5
2021,10/12/2021,Fall,20SE,4,1,18,59,chle,15,chle,53,spai,7,spai,56,11
2021,10/12/2021,Fall,20SE,4,1,21,57,spai,14,spai,57,chle,10,chle,57,12
2021,10/12/2021,Fall,20SE,4,1,24,55,chle,8,spai,40,spai,18,spai,47.5,13
2021,10/12/2021,Fall,20SE,4,2,3,36,spai,2,spai,49,spai,1,spai,42.5,1.5
2021,10/12/2021,Fall,20SE,4,2,6,56,spai,1,spai,36,spai,1,disp,46,1
2021,10/12/2021,Fall,20SE,4,2,9,71,spai,5,spai,52,bogr,9,spai,61.5,7
2021,10/12/2021,Fall,20SE,4,2,12,58,spai,2,spai,64,spai,3,spai,61,2.5
2021,10/12/2021,Fall,20SE,4,2,15,56,spai,3,spai,72,spai,10,spai,64,6.5
2021,10/12/2021,Fall,20SE,4,2,18,52,spai,11,eref,58,bogr,11,spai,55,11
2021,10/12/2021,Fall,20SE,4,2,21,59,spai,4,spai,70,spai,4,spai,64.5,4
2021,10/12/2021,Fall,20SE,4,2,24,52,spai,1,disp,23,disp,9,disp,37.5,5
2021,10/12/2021,Fall,20SE,4,3,3,42,spai,9,spai,68,spai,7,spai,55,8
2021,10/12/2021,Fall,20SE,4,3,6,57,spai,10,spai,52,chle,14,spai,54.5,12
2021,10/12/2021,Fall,20SE,4,3,9,65,chle,9,spai,45,spai,6,spai,55,7.5
2021,10/12/2021,Fall,20SE,4,3,12,42,spai,3,brte,58,chle,11,spai,50,7
2021,10/12/2021,Fall,20SE,4,3,15,24,spai,2,spai,44,spai,3,spai,34,2.5
2021,10/12/2021,Fall,20SE,4,3,18,39,bogr,9,spai,34,bogr,6,spai,36.5,7.5
2021,10/12/2021,Fall,20SE,4,3,21,42,chle,7,spai,48,spai,3,spai,45,5
2021,10/12/2021,Fall,20SE,4,3,24,39,spai,2,spai,46,chle,5,spai,42.5,3.5
2021,10/12/2021,Fall,20SE,4,4,3,58,spai,8,spai,54,spai,6,spai,56,7
2021,10/12/2021,Fall,20SE,4,4,6,81,spai,6,chle,60,spai,7,spai,70.5,6.5
2021,10/12/2021,Fall,20SE,4,4,9,50,spai,6,disp,63,spai,10,spai,56.5,8
2021,10/12/2021,Fall,20SE,4,4,12,55,spai,3,spai,48,spai,8,spai,51.5,5.5
2021,10/12/2021,Fall,20SE,4,4,15,56,spai,8,chle,59,spai,5,spai,57.5,6.5
2021,10/12/2021,Fall,20SE,4,4,18,47,spai,2,spai,63,spai,7,spai,55,4.5
2021,10/12/2021,Fall,20SE,4,4,21,54,chle,3,disp,81,heco,5,spai,67.5,4
2021,10/12/2021,Fall,20SE,4,4,24,59,heco,10,disp,30,spai,11,disp,44.5,10.5
2021,10/12/2021,Fall,20SE,5,1,3,20,thme,4,spai,65,spai,9,spai,42.5,6.5
2021,10/12/2021,Fall,20SE,5,1,6,16,thme,2,bogr,40,heco,4,crmi,28,3
2021,10/12/2021,Fall,20SE,5,1,9,9,bogr,2,bogr,27,bogr,3,bogr,18,2.5
2021,10/12/2021,Fall,20SE,5,1,12,42,spai,2,spai,13,bogr,3,bogr,27.5,2.5
2021,10/12/2021,Fall,20SE,5,1,15,41,spai,3,spai,41,spai,2,spai,41,2.5
2021,10/12/2021,Fall,20SE,5,1,18,48,spai,14,spai,40,spai,8,spai,44,11
2021,10/12/2021,Fall,20SE,5,1,21,82,spai,12,spai,59,spai,13,spai,70.5,12.5
2021,10/12/2021,Fall,20SE,5,1,24,70,spai,14,spai,54,spai,8,spai,62,11
2021,10/12/2021,Fall,20SE,5,2,3,32,bogr,1,spai,50,spai,3,spai,41,2
2021,10/12/2021,Fall,20SE,5,2,6,56,spai,2,spai,52,spai,5,spai,54,3.5
2021,10/12/2021,Fall,20SE,5,2,9,30,spai,1,spai,38,spai,1,spai,34,1
2021,10/12/2021,Fall,20SE,5,2,12,66,spai,2,spai,62,pasm,1,pasm,64,1.5
2021,10/12/2021,Fall,20SE,5,2,15,44,spai,10,eref,34,pasm,13,eref,39,11.5
2021,10/12/2021,Fall,20SE,5,2,18,53,spai,12,spai,46,spai,9,spai,49.5,10.5
2021,10/12/2021,Fall,20SE,5,2,21,26,spai,3,spai,29,bogr,6,spai,27.5,4.5
2021,10/12/2021,Fall,20SE,5,2,24,42,thme,2,spai,33,spai,5,spai,37.5,3.5
2021,10/12/2021,Fall,20SE,5,3,3,22,spai,3,spai,72,chle,3,spai,47,3
2021,10/12/2021,Fall,20SE,5,3,6,10,spai,1,disp,37,spai,1,chle,23.5,1
2021,10/12/2021,Fall,20SE,5,3,9,21,disp,5,disp,34,spai,3,spai,27.5,4
2021,10/12/2021,Fall,20SE,5,3,12,33,spai,3,chle,22,spai,8,chle,27.5,5.5
2021,10/12/2021,Fall,20SE,5,3,15,37,spai,2,chle,41,chle,6,chle,39,4
2021,10/12/2021,Fall,20SE,5,3,18,35,bogr,5,spai,30,bogr,7,spai,32.5,6
2021,10/12/2021,Fall,20SE,5,3,21,31,spai,7,spai,22,disp,6,disp,26.5,6.5
2021,10/12/2021,Fall,20SE,5,3,24,38,spai,1,spai,70,chle,7,chle,54,4
2021,10/12/2021,Fall,20SE,5,4,3,33,spai,2,spai,62,spai,8,spai,47.5,5
2021,10/12/2021,Fall,20SE,5,4,6,56,spai,4,spai,35,spai,3,disp,45.5,3.5
2021,10/12/2021,Fall,20SE,5,4,9,43,spai,10,spai,49,spai,6,spai,46,8
2021,10/12/2021,Fall,20SE,5,4,12,48,chle,5,disp,36,spai,6,disp,42,5.5
2021,10/12/2021,Fall,20SE,5,4,15,69,spai,4,spai,44,spai,7,spai,56.5,5.5
2021,10/12/2021,Fall,20SE,5,4,18,62,spai,7,spai,28,disp,3,disp,45,5
2021,10/12/2021,Fall,20SE,5,4,21,28,disp,6,disp,57,spai,8,erna,42.5,7
2021,10/12/2021,Fall,20SE,5,4,24,44,spai,2,spai,71,spai,11,spai,57.5,6.5
2021,10/12/2021,Fall,20SE,6,1,3,42,chle,1,bogr,32,bogr,3,bogr,37,2
2021,10/12/2021,Fall,20SE,6,1,6,35,bogr,4,eref,31,bogr,2,bogr,33,3
2021,10/12/2021,Fall,20SE,6,1,9,29,bogr,2,bogr,33,bogr,2,bogr,31,2
2021,10/12/2021,Fall,20SE,6,1,12,38,bogr,3,bogr,41,bogr,3,eref,39.5,3
2021,10/12/2021,Fall,20SE,6,1,15,38,bogr,7,eref,37,saib,6,eref,37.5,6.5
2021,10/12/2021,Fall,20SE,6,1,18,34,bogr,8,bogr,53,chle,4,bogr,43.5,6
2021,10/12/2021,Fall,20SE,6,1,21,36,bogr,2,bogr,28,bogr,3,bogr,32,2.5
2021,10/12/2021,Fall,20SE,6,1,24,54,bogr,12,eref,46,bogr,5,bogr,50,8.5
2021,10/12/2021,Fall,20SE,6,2,3,34,bogr,1,bogr,28,bogr,2,bogr,31,1.5
2021,10/12/2021,Fall,20SE,6,2,6,29,bogr,1,bogr,26,bogr,1,bogr,27.5,1
2021,10/12/2021,Fall,20SE,6,2,9,39,bogr,1,bogr,33,bogr,1,bogr,36,1
2021,10/12/2021,Fall,20SE,6,2,12,43,bogr,4,bogr,44,bogr,1,bogr,43.5,2.5
2021,10/12/2021,Fall,20SE,6,2,15,46,spcr,2,bogr,52,spcr,4,bogr,49,3
2021,10/12/2021,Fall,20SE,6,2,18,52,spcr,4,spcr,33,heco,3,heco,42.5,3.5
2021,10/12/2021,Fall,20SE,6,2,21,40,bogr,3,crmi,49,bogr,30,eref,44.5,16.5
2021,10/12/2021,Fall,20SE,6,2,24,43,bogr,14,eref,52,bogr,2,bogr,47.5,8
2021,10/12/2021,Fall,20SE,6,3,3,42,bogr,5,eref,38,bogr,1,bogr,40,3
2021,10/12/2021,Fall,20SE,6,3,6,39,bogr,3,bogr,32,bogr,2,bogr,35.5,2.5
2021,10/12/2021,Fall,20SE,6,3,9,38,bogr,1,bogr,39,chle,2,bogr,38.5,1.5
2021,10/12/2021,Fall,20SE,6,3,12,40,bogr,1,bogr,44,bogr,5,bogr,42,3
2021,10/12/2021,Fall,20SE,6,3,15,39,bogr,3,bogr,36,bogr,3,bogr,37.5,3
2021,10/12/2021,Fall,20SE,6,3,18,49,bogr,5,bogr,29,bogr,1,bogr,39,3
2021,10/12/2021,Fall,20SE,6,3,21,35,bogr,2,bogr,42,bogr,1,bogr,38.5,1.5
2021,10/12/2021,Fall,20SE,6,3,24,32,bogr,2,bogr,39,bogr,1,bogr,35.5,1.5
2021,10/12/2021,Fall,20SE,6,4,3,34,spcr,5,oppo,42,bogr,1,bogr,38,3
2021,10/12/2021,Fall,20SE,6,4,6,41,bogr,3,bogr,32,bogr,5,bogr,36.5,4
2021,10/12/2021,Fall,20SE,6,4,9,41,bogr,4,bogr,41,bogr,4,bogr,41,4
2021,10/12/2021,Fall,20SE,6,4,12,37,bogr,2,bogr,42,bogr,3,bogr,39.5,2.5
2021,10/12/2021,Fall,20SE,6,4,15,29,bogr,2,bogr,26,bogr,4,bogr,27.5,3
2021,10/12/2021,Fall,20SE,6,4,18,47,bogr,4,bogr,41,bogr,3,bogr,44,3.5
2021,10/12/2021,Fall,20SE,6,4,21,35,bogr,2,bogr,36,bogr,1,bogr,35.5,1.5
2021,10/12/2021,Fall,20SE,6,4,24,36,bogr,1,bogr,45,bogr,3,bogr,40.5,2
2021,10/7/2021,Fall,2930,1,1,3,48,atca,25,atca,22,chle,2,chle,35,13.5
2021,10/7/2021,Fall,2930,1,1,6,31,pasm,7,pasm,32,pasm,7,pasm,31.5,7
2021,10/7/2021,Fall,2930,1,1,9,52,atca,41,atca,58,pasm,37,atca,55,39
2021,10/7/2021,Fall,2930,1,1,12,18,chle,3,chle,26,chle,1,chle,22,2
2021,10/7/2021,Fall,2930,1,1,15,25,pasm,3,chle,51,atca,10,atca,38,6.5
2021,10/7/2021,Fall,2930,1,1,18,22,chle,3,chle,25,chle,8,chle,23.5,5.5
2021,10/7/2021,Fall,2930,1,1,21,33,saib,10,chle,41,clse,8,chle,37,9
2021,10/7/2021,Fall,2930,1,1,24,21,chle,4,chle,45,pasm,15,pasm,33,9.5
2021,10/7/2021,Fall,2930,1,2,3,10,spco,2,spco,58,atca,25,atca,34,13.5
2021,10/7/2021,Fall,2930,1,2,6,24,krla,5,krla,17,krla,4,krla,20.5,4.5
2021,10/7/2021,Fall,2930,1,2,9,33,elel,9,elel,19,krla,9,krla,26,9
2021,10/7/2021,Fall,2930,1,2,12,33,pasm,1,spco,25,pasm,3,krla,29,2
2021,10/7/2021,Fall,2930,1,2,15,25,chle,10,krla,20,atca,4,chle,22.5,7
2021,10/7/2021,Fall,2930,1,2,18,50,atca,9,atca,36,bogr,1,chle,43,5
2021,10/7/2021,Fall,2930,1,2,21,30,chle,1,chle,24,chle,2,chle,27,1.5
2021,10/7/2021,Fall,2930,1,2,24,4,krla,1,krla,26,krla,11,chle,15,6
2021,10/7/2021,Fall,2930,1,3,3,13,pasm,1,pasm,11,pasm,1,pasm,12,1
2021,10/7/2021,Fall,2930,1,3,6,12,pasm,1,pasm,13,pasm,1,pasm,12.5,1
2021,10/7/2021,Fall,2930,1,3,9,13,pasm,1,pasm,17,pasm,1,pasm,15,1
2021,10/7/2021,Fall,2930,1,3,12,12,pasm,1,pasm,13,pasm,1,pasm,12.5,1
2021,10/7/2021,Fall,2930,1,3,15,4,spco,1,spco,0,bare,0,bare,2,0.5
2021,10/7/2021,Fall,2930,1,3,18,5,chle,1,chle,6,spco,1,spco,5.5,1
2021,10/7/2021,Fall,2930,1,3,21,9,krla,2,krla,0,bare,0,bare,4.5,1
2021,10/7/2021,Fall,2930,1,3,24,8,lare,1,spco,7,chle,1,chle,7.5,1
2021,10/7/2021,Fall,2930,1,4,3,22,bogr,2,bogr,26,bogr,2,bogr,24,2
2021,10/7/2021,Fall,2930,1,4,6,11,lyju,2,lare,15,lyju,3,chle,13,2.5
2021,10/7/2021,Fall,2930,1,4,9,10,chle,1,chle,17,bogr,4,chle,13.5,2.5
2021,10/7/2021,Fall,2930,1,4,12,31,atca,8,chle,18,chle,4,chle,24.5,6
2021,10/7/2021,Fall,2930,1,4,15,15,chle,2,crmi,24,bogr,3,cadu,19.5,2.5
2021,10/7/2021,Fall,2930,1,4,18,36,bogr,1,lyju,57,atca,6,chle,46.5,3.5
2021,10/7/2021,Fall,2930,1,4,21,25,bogr,2,bogr,60,clse,10,atca,42.5,6
2021,10/7/2021,Fall,2930,1,4,24,44,bogr,4,chle,90,atca,52,atca,67,28
2021,10/8/2021,Fall,2930,2,1,3,37,chle,3,chle,28,chle,1,chle,32.5,2
2021,10/8/2021,Fall,2930,2,1,6,44,pasm,11,pasm,23,chle,1,chle,33.5,6
2021,10/8/2021,Fall,2930,2,1,9,20,chle,3,chle,14,chle,1,chle,17,2
2021,10/8/2021,Fall,2930,2,1,12,16,chle,1,chle,14,chle,3,chle,15,2
2021,10/8/2021,Fall,2930,2,1,15,16,chle,3,chle,23,chle,1,chle,19.5,2
2021,10/8/2021,Fall,2930,2,1,18,21,bogr,2,chle,28,pasm,1,pasm,24.5,1.5
2021,10/8/2021,Fall,2930,2,1,21,20,bogr,3,chle,25,krla,5,krla,22.5,4
2021,10/8/2021,Fall,2930,2,1,24,19,bogr,1,chle,29,bogr,1,chle,24,1
2021,10/8/2021,Fall,2930,2,2,3,44,pasm,10,pasm,14,chle,2,chle,29,6
2021,10/8/2021,Fall,2930,2,2,6,42,pasm,10,pasm,33,pasm,10,pasm,37.5,10
2021,10/8/2021,Fall,2930,2,2,9,22,chle,1,chle,19,krla,1,bogr,20.5,1
2021,10/8/2021,Fall,2930,2,2,12,23,bogr,3,krla,17,bogr,3,bogr,20,3
2021,10/8/2021,Fall,2930,2,2,15,27,chle,18,chle,35,bogr,16,chle,31,17
2021,10/8/2021,Fall,2930,2,2,18,19,chle,2,chle,20,chle,1,crmi,19.5,1.5
2021,10/8/2021,Fall,2930,2,2,21,35,chle,1,chle,20,chle,1,crmi,27.5,1
2021,10/8/2021,Fall,2930,2,2,24,11,spco,1,spco,11,chle,7,chle,11,4
2021,10/8/2021,Fall,2930,2,3,3,36,bogr,2,bogr,23,bogr,1,chle,29.5,1.5
2021,10/8/2021,Fall,2930,2,3,6,61,bogr,5,bogr,41,bogr,7,bogr,51,6
2021,10/8/2021,Fall,2930,2,3,9,22,krla,5,krla,25,bogr,7,elel,23.5,6
2021,10/8/2021,Fall,2930,2,3,12,25,bogr,8,chle,23,chle,2,chle,24,5
2021,10/8/2021,Fall,2930,2,3,15,27,chle,12,chle,21,bogr,2,chle,24,7
2021,10/8/2021,Fall,2930,2,3,18,32,bogr,4,chle,30,bogr,4,chle,31,4
2021,10/8/2021,Fall,2930,2,3,21,48,bogr,2,elel,44,bogr,13,chle,46,7.5
2021,10/8/2021,Fall,2930,2,3,24,47,bogr,8,bogr,44,bogr,15,krla,45.5,11.5
2021,10/8/2021,Fall,2930,2,4,3,20,chle,7,chle,19,krla,3,krla,19.5,5
2021,10/8/2021,Fall,2930,2,4,6,22,chle,4,chle,21,chle,1,chle,21.5,2.5
2021,10/8/2021,Fall,2930,2,4,9,19,chle,5,chle,77,clse,6,disp,48,5.5
2021,10/8/2021,Fall,2930,2,4,12,15,lyju,3,chle,19,chle,7,disp,17,5
2021,10/8/2021,Fall,2930,2,4,15,25,chle,3,disp,29,chle,3,chle,27,3
2021,10/8/2021,Fall,2930,2,4,18,64,clse,7,chle,16,chle,4,disp,40,5.5
2021,10/8/2021,Fall,2930,2,4,21,24,chle,2,chle,23,lyju,2,chle,23.5,2
2021,10/8/2021,Fall,2930,2,4,24,8,lyju,1,lyju,7,spco,1,spco,7.5,1
2021,10/8/2021,Fall,2930,3,1,3,38,atca,22,atca,24,bogr,3,bogr,31,12.5
2021,10/8/2021,Fall,2930,3,1,6,33,bogr,5,bogr,20,bogr,2,chle,26.5,3.5
2021,10/8/2021,Fall,2930,3,1,9,31,atca,20,atca,42,bogr,9,lede,36.5,14.5
2021,10/8/2021,Fall,2930,3,1,12,16,krla,5,krla,8,spco,0,bare,12,2.5
2021,10/8/2021,Fall,2930,3,1,15,31,bogr,2,bogr,24,bogr,5,atca,27.5,3.5
2021,10/8/2021,Fall,2930,3,1,18,32,bogr,5,bogr,33,bogr,1,bogr,32.5,3
2021,10/8/2021,Fall,2930,3,1,21,32,bogr,1,bogr,30,bogr,2,bogr,31,1.5
2021,10/8/2021,Fall,2930,3,1,24,28,bogr,4,chle,30,bogr,1,bogr,29,2.5
2021,10/8/2021,Fall,2930,3,2,3,38,bogr,8,ciun,28,spcr,4,bogr,33,6
2021,10/8/2021,Fall,2930,3,2,6,41,bogr,10,bogr,38,bogr,7,chle,39.5,8.5
2021,10/8/2021,Fall,2930,3,2,9,29,bogr,2,bogr,35,bogr,8,chle,32,5
2021,10/8/2021,Fall,2930,3,2,12,23,bogr,4,elel,21,chle,8,elel,22,6
2021,10/8/2021,Fall,2930,3,2,15,40,pasm,6,pasm,47,bogr,12,bogr,43.5,9
2021,10/8/2021,Fall,2930,3,2,18,40,pasm,6,pasm,43,pasm,10,pasm,41.5,8
2021,10/8/2021,Fall,2930,3,2,21,48,pasm,6,pasm,30,bogr,7,bogr,39,6.5
