Date,Pasture,Treatment,Ecosite,Plot,Transect,Distance,High East,Low East,Spp East,High West,Low West,Spp West,MeanHigh,MeanLow,Screen1,Screen2,Low1,Low2,MeanLow(forage)
10/9/2019,20SE,TGM,Salt Flat,5,1,6,7,1,bogr,10,2,bogr,8.5,1.5,0,0,1,2,1.5
10/9/2019,20SE,TGM,Salt Flat,5,1,9,13,1,spco,4,1,bogr,8.5,1,0,0,1,1,1
10/9/2019,20SE,TGM,Salt Flat,5,1,12,8,2,bogr,8,2,bogr,8,2,0,0,2,2,2
10/9/2019,20SE,TGM,Salt Flat,5,1,15,22,4,spai,18,3,spai,20,3.5,0,0,4,3,3.5
10/9/2019,20SE,TGM,Salt Flat,5,1,18,68,9,spai,56,2,spai,62,5.5,0,0,9,2,5.5
10/9/2019,20SE,TGM,Salt Flat,5,1,21,48,13,spai,50,5,spai,49,9,0,0,13,5,9
10/9/2019,20SE,TGM,Salt Flat,5,1,24,44,9,bogr,42,3,spai,43,6,0,0,9,3,6
10/9/2019,20SE,TGM,Salt Flat,5,2,3,12,1,spai,16,3,spai,14,2,0,0,1,3,2
10/9/2019,20SE,TGM,Salt Flat,5,2,6,22,4,spai,25,5,pasm,23.5,4.5,0,0,4,5,4.5
10/9/2019,20SE,TGM,Salt Flat,5,2,9,32,3,spai,41,3,spai,36.5,3,0,0,3,3,3
10/9/2019,20SE,TGM,Salt Flat,5,2,12,64,3,heco,22,4,disp,43,3.5,0,0,3,4,3.5
10/9/2019,20SE,TGM,Salt Flat,5,2,15,21,3,spai,12,2,disp,16.5,2.5,0,0,3,2,2.5
10/9/2019,20SE,TGM,Salt Flat,5,2,18,42,3,spai,51,3,spai,46.5,3,0,0,3,3,3
10/9/2019,20SE,TGM,Salt Flat,5,2,21,26,1,spai,20,5,disp,23,3,0,0,1,5,3
10/9/2019,20SE,TGM,Salt Flat,5,2,24,23,2,spai,24,2,spai,23.5,2,0,0,2,2,2
10/9/2019,20SE,TGM,Upland,6,1,3,4,0,bogr,12,4,bogr,8,2,0,0,0,4,2
10/9/2019,20SE,TGM,Upland,6,1,6,16,2,pasm,16,3,bogr,16,2.5,0,0,2,3,2.5
10/9/2019,20SE,TGM,Upland,6,1,9,16,1,pasm,12,2,sonu,14,1.5,0,0,1,2,1.5
10/9/2019,20SE,TGM,Upland,6,1,12,18,1,bogr,8,2,bogr,13,1.5,0,0,1,2,1.5
10/9/2019,20SE,TGM,Upland,6,1,15,15,2,pasm,13,3,pasm,14,2.5,0,0,2,3,2.5
10/9/2019,20SE,TGM,Upland,6,1,18,32,1,pasm,44,2,pasm,38,1.5,0,0,1,2,1.5
10/9/2019,20SE,TGM,Upland,6,1,21,16,1,pasm,14,1,pasm,15,1,0,0,1,1,1
10/9/2019,20SE,TGM,Upland,6,1,24,59,3,eref,17,2,pasm,38,2.5,1,0,,2,2
10/9/2019,20SE,TGM,Upland,6,2,3,4,2,bogr,5,1,bogr,4.5,1.5,0,0,2,1,1.5
10/9/2019,20SE,TGM,Upland,6,2,6,2,1,bogr,14,2,bogr,8,1.5,0,0,1,2,1.5
10/9/2019,20SE,TGM,Upland,6,2,9,4,2,bogr,6,2,bogr,5,2,0,0,2,2,2
10/9/2019,20SE,TGM,Upland,6,2,12,7,4,bogr,14,1,bogr,10.5,2.5,0,0,4,1,2.5
10/9/2019,20SE,TGM,Upland,6,2,15,6,3,bogr,12,2,crmi,9,2.5,0,0,3,2,2.5
10/9/2019,20SE,TGM,Upland,6,2,18,12,3,crmi,14,3,chle,13,3,0,0,3,3,3
10/9/2019,20SE,TGM,Upland,6,2,21,9,2,pasm,28,9,eref,18.5,5.5,0,1,2,,2
10/9/2019,20SE,TGM,Upland,6,2,24,12,2,eref,18,1,bogr,15,1.5,1,0,,1,1
10/9/2019,20SE,TGM,Upland,6,3,3,16,2,eref,8,2,bogr,12,2,1,0,,2,2
10/9/2019,20SE,TGM,Upland,6,3,6,8,2,bogr,11,2,bogr,9.5,2,0,0,2,2,2
10/9/2019,20SE,TGM,Upland,6,3,9,20,2,bogr,17,2,bogr,18.5,2,0,0,2,2,2
10/9/2019,20SE,TGM,Upland,6,3,12,28,5,pasm,41,7,pasm,34.5,6,0,0,5,7,6
10/9/2019,20SE,TGM,Upland,6,3,15,12,3,eref,22,3,pasm,17,3,1,0,,3,3
10/9/2019,20SE,TGM,Upland,6,3,18,39,4,oppo,34,2,pasm,36.5,3,1,0,,2,2
10/9/2019,20SE,TGM,Upland,6,3,21,20,3,pasm,4,2,pasm,12,2.5,0,0,3,2,2.5
10/9/2019,20SE,TGM,Upland,6,3,24,10,2,bogr,8,2,bogr,9,2,0,0,2,2,2
10/9/2019,20SE,TGM,Upland,6,4,3,31,3,spcr,17,4,oppo,24,3.5,0,1,3,,3
10/9/2019,20SE,TGM,Upland,6,4,6,10,1,bogr,7,1,bogr,8.5,1,0,0,1,1,1
10/9/2019,20SE,TGM,Upland,6,4,9,39,3,bogr,7,1,bogr,23,2,0,0,3,1,2
10/9/2019,20SE,TGM,Upland,6,4,12,6,2,bogr,20,1,bogr,13,1.5,0,0,2,1,1.5
10/9/2019,20SE,TGM,Upland,6,4,15,20,1,bogr,4,1,bogr,12,1,0,0,1,1,1
10/9/2019,20SE,TGM,Upland,6,4,18,4,1,bogr,6,2,bogr,5,1.5,0,0,1,2,1.5
10/9/2019,20SE,TGM,Upland,6,4,21,14,1,bogr,14,1,bogr,14,1,0,0,1,1,1
10/9/2019,20SE,TGM,Upland,6,4,24,22,1,bogr,12,1,bogr,17,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,1,3,12,1,chle,10,1,chle,11,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,1,6,6,1,disp,10,1,disp,8,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,1,9,26,4,disp,26,19,atca,26,11.5,0,1,4,,4
10/9/2019,2930,PDOG,Upland,1,1,12,10,1,disp,10,1,pasm,10,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,1,15,14,2,disp,23,3,atca,18.5,2.5,0,1,2,,2
10/9/2019,2930,PDOG,Upland,1,1,18,7,1,disp,8,2,disp,7.5,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,1,1,21,6,1,pasm,6,2,disp,6,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,1,1,24,12,4,disp,8,1,disp,10,2.5,0,0,4,1,2.5
10/9/2019,2930,PDOG,Upland,1,2,3,1,0,bogr,16,4,atca,8.5,2,0,1,0,,0
10/9/2019,2930,PDOG,Upland,1,2,6,16,5,krla,28,11,krla,22,8,0,0,5,11,8
10/9/2019,2930,PDOG,Upland,1,2,9,3,1,bogr,24,7,krla,13.5,4,0,0,1,7,4
10/9/2019,2930,PDOG,Upland,1,2,12,14,2,krla,20,1,krla,17,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,1,2,15,14,1,krla,16,4,krla,15,2.5,0,0,1,4,2.5
10/9/2019,2930,PDOG,Upland,1,2,18,26,3,bogr,4,1,bogr,15,2,0,0,3,1,2
10/9/2019,2930,PDOG,Upland,1,2,21,10,1,bogr,20,9,krla,15,5,0,0,1,9,5
10/9/2019,2930,PDOG,Upland,1,2,24,7,2,krla,24,9,krla,15.5,5.5,0,0,2,9,5.5
10/9/2019,2930,PDOG,Upland,1,3,3,8,1,pasm,12,1,pasm,10,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,3,6,8,1,pasm,4,1,pasm,6,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,3,9,11,1,pasm,7,1,pasm,9,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,3,12,5,1,pasm,6,1,pasm,5.5,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,3,15,2,1,pasm,2,1,pasm,2,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,3,18,4,1,bogr,3,1,bogr,3.5,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,3,21,9,5,krla,2,0,bogr,5.5,2.5,0,0,5,0,2.5
10/9/2019,2930,PDOG,Upland,1,3,24,2,0,bogr,6,1,pasm,4,0.5,0,0,0,1,0.5
10/9/2019,2930,PDOG,Upland,1,4,3,24,1,bogr,11,2,bogr,17.5,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,1,4,6,6,1,bogr,12,1,chle,9,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,4,9,6,1,bogr,4,2,bogr,5,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,1,4,12,8,1,chle,11,2,chle,9.5,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,1,4,15,11,2,bogr,6,1,bogr,8.5,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,1,4,18,8,1,chle,10,2,chle,9,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,1,4,21,6,1,bogr,10,1,chle,8,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,1,4,24,6,1,crmi,38,1,atca,22,1,0,1,1,,1
10/9/2019,2930,PDOG,Upland,2,1,3,6,3,crmi,13,2,pasm,9.5,2.5,0,0,3,2,2.5
10/9/2019,2930,PDOG,Upland,2,1,6,14,1,chle,8,2,crmi,11,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,2,1,9,4,1,chle,4,1,bogr,4,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,2,1,12,4,2,crmi,7,1,bogr,5.5,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,2,1,15,6,1,chle,20,1,crmi,13,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,2,1,18,9,4,crmi,11,1,bogr,10,2.5,0,0,4,1,2.5
10/9/2019,2930,PDOG,Upland,2,1,21,7,2,crmi,20,3,crmi,13.5,2.5,0,0,2,3,2.5
10/9/2019,2930,PDOG,Upland,2,1,24,6,3,crmi,14,1,crmi,10,2,0,0,3,1,2
10/9/2019,2930,PDOG,Upland,2,2,3,11,1,pasm,10,0,crmi,10.5,0.5,0,0,1,0,0.5
10/9/2019,2930,PDOG,Upland,2,2,6,10,4,pasm,20,1,pasm,15,2.5,0,0,4,1,2.5
10/9/2019,2930,PDOG,Upland,2,2,9,20,1,chle,16,9,krla,18,5,0,0,1,9,5
10/9/2019,2930,PDOG,Upland,2,2,12,4,1,bogr,12,1,chle,8,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,2,2,15,8,2,chle,10,1,bogr,9,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,2,2,18,0,0,bare,0,0,bare,0,0,0,0,0,0,0
10/9/2019,2930,PDOG,Upland,2,2,21,6,1,crmi,2,0,bare,4,0.5,0,0,1,0,0.5
10/9/2019,2930,PDOG,Upland,2,2,24,11,1,crmi,14,1,crmi,12.5,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,2,3,3,10,2,crmi,6,2,crmi,8,2,0,0,2,2,2
10/9/2019,2930,PDOG,Upland,2,3,6,9,3,crmi,7,2,oppo,8,2.5,0,1,3,,3
10/9/2019,2930,PDOG,Upland,2,3,9,18,4,krla,11,2,elel,14.5,3,0,0,4,2,3
10/9/2019,2930,PDOG,Upland,2,3,12,17,3,crmi,4,1,crmi,10.5,2,0,0,3,1,2
10/9/2019,2930,PDOG,Upland,2,3,15,20,2,chle,12,4,crmi,16,3,0,0,2,4,3
10/9/2019,2930,PDOG,Upland,2,3,18,14,2,crmi,15,5,chle,14.5,3.5,0,0,2,5,3.5
10/9/2019,2930,PDOG,Upland,2,3,21,12,1,erna,14,8,krla,13,4.5,0,0,1,8,4.5
10/9/2019,2930,PDOG,Upland,2,3,24,14,4,oppo,14,5,krla,14,4.5,1,0,,5,5
10/9/2019,2930,PDOG,Upland,2,4,3,14,2,pasm,8,1,disp,11,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,2,4,6,6,0,disp,8,1,disp,7,0.5,0,0,0,1,0.5
10/9/2019,2930,PDOG,Upland,2,4,9,12,1,disp,6,1,disp,9,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,2,4,12,14,1,disp,9,1,disp,11.5,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,2,4,15,11,1,disp,12,1,disp,11.5,1,0,0,1,1,1
10/9/2019,2930,PDOG,Upland,2,4,18,8,0,disp,14,1,disp,11,0.5,0,0,0,1,0.5
10/9/2019,2930,PDOG,Upland,2,4,21,4,0,chle,5,1,krla,4.5,0.5,0,0,0,1,0.5
10/9/2019,2930,PDOG,Upland,2,4,24,1,0,chle,6,1,chle,3.5,0.5,0,0,0,1,0.5
10/9/2019,2930,PDOG,Upland,3,1,3,4,1,bogr,8,2,chle,6,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,3,1,6,9,4,bogr,6,1,bogr,7.5,2.5,0,0,4,1,2.5
10/9/2019,2930,PDOG,Upland,3,1,9,12,1,chle,11,2,bogr,11.5,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,3,1,12,4,1,crmi,6,4,chle,5,2.5,0,0,1,4,2.5
10/9/2019,2930,PDOG,Upland,3,1,15,6,2,bogr,17,2,crmi,11.5,2,0,0,2,2,2
10/9/2019,2930,PDOG,Upland,3,1,18,8,1,bogr,9,2,chle,8.5,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,3,1,21,22,2,bogr,13,5,bogr,17.5,3.5,0,0,2,5,3.5
10/9/2019,2930,PDOG,Upland,3,1,24,7,2,crmi,6,1,bogr,6.5,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,3,2,3,6,2,bogr,6,1,chle,6,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,3,2,6,12,1,chle,10,3,ciun,11,2,0,0,1,3,2
10/9/2019,2930,PDOG,Upland,3,2,9,14,5,krla,18,3,chle,16,4,0,0,5,3,4
10/9/2019,2930,PDOG,Upland,3,2,12,7,2,elel,12,0,pasm,9.5,1,0,0,2,0,1
10/9/2019,2930,PDOG,Upland,3,2,15,8,1,chle,12,2,crmi,10,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,3,2,18,8,1,krla,4,2,krla,6,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,3,2,21,6,2,krla,14,1,chle,10,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,3,2,24,12,2,krla,8,1,krla,10,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,3,3,3,12,1,bogr,14,2,pasm,13,1.5,0,0,1,2,1.5
10/9/2019,2930,PDOG,Upland,3,3,6,21,5,krla,28,3,pasm,24.5,4,0,0,5,3,4
10/9/2019,2930,PDOG,Upland,3,3,9,25,1,oppo,29,1,pasm,27,1,1,0,,1,1
10/9/2019,2930,PDOG,Upland,3,3,12,49,5,pasm,33,2,pasm,41,3.5,0,0,5,2,3.5
10/9/2019,2930,PDOG,Upland,3,3,15,36,4,pasm,16,2,eref,26,3,0,1,4,,4
10/9/2019,2930,PDOG,Upland,3,3,18,21,2,pasm,16,1,pasm,18.5,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,3,3,21,21,2,pasm,14,2,pasm,17.5,2,0,0,2,2,2
10/9/2019,2930,PDOG,Upland,3,3,24,31,2,pasm,23,1,pasm,27,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,3,4,3,11,4,disp,14,2,disp,12.5,3,0,0,4,2,3
10/9/2019,2930,PDOG,Upland,3,4,6,32,11,krla,19,2,brte,25.5,6.5,0,1,11,,11
10/9/2019,2930,PDOG,Upland,3,4,9,16,4,disp,28,3,brte,22,3.5,0,1,4,,4
10/9/2019,2930,PDOG,Upland,3,4,12,14,1,disp,18,3,krla,16,2,0,0,1,3,2
10/9/2019,2930,PDOG,Upland,3,4,15,2,0,bare,7,1,oppo,4.5,0.5,0,1,0,,0
10/9/2019,2930,PDOG,Upland,3,4,18,2,0,bare,2,0,bare,2,0,0,0,0,0,0
10/9/2019,2930,PDOG,Upland,3,4,21,6,2,arme,3,1,bare,4.5,1.5,0,0,2,1,1.5
10/9/2019,2930,PDOG,Upland,3,4,24,0,0,bare,0,0,bare,0,0,0,0,0,0,0
10/8/2019,24W,TGM,Upland,1,1,3,35,2,pasm,11,3,pasm,23,2.5,0,0,2,3,2.5
10/8/2019,24W,TGM,Upland,1,1,6,9,0,vuoc,4,0,bogr,6.5,0,1,0,,0,0
10/8/2019,24W,TGM,Upland,1,1,9,23,0,vuoc,19,0,crmi,21,0,1,0,,0,0
10/8/2019,24W,TGM,Upland,1,1,12,23,2,arpu,15,2,crmi,19,2,0,0,2,2,2
10/8/2019,24W,TGM,Upland,1,1,15,17,3,bogr,18,3,crmi,17.5,3,0,0,3,3,3
10/8/2019,24W,TGM,Upland,1,1,18,10,2,bogr,9,1,crmi,9.5,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,1,1,21,3,0,crmi,9,3,crmi,6,1.5,0,0,0,3,1.5
10/8/2019,24W,TGM,Upland,1,1,24,0,0,bare,14,3,bogr,7,1.5,0,0,0,3,1.5
10/8/2019,24W,TGM,Upland,1,2,3,35,2,bogr,28,1,pasm,31.5,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,1,2,6,20,1,bogr,6,3,oppo,13,2,0,1,1,,1
10/8/2019,24W,TGM,Upland,1,2,9,3,1,buda,19,3,vuoc,11,2,0,1,1,,1
10/8/2019,24W,TGM,Upland,1,2,12,9,4,buda,16,3,buda,12.5,3.5,0,0,4,3,3.5
10/8/2019,24W,TGM,Upland,1,2,15,28,4,gusa,30,8,elel,29,6,1,0,,8,8
10/8/2019,24W,TGM,Upland,1,2,18,26,5,elel,10,0,pasm,18,2.5,0,0,5,0,2.5
10/8/2019,24W,TGM,Upland,1,2,21,21,1,bogr,24,6,pasm,22.5,3.5,0,0,1,6,3.5
10/8/2019,24W,TGM,Upland,1,2,24,18,3,arfr,20,5,elel,19,4,1,0,,5,5
10/8/2019,24W,TGM,Upland,1,3,3,3,2,bogr,4,1,elel,3.5,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,1,3,6,8,0,bogr,2,1,elel,5,0.5,0,0,0,1,0.5
10/8/2019,24W,TGM,Upland,1,3,9,9,3,bogr,20,2,elel,14.5,2.5,0,0,3,2,2.5
10/8/2019,24W,TGM,Upland,1,3,12,6,2,bogr,5,3,bogr,5.5,2.5,0,0,2,3,2.5
10/8/2019,24W,TGM,Upland,1,3,15,20,2,elel,15,1,arfr,17.5,1.5,0,1,2,,2
10/8/2019,24W,TGM,Upland,1,3,18,5,0,bogr,42,5,eref,23.5,2.5,0,1,0,,0
10/8/2019,24W,TGM,Upland,1,3,21,5,2,bogr,5,3,eref,5,2.5,0,1,2,,2
10/8/2019,24W,TGM,Upland,1,3,24,3,0,bare,4,2,bogr,3.5,1,0,0,0,2,1
10/8/2019,24W,TGM,Upland,1,4,3,20,2,gusa,20,13,gusa,20,7.5,1,1,,,
10/8/2019,24W,TGM,Upland,1,4,6,23,4,pasm,23,6,gusa,23,5,0,1,4,,4
10/8/2019,24W,TGM,Upland,1,4,9,20,2,elel,22,0,pasm,21,1,0,0,2,0,1
10/8/2019,24W,TGM,Upland,1,4,12,15,2,pasm,13,1,bogr,14,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,1,4,15,14,1,pasm,34,3,bogr,24,2,0,0,1,3,2
10/8/2019,24W,TGM,Upland,1,4,18,11,2,pasm,17,2,pasm,14,2,0,0,2,2,2
10/8/2019,24W,TGM,Upland,1,4,21,23,2,pasm,26,1,pasm,24.5,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,1,4,24,30,0,pasm,36,1,bogr,33,0.5,0,0,0,1,0.5
10/8/2019,24W,TGM,Upland,2,1,3,6,2,buda,5,1,buda,5.5,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,2,1,6,4,1,bogr,8,1,bogr,6,1,0,0,1,1,1
10/8/2019,24W,TGM,Upland,2,1,9,6,0,bogr,15,1,buda,10.5,0.5,0,0,0,1,0.5
10/8/2019,24W,TGM,Upland,2,1,12,8,2,bogr,7,2,buda,7.5,2,0,0,2,2,2
10/8/2019,24W,TGM,Upland,2,1,15,5,1,bogr,13,1,buda,9,1,0,0,1,1,1
10/8/2019,24W,TGM,Upland,2,1,18,6,1,buda,14,0,buda,10,0.5,0,0,1,0,0.5
10/8/2019,24W,TGM,Upland,2,1,21,9,2,elel,14,1,buda,11.5,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,2,1,24,24,3,bogr,9,1,buda,16.5,2,0,0,3,1,2
10/8/2019,24W,TGM,Upland,2,2,3,30,1,bogr,12,3,bogr,21,2,0,0,1,3,2
10/8/2019,24W,TGM,Upland,2,2,6,16,3,elel,5,2,bogr,10.5,2.5,0,0,3,2,2.5
10/8/2019,24W,TGM,Upland,2,2,9,4,1,bogr,23,1,bogr,13.5,1,0,0,1,1,1
10/8/2019,24W,TGM,Upland,2,2,12,25,3,elel,16,0,pasm,20.5,1.5,0,0,3,0,1.5
10/8/2019,24W,TGM,Upland,2,2,15,7,1,bogr,5,2,pasm,6,1.5,0,0,1,2,1.5
10/8/2019,24W,TGM,Upland,2,2,18,29,3,bogr,5,2,pasm,17,2.5,0,0,3,2,2.5
10/8/2019,24W,TGM,Upland,2,2,21,22,1,bogr,4,3,pasm,13,2,0,0,1,3,2
10/8/2019,24W,TGM,Upland,2,2,24,7,2,crmi,6,1,bogr,6.5,1.5,0,0,2,1,1.5
10/8/2019,24W,TGM,Upland,2,3,3,4,3,arfr,2,0,bogr,3,1.5,1,0,,0,0
