Date,Pasture,Plot,Transect , Distance,East-High,East-High-Spp,East-Low,East-Low-Spp,West-High,West-High-Sp,West-Low,West-Low-Spp,MeanHigh,MeanLow
6/16/2021,20SE,4,1,18,45,heco,3,chle,26,pasm,2,pasm,35.5,2.5
6/16/2021,20SE,4,1,21,26,heco,0,disp,20,disp,5,lare,23,2.5
6/16/2021,20SE,4,1,24,15,pasm,3,pasm,34,spai,3,spai,24.5,3
6/16/2021,20SE,4,2,3,36,pasm,6,spai,18,pasm,1,pasm,27,3.5
6/16/2021,20SE,4,2,6,34,pasm,2,pasm,21,heco,3,spai,27.5,2.5
6/16/2021,20SE,4,2,9,21,pasm,2,spai,16,spai,3,spai,18.5,2.5
6/16/2021,20SE,4,2,12,20,pasm,6,pasm,14,heco,1,heco,17,3.5
6/16/2021,20SE,4,2,15,25,spai,2,spai,22,spai,8,spai,23.5,5
6/16/2021,20SE,4,2,18,17,eref,2,pasm,26,spai,7,spai,21.5,4.5
6/16/2021,20SE,4,2,21,23,pasm,1,pasm,27,heco,1,pasm,25,1
6/16/2021,20SE,4,2,24,26,heco,3,disp,42,heco,3,pasm,34,3
6/16/2021,20SE,4,3,3,28,brte,1,brte,29,spai,9,spai,28.5,5
6/16/2021,20SE,4,3,6,20,spai,6,spai,28,spai,8,spai,24,7
6/16/2021,20SE,4,3,9,21,spai,4,spai,21,spai,7,spai,21,5.5
6/16/2021,20SE,4,3,12,21,spai,5,spai,32,spai,8,spai,26.5,6.5
6/16/2021,20SE,4,3,15,24,spai,2,spai,26,spai,7,spai,25,4.5
6/16/2021,20SE,4,3,18,18,brte,4,depi,22,brte,2,brte,20,3
6/16/2021,20SE,4,3,21,16,chle,1,piop,21,spai,2,spai,18.5,1.5
6/16/2021,20SE,4,3,24,8,spai,2,pool,20,pasm,1,pasm,14,1.5
6/16/2021,20SE,4,4,3,12,spai,3,spai,14,spai,3,spai,13,3
6/16/2021,20SE,4,4,6,15,chle,4,spai,16,spai,0,spai,15.5,2
6/16/2021,20SE,4,4,9,27,chle,2,chle,16,spai,4,spai,21.5,3
6/16/2021,20SE,4,4,12,15,heco,1,heco,18,spai,3,spai,16.5,2
6/16/2021,20SE,4,4,15,12,spai,1,spai,14,spai,2,spai,13,1.5
6/16/2021,20SE,4,4,18,10,spai,1,spai,10,disp,0,disp,10,0.5
6/16/2021,20SE,4,4,21,42,heco,2,pasm,30,heco,1,disp,36,1.5
6/16/2021,20SE,4,4,24,38,heco,1,disp,30,pasm,2,chle,34,1.5
6/16/2021,20SE,5,1,3,19,thme,2,crmi,18,spai,1,spai,18.5,1.5
6/16/2021,20SE,5,1,6,12,lare,3,crmi,41,heco,3,crmi,26.5,3
6/16/2021,20SE,5,1,9,16,lare,2,lare,13,heco,1,lare,14.5,1.5
6/16/2021,20SE,5,1,12,18,pasm,1,lyju,10,lare,2,lare,14,1.5
6/16/2021,20SE,5,1,15,6,spai,0,spai,18,spai,1,spai,12,0.5
6/16/2021,20SE,5,1,18,30,spai,9,spai,32,spai,3,spai,31,6
6/16/2021,20SE,5,1,21,32,spai,3,spai,31,pasm,8,pasm,31.5,5.5
6/16/2021,20SE,5,1,24,28,spai,8,spai,26,spai,4,spai,27,6
6/16/2021,20SE,5,2,3,16,spai,1,spai,18,spai,2,spai,17,1.5
6/16/2021,20SE,5,2,6,12,spai,1,spai,22,pasm,3,pasm,17,2
6/16/2021,20SE,5,2,9,16,spai,2,chle,18,heco,1,heco,17,1.5
6/16/2021,20SE,5,2,12,32,spai,3,spai,56,pasm,1,heco,44,2
6/16/2021,20SE,5,2,15,29,heco,2,heco,21,spai,4,spai,25,3
6/16/2021,20SE,5,2,18,24,heco,3,spai,49,heco,1,heco,36.5,2
6/16/2021,20SE,5,2,21,14,disp,2,disp,11,spai,1,spai,12.5,1.5
6/16/2021,20SE,5,2,24,22,pasm,3,pasm,18,pasm,1,pasm,20,2
6/16/2021,20SE,5,3,3,12,spai,0,spai,9,spai,0,spai,10.5,0
6/16/2021,20SE,5,3,6,11,spai,0,spai,11,spai,1,spai,11,0.5
6/16/2021,20SE,5,3,9,13,disp,0,disp,12,spai,3,spai,12.5,1.5
6/16/2021,20SE,5,3,12,19,chle,1,chle,8,chle,4,spai,13.5,2.5
6/16/2021,20SE,5,3,15,22,pasm,4,lare,13,chle,3,chle,17.5,3.5
6/16/2021,20SE,5,3,18,18,spai,4,spai,19,spai,3,crmi,18.5,3.5
6/16/2021,20SE,5,3,21,16,spai,3,chle,21,chle,1,cadu,18.5,2
6/16/2021,20SE,5,3,24,29,spai,1,spai,34,spai,2,spai,31.5,1.5
6/16/2021,20SE,5,4,3,28,pasm,3,spai,29,spai,1,spai,28.5,2
6/16/2021,20SE,5,4,6,26,pasm,1,pasm,30,pasm,2,pasm,28,1.5
6/16/2021,20SE,5,4,9,32,spai,7,spai,28,pasm,3,pasm,30,5
6/16/2021,20SE,5,4,12,18,pasm,4,spai,18,disp,3,spai,18,3.5
6/16/2021,20SE,5,4,15,20,spai,1,spai,18,spai,3,spai,19,2
6/16/2021,20SE,5,4,18,18,spai,1,spai,24,pasm,5,pasm,21,3
6/16/2021,20SE,5,4,21,16,vuoc,1,pasm,20,pasm,4,pasm,18,2.5
6/16/2021,20SE,5,4,24,24,pasm,2,pasm,28,spai,5,spai,26,3.5
6/16/2021,20SE,6,1,3,8,bogr,1,bogr,7,oppo,1,oppo,7.5,1
6/16/2021,20SE,6,1,6,7,eref,1,bogr,6,bogr,1,bogr,6.5,1
6/16/2021,20SE,6,1,9,7,cadu,1,bogr,12,pasm,3,bogr,9.5,2
6/16/2021,20SE,6,1,12,10,vuoc,1,bogr,20,pasm,1,pasm,15,1
6/16/2021,20SE,6,1,15,19,pasm,2,pasm,20,pasm,3,eref,19.5,2.5
6/16/2021,20SE,6,1,18,24,pasm,3,eref,18,pasm,2,bogr,21,2.5
6/16/2021,20SE,6,1,21,23,pasm,1,pasm,22,pasm,4,pasm,22.5,2.5
6/16/2021,20SE,6,1,24,21,chle,1,sonu,22,pasm,1,bogr,21.5,1
6/16/2021,20SE,6,2,3,10,vuoc,1,vuoc,10,bogr,2,bogr,10,1.5
6/16/2021,20SE,6,2,6,11,bogr,3,bogr,4,bogr,1,bogr,7.5,2
6/16/2021,20SE,6,2,9,8,bogr,1,bogr,8,bogr,1,bogr,8,1
6/16/2021,20SE,6,2,12,9,bogr,1,bogr,8,crmi,1,crmi,8.5,1
6/16/2021,20SE,6,2,15,21,heco,4,vuoc,22,heco,1,heco,21.5,2.5
6/16/2021,20SE,6,2,18,32,heco,2,oppo,38,heco,4,crmi,35,3
6/16/2021,20SE,6,2,21,16,pasm,5,crmi,48,heco,9,eref,32,7
6/16/2021,20SE,6,2,24,20,eref,7,eref,20,eref,2,bogr,20,4.5
6/16/2021,20SE,6,3,3,11,eref,3,eref,8,bogr,1,bogr,9.5,2
6/16/2021,20SE,6,3,6,11,bogr,1,bogr,6,bogr,1,bogr,8.5,1
6/16/2021,20SE,6,3,9,9,bogr,1,bogr,10,bogr,1,bogr,9.5,1
6/16/2021,20SE,6,3,12,23,pasm,5,pasm,12,bogr,3,bogr,17.5,4
6/16/2021,20SE,6,3,15,6,pasm,2,bogr,20,eref,5,eref,13,3.5
6/16/2021,20SE,6,3,18,14,bogr,1,oppo,23,pasm,4,oppo,18.5,2.5
6/16/2021,20SE,6,3,21,21,pasm,3,pasm,23,pasm,1,pasm,22,2
6/16/2021,20SE,6,3,24,8,bogr,2,bogr,9,bogr,1,bogr,8.5,1.5
6/16/2021,20SE,6,4,3,21,elel,4,oppo,14,vuoc,2,crmi,17.5,3
6/16/2021,20SE,6,4,6,13,bogr,5,bogr,12,bogr,3,bogr,12.5,4
6/16/2021,20SE,6,4,9,11,bogr,3,bogr,18,vuoc,2,chle,14.5,2.5
6/16/2021,20SE,6,4,12,5,spcr,2,spco,6,bogr,1,bogr,5.5,1.5
6/16/2021,20SE,6,4,15,10,vuoc,1,vuoc,4,spco,1,spco,7,1
6/16/2021,20SE,6,4,18,17,pasm,4,pasm,12,vuoc,2,oppo,14.5,3
6/16/2021,20SE,6,4,21,7,bogr,1,bogr,12,bogr,2,bogr,9.5,1.5
6/16/2021,20SE,6,4,24,11,pasm,1,bogr,11,bogr,1,bogr,11,1
6/23/2021,26W,1,1,3,30,vuoc,3,vuoc,17,vuoc,6,vuoc,23.5,4.5
6/23/2021,26W,1,1,6,9,plpa,1,bogr,12,vuoc,2,vuoc,10.5,1.5
6/23/2021,26W,1,1,9,12,vuoc,2,vuoc,10,vuoc,2,vuoc,11,2
6/23/2021,26W,1,1,12,20,vuoc,2,vuoc,16,vuoc,3,vuoc,18,2.5
6/23/2021,26W,1,1,15,34,sial,5,vuoc,54,sial,3,vuoc,44,4
6/23/2021,26W,1,1,18,36,sial,3,vuoc,15,vuoc,3,vuoc,25.5,3
6/23/2021,26W,1,1,21,15,vuoc,3,vuoc,18,vuoc,5,vuoc,16.5,4
6/23/2021,26W,1,1,24,18,vuoc,1,vuoc,16,vuoc,4,vuoc,17,2.5
6/23/2021,26W,1,2,3,39,pasm,1,crmi,10,vuoc,1,bogr,24.5,1
6/23/2021,26W,1,2,6,6,vuoc,3,bogr,16,pasm,1,pasm,11,2
6/23/2021,26W,1,2,9,9,vuoc,5,spco,14,spcr,5,crmi,11.5,5
6/23/2021,26W,1,2,12,7,vuoc,1,bogr,14,bogr,2,bogr,10.5,1.5
6/23/2021,26W,1,2,15,16,pasm,1,pasm,21,pasm,1,pasm,18.5,1
6/23/2021,26W,1,2,18,25,pasm,5,pasm,24,pasm,2,vuoc,24.5,3.5
6/23/2021,26W,1,2,21,30,pasm,1,pasm,22,pasm,3,pasm,26,2
6/23/2021,26W,1,2,24,53,pasm,4,oppo,29,bogr,5,oppo,41,4.5
6/23/2021,26W,1,3,3,15,pasm,1,bogr,8,buda,3,buda,11.5,2
6/23/2021,26W,1,3,6,8,bogr,2,bogr,13,bogr,3,bogr,10.5,2.5
6/23/2021,26W,1,3,9,9,oppo,7,oppo,10,bogr,7,oppo,9.5,7
6/23/2021,26W,1,3,12,15,bogr,5,elel,11,cadu,4,spco,13,4.5
6/23/2021,26W,1,3,15,17,thfi,3,spco,16,pasm,2,buda,16.5,2.5
6/23/2021,26W,1,3,18,29,pasm,1,pasm,6,cadu,0,bare,17.5,0.5
6/23/2021,26W,1,3,21,20,pasm,2,vuoc,12,vuoc,3,cadu,16,2.5
6/23/2021,26W,1,3,24,18,pasm,6,thfi,14,thfi,3,vuoc,16,4.5
6/23/2021,26W,1,4,3,12,vuoc,3,vuoc,7,bogr,1,bogr,9.5,2
6/23/2021,26W,1,4,6,8,lemo,3,lemo,11,thfi,4,oppo,9.5,3.5
6/23/2021,26W,1,4,9,7,vuoc,3,buda,13,vuoc,2,bogr,10,2.5
6/23/2021,26W,1,4,12,11,vuoc,2,bogr,13,vuoc,2,bogr,12,2
6/23/2021,26W,1,4,15,18,vuoc,2,vuoc,12,cadu,2,vuoc,15,2
6/23/2021,26W,1,4,18,12,cadu,1,bogr,11,vuoc,1,bogr,11.5,1
6/23/2021,26W,1,4,21,11,vuoc,1,hasp,40,pasm,5,pste,25.5,3
6/23/2021,26W,1,4,24,8,cadu,3,oppo,8,bogr,1,bogr,8,2
6/23/2021,26W,2,1,3,6,buda,1,buda,11,buda,4,vuoc,8.5,2.5
6/23/2021,26W,2,1,6,9,cadu,2,cadu,10,cadu,1,cadu,9.5,1.5
6/23/2021,26W,2,1,9,7,bogr,1,bogr,8,vuoc,1,bogr,7.5,1
6/23/2021,26W,2,1,12,7,bogr,2,vuoc,9,bogr,3,bogr,8,2.5
6/23/2021,26W,2,1,15,12,vuoc,2,bogr,14,vuoc,4,bogr,13,3
6/23/2021,26W,2,1,18,10,vuoc,1,bogr,16,vuoc,3,vuoc,13,2
6/23/2021,26W,2,1,21,17,vuoc,2,vuoc,10,vuoc,5,vuoc,13.5,3.5
6/23/2021,26W,2,1,24,17,vuoc,5,vuoc,37,pasm,9,vuoc,27,7
6/23/2021,26W,2,2,3,14,vuoc,3,bogr,9,vuoc,2,bogr,11.5,2.5
6/23/2021,26W,2,2,6,42,pasm,6,vuoc,21,pasm,6,vuoc,31.5,6
6/23/2021,26W,2,2,9,15,vuoc,2,vuoc,18,vuoc,2,vuoc,16.5,2
6/23/2021,26W,2,2,12,18,lede,2,vuoc,14,vuoc,4,vuoc,16,3
6/23/2021,26W,2,2,15,16,vuoc,1,vuoc,18,vuoc,1,vuoc,17,1
6/23/2021,26W,2,2,18,15,vuoc,2,vuoc,18,vuoc,3,vuoc,16.5,2.5
6/23/2021,26W,2,2,21,17,vuoc,3,vuoc,12,vuoc,2,vuoc,14.5,2.5
6/23/2021,26W,2,2,24,36,pasm,3,vuoc,58,pasm,8,pasm,47,5.5
6/23/2021,26W,2,3,3,30,pasm,1,bogr,22,pasm,1,vuoc,26,1
6/23/2021,26W,2,3,6,11,vuoc,5,crmi,16,vuoc,7,crmi,13.5,6
6/23/2021,26W,2,3,9,13,vuoc,2,vuoc,15,thfi,1,vuoc,14,1.5
6/23/2021,26W,2,3,12,63,pasm,5,pasm,54,pasm,2,vuoc,58.5,3.5
6/23/2021,26W,2,3,15,46,pasm,4,pasm,52,pasm,9,pasm,49,6.5
6/23/2021,26W,2,3,18,50,pasm,1,vuoc,31,heco,7,hasp,40.5,4
6/23/2021,26W,2,3,21,51,pasm,2,pasm,63,pasm,6,pasm,57,4
6/23/2021,26W,2,3,24,25,pasm,1,pasm,58,pasm,3,pasm,41.5,2
6/23/2021,26W,2,4,3,18,eref,1,cadu,12,pasm,1,cadu,15,1
6/23/2021,26W,2,4,6,21,pasm,3,oppo,22,pasm,1,pasm,21.5,2
6/23/2021,26W,2,4,9,14,cadu,3,bogr,5,bogr,1,gusa,9.5,2
6/23/2021,26W,2,4,12,7,gusa,2,gusa,8,cadu,1,bogr,7.5,1.5
6/23/2021,26W,2,4,15,16,pasm,1,buda,20,pasm,1,asox,18,1
6/23/2021,26W,2,4,18,11,bogr,4,bogr,9,pasm,1,bogr,10,2.5
6/23/2021,26W,2,4,21,16,pasm,1,pasm,34,pasm,2,vuoc,25,1.5
6/23/2021,26W,2,4,24,22,pasm,2,pasm,18,vuoc,2,vuoc,20,2
6/23/2021,26W,3,1,3,16,vuoc,3,vuoc,14,vuoc,2,vuoc,15,2.5
6/23/2021,26W,3,1,6,18,vuoc,1,vuoc,19,vuoc,5,vuoc,18.5,3
6/23/2021,26W,3,1,9,21,vuoc,5,vuoc,24,vuoc,1,vuoc,22.5,3
6/23/2021,26W,3,1,12,14,vuoc,9,vuoc,17,vuoc,4,vuoc,15.5,6.5
6/23/2021,26W,3,1,15,14,vuoc,9,vuoc,14,vuoc,3,vuoc,14,6
6/23/2021,26W,3,1,18,25,pasm,5,pasm,35,pasm,6,vuoc,30,5.5
6/23/2021,26W,3,1,21,90,heco,23,heco,54,heco,7,vuoc,72,15
6/23/2021,26W,3,1,24,17,vuoc,1,vuoc,21,vuoc,2,vuoc,19,1.5
6/23/2021,26W,3,2,3,13,vuoc,1,bogr,13,bogr,2,bogr,13,1.5
6/23/2021,26W,3,2,6,18,vuoc,1,vuoc,16,vuoc,1,vuoc,17,1
6/23/2021,26W,3,2,9,12,vuoc,1,bogr,20,vuoc,2,vuoc,16,1.5
6/23/2021,26W,3,2,12,14,vuoc,1,vuoc,11,vuoc,3,vuoc,12.5,2
6/23/2021,26W,3,2,15,16,vuoc,1,vuoc,15,vuoc,4,vuoc,15.5,2.5
6/23/2021,26W,3,2,18,19,vuoc,4,vuoc,16,vuoc,7,vuoc,17.5,5.5
6/23/2021,26W,3,2,21,23,elel,12,elel,24,elel,12,elel,23.5,12
6/23/2021,26W,3,2,24,16,vuoc,2,bogr,16,vuoc,4,vuoc,16,3
6/23/2021,26W,3,3,3,10,vuoc,2,bogr,17,vuoc,5,vuoc,13.5,3.5
6/23/2021,26W,3,3,6,17,vuoc,1,vuoc,21,vuoc,4,vuoc,19,2.5
6/23/2021,26W,3,3,9,14,vuoc,2,bogr,14,vuoc,1,vuoc,14,1.5
6/23/2021,26W,3,3,12,18,vuoc,3,vuoc,14,vuoc,5,vuoc,16,4
6/23/2021,26W,3,3,15,18,vuoc,5,vuoc,18,vuoc,5,vuoc,18,5
6/23/2021,26W,3,3,18,11,bogr,1,bogr,12,vuoc,2,bogr,11.5,1.5
6/23/2021,26W,3,3,21,14,vuoc,1,vuoc,15,vuoc,3,spco,14.5,2
6/23/2021,26W,3,3,24,14,vuoc,1,vuoc,12,vuoc,3,vuoc,13,2
6/23/2021,26W,3,4,3,13,vuoc,3,vuoc,12,vuoc,3,vuoc,12.5,3
6/23/2021,26W,3,4,6,71,heco,7,vuoc,24,vuoc,1,vuoc,47.5,4
6/23/2021,26W,3,4,9,13,vuoc,1,vuoc,15,vuoc,2,vuoc,14,1.5
6/23/2021,26W,3,4,12,20,vuoc,2,vuoc,13,vuoc,1,bogr,16.5,1.5
6/23/2021,26W,3,4,15,23,vuoc,3,vuoc,17,vuoc,3,vuoc,20,3
6/23/2021,26W,3,4,18,19,vuoc,3,vuoc,22,vuoc,4,vuoc,20.5,3.5
6/23/2021,26W,3,4,21,22,vuoc,7,vuoc,16,vuoc,1,vuoc,19,4
6/23/2021,26W,3,4,24,42,heco,3,vuoc,46,heco,2,vuoc,44,2.5
6/22/2021,26W,4,1,3,88,heco,2,heco,72,heco,5,heco,80,3.5
6/22/2021,26W,4,1,6,65,heco,8,vuoc,66,heco,2,heco,65.5,5
6/22/2021,26W,4,1,9,76,heco,4,heco,78,heco,3,heco,77,3.5
6/22/2021,26W,4,1,12,72,heco,7,heco,70,heco,2,heco,71,4.5
6/22/2021,26W,4,1,15,86,heco,5,heco,74,heco,1,heco,80,3
6/22/2021,26W,4,1,18,56,heco,1,vuoc,52,heco,3,vuoc,54,2
6/22/2021,26W,4,1,21,10,bogr,2,bogr,38,heco,3,cadu,24,2.5
6/22/2021,26W,4,1,24,81,heco,4,heco,70,heco,2,vuoc,75.5,3
6/22/2021,26W,4,2,3,45,heco,3,vuoc,22,heco,6,vuoc,33.5,4.5
6/22/2021,26W,4,2,6,46,heco,1,vuoc,24,eref,6,eref,35,3.5
6/22/2021,26W,4,2,9,26,elel,5,elel,15,vuoc,5,brte,20.5,5
6/22/2021,26W,4,2,12,56,heco,11,brte,66,heco,24,heco,61,17.5
6/22/2021,26W,4,2,15,65,heco,2,heco,68,heco,6,vuoc,66.5,4
6/22/2021,26W,4,2,18,62,heco,5,elel,14,vuoc,5,vuoc,38,5
6/22/2021,26W,4,2,21,62,heco,14,elel,28,heco,3,vuoc,45,8.5
6/22/2021,26W,4,2,24,52,heco,11,vuoc,63,heco,5,vuoc,57.5,8
6/22/2021,26W,4,3,3,19,vuoc,7,oppo,21,vuoc,3,vuoc,20,5
