Year,Pasture,General Ecosite,Plot,Transect , Distance,East-High,East-Low,East-Spp,West-High,West-Low,West-Spp,Average High,Average Low,Notes
2015,29-30,Plains,2,1,6,11,3,MATA,9,6,MATA,10,4.5,
2015,29-30,Plains,2,1,9,2,1,BOGR,3,1,BOGR,2.5,1,
2015,29-30,Plains,2,1,12,6,1,BOGR,7,4,MATA,6.5,2.5,
2015,29-30,Plains,2,1,15,7,3,MATA,4,2,MATA,5.5,2.5,
2015,29-30,Plains,2,1,18,11,7,MATA,7,5,MATA,9,6,
2015,29-30,Plains,2,1,21,3,1,PLPA,5,2,BOGR,4,1.5,
2015,29-30,Plains,2,1,24,4,1,BOGR,3,1,BOGR,3.5,1,
2015,29-30,Plains,2,2,3,5,1,BOGR,10,4,LARE,7.5,2.5,
2015,29-30,Plains,2,2,6,4,3,MATA,9,5,MATA,6.5,4,
2015,29-30,Plains,2,2,9,4,1,BOGR,10,5,LARE,7,3,
2015,29-30,Plains,2,2,12,7,5,MATA,2,1,CRMI,4.5,3,
2015,29-30,Plains,2,2,15,6,1,BOGR,3,1,MATA,4.5,1,
2015,29-30,Plains,2,2,18,10,5,LARE,3,2,MATA,6.5,3.5,
2015,29-30,Plains,2,2,21,8,5,MATA,5,4,MATA,6.5,4.5,
2015,29-30,Plains,2,2,24,3,1,MATA,8,3,BOGR,5.5,2,
2015,29-30,Plains,2,3,3,16,4,MATA,9,1,MATA,12.5,2.5,
2015,29-30,Plains,2,3,6,22,3,OPPO,18,7,OPPO,20,5,
2015,29-30,Plains,2,3,9,14,9,MATA,11,9,MATA,12.5,9,
2015,29-30,Plains,2,3,12,9,5,MATA,11,8,MATA,10,6.5,
2015,29-30,Plains,2,3,15,4,2,MATA,4,1,MATA,4,1.5,
2015,29-30,Plains,2,3,18,9,3,MATA,9,4,MATA,9,3.5,
2015,29-30,Plains,2,3,21,7,2,SPCO,10,4,MATA,8.5,3,
2015,29-30,Plains,2,3,24,12,7,OPPO,9,7,MATA,10.5,7,
2015,29-30,Plains,2,4,3,16,10,MATA,10,6,ATCA,13,8,
2015,29-30,Plains,2,4,6,16,12,MATA,10,4,MATA,13,8,
2015,29-30,Plains,2,4,9,10,5,SPCO,8,4,SPCO,9,4.5,
2015,29-30,Plains,2,4,12,8,4,BOGR,9,7,SPCO,8.5,5.5,
2015,29-30,Plains,2,4,15,14,6,MATA,16,6,MATA,15,6,
2015,29-30,Plains,2,4,18,14,9,MATA,12,6,MATA,13,7.5,
2015,29-30,Plains,2,4,21,16,10,MATA,12,9,MATA,14,9.5,
2015,29-30,Plains,2,4,24,13,9,MATA,10,8,MATA,11.5,8.5,
2015,29-30,Plains,3,1,3,2,1,BOGR,4,1,CRMI,3,1,
2015,29-30,Plains,3,1,6,5,1,SPCO,0,0,BARE,2.5,0.5,
2015,29-30,Plains,3,1,9,2,1,BOGR,2,1,BOGR,2,1,
2015,29-30,Plains,3,1,12,1,1,BOGR,4,2,BOGR,2.5,1.5,
2015,29-30,Plains,3,1,15,2,1,BOGR,4,3,BOGR,3,2,
2015,29-30,Plains,3,1,18,2,1,BOGR,1,0,BARE,1.5,0.5,
2015,29-30,Plains,3,1,21,5,4,OPPO,2,1,BOGR,3.5,2.5,
2015,29-30,Plains,3,1,24,8,3,CRMI,3,1,BOGR,5.5,2,
2015,29-30,Plains,3,2,3,8,3,MATA,9,8,MATA,8.5,5.5,
2015,29-30,Plains,3,2,6,11,6,MATA,10,2,MATA,10.5,4,
2015,29-30,Plains,3,2,9,10,6,MATA,11,6,MATA,10.5,6,
2015,29-30,Plains,3,2,12,10,3,MATA,10,4,MATA,10,3.5,
2015,29-30,Plains,3,2,15,7,4,MATA,11,7,MATA,9,5.5,
2015,29-30,Plains,3,2,18,6,4,MATA,11,9,MATA,8.5,6.5,
2015,29-30,Plains,3,2,21,11,5,MATA,19,9,CIUN,15,7,
2015,29-30,Plains,3,2,24,9,8,MATA,9,7,MATA,9,7.5,
2015,29-30,Plains,3,3,3,4,1,BOGR,2,1,BOGR,3,1,
2015,29-30,Plains,3,3,6,11,5,ATCA,4,2,CRMI,7.5,3.5,
2015,29-30,Plains,3,3,9,8,2,BOGR,2,1,BOGR,5,1.5,
2015,29-30,Plains,3,3,12,5,4,CRMI,4,1,BOGR,4.5,2.5,
2015,29-30,Plains,3,3,15,6,1,BOGR,12,1,CRMI,9,1,
2015,29-30,Plains,3,3,18,10,4,CRMI,6,2,CRMI,8,3,
2015,29-30,Plains,3,3,21,5,1,BOGR,4,1,BOGR,4.5,1,
2015,29-30,Plains,3,3,24,6,1,BOGR,6,2,MATA,6,1.5,
2015,29-30,Plains,3,4,3,9,5,MATA,7,3,BOGR,8,4,
2015,29-30,Plains,3,4,6,5,2,BOGR,8,7,MATA,6.5,4.5,
2015,29-30,Plains,3,4,9,7,6,COUM,6,3,MATA,6.5,4.5,
2015,29-30,Plains,3,4,12,11,9,MATA,16,11,COUM,13.5,10,
2015,29-30,Plains,3,4,15,0,0,BARE,0,0,BARE,0,0,
2015,29-30,Plains,3,4,18,7,3,MATA,12,9,ATCA,9.5,6,
2015,29-30,Plains,3,4,21,12,4,COUM,9,2,COUM,10.5,3,
2015,29-30,Plains,3,4,24,4,2,CRMI,7,3,CRMI,5.5,2.5,
2015,29-30,Plains,4,1,3,9,6,MATA,6,4,MATA,7.5,5,
2015,29-30,Plains,4,1,6,11,4,MATA,8,3,MATA,9.5,3.5,
2015,29-30,Plains,4,1,9,13,9,MATA,13,4,MATA,13,6.5,
2015,29-30,Plains,4,1,12,9,3,MATA,11,6,MATA,10,4.5,
2015,29-30,Plains,4,1,15,14,6,MATA,13,8,MATA,13.5,7,
2015,29-30,Plains,4,1,18,12,6,MATA,12,7,MATA,12,6.5,
2015,29-30,Plains,4,1,21,9,4,MATA,11,4,MATA,10,4,
2015,29-30,Plains,4,1,24,9,1,PASM,7,4,MATA,8,2.5,
2015,29-30,Plains,4,2,3,12,8,MATA,8,6,MATA,10,7,
2015,29-30,Plains,4,2,6,0,0,BARE,0,0,BOGR,0,0,
2015,29-30,Plains,4,2,9,9,5,MATA,14,8,MATA,11.5,6.5,
2015,29-30,Plains,4,2,12,15,4,MATA,11,9,MATA,13,6.5,
2015,29-30,Plains,4,2,15,13,8,MATA,12,7,MATA,12.5,7.5,
2015,29-30,Plains,4,2,18,12,8,MATA,8,6,MATA,10,7,
2015,29-30,Plains,4,2,21,10,4,MATA,12,6,MATA,11,5,
2015,29-30,Plains,4,2,24,16,7,MATA,10,8,MATA,13,7.5,
2015,29-30,Plains,4,3,3,9,7,MATA,8,5,MATA,8.5,6,
2015,29-30,Plains,4,3,6,8,2,BOGR,4,0,BARE,6,1,
2015,29-30,Plains,4,3,9,16,13,MATA,11,2,MATA,13.5,7.5,
2015,29-30,Plains,4,3,12,12,3,MATA,8,3,BOGR,10,3,
2015,29-30,Plains,4,3,15,6,5,MATA,10,2,MATA,8,3.5,
2015,29-30,Plains,4,3,18,5,3,CRMI,0,0,BARE,2.5,1.5,
2015,29-30,Plains,4,3,21,4,2,MATA,2,1,BOGR,3,1.5,
2015,29-30,Plains,4,3,24,5,3,BOGR,5,4,MATA,5,3.5,
2015,29-30,Plains,4,4,3,7,3,MATA,3,1,BOGR,5,2,
2015,29-30,Plains,4,4,6,14,4,ARLO,9,2,BOGR,11.5,3,
2015,29-30,Plains,4,4,9,7,1,BOGR,9,7,MATA,8,4,
2015,29-30,Plains,4,4,12,3,2,MATA,3,2,BOGR,3,2,
2015,29-30,Plains,4,4,15,19,8,MATA,32,9,LARE,25.5,8.5,
2015,29-30,Plains,4,4,18,21,8,PASM,8,4,ARLO,14.5,6,
2015,29-30,Plains,4,4,21,9,3,MATA,5,2,CRMI,7,2.5,
2015,29-30,Plains,4,4,24,9,4,MATA,9,4,CRMI,9,4,
2015,10S,Plains,1,1,3,23,6,THFI,24,10,THFI,23.5,8,
2015,10S,Plains,1,1,6,21,5,THFI,22,6,THFI,21.5,5.5,
2015,10S,Plains,1,1,9,33,18,PSTE,18,8,BOGR,25.5,13,
2015,10S,Plains,1,1,12,24,14,THFI,28,19,THFI,26,16.5,
2015,10S,Plains,1,1,15,32,8,THFI,22,8,THFI,27,8,
2015,10S,Plains,1,1,18,22,10,THFI,24,6,THFI,23,8,
2015,10S,Plains,1,1,21,26,14,THFI,33,12,THFI,29.5,13,
2015,10S,Plains,1,1,24,25,5,THFI,24,6,THFI,24.5,5.5,
2015,10S,Plains,1,2,3,26,6,THFI,24,10,THFI,25,8,
2015,10S,Plains,1,2,6,20,4,THFI,25,6,BOGR,22.5,5,
2015,10S,Plains,1,2,9,20,10,THFI,29,10,THFI,24.5,10,
2015,10S,Plains,1,2,12,24,6,THFI,30,10,THFI,27,8,
2015,10S,Plains,1,2,15,27,13,THFI,25,11,THFI,26,12,
2015,10S,Plains,1,2,18,26,10,THFI,23,6,THFI,24.5,8,
2015,10S,Plains,1,2,21,22,2,THFI,35,6,BOGR,28.5,4,
2015,10S,Plains,1,2,24,22,6,THFI,20,6,THFI,21,6,
2015,10S,Plains,1,3,3,30,16,THFI,21,11,THFI,25.5,13.5,
2015,10S,Plains,1,3,6,23,17,THFI,28,9,THFI,25.5,13,
2015,10S,Plains,1,3,9,28,15,THFI,24,9,THFI,26,12,
2015,10S,Plains,1,3,12,30,11,THFI,21,5,BOGR,25.5,8,
2015,10S,Plains,1,3,15,25,9,THFI,27,10,THFI,26,9.5,
2015,10S,Plains,1,3,18,22,8,THFI,26,9,THFI,24,8.5,
2015,10S,Plains,1,3,21,26,12,THFI,27,12,THFI,26.5,12,
2015,10S,Plains,1,3,24,27,10,THFI,24,4,BOGR,25.5,7,
2015,10S,Plains,1,4,3,20,6,THFI,30,12,PASM,25,9,
2015,10S,Plains,1,4,6,27,5,BOGR,56,14,PASM,41.5,9.5,
2015,10S,Plains,1,4,9,20,4,THFI,21,2,BOGR,20.5,3,
2015,10S,Plains,1,4,12,33,14,THFI,24,10,ARFR,28.5,12,
2015,10S,Plains,1,4,15,44,10,THFI,18,6,BOGR,31,8,
2015,10S,Plains,1,4,18,25,3,PASM,15,3,BOGR,20,3,
2015,10S,Plains,1,4,21,32,13,PASM,24,4,OPPO,28,8.5,
2015,10S,Plains,1,4,24,52,8,PASM,18,4,OPPO,35,6,
2015,10S,Plains,2,1,3,20,8,VUOC,21,8,VUOC,20.5,8,
2015,10S,Plains,2,1,6,21,9,VUOC,23,4,VUOC,22,6.5,
2015,10S,Plains,2,1,9,36,9,VUOC,28,4,VUOC,32,6.5,
2015,10S,Plains,2,1,12,32,6,VUOC,26,2,VUOC,29,4,
2015,10S,Plains,2,1,15,24,11,ARFR,20,7,ARFR,22,9,
2015,10S,Plains,2,1,18,24,3,VUOC,17,5,BOGR,20.5,4,
2015,10S,Plains,2,1,21,14,6,VUOC,31,8,VUOC,22.5,7,
2015,10S,Plains,2,1,24,28,12,VUOC,30,5,VUOC,29,8.5,
2015,10S,Plains,2,2,3,29,12,BOGR,25,10,VUOC,27,11,
2015,10S,Plains,2,2,6,20,9,BOGR,27,11,PASM,23.5,10,
2015,10S,Plains,2,2,9,40,11,VUOC,30,7,BOGR,35,9,
2015,10S,Plains,2,2,12,34,12,VUOC,20,5,BOGR,27,8.5,
2015,10S,Plains,2,2,15,30,10,VUOC,25,7,BOGR,27.5,8.5,
2015,10S,Plains,2,2,18,25,10,PSTE,29,7,BOGR,27,8.5,
2015,10S,Plains,2,2,21,26,8,VUOC,20,11,VUOC,23,9.5,
2015,10S,Plains,2,2,24,21,9,VUOC,22,9,VUOC,21.5,9,
2015,10S,Plains,2,3,3,42,6,BOGR,58,11,PSTE,50,8.5,
2015,10S,Plains,2,3,6,75,26,PASM,64,20,PASM,69.5,23,
2015,10S,Plains,2,3,9,78,10,PASM,46,10,BOGR,62,10,
2015,10S,Plains,2,3,12,64,11,PASM,34,11,PASM,49,11,
2015,10S,Plains,2,3,15,24,11,VUOC,20,9,VUOC,22,10,
2015,10S,Plains,2,3,18,34,14,SIHY,31,0,VUOC,32.5,7,
2015,10S,Plains,2,3,21,30,6,VUOC,28,15,SPCO,29,10.5,
2015,10S,Plains,2,3,24,22,6,VUOC,36,7,SIHY,29,6.5,
2015,10S,Plains,2,4,3,26,4,OPPO,16,7,OPPO,21,5.5,
2015,10S,Plains,2,4,6,21,9,VUOC,26,9,VUOC,23.5,9,
2015,10S,Plains,2,4,9,41,3,THFI,19,3,BOGR,30,3,
2015,10S,Plains,2,4,12,34,3,BOGR,28,4,BOGR,31,3.5,
2015,10S,Plains,2,4,15,31,5,VUOC,34,6,BOGR,32.5,5.5,
2015,10S,Plains,2,4,18,22,9,VUOC,31,5,BOGR,26.5,7,
2015,10S,Plains,2,4,21,26,6,BOGR,26,5,BOGR,26,5.5,
2015,10S,Plains,2,4,24,42,5,VUOC,35,8,THFI,38.5,6.5,
2015,10S,Plains,3,1,3,29,6,PASM,24,4,BOGR,26.5,5,
2015,10S,Plains,3,1,6,28,12,PASM,15,5,SPCO,21.5,8.5,
2015,10S,Plains,3,1,9,45,4,PASM,23,6,ARFR,34,5,
2015,10S,Plains,3,1,12,42,7,PASM,29,9,PASM,35.5,8,
2015,10S,Plains,3,1,15,19,3,BOGR,16,3,PASM,17.5,3,
2015,10S,Plains,3,1,18,14,2,BOGR,19,4,PASM,16.5,3,
2015,10S,Plains,3,1,21,8,3,BUDA,9,2,BOGR,8.5,2.5,
2015,10S,Plains,3,1,24,31,13,PASM,27,6,PASM,29,9.5,
2015,10S,Plains,3,2,3,19,2,BOGR,26,4,PASM,22.5,3,
2015,10S,Plains,3,2,6,11,2,SPCO,20,3,BOGR,15.5,2.5,
2015,10S,Plains,3,2,9,14,2,BOGR,13,3,BOGR,13.5,2.5,
2015,10S,Plains,3,2,12,18,2,BOGR,19,2,BOGR,18.5,2,
2015,10S,Plains,3,2,15,11,2,BOGR,16,4,BOGR,13.5,3,
2015,10S,Plains,3,2,18,27,4,PASM,26,3,BOGR,26.5,3.5,
2015,10S,Plains,3,2,21,12,5,BOGR,16,3,BOGR,14,4,
2015,10S,Plains,3,2,24,18,5,BOGR,12,6,CAEL,15,5.5,
2015,10S,Plains,3,3,3,23,8,PASM,12,7,BOGR,17.5,7.5,
2015,10S,Plains,3,3,6,14,6,BOGR,14,6,BOGR,14,6,
2015,10S,Plains,3,3,9,13,8,BOGR,16,8,BOGR,14.5,8,
2015,10S,Plains,3,3,12,15,7,BOGR,16,6,BOGR,15.5,6.5,
2015,10S,Plains,3,3,15,19,9,BOGR,10,3,BOGR,14.5,6,
2015,10S,Plains,3,3,18,24,10,PASM,27,7,PASM,25.5,8.5,
2015,10S,Plains,3,3,21,26,4,PASM,18,6,PASM,22,5,
2015,10S,Plains,3,3,24,25,8,PASM,32,12,PASM,28.5,10,
2015,10S,Plains,3,4,3,31,6,PASM,19,4,PASM,25,5,
2015,10S,Plains,3,4,6,9,3,BOGR,8,4,BOGR,8.5,3.5,
2015,10S,Plains,3,4,9,15,4,PASM,11,5,CAEL,13,4.5,
2015,10S,Plains,3,4,12,15,6,BOGR,29,7,PASM,22,6.5,
2015,10S,Plains,3,4,15,21,4,BOGR,11,4,CAEL,16,4,
2015,10S,Plains,3,4,18,26,3,SPCO,9,3,BOGR,17.5,3,
2015,10S,Plains,3,4,21,18,1,PASM,44,8,SPCO,31,4.5,
2015,10S,Plains,3,4,24,19,3,BOGR,21,7,PASM,20,5,
2015,10S,Plains,4,1,3,17,4,VUOC,26,6,THFI,21.5,5,
2015,10S,Plains,4,1,6,18,4,THFI,22,6,THFI,20,5,
2015,10S,Plains,4,1,9,24,9,THFI,12,3,THFI,18,6,
2015,10S,Plains,4,1,12,17,11,THFI,18,5,THFI,17.5,8,
2015,10S,Plains,4,1,15,19,2,BOGR,18,6,THFI,18.5,4,
2015,10S,Plains,4,1,18,14,2,BOGR,24,5,THFI,19,3.5,
2015,10S,Plains,4,1,21,21,9,THFI,20,10,VUOC,20.5,9.5,
2015,10S,Plains,4,1,24,22,10,THFI,24,9,THFI,23,9.5,
2015,10S,Plains,4,2,3,22,4,BOGR,17,6,THFI,19.5,5,
2015,10S,Plains,4,2,6,29,18,THFI,24,8,THFI,26.5,13,
2015,10S,Plains,4,2,9,24,4,BOGR,21,3,BOGR,22.5,3.5,
2015,10S,Plains,4,2,12,30,11,THFI,28,3,THFI,29,7,
2015,10S,Plains,4,2,15,22,5,BOGR,22,9,THFI,22,7,
2015,10S,Plains,4,2,18,16,4,THFI,20,3,THFI,18,3.5,
2015,10S,Plains,4,2,21,20,1,VUOC,12,1,BOGR,16,1,
2015,10S,Plains,4,2,24,11,5,BOGR,14,8,VUOC,12.5,6.5,
2015,10S,Plains,4,3,3,25,18,THFI,26,6,BOGR,25.5,12,
2015,10S,Plains,4,3,6,20,4,THFI,24,6,THFI,22,5,
2015,10S,Plains,4,3,9,10,3,BOGR,22,6,THFI,16,4.5,
2015,10S,Plains,4,3,12,20,4,SIHY,12,2,SIHY,16,3,
2015,10S,Plains,4,3,15,14,4,BOGR,12,3,BOGR,13,3.5,
2015,10S,Plains,4,3,18,20,6,SIHY,18,3,VUOC,19,4.5,
2015,10S,Plains,4,3,21,20,4,BOGR,10,7,SPCO,15,5.5,
2015,10S,Plains,4,3,24,9,3,BOGR,17,2,BOGR,13,2.5,
2015,10S,Plains,4,4,3,15,4,BOGR,12,3,BOGR,13.5,3.5,
2015,10S,Plains,4,4,6,20,4,PASM,26,4,BOGR,23,4,
2015,10S,Plains,4,4,9,28,10,PASM,32,12,PASM,30,11,
2015,10S,Plains,4,4,12,19,7,CAEL,14,4,BOGR,16.5,5.5,
2015,10S,Plains,4,4,15,52,11,PASM,12,2,BOGR,32,6.5,
2015,10S,Plains,4,4,18,14,2,BOGR,9,2,BOGR,11.5,2,
2015,10S,Plains,4,4,21,19,1,CAEL,12,2,BOGR,15.5,1.5,
2015,10S,Plains,4,4,24,24,2,PASM,9,2,BOGR,16.5,2,
2015,15E,Plains,1,1,3,8,3,BOGR,9,2,BOGR,8.5,2.5,
2015,15E,Plains,1,1,6,15,2,BOGR,12,2,BOGR,13.5,2,
2015,15E,Plains,1,1,9,6,1,BOGR,14,2,ARFR,10,1.5,
2015,15E,Plains,1,1,12,14,3,VUOC,24,4,VUOC,19,3.5,
2015,15E,Plains,1,1,15,12,2,BOGR,12,3,VUOC,12,2.5,
2015,15E,Plains,1,1,18,10,3,BOGR,147,2,BOGR,78.5,2.5,
2015,15E,Plains,1,1,21,25,3,VUOC,18,2,VUOC,21.5,2.5,
2015,15E,Plains,1,1,24,12,1,VUOC,32,2,VUOC,22,1.5,
2015,15E,Plains,1,2,3,9,1,BOGR,10,1,SPCR,9.5,1,
2015,15E,Plains,1,2,6,8,2,BOGR,10,3,BOGR,9,2.5,
2015,15E,Plains,1,2,9,12,2,BOGR,10,1,BOGR,11,1.5,
2015,15E,Plains,1,2,12,8,1,BOGR,6,1,VUOC,7,1,
2015,15E,Plains,1,2,15,9,2,SPCO,8,2,BOGR,8.5,2,
2015,15E,Plains,1,2,18,15,4,VUOC,27,2,VUOC,21,3,
2015,15E,Plains,1,2,21,12,3,BOGR,17,2,BOGR,14.5,2.5,
2015,15E,Plains,1,2,24,8,2,BOGR,10,3,BOGR,9,2.5,
2015,15E,Plains,1,3,3,25,4,PASM,18,3,ARFR,21.5,3.5,
2015,15E,Plains,1,3,6,8,2,BOGR,23,2,BOGR,15.5,2,
2015,15E,Plains,1,3,9,6,3,BOGR,8,3,BOGR,7,3,
2015,15E,Plains,1,3,12,10,3,BOGR,13,3,BOGR,11.5,3,
2015,15E,Plains,1,3,15,12,3,BOGR,20,1,BOGR,16,2,
2015,15E,Plains,1,3,18,8,2,VUOC,12,2,BOGR,10,2,
2015,15E,Plains,1,3,21,11,4,BOGR,10,5,EREF,10.5,4.5,
2015,15E,Plains,1,3,24,9,2,BOGR,7,1,BOGR,8,1.5,
2015,15E,Plains,1,4,3,8,2,BOGR,5,1,BOGR,6.5,1.5,
2015,15E,Plains,1,4,6,11,3,VUOC,10,3,VUOC,10.5,3,
2015,15E,Plains,1,4,9,10,3,BOGR,10,3,SPCO,10,3,
2015,15E,Plains,1,4,12,6,1,BOGR,7,2,BUDA,6.5,1.5,
2015,15E,Plains,1,4,15,9,5,VUOC,6,3,BOGR,7.5,4,
2015,15E,Plains,1,4,18,15,5,VUOC,14,4,BOGR,14.5,4.5,
2015,15E,Plains,1,4,21,13,4,VUOC,12,3,VUOC,12.5,3.5,
2015,15E,Plains,1,4,24,11,3,VUOC,10,3,BOGR,10.5,3,
2015,15E,Plains,2,1,3,12,3,VUOC,11,1,BOGR,11.5,2,
2015,15E,Plains,2,1,6,10,3,VUOC,22,3,VUOC,16,3,
2015,15E,Plains,2,1,9,8,2,BOGR,6,1,SPCR,7,1.5,
2015,15E,Plains,2,1,12,6,1,BOGR,7,1,BOGR,6.5,1,
2015,15E,Plains,2,1,15,12,1,BOGR,9,2,BOGR,10.5,1.5,
2015,15E,Plains,2,1,18,4,2,EREF,6,1,BOGR,5,1.5,
2015,15E,Plains,2,1,21,10,3,BOGR,6,3,BOGR,8,3,
2015,15E,Plains,2,1,24,8,2,BOGR,8,2,BOGR,8,2,
2015,15E,Plains,2,2,3,18,3,BOGR,10,3,BOGR,14,3,
2015,15E,Plains,2,2,6,10,2,BOGR,12,2,BOGR,11,2,
2015,15E,Plains,2,2,9,4,1,BOGR,14,5,CHNA,9,3,
2015,15E,Plains,2,2,12,9,3,BOGR,7,2,BOGR,8,2.5,
2015,15E,Plains,2,2,15,9,1,BOGR,12,3,BOGR,10.5,2,
2015,15E,Plains,2,2,18,6,2,BOGR,10,2,BOGR,8,2,
2015,15E,Plains,2,2,21,8,2,BOGR,6,1,BOGR,7,1.5,
2015,15E,Plains,2,2,24,10,3,BOGR,8,2,BOGR,9,2.5,
2015,15E,Plains,2,3,3,9,2,BOGR,12,4,BOGR,10.5,3,
2015,15E,Plains,2,3,6,14,5,VUOC,14,5,BOGR,14,5,
2015,15E,Plains,2,3,9,8,2,BOGR,16,3,BOGR,12,2.5,
2015,15E,Plains,2,3,12,14,2,VUOC,14,3,ARLO,14,2.5,
2015,15E,Plains,2,3,15,13,3,BOGR,10,4,VUOC,11.5,3.5,
2015,15E,Plains,2,3,18,7,2,BOGR,8,2,BOGR,7.5,2,
2015,15E,Plains,2,3,21,8,3,BOGR,10,3,BOGR,9,3,
2015,15E,Plains,2,3,24,22,3,PASM,22,3,PASM,22,3,
2015,15E,Plains,2,4,3,11,5,BOGR,9,4,BOGR,10,4.5,
2015,15E,Plains,2,4,6,28,3,PASM,12,6,BOGR,20,4.5,
2015,15E,Plains,2,4,9,9,1,BOGR,18,3,VUOC,13.5,2,
2015,15E,Plains,2,4,12,23,3,PASM,10,4,VUOC,16.5,3.5,
2015,15E,Plains,2,4,15,8,3,BOGR,7,3,VUOC,7.5,3,
2015,15E,Plains,2,4,18,12,3,BOGR,9,3,BOGR,10.5,3,
2015,15E,Plains,2,4,21,10,2,BUDA,9,3,BOGR,9.5,2.5,
2015,15E,Plains,2,4,24,10,2,BOGR,9,1,VUOC,9.5,1.5,
2015,15E,Plains,3,1,3,15,6,BOGR,14,4,BOGR,14.5,5,
2015,15E,Plains,3,1,6,16,5,VUOC,16,5,VUOC,16,5,
2015,15E,Plains,3,1,9,14,5,BOGR,12,4,VUOC,13,4.5,
2015,15E,Plains,3,1,12,18,5,VUOC,22,3,BOGR,20,4,
2015,15E,Plains,3,1,15,16,5,SPCR,14,7,OPPO,15,6,
2015,15E,Plains,3,1,18,12,3,SPCR,19,4,VUOC,15.5,3.5,
2015,15E,Plains,3,1,21,26,4,BOGR,22,4,VUOC,24,4,
2015,15E,Plains,3,1,24,20,5,BOGR,16,4,CAEL,18,4.5,
2015,15E,Plains,3,2,3,28,4,VUOC,25,7,VUOC,26.5,5.5,
2015,15E,Plains,3,2,6,16,2,BOGR,26,8,BOGR,21,5,
2015,15E,Plains,3,2,9,34,7,OPPO,16,6,BOGR,25,6.5,
2015,15E,Plains,3,2,12,42,21,ARLO,24,14,ARFR,33,17.5,
2015,15E,Plains,3,2,15,14,2,VUOC,22,4,VUOC,18,3,
2015,15E,Plains,3,2,18,18,6,VUOC,14,2,BOGR,16,4,
2015,15E,Plains,3,2,21,12,3,BOGR,16,4,BOGR,14,3.5,
2015,15E,Plains,3,2,24,16,3,VUOC,14,3,ARLO,15,3,
2015,15E,Plains,3,3,3,34,8,PASM,22,9,VUOC,28,8.5,
2015,15E,Plains,3,3,6,22,5,BOGR,16,5,BOGR,19,5,
2015,15E,Plains,3,3,9,14,2,VUOC,9,1,BOGR,11.5,1.5,
2015,15E,Plains,3,3,12,13,5,BOGR,16,6,BOGR,14.5,5.5,
2015,15E,Plains,3,3,15,20,9,VUOC,11,5,VUOC,15.5,7,
2015,15E,Plains,3,3,18,14,5,VUOC,16,6,VUOC,15,5.5,
2015,15E,Plains,3,3,21,10,2,OPPO,28,8,VUOC,19,5,
