Date,Treatment,Pasture,Plot,Ecosite,Transect,Distance,High1,Low1,Spp1,High 2,Low2,Spp2,MeanHigh,MeanLow,Screen1,Screen2,Low1,Low2,MeanLOW
23-Oct,TGM,20SE,1,Upland,1,20,26,4,STCO,20,2,STCO,23,3,0,0,4,2,3
23-Oct,TGM,20SE,1,Upland,4,10,20,9,STCO,20,2,STCO,20,5.5,0,0,9,2,5.5
23-Oct,TGM,20SE,1,Upland,4,20,11,2,STCO,16,4,STCO,13.5,3,0,0,2,4,3
23-Oct,TGM,20SE,2,Upland,1,10,23,4,STCO,17,4,STCO,20,4,0,0,4,4,4
23-Oct,TGM,20SE,2,Upland,1,20,26,9,STCO,22,2,STCO,24,5.5,0,0,9,2,5.5
23-Oct,TGM,20SE,2,Upland,4,10,31,8,STCO,29,4,STCO,30,6,0,0,8,4,6
23-Oct,TGM,20SE,2,Upland,4,20,16,5,STCO,22,3,STCO,19,4,0,0,5,3,4
23-Oct,TGM,20SE,3,Upland,1,10,22,6,STCO,22,8,STCO,22,7,0,0,6,8,7
23-Oct,TGM,20SE,3,Upland,1,20,19,6,STCO,13,3,STCO,16,4.5,0,0,6,3,4.5
23-Oct,TGM,20SE,3,Upland,4,10,16,5,BOGR,21,4,BOGR,18.5,4.5,0,0,5,4,4.5
23-Oct,TGM,20SE,3,Upland,4,20,11,2,SPAI,12,3,BOGR,11.5,2.5,0,0,2,3,2.5
23-Oct,TGM,20SE,4,Salt Flat,1,10,33,7,BOGR,24,6,SPAI,28.5,6.5,0,0,7,6,6.5
23-Oct,TGM,20SE,4,Salt Flat,1,20,28,7,BOGR,40,3,SPAI,34,5,0,0,7,3,5
23-Oct,TGM,20SE,4,Salt Flat,4,10,24,6,BOGR,20,3,DISP,22,4.5,0,0,6,3,4.5
23-Oct,TGM,20SE,4,Salt Flat,4,20,19,8,DISP,30,2,DISP,24.5,5,0,0,8,2,5
23-Oct,TGM,20SE,5,Salt Flat,1,10,19,8,DISP,21,6,DISP,20,7,0,0,8,6,7
23-Oct,TGM,20SE,5,Salt Flat,1,20,11,4,SPAI,14,8,DISP,12.5,6,0,0,4,8,6
23-Oct,TGM,20SE,5,Salt Flat,4,10,29,9,SPAI,31,6,SPAI,30,7.5,0,0,9,6,7.5
23-Oct,TGM,20SE,5,Salt Flat,4,20,31,5,DISP,29,3,SPAI,30,4,0,0,5,3,4
23-Oct,TGM,20SE,6,Upland,1,10,16,1,BOGR,14,3,BOGR,15,2,0,0,1,3,2
23-Oct,TGM,20SE,6,Upland,1,20,41,7,BOGR,38,4,BOGR,39.5,5.5,0,0,7,4,5.5
23-Oct,TGM,20SE,6,Upland,4,10,24,5,BOGR,24,5,BOGR,24,5,0,0,5,5,5
23-Oct,TGM,20SE,6,Upland,4,20,18,3,BOGR,26,1,BOGR,22,2,0,0,3,1,2
22-Oct,AGM,20NW,1,Upland,1,10,11,1,STCO,3,1,BOGR,7,1,0,0,1,1,1
22-Oct,AGM,20NW,1,Upland,1,20,14,7,STCO,13,2,STCO,13.5,4.5,0,0,7,2,4.5
22-Oct,AGM,20NW,1,Upland,4,10,10,4,STCO,13,2,STCO,11.5,3,0,0,4,2,3
22-Oct,AGM,20NW,1,Upland,4,20,10,1,BOGR,15,2,STCO,12.5,1.5,0,0,1,2,1.5
22-Oct,AGM,20NW,2,Upland,1,10,13,1,BOGR,5,1,BOGR,9,1,0,0,1,1,1
22-Oct,AGM,20NW,2,Upland,1,20,7,2,PASM,18,1,STCO,12.5,1.5,0,0,2,1,1.5
22-Oct,AGM,20NW,2,Upland,4,10,13,2,BOGR,8,2,BOGR,10.5,2,0,0,2,2,2
22-Oct,AGM,20NW,2,Upland,4,20,13,1,STCO,28,5,STCO,20.5,3,0,0,1,5,3
22-Oct,AGM,20NW,3,Upland,1,10,21,2,BOGR,13,2,BOGR,17,2,0,0,2,2,2
22-Oct,AGM,20NW,3,Upland,1,20,31,1,STCO,32,3,STCO,31.5,2,0,0,1,3,2
22-Oct,AGM,20NW,3,Upland,4,10,19,4,STCO,24,3,STCO,21.5,3.5,0,0,4,3,3.5
22-Oct,AGM,20NW,3,Upland,4,20,19,4,STCO,18,5,STCO,18.5,4.5,0,0,4,5,4.5
22-Oct,AGM,20NW,4,Upland,1,10,18,4,STCO,19,8,STCO,18.5,6,0,0,4,8,6
22-Oct,AGM,20NW,4,Upland,1,20,20,1,BOGR,12,3,BOGR,16,2,0,0,1,3,2
22-Oct,AGM,20NW,4,Upland,4,10,12,2,STCO,19,4,CRMI,15.5,3,0,0,2,4,3
22-Oct,AGM,20NW,4,Upland,4,20,20,4,STCO,39,5,STCO,29.5,4.5,0,0,4,5,4.5
22-Oct,AGM,20NW,5,Salt Flat,1,10,6,2,DISP,11,3,DISP,8.5,2.5,0,0,2,3,2.5
22-Oct,AGM,20NW,5,Salt Flat,1,20,27,6,DISP,34,10,DISP,30.5,8,0,0,6,10,8
22-Oct,AGM,20NW,5,Salt Flat,4,10,25,4,BOGR,24,8,BOGR,24.5,6,0,0,4,8,6
22-Oct,AGM,20NW,5,Salt Flat,4,20,28,3,BOGR,32,6,BOGR,30,4.5,0,0,3,6,4.5
22-Oct,AGM,20NW,6,Salt Flat,1,10,23,9,SPAI,20,7,BOGR,21.5,8,0,0,9,7,8
22-Oct,AGM,20NW,6,Salt Flat,1,20,18,8,DISP,18,7,BOGR,18,7.5,0,0,8,7,7.5
22-Oct,AGM,20NW,6,Salt Flat,4,10,17,4,DISP,23,10,BOGR,20,7,0,0,4,10,7
22-Oct,AGM,20NW,6,Salt Flat,4,20,11,0,Bare,0,0,Bare,5.5,0,0,0,0,0,0
22-Oct,AGM,8E,1,Upland,1,10,3,1,BOGR,3,1,BOGR,3,1,0,0,1,1,1
22-Oct,AGM,8E,1,Upland,1,20,9,1,BOGR,7,2,BOGR,8,1.5,0,0,1,2,1.5
22-Oct,AGM,8E,1,Upland,4,10,24,1,BOGR,23,5,EVNU,23.5,3,0,0,1,5,3
22-Oct,AGM,8E,1,Upland,4,20,21,2,BOGR,24,2,BOGR,22.5,2,0,0,2,2,2
22-Oct,AGM,8E,2,Upland,1,10,3,1,BOGR,2,1,BOGR,2.5,1,0,0,1,1,1
22-Oct,AGM,8E,2,Upland,1,20,26,1,BOGR,27,4,BOGR,26.5,2.5,0,0,1,4,2.5
22-Oct,AGM,8E,2,Upland,4,10,9,2,BOGR,5,2,BOGR,7,2,0,0,2,2,2
22-Oct,AGM,8E,2,Upland,4,20,9,1,BOGR,19,1,BOGR,14,1,0,0,1,1,1
22-Oct,AGM,8E,3,Upland,1,10,3,0,BOGR,6,1,BOGR,4.5,0.5,0,0,0,1,0.5
22-Oct,AGM,8E,3,Upland,1,20,9,2,BOGR,11,1,BOGR,10,1.5,0,0,2,1,1.5
22-Oct,AGM,8E,3,Upland,4,10,12,3,BOGR,18,3,BOGR,15,3,0,0,3,3,3
22-Oct,AGM,8E,3,Upland,4,20,22,2,BOGR,18,2,BOGR,20,2,0,0,2,2,2
22-Oct,AGM,8E,4,Upland,1,10,14,1,BOGR,25,2,BOGR,19.5,1.5,0,0,1,2,1.5
22-Oct,AGM,8E,4,Upland,1,20,20,2,BOGR,24,2,BOGR,22,2,0,0,2,2,2
22-Oct,AGM,8E,4,Upland,4,10,9,2,BOGR,13,3,BOGR,11,2.5,0,0,2,3,2.5
22-Oct,AGM,8E,4,Upland,4,20,17,3,BOGR,20,2,BOGR,18.5,2.5,0,0,3,2,2.5
22-Oct,TGM,5E,1,Upland,1,10,26,3,BOGR,29,4,BOGR,27.5,3.5,0,0,3,4,3.5
22-Oct,TGM,5E,1,Upland,1,20,22,4,BOGR,18,3,BOGR,20,3.5,0,0,4,3,3.5
22-Oct,TGM,5E,1,Upland,4,10,24,5,PASM,28,4,PASM,26,4.5,0,0,5,4,4.5
22-Oct,TGM,5E,1,Upland,4,20,29,5,PASM,27,3,PASM,28,4,0,0,5,3,4
22-Oct,TGM,5E,2,Upland,1,10,17,3,BOGR,16,3,BOGR,16.5,3,0,0,3,3,3
22-Oct,TGM,5E,2,Upland,1,20,16,2,STCO,19,3,BOGR,17.5,2.5,0,0,2,3,2.5
22-Oct,TGM,5E,2,Upland,4,10,20,2,OPPO,25,6,BOGR,22.5,4,1,0,,6,6
22-Oct,TGM,5E,2,Upland,4,20,34,4,PASM,30,7,BOGR,32,5.5,0,0,4,7,5.5
22-Oct,TGM,5E,3,Upland,1,10,11,2,BOGR,10,3,BOGR,10.5,2.5,0,0,2,3,2.5
22-Oct,TGM,5E,3,Upland,1,20,28,3,BOGR,32,3,BOGR,30,3,0,0,3,3,3
22-Oct,TGM,5E,3,Upland,4,10,38,1,BOGR,24,3,BOGR,31,2,0,0,1,3,2
22-Oct,TGM,5E,3,Upland,4,20,32,3,BOGR,30,5,BOGR,31,4,0,0,3,5,4
22-Oct,TGM,5E,4,Upland,1,10,19,3,BOGR,24,3,BOGR,21.5,3,0,0,3,3,3
22-Oct,TGM,5E,4,Upland,1,20,17,2,BOGR,24,2,BOGR,20.5,2,0,0,2,2,2
22-Oct,TGM,5E,4,Upland,4,10,4,1,BOGR,11,2,BOGR,7.5,1.5,0,0,1,2,1.5
22-Oct,TGM,5E,4,Upland,4,20,6,1,BOGR,14,5,BOGR,10,3,0,0,1,5,3
24-Oct,PDOG,CN,1,Upland,1,10,7,2,PASM,4,2,PASM,5.5,2,0,0,2,2,2
24-Oct,PDOG,CN,1,Upland,1,20,4,1,PASM,3,1,BOGR,3.5,1,0,0,1,1,1
24-Oct,PDOG,CN,1,Upland,4,10,2,1,BOGR,1,1,BOGR,1.5,1,0,0,1,1,1
24-Oct,PDOG,CN,1,Upland,4,20,1,1,DCR,0,0,Bare,0.5,0.5,0,0,1,0,0.5
24-Oct,PDOG,CN,2,Upland,1,10,5,1,PASM,6,1,PASM,5.5,1,0,0,1,1,1
24-Oct,PDOG,CN,2,Upland,1,20,2,1,PASM,4,2,PASM,3,1.5,0,0,1,2,1.5
24-Oct,PDOG,CN,2,Upland,4,10,3,1,BOGR,4,1,OPPO,3.5,1,0,1,1,,1
24-Oct,PDOG,CN,2,Upland,4,20,3,1,BUDA,2,1,BUDA,2.5,1,0,0,1,1,1
24-Oct,PDOG,CN,3,Upland,1,10,2,1,BOGR,5,1,BOGR,3.5,1,0,0,1,1,1
24-Oct,PDOG,CN,3,Upland,1,20,2,1,BOGR,2,1,BOGR,2,1,0,0,1,1,1
24-Oct,PDOG,CN,3,Upland,4,10,5,2,OPPO,4,1,BOGR,4.5,1.5,1,0,,1,1
24-Oct,PDOG,CN,3,Upland,4,20,6,1,PASM,2,1,PASM,4,1,0,0,1,1,1
24-Oct,PDOG,CN,4,Upland,1,10,2,1,BUDA,2,1,BUDA,2,1,0,0,1,1,1
24-Oct,PDOG,CN,4,Upland,1,20,1,1,BUDA,1,1,BUDA,1,1,0,0,1,1,1
24-Oct,PDOG,CN,4,Upland,4,10,2,1,BUDA,1,1,PASM,1.5,1,0,0,1,1,1
24-Oct,PDOG,CN,4,Upland,4,20,3,2,OPPO,1,1,BUDA,2,1.5,1,0,,1,1
