date,Pasture,Biomass_kg_ha,Year,Source
2000-06-18,10S,827.67993,2000,LMF
2000-06-19,10S,830.6218,2000,LMF
2000-06-20,10S,835.8122,2000,LMF
2000-06-21,10S,843.2662,2000,LMF
2000-06-22,10S,852.566,2000,LMF
2000-06-23,10S,863.1014,2000,LMF
2000-06-24,10S,874.39166,2000,LMF
2000-06-25,10S,886.30035,2000,LMF
2000-06-26,10S,898.9101,2000,LMF
2000-06-27,10S,911.15656,2000,LMF
2000-06-28,10S,922.2818,2000,LMF
2000-06-29,10S,931.8221,2000,LMF
2000-06-30,10S,938.84955,2000,LMF
2000-07-01,10S,942.8055,2000,LMF
2000-07-02,10S,944.37317,2000,LMF
2000-07-03,10S,943.95807,2000,LMF
2000-07-04,10S,942.08453,2000,LMF
2000-07-05,10S,938.2266,2000,LMF
2000-07-06,10S,932.34393,2000,LMF
2000-07-07,10S,925.8104,2000,LMF
2000-07-08,10S,919.2791,2000,LMF
2000-07-09,10S,912.9233,2000,LMF
2000-07-10,10S,907.19617,2000,LMF
2000-07-11,10S,902.16376,2000,LMF
2000-07-12,10S,898.006,2000,LMF
2000-07-13,10S,895.3369,2000,LMF
2000-07-14,10S,894.3187,2000,LMF
2000-07-15,10S,895.2576,2000,LMF
2000-07-16,10S,897.6679,2000,LMF
2000-07-17,10S,900.85254,2000,LMF
2000-07-18,10S,904.3681,2000,LMF
2000-07-19,10S,908.2658,2000,LMF
2000-07-20,10S,912.599,2000,LMF
2000-07-21,10S,917.6202,2000,LMF
2000-07-22,10S,923.58374,2000,LMF
2000-07-23,10S,930.1945,2000,LMF
2000-07-24,10S,937.666,2000,LMF
2000-07-25,10S,946.3491,2000,LMF
2000-07-26,10S,955.91455,2000,LMF
2000-07-27,10S,966.0629,2000,LMF
2000-07-28,10S,977.16785,2000,LMF
2000-07-29,10S,989.9643,2000,LMF
2000-07-30,10S,1004.2585,2000,LMF
2000-07-31,10S,1020.1395,2000,LMF
2000-08-01,10S,1037.1653,2000,LMF
2000-08-02,10S,1055.523,2000,LMF
2000-08-03,10S,1074.3716,2000,LMF
2000-08-04,10S,1092.9615,2000,LMF
2000-08-05,10S,1110.4211,2000,LMF
2000-08-06,10S,1126.3969,2000,LMF
2000-08-07,10S,1139.9357,2000,LMF
2000-08-08,10S,1151.0562,2000,LMF
2000-08-09,10S,1159.0709,2000,LMF
2000-08-10,10S,1163.2882,2000,LMF
2000-08-11,10S,1163.9485,2000,LMF
2000-08-12,10S,1161.4308,2000,LMF
2000-08-13,10S,1155.7336,2000,LMF
2000-08-14,10S,1147.8916,2000,LMF
2000-08-15,10S,1139.0935,2000,LMF
2000-08-16,10S,1129.2593,2000,LMF
2000-08-17,10S,1118.316,2000,LMF
2000-08-18,10S,1105.3062,2000,LMF
2000-08-19,10S,1090.3585,2000,LMF
2000-08-20,10S,1074.404,2000,LMF
2000-08-21,10S,1057.5802,2000,LMF
2000-08-22,10S,1039.7932,2000,LMF
2000-08-23,10S,1021.66125,2000,LMF
2000-08-24,10S,1003.7654,2000,LMF
2000-08-25,10S,987.1774,2000,LMF
2000-08-26,10S,972.7162,2000,LMF
2000-08-27,10S,960.2093,2000,LMF
2000-08-28,10S,949.8963,2000,LMF
2000-08-29,10S,941.5791,2000,LMF
2000-08-30,10S,935.5721,2000,LMF
2000-08-31,10S,931.91974,2000,LMF
2000-09-01,10S,930.85657,2000,LMF
2000-09-02,10S,932.2271,2000,LMF
2000-09-03,10S,936.4924,2000,LMF
2000-09-04,10S,943.82,2000,LMF
2000-09-05,10S,954.0763,2000,LMF
2000-09-06,10S,967.065,2000,LMF
2000-09-07,10S,982.14417,2000,LMF
2000-09-08,10S,999.3665,2000,LMF
2000-09-09,10S,1019.0871,2000,LMF
2000-09-10,10S,1040.991,2000,LMF
2000-09-11,10S,1064.4778,2000,LMF
2000-09-12,10S,1089.2302,2000,LMF
2000-09-13,10S,1115.2062,2000,LMF
2000-09-14,10S,1141.8995,2000,LMF
2000-09-15,10S,1169.0311,2000,LMF
2000-09-16,10S,1195.079,2000,LMF
2000-09-17,10S,1219.7284,2000,LMF
2000-09-18,10S,1242.9092,2000,LMF
2000-09-19,10S,1263.9655,2000,LMF
2000-09-20,10S,1281.9479,2000,LMF
2000-09-21,10S,1296.5616,2000,LMF
2000-09-22,10S,1307.6084,2000,LMF
2000-09-23,10S,1315.0225,2000,LMF
2000-09-24,10S,1318.9106,2000,LMF
2000-09-25,10S,1319.5602,2000,LMF
2000-09-26,10S,1316.4995,2000,LMF
2000-09-27,10S,1310.0698,2000,LMF
2000-09-28,10S,1301.0675,2000,LMF
2000-09-29,10S,1289.5999,2000,LMF
2000-09-30,10S,1276.0806,2000,LMF
2000-10-01,10S,1260.9606,2000,LMF
2000-10-02,10S,1245.0618,2000,LMF
2000-10-03,10S,1229.5593,2000,LMF
2000-10-04,10S,1214.8007,2000,LMF
2000-10-05,10S,1201.5675,2000,LMF
2000-10-06,10S,1190.2909,2000,LMF
2000-10-07,10S,1181.094,2000,LMF
2000-10-08,10S,1173.7769,2000,LMF
2000-10-09,10S,1168.0308,2000,LMF
2000-10-10,10S,1163.2943,2000,LMF
2000-10-11,10S,1158.6039,2000,LMF
2000-10-12,10S,1154.623,2000,LMF
2000-10-13,10S,1150.8135,2000,LMF
2000-10-14,10S,1146.665,2000,LMF
2000-10-15,10S,1142.2404,2000,LMF
2000-10-16,10S,1137.179,2000,LMF
2000-10-17,10S,1131.0657,2000,LMF
2000-10-18,10S,1124.5419,2000,LMF
2000-10-19,10S,1117.2144,2000,LMF
2000-10-20,10S,1108.4763,2000,LMF
2000-10-21,10S,1098.5294,2000,LMF
2000-10-22,10S,1087.7245,2000,LMF
2000-10-23,10S,1075.9216,2000,LMF
2000-10-24,10S,1063.0321,2000,LMF
2000-10-25,10S,1049.2601,2000,LMF
2000-10-26,10S,1034.81,2000,LMF
2000-10-27,10S,1017.8845,2000,LMF
2000-10-28,10S,998.7169,2000,LMF
2000-10-29,10S,977.46234,2000,LMF
2000-10-30,10S,954.10284,2000,LMF
2000-10-31,10S,928.6265,2000,LMF
2000-11-01,10S,901.10236,2000,LMF
2000-11-02,10S,871.8564,2000,LMF
2000-11-03,10S,841.67145,2000,LMF
2000-11-04,10S,811.4397,2000,LMF
2000-11-05,10S,781.7981,2000,LMF
2000-11-06,10S,753.6062,2000,LMF
2000-11-07,10S,727.93,2000,LMF
2000-11-08,10S,705.61847,2000,LMF
2000-11-09,10S,687.3108,2000,LMF
2000-11-10,10S,674.3499,2000,LMF
2000-11-11,10S,667.3414,2000,LMF
2000-11-12,10S,666.2666,2000,LMF
2000-11-13,10S,670.6335,2000,LMF
2000-11-14,10S,680.5891,2000,LMF
2000-11-15,10S,695.6386,2000,LMF
2000-11-16,10S,715.30725,2000,LMF
2000-11-17,10S,738.79156,2000,LMF
2000-11-18,10S,765.14435,2000,LMF
2000-11-19,10S,793.40564,2000,LMF
2000-11-20,10S,823.42957,2000,LMF
2000-11-21,10S,854.3373,2000,LMF
2000-11-22,10S,885.516,2000,LMF
2000-11-23,10S,916.518,2000,LMF
2000-11-24,10S,947.1073,2000,LMF
2000-11-25,10S,978.1518,2000,LMF
2000-11-26,10S,1008.8548,2000,LMF
2000-11-27,10S,1039.394,2000,LMF
2000-11-28,10S,1069.9928,2000,LMF
2000-11-29,10S,1100.5515,2000,LMF
2000-11-30,10S,1131.1827,2000,LMF
2000-12-01,10S,1162.4698,2000,LMF
2000-12-02,10S,1193.3499,2000,LMF
2000-12-03,10S,1223.6174,2000,LMF
2000-12-04,10S,1253.624,2000,LMF
2000-12-05,10S,1283.0089,2000,LMF
2000-12-06,10S,1311.487,2000,LMF
2000-12-07,10S,1338.7344,2000,LMF
2000-12-08,10S,1364.408,2000,LMF
2000-12-09,10S,1382.8501,2000,LMF
2000-12-10,10S,1400.0735,2000,LMF
2000-12-11,10S,1416.0924,2000,LMF
2000-12-12,10S,1430.9211,2000,LMF
2000-12-13,10S,1444.5736,2000,LMF
2000-12-14,10S,1457.0646,2000,LMF
2000-12-15,10S,1468.408,2000,LMF
2000-12-16,10S,1478.618,2000,LMF
2000-12-17,10S,1487.7087,2000,LMF
2000-12-18,10S,1495.6948,2000,LMF
2000-12-19,10S,1502.5901,2000,LMF
2000-12-20,10S,1508.409,2000,LMF
2000-12-21,10S,1513.166,2000,LMF
2000-12-22,10S,1516.8749,2000,LMF
2000-12-23,10S,1519.5502,2000,LMF
2000-12-24,10S,1521.206,2000,LMF
2000-12-25,10S,1521.8566,2000,LMF
2000-12-26,10S,1521.5162,2000,LMF
2000-12-27,10S,1520.1989,2000,LMF
2000-12-28,10S,1517.9193,2000,LMF
2000-12-29,10S,1514.6914,2000,LMF
2000-12-30,10S,1510.5294,2000,LMF
2001-01-01,10S,1192.1227,2001,LMF
2001-01-02,10S,1197.5298,2001,LMF
2001-01-03,10S,1202.1294,2001,LMF
2001-01-04,10S,1205.9529,2001,LMF
2001-01-05,10S,1209.0323,2001,LMF
2001-01-06,10S,1211.3997,2001,LMF
2001-01-07,10S,1213.0864,2001,LMF
2001-01-08,10S,1214.1249,2001,LMF
2001-01-09,10S,1214.5465,2001,LMF
2001-01-10,10S,1214.3833,2001,LMF
2001-01-11,10S,1213.6671,2001,LMF
2001-01-12,10S,1212.4299,2001,LMF
2001-01-13,10S,1210.7032,2001,LMF
2001-01-14,10S,1208.5194,2001,LMF
2001-01-15,10S,1205.9098,2001,LMF
2001-01-16,10S,1202.9065,2001,LMF
2001-01-17,10S,1199.5413,2001,LMF
2001-01-18,10S,1195.846,2001,LMF
2001-01-19,10S,1191.8528,2001,LMF
2001-01-20,10S,1187.5929,2001,LMF
2001-01-21,10S,1183.0985,2001,LMF
2001-01-22,10S,1178.4016,2001,LMF
2001-01-23,10S,1173.534,2001,LMF
2001-01-24,10S,1169.074,2001,LMF
2001-01-25,10S,1164.8729,2001,LMF
2001-01-26,10S,1161.0146,2001,LMF
2001-01-27,10S,1157.5154,2001,LMF
2001-01-28,10S,1153.9407,2001,LMF
2001-01-29,10S,1150.242,2001,LMF
2001-01-30,10S,1146.253,2001,LMF
2001-01-31,10S,1141.9724,2001,LMF
2001-02-01,10S,1137.4164,2001,LMF
2001-02-02,10S,1132.7164,2001,LMF
2001-02-03,10S,1127.9744,2001,LMF
2001-02-04,10S,1123.202,2001,LMF
2001-02-05,10S,1118.5807,2001,LMF
2001-02-06,10S,1113.9204,2001,LMF
2001-02-07,10S,1109.0696,2001,LMF
2001-02-08,10S,1103.8114,2001,LMF
2001-02-09,10S,1097.913,2001,LMF
2001-02-10,10S,1091.2118,2001,LMF
2001-02-11,10S,1083.5914,2001,LMF
2001-02-12,10S,1075.3958,2001,LMF
2001-02-13,10S,1066.8938,2001,LMF
2001-02-14,10S,1058.2302,2001,LMF
2001-02-15,10S,1049.4485,2001,LMF
2001-02-16,10S,1040.5698,2001,LMF
2001-02-17,10S,1031.6615,2001,LMF
2001-02-18,10S,1022.7182,2001,LMF
2001-02-19,10S,1013.8258,2001,LMF
2001-02-20,10S,1005.10364,2001,LMF
2001-02-21,10S,996.8276,2001,LMF
2001-02-22,10S,989.1867,2001,LMF
2001-02-23,10S,982.3564,2001,LMF
2001-02-24,10S,976.41833,2001,LMF
2001-02-25,10S,971.4216,2001,LMF
2001-02-26,10S,966.9684,2001,LMF
2001-02-27,10S,963.04364,2001,LMF
2001-02-28,10S,959.423,2001,LMF
2001-03-01,10S,955.8475,2001,LMF
2001-03-02,10S,952.1452,2001,LMF
2001-03-03,10S,948.13934,2001,LMF
2001-03-04,10S,943.71136,2001,LMF
2001-03-05,10S,938.77747,2001,LMF
2001-03-06,10S,933.32947,2001,LMF
2001-03-07,10S,927.54254,2001,LMF
2001-03-08,10S,921.67017,2001,LMF
2001-03-09,10S,915.90234,2001,LMF
2001-03-10,10S,909.9181,2001,LMF
2001-03-11,10S,903.5763,2001,LMF
2001-03-12,10S,896.7907,2001,LMF
2001-03-13,10S,889.491,2001,LMF
2001-03-14,10S,881.76874,2001,LMF
2001-03-15,10S,873.64453,2001,LMF
2001-03-16,10S,865.42456,2001,LMF
2001-03-17,10S,857.2063,2001,LMF
2001-03-18,10S,848.7847,2001,LMF
2001-03-19,10S,839.9,2001,LMF
2001-03-20,10S,830.182,2001,LMF
2001-03-21,10S,819.48706,2001,LMF
2001-03-22,10S,807.4571,2001,LMF
2001-03-23,10S,794.2439,2001,LMF
2001-03-24,10S,779.93445,2001,LMF
2001-03-25,10S,764.84937,2001,LMF
2001-03-26,10S,749.2521,2001,LMF
2001-03-27,10S,733.83057,2001,LMF
2001-03-28,10S,718.8057,2001,LMF
2001-03-29,10S,704.3297,2001,LMF
2001-03-30,10S,690.3252,2001,LMF
2001-03-31,10S,676.997,2001,LMF
2001-04-01,10S,664.51855,2001,LMF
2001-04-02,10S,653.2607,2001,LMF
2001-04-03,10S,643.358,2001,LMF
2001-04-04,10S,635.04724,2001,LMF
2001-04-05,10S,628.58936,2001,LMF
2001-04-06,10S,623.8541,2001,LMF
2001-04-07,10S,620.74,2001,LMF
2001-04-08,10S,619.188,2001,LMF
2001-04-09,10S,619.0524,2001,LMF
2001-04-10,10S,620.27057,2001,LMF
2001-04-11,10S,622.62866,2001,LMF
2001-04-12,10S,626.4103,2001,LMF
2001-04-13,10S,631.4638,2001,LMF
2001-04-14,10S,638.0067,2001,LMF
2001-04-15,10S,646.0847,2001,LMF
2001-04-16,10S,655.60645,2001,LMF
2001-04-17,10S,666.2436,2001,LMF
2001-04-18,10S,677.83374,2001,LMF
2001-04-19,10S,690.3587,2001,LMF
2001-04-20,10S,703.4274,2001,LMF
2001-04-21,10S,716.8713,2001,LMF
2001-04-22,10S,730.48083,2001,LMF
2001-04-23,10S,743.90564,2001,LMF
2001-04-24,10S,756.99164,2001,LMF
2001-04-25,10S,769.75385,2001,LMF
2001-04-26,10S,782.20447,2001,LMF
2001-04-27,10S,794.66907,2001,LMF
2001-04-28,10S,806.8701,2001,LMF
2001-04-29,10S,818.8018,2001,LMF
2001-04-30,10S,830.355,2001,LMF
2001-05-01,10S,841.57837,2001,LMF
2001-05-02,10S,852.7186,2001,LMF
2001-05-03,10S,863.98083,2001,LMF
2001-05-04,10S,875.71747,2001,LMF
2001-05-05,10S,888.1167,2001,LMF
2001-05-06,10S,901.2903,2001,LMF
2001-05-07,10S,915.52094,2001,LMF
2001-05-08,10S,930.82074,2001,LMF
2001-05-09,10S,947.1289,2001,LMF
2001-05-10,10S,964.7859,2001,LMF
2001-05-11,10S,983.3149,2001,LMF
2001-05-12,10S,1002.71173,2001,LMF
2001-05-13,10S,1022.7793,2001,LMF
2001-05-14,10S,1043.5695,2001,LMF
2001-05-15,10S,1065.2548,2001,LMF
2001-05-16,10S,1087.8064,2001,LMF
2001-05-17,10S,1111.3763,2001,LMF
2001-05-18,10S,1136.8339,2001,LMF
2001-05-19,10S,1163.1216,2001,LMF
2001-05-20,10S,1190.4658,2001,LMF
2001-05-21,10S,1219.0464,2001,LMF
2001-05-22,10S,1249.0364,2001,LMF
2001-05-23,10S,1280.2876,2001,LMF
2001-05-24,10S,1312.5472,2001,LMF
2001-05-25,10S,1345.3396,2001,LMF
2001-05-26,10S,1378.4792,2001,LMF
2001-05-27,10S,1411.5818,2001,LMF
2001-05-28,10S,1443.9833,2001,LMF
2001-05-29,10S,1475.0007,2001,LMF
2001-05-30,10S,1503.9224,2001,LMF
2001-05-31,10S,1530.2438,2001,LMF
2001-06-01,10S,1553.742,2001,LMF
2001-06-02,10S,1574.1044,2001,LMF
2001-06-03,10S,1590.8956,2001,LMF
2001-06-04,10S,1604.0822,2001,LMF
2001-06-05,10S,1613.5172,2001,LMF
2001-06-06,10S,1619.1882,2001,LMF
2001-06-07,10S,1621.002,2001,LMF
2001-06-08,10S,1619.1683,2001,LMF
2001-06-09,10S,1613.7865,2001,LMF
2001-06-10,10S,1605.1396,2001,LMF
2001-06-11,10S,1593.2489,2001,LMF
2001-06-12,10S,1578.7192,2001,LMF
2001-06-13,10S,1562.0465,2001,LMF
2001-06-14,10S,1543.6494,2001,LMF
2001-06-15,10S,1523.5627,2001,LMF
2001-06-16,10S,1502.4624,2001,LMF
2001-06-17,10S,1480.5199,2001,LMF
2001-06-18,10S,1458.0508,2001,LMF
2001-06-19,10S,1435.1248,2001,LMF
2001-06-20,10S,1412.2166,2001,LMF
2001-06-21,10S,1389.5382,2001,LMF
2001-06-22,10S,1367.5643,2001,LMF
2001-06-23,10S,1346.8134,2001,LMF
2001-06-24,10S,1327.2755,2001,LMF
2001-06-25,10S,1309.3381,2001,LMF
2001-06-26,10S,1293.2968,2001,LMF
2001-06-27,10S,1279.42,2001,LMF
2001-06-28,10S,1267.858,2001,LMF
2001-06-29,10S,1258.5789,2001,LMF
2001-06-30,10S,1251.805,2001,LMF
2001-07-01,10S,1247.267,2001,LMF
2001-07-02,10S,1243.9305,2001,LMF
2001-07-03,10S,1242.5311,2001,LMF
2001-07-04,10S,1242.2498,2001,LMF
2001-07-05,10S,1242.5586,2001,LMF
2001-07-06,10S,1243.2197,2001,LMF
2001-07-07,10S,1243.9365,2001,LMF
2001-07-08,10S,1244.3566,2001,LMF
2001-07-09,10S,1244.3079,2001,LMF
2001-07-10,10S,1243.4955,2001,LMF
2001-07-11,10S,1241.9246,2001,LMF
2001-07-12,10S,1239.824,2001,LMF
2001-07-13,10S,1237.413,2001,LMF
2001-07-14,10S,1234.7648,2001,LMF
2001-07-15,10S,1231.8448,2001,LMF
2001-07-16,10S,1228.7092,2001,LMF
2001-07-17,10S,1225.4136,2001,LMF
2001-07-18,10S,1221.7865,2001,LMF
2001-07-19,10S,1217.4346,2001,LMF
2001-07-20,10S,1212.325,2001,LMF
2001-07-21,10S,1206.377,2001,LMF
2001-07-22,10S,1199.9952,2001,LMF
2001-07-23,10S,1193.2798,2001,LMF
2001-07-24,10S,1186.308,2001,LMF
2001-07-25,10S,1179.274,2001,LMF
2001-07-26,10S,1172.3462,2001,LMF
2001-07-27,10S,1165.5547,2001,LMF
2001-07-28,10S,1158.78,2001,LMF
2001-07-29,10S,1152.0785,2001,LMF
2001-07-30,10S,1145.8016,2001,LMF
2001-07-31,10S,1140.0193,2001,LMF
2001-08-01,10S,1134.9156,2001,LMF
2001-08-02,10S,1130.331,2001,LMF
2001-08-03,10S,1126.8218,2001,LMF
2001-08-04,10S,1124.5657,2001,LMF
2001-08-05,10S,1123.6696,2001,LMF
2001-08-06,10S,1123.968,2001,LMF
2001-08-07,10S,1125.0276,2001,LMF
2001-08-08,10S,1126.4114,2001,LMF
2001-08-09,10S,1128.0032,2001,LMF
2001-08-10,10S,1129.6227,2001,LMF
2001-08-11,10S,1131.2133,2001,LMF
2001-08-12,10S,1132.718,2001,LMF
2001-08-13,10S,1134.1044,2001,LMF
2001-08-14,10S,1135.2587,2001,LMF
2001-08-15,10S,1136.1454,2001,LMF
2001-08-16,10S,1136.6655,2001,LMF
2001-08-17,10S,1136.735,2001,LMF
2001-08-18,10S,1136.3856,2001,LMF
2001-08-19,10S,1135.7527,2001,LMF
2001-08-20,10S,1134.7266,2001,LMF
2001-08-21,10S,1133.4382,2001,LMF
2001-08-22,10S,1132.1149,2001,LMF
2001-08-23,10S,1131.2166,2001,LMF
2001-08-24,10S,1131.1089,2001,LMF
2001-08-25,10S,1132.0999,2001,LMF
2001-08-26,10S,1134.013,2001,LMF
2001-08-27,10S,1136.4346,2001,LMF
2001-08-28,10S,1139.1134,2001,LMF
2001-08-29,10S,1141.935,2001,LMF
2001-08-30,10S,1144.8192,2001,LMF
2001-08-31,10S,1147.564,2001,LMF
2001-09-01,10S,1150.1864,2001,LMF
2001-09-02,10S,1152.9336,2001,LMF
2001-09-03,10S,1155.8274,2001,LMF
2001-09-04,10S,1158.6976,2001,LMF
2001-09-05,10S,1161.3665,2001,LMF
2001-09-06,10S,1163.5844,2001,LMF
2001-09-07,10S,1165.3732,2001,LMF
2001-09-08,10S,1167.1263,2001,LMF
2001-09-09,10S,1168.6935,2001,LMF
2001-09-10,10S,1169.4417,2001,LMF
2001-09-11,10S,1170.3029,2001,LMF
2001-09-12,10S,1172.0481,2001,LMF
2001-09-13,10S,1175.5902,2001,LMF
2001-09-14,10S,1180.7987,2001,LMF
2001-09-15,10S,1187.2556,2001,LMF
2001-09-16,10S,1195.215,2001,LMF
2001-09-17,10S,1204.5376,2001,LMF
2001-09-18,10S,1215.0946,2001,LMF
2001-09-19,10S,1226.4971,2001,LMF
2001-09-20,10S,1238.5256,2001,LMF
2001-09-21,10S,1251.0052,2001,LMF
2001-09-22,10S,1263.7988,2001,LMF
2001-09-23,10S,1276.4613,2001,LMF
2001-09-24,10S,1288.4597,2001,LMF
2001-09-25,10S,1299.3035,2001,LMF
2001-09-26,10S,1308.5148,2001,LMF
2001-09-27,10S,1315.9573,2001,LMF
2001-09-28,10S,1321.3805,2001,LMF
2001-09-29,10S,1324.1505,2001,LMF
2001-09-30,10S,1323.9615,2001,LMF
2001-10-01,10S,1321.928,2001,LMF
2001-10-02,10S,1318.243,2001,LMF
2001-10-03,10S,1312.8656,2001,LMF
2001-10-04,10S,1305.6188,2001,LMF
2001-10-05,10S,1296.3,2001,LMF
2001-10-06,10S,1285.0894,2001,LMF
2001-10-07,10S,1271.8132,2001,LMF
2001-10-08,10S,1256.4264,2001,LMF
2001-10-09,10S,1238.5438,2001,LMF
2001-10-10,10S,1218.2188,2001,LMF
2001-10-11,10S,1195.5807,2001,LMF
2001-10-12,10S,1170.8134,2001,LMF
2001-10-13,10S,1144.1769,2001,LMF
2001-10-14,10S,1115.8588,2001,LMF
2001-10-15,10S,1086.2606,2001,LMF
2001-10-16,10S,1055.7944,2001,LMF
2001-10-17,10S,1025.1085,2001,LMF
2001-10-18,10S,994.7078,2001,LMF
2001-10-19,10S,965.28455,2001,LMF
2001-10-20,10S,937.45807,2001,LMF
2001-10-21,10S,911.9579,2001,LMF
2001-10-22,10S,889.87256,2001,LMF
2001-10-23,10S,871.323,2001,LMF
2001-10-24,10S,856.84216,2001,LMF
2001-10-25,10S,847.3055,2001,LMF
2001-10-26,10S,842.5875,2001,LMF
2001-10-27,10S,841.9006,2001,LMF
2001-10-28,10S,844.79474,2001,LMF
2001-10-29,10S,850.91064,2001,LMF
2001-10-30,10S,860.0225,2001,LMF
2001-10-31,10S,871.3839,2001,LMF
2001-11-01,10S,884.2,2001,LMF
2001-11-02,10S,897.5827,2001,LMF
2001-11-03,10S,910.9668,2001,LMF
2001-11-04,10S,923.8679,2001,LMF
2001-11-05,10S,935.6651,2001,LMF
2001-11-06,10S,946.2119,2001,LMF
2001-11-07,10S,955.38525,2001,LMF
