date,Pasture,Biomass_kg_ha_std,Year,Source
2000-05-20,10S,141.9947,2000,LMF
2000-05-21,10S,143.0364,2000,LMF
2000-05-23,10S,143.90874,2000,LMF
2000-05-24,10S,144.5636,2000,LMF
2000-05-25,10S,145.11066,2000,LMF
2000-05-26,10S,145.6001,2000,LMF
2000-05-27,10S,146.09778,2000,LMF
2000-05-28,10S,146.67053,2000,LMF
2000-05-29,10S,147.37254,2000,LMF
2000-05-30,10S,148.01576,2000,LMF
2000-05-31,10S,148.61427,2000,LMF
2000-06-01,10S,149.1011,2000,LMF
2000-06-02,10S,149.44899,2000,LMF
2000-06-03,10S,149.59256,2000,LMF
2000-06-04,10S,149.41287,2000,LMF
2000-06-05,10S,148.8631,2000,LMF
2000-06-06,10S,147.98431,2000,LMF
2000-06-07,10S,146.8646,2000,LMF
2000-06-08,10S,145.55058,2000,LMF
2000-06-09,10S,144.1802,2000,LMF
2000-06-10,10S,142.88155,2000,LMF
2000-06-11,10S,141.71172,2000,LMF
2000-06-12,10S,140.64044,2000,LMF
2000-06-13,10S,139.66809,2000,LMF
2000-06-14,10S,138.8855,2000,LMF
2000-06-15,10S,138.23322,2000,LMF
2000-06-16,10S,137.72539,2000,LMF
2000-06-17,10S,137.34306,2000,LMF
2000-06-18,10S,137.14658,2000,LMF
2000-06-19,10S,137.13437,2000,LMF
2000-06-20,10S,137.22087,2000,LMF
2000-06-21,10S,137.3891,2000,LMF
2000-06-22,10S,137.57872,2000,LMF
2000-06-23,10S,137.75333,2000,LMF
2000-06-24,10S,137.95047,2000,LMF
2000-06-25,10S,138.02045,2000,LMF
2000-06-26,10S,138.1536,2000,LMF
2000-06-27,10S,138.2309,2000,LMF
2000-06-28,10S,138.1813,2000,LMF
2000-06-29,10S,138.10442,2000,LMF
2000-06-30,10S,137.89069,2000,LMF
2000-07-01,10S,137.63509,2000,LMF
2000-07-02,10S,137.27982,2000,LMF
2000-07-03,10S,136.91554,2000,LMF
2000-07-04,10S,136.54045,2000,LMF
2000-07-05,10S,136.44273,2000,LMF
2000-07-06,10S,136.4921,2000,LMF
2000-07-07,10S,136.80905,2000,LMF
2000-07-08,10S,137.47635,2000,LMF
2000-07-09,10S,138.5505,2000,LMF
2000-07-10,10S,139.95566,2000,LMF
2000-07-11,10S,141.6042,2000,LMF
2000-07-12,10S,143.54195,2000,LMF
2000-07-13,10S,145.64261,2000,LMF
2000-07-14,10S,147.8405,2000,LMF
2000-07-15,10S,149.8491,2000,LMF
2000-07-16,10S,151.63388,2000,LMF
2000-07-17,10S,153.14008,2000,LMF
2000-07-18,10S,154.2778,2000,LMF
2000-07-19,10S,155.13521,2000,LMF
2000-07-20,10S,155.74281,2000,LMF
2000-07-21,10S,156.22855,2000,LMF
2000-07-22,10S,156.67213,2000,LMF
2000-07-23,10S,157.09343,2000,LMF
2000-07-24,10S,157.55496,2000,LMF
2000-07-25,10S,157.98476,2000,LMF
2000-07-26,10S,158.41316,2000,LMF
2000-07-27,10S,158.90536,2000,LMF
2000-07-28,10S,159.53505,2000,LMF
2000-07-29,10S,160.35535,2000,LMF
2000-07-30,10S,161.3996,2000,LMF
2000-07-31,10S,162.66504,2000,LMF
2000-08-01,10S,164.19592,2000,LMF
2000-08-02,10S,165.86261,2000,LMF
2000-08-03,10S,167.57108,2000,LMF
2000-08-04,10S,169.30324,2000,LMF
2000-08-05,10S,171.02522,2000,LMF
2000-08-06,10S,172.7217,2000,LMF
2000-08-07,10S,174.31926,2000,LMF
2000-08-08,10S,175.78038,2000,LMF
2000-08-09,10S,177.13919,2000,LMF
2000-08-10,10S,178.08409,2000,LMF
2000-08-11,10S,178.59767,2000,LMF
2000-08-12,10S,178.77481,2000,LMF
2000-08-13,10S,178.64676,2000,LMF
2000-08-14,10S,178.3808,2000,LMF
2000-08-15,10S,177.9986,2000,LMF
2000-08-16,10S,177.61247,2000,LMF
2000-08-17,10S,177.34518,2000,LMF
2000-08-18,10S,177.28706,2000,LMF
2000-08-19,10S,177.11775,2000,LMF
2000-08-20,10S,177.07634,2000,LMF
2000-08-21,10S,177.15872,2000,LMF
2000-08-22,10S,177.44795,2000,LMF
2000-08-23,10S,177.89465,2000,LMF
2000-08-24,10S,178.49178,2000,LMF
2000-08-25,10S,179.33708,2000,LMF
2000-08-26,10S,180.39777,2000,LMF
2000-08-27,10S,181.7502,2000,LMF
2000-08-28,10S,183.36394,2000,LMF
2000-08-29,10S,185.33586,2000,LMF
2000-08-30,10S,187.66068,2000,LMF
2000-08-31,10S,190.37865,2000,LMF
2000-09-01,10S,193.47935,2000,LMF
2000-09-02,10S,196.94482,2000,LMF
2000-09-03,10S,200.75359,2000,LMF
2000-09-04,10S,204.93073,2000,LMF
2000-09-05,10S,209.41048,2000,LMF
2000-09-06,10S,214.17076,2000,LMF
2000-09-07,10S,219.23454,2000,LMF
2000-09-08,10S,224.64607,2000,LMF
2000-09-09,10S,230.39426,2000,LMF
2000-09-10,10S,236.50488,2000,LMF
2000-09-11,10S,242.85385,2000,LMF
2000-09-12,10S,249.29973,2000,LMF
2000-09-13,10S,255.84557,2000,LMF
2000-09-14,10S,262.5905,2000,LMF
2000-09-15,10S,269.50842,2000,LMF
2000-09-16,10S,276.48898,2000,LMF
2000-09-17,10S,283.55237,2000,LMF
2000-09-18,10S,290.71005,2000,LMF
2000-09-19,10S,297.84668,2000,LMF
2000-09-20,10S,304.81326,2000,LMF
2000-09-21,10S,311.49664,2000,LMF
2000-09-22,10S,317.77655,2000,LMF
2000-09-23,10S,323.4412,2000,LMF
2000-09-24,10S,328.49826,2000,LMF
2000-09-25,10S,332.8689,2000,LMF
2000-09-26,10S,336.4479,2000,LMF
2000-09-27,10S,339.0017,2000,LMF
2000-09-28,10S,340.3614,2000,LMF
2000-09-29,10S,340.3387,2000,LMF
2000-09-30,10S,338.90378,2000,LMF
2000-10-01,10S,336.02496,2000,LMF
2000-10-02,10S,331.82437,2000,LMF
2000-10-03,10S,326.62482,2000,LMF
2000-10-04,10S,320.66574,2000,LMF
2000-10-05,10S,314.017,2000,LMF
2000-10-06,10S,306.63934,2000,LMF
2000-10-07,10S,298.7964,2000,LMF
2000-10-08,10S,290.8167,2000,LMF
2000-10-09,10S,282.93976,2000,LMF
2000-10-10,10S,275.47308,2000,LMF
2000-10-11,10S,268.50476,2000,LMF
2000-10-12,10S,262.3208,2000,LMF
2000-10-13,10S,256.88663,2000,LMF
2000-10-14,10S,252.18956,2000,LMF
2000-10-15,10S,248.23506,2000,LMF
2000-10-16,10S,245.01099,2000,LMF
2000-10-17,10S,242.4466,2000,LMF
2000-10-18,10S,240.70981,2000,LMF
2000-10-19,10S,239.53442,2000,LMF
2000-10-20,10S,238.69621,2000,LMF
2000-10-21,10S,238.08496,2000,LMF
2000-10-22,10S,237.46175,2000,LMF
2000-10-23,10S,236.75566,2000,LMF
2000-10-24,10S,235.88634,2000,LMF
2000-10-25,10S,234.7608,2000,LMF
2000-10-26,10S,233.42003,2000,LMF
2000-10-27,10S,231.70859,2000,LMF
2000-10-28,10S,229.79141,2000,LMF
2000-10-29,10S,227.70947,2000,LMF
2000-10-30,10S,225.59247,2000,LMF
2000-10-31,10S,223.54881,2000,LMF
2000-11-01,10S,221.7129,2000,LMF
2000-11-02,10S,220.16953,2000,LMF
2000-11-03,10S,219.0891,2000,LMF
2000-11-04,10S,218.63693,2000,LMF
2000-11-05,10S,218.88663,2000,LMF
2000-11-06,10S,219.91335,2000,LMF
2000-11-07,10S,221.83147,2000,LMF
2000-11-08,10S,224.52118,2000,LMF
2000-11-09,10S,227.90428,2000,LMF
2000-11-10,10S,231.95952,2000,LMF
2000-11-11,10S,236.56529,2000,LMF
2000-11-12,10S,241.67728,2000,LMF
2000-11-13,10S,246.97006,2000,LMF
2000-11-14,10S,252.47957,2000,LMF
2000-11-15,10S,258.12357,2000,LMF
2000-11-16,10S,263.81848,2000,LMF
2000-11-17,10S,269.502,2000,LMF
2000-11-18,10S,275.1009,2000,LMF
2000-11-19,10S,280.56485,2000,LMF
2000-11-20,10S,285.849,2000,LMF
2000-11-21,10S,290.92642,2000,LMF
2000-11-22,10S,295.77066,2000,LMF
2000-11-23,10S,300.37363,2000,LMF
2000-11-24,10S,304.71753,2000,LMF
2000-11-25,10S,308.95056,2000,LMF
2000-11-26,10S,313.0058,2000,LMF
2000-11-27,10S,316.97345,2000,LMF
2000-11-28,10S,320.94806,2000,LMF
2000-11-29,10S,325.01685,2000,LMF
2000-11-30,10S,329.32355,2000,LMF
2000-12-01,10S,333.98233,2000,LMF
2000-12-02,10S,338.77542,2000,LMF
2000-12-03,10S,343.83337,2000,LMF
2000-12-04,10S,349.2946,2000,LMF
2000-12-05,10S,355.21603,2000,LMF
2000-12-06,10S,361.6599,2000,LMF
2000-12-07,10S,368.6803,2000,LMF
2000-12-08,10S,376.30496,2000,LMF
2000-12-09,10S,382.30447,2000,LMF
2000-12-10,10S,388.6829,2000,LMF
2000-12-11,10S,395.3847,2000,LMF
2000-12-12,10S,402.3385,2000,LMF
2000-12-13,10S,409.46066,2000,LMF
2000-12-14,10S,416.6601,2000,LMF
2000-12-15,10S,423.84238,2000,LMF
2000-12-16,10S,430.9146,2000,LMF
2000-12-17,10S,437.78995,2000,LMF
2000-12-18,10S,444.39233,2000,LMF
2000-12-19,10S,450.66147,2000,LMF
2000-12-20,10S,456.55804,2000,LMF
2000-12-21,10S,462.06924,2000,LMF
2000-12-22,10S,467.21506,2000,LMF
2000-12-23,10S,472.0548,2000,LMF
2000-12-24,10S,476.69458,2000,LMF
2000-12-25,10S,481.29495,2000,LMF
2000-12-26,10S,486.07883,2000,LMF
2000-12-27,10S,491.33875,2000,LMF
2000-12-28,10S,497.4424,2000,LMF
2000-12-29,10S,504.83554,2000,LMF
2000-12-30,10S,514.0394,2000,LMF
2001-01-01,10S,418.02005,2001,LMF
2001-01-02,10S,419.45456,2001,LMF
2001-01-03,10S,420.70837,2001,LMF
2001-01-04,10S,421.60663,2001,LMF
2001-01-05,10S,422.03024,2001,LMF
2001-01-06,10S,421.9065,2001,LMF
2001-01-07,10S,421.2008,2001,LMF
2001-01-08,10S,419.90942,2001,LMF
2001-01-09,10S,418.05338,2001,LMF
2001-01-10,10S,415.67303,2001,LMF
2001-01-11,10S,412.82367,2001,LMF
2001-01-12,10S,409.5714,2001,LMF
2001-01-13,10S,405.98975,2001,LMF
2001-01-14,10S,402.15604,2001,LMF
2001-01-15,10S,398.14883,2001,LMF
2001-01-16,10S,394.04468,2001,LMF
2001-01-17,10S,389.91562,2001,LMF
2001-01-18,10S,385.82666,2001,LMF
2001-01-19,10S,381.83344,2001,LMF
2001-01-20,10S,377.98013,2001,LMF
2001-01-21,10S,374.29807,2001,LMF
2001-01-22,10S,370.80426,2001,LMF
2001-01-23,10S,367.50076,2001,LMF
2001-01-24,10S,363.44067,2001,LMF
2001-01-25,10S,359.25314,2001,LMF
2001-01-26,10S,354.9495,2001,LMF
2001-01-27,10S,350.56155,2001,LMF
2001-01-28,10S,346.32486,2001,LMF
2001-01-29,10S,342.29077,2001,LMF
2001-01-30,10S,338.41104,2001,LMF
2001-01-31,10S,334.66016,2001,LMF
2001-02-01,10S,330.9947,2001,LMF
2001-02-02,10S,327.45032,2001,LMF
2001-02-03,10S,323.95084,2001,LMF
2001-02-04,10S,320.41397,2001,LMF
2001-02-05,10S,316.77963,2001,LMF
2001-02-06,10S,312.94943,2001,LMF
2001-02-07,10S,308.80484,2001,LMF
2001-02-08,10S,304.33142,2001,LMF
2001-02-09,10S,299.57974,2001,LMF
2001-02-10,10S,294.61075,2001,LMF
2001-02-11,10S,289.46973,2001,LMF
2001-02-12,10S,284.14996,2001,LMF
2001-02-13,10S,278.7956,2001,LMF
2001-02-14,10S,273.46838,2001,LMF
2001-02-15,10S,268.16956,2001,LMF
2001-02-16,10S,263.01804,2001,LMF
2001-02-17,10S,258.10703,2001,LMF
2001-02-18,10S,253.46593,2001,LMF
2001-02-19,10S,249.09572,2001,LMF
2001-02-20,10S,245.08218,2001,LMF
2001-02-21,10S,241.52386,2001,LMF
2001-02-22,10S,238.52643,2001,LMF
2001-02-23,10S,236.18478,2001,LMF
2001-02-24,10S,234.54124,2001,LMF
2001-02-25,10S,233.61786,2001,LMF
2001-02-26,10S,233.36095,2001,LMF
2001-02-27,10S,233.72116,2001,LMF
2001-02-28,10S,234.64102,2001,LMF
2001-03-01,10S,236.089,2001,LMF
2001-03-02,10S,237.90295,2001,LMF
2001-03-03,10S,239.9357,2001,LMF
2001-03-04,10S,242.00146,2001,LMF
2001-03-05,10S,243.93478,2001,LMF
2001-03-06,10S,245.59232,2001,LMF
2001-03-07,10S,246.91516,2001,LMF
2001-03-08,10S,247.79707,2001,LMF
2001-03-09,10S,248.18184,2001,LMF
2001-03-10,10S,247.9724,2001,LMF
2001-03-11,10S,247.10275,2001,LMF
2001-03-12,10S,245.6221,2001,LMF
2001-03-13,10S,243.5108,2001,LMF
2001-03-14,10S,240.79512,2001,LMF
2001-03-15,10S,237.53546,2001,LMF
2001-03-16,10S,233.8997,2001,LMF
2001-03-17,10S,229.96408,2001,LMF
2001-03-18,10S,225.81453,2001,LMF
2001-03-19,10S,221.48561,2001,LMF
2001-03-20,10S,217.07552,2001,LMF
2001-03-21,10S,212.66196,2001,LMF
2001-03-22,10S,208.198,2001,LMF
2001-03-23,10S,203.75348,2001,LMF
2001-03-24,10S,199.36874,2001,LMF
2001-03-25,10S,195.11638,2001,LMF
2001-03-26,10S,191.03116,2001,LMF
2001-03-27,10S,187.1861,2001,LMF
2001-03-28,10S,183.5672,2001,LMF
2001-03-29,10S,180.19797,2001,LMF
2001-03-30,10S,177.11115,2001,LMF
2001-03-31,10S,174.2972,2001,LMF
2001-04-01,10S,171.76697,2001,LMF
2001-04-02,10S,169.47778,2001,LMF
2001-04-03,10S,167.46071,2001,LMF
2001-04-04,10S,165.80338,2001,LMF
2001-04-05,10S,164.59694,2001,LMF
2001-04-06,10S,163.8023,2001,LMF
2001-04-07,10S,163.47147,2001,LMF
2001-04-08,10S,163.57233,2001,LMF
2001-04-09,10S,164.04903,2001,LMF
2001-04-10,10S,164.86374,2001,LMF
2001-04-11,10S,165.9183,2001,LMF
2001-04-12,10S,167.2495,2001,LMF
2001-04-13,10S,168.88518,2001,LMF
2001-04-14,10S,170.81992,2001,LMF
2001-04-15,10S,172.95947,2001,LMF
2001-04-16,10S,175.25954,2001,LMF
2001-04-17,10S,177.57909,2001,LMF
2001-04-18,10S,179.84901,2001,LMF
2001-04-19,10S,182.02193,2001,LMF
2001-04-20,10S,184.03734,2001,LMF
2001-04-21,10S,185.81213,2001,LMF
2001-04-22,10S,187.38301,2001,LMF
2001-04-23,10S,188.79604,2001,LMF
2001-04-24,10S,190.09326,2001,LMF
2001-04-25,10S,191.27493,2001,LMF
2001-04-26,10S,192.30464,2001,LMF
2001-04-27,10S,193.13736,2001,LMF
2001-04-28,10S,193.75652,2001,LMF
2001-04-29,10S,194.14915,2001,LMF
2001-04-30,10S,194.27158,2001,LMF
2001-05-01,10S,194.25555,2001,LMF
2001-05-02,10S,194.14194,2001,LMF
2001-05-03,10S,193.94539,2001,LMF
2001-05-04,10S,193.62726,2001,LMF
2001-05-05,10S,193.20857,2001,LMF
2001-05-06,10S,192.83232,2001,LMF
2001-05-07,10S,192.48065,2001,LMF
2001-05-08,10S,192.1644,2001,LMF
2001-05-09,10S,191.85085,2001,LMF
2001-05-10,10S,191.51735,2001,LMF
2001-05-11,10S,191.16707,2001,LMF
2001-05-12,10S,190.89322,2001,LMF
2001-05-13,10S,190.76956,2001,LMF
2001-05-14,10S,190.78836,2001,LMF
2001-05-15,10S,190.98749,2001,LMF
2001-05-16,10S,191.46094,2001,LMF
2001-05-17,10S,192.06174,2001,LMF
2001-05-18,10S,192.51476,2001,LMF
2001-05-19,10S,192.84535,2001,LMF
2001-05-20,10S,193.36539,2001,LMF
2001-05-21,10S,194.02278,2001,LMF
2001-05-22,10S,194.83073,2001,LMF
2001-05-23,10S,195.799,2001,LMF
2001-05-24,10S,196.91203,2001,LMF
2001-05-25,10S,198.09409,2001,LMF
2001-05-26,10S,199.4252,2001,LMF
2001-05-27,10S,200.82175,2001,LMF
2001-05-28,10S,202.2766,2001,LMF
2001-05-29,10S,203.67688,2001,LMF
2001-05-30,10S,204.88991,2001,LMF
2001-05-31,10S,205.85951,2001,LMF
2001-06-01,10S,206.61363,2001,LMF
2001-06-02,10S,207.16577,2001,LMF
2001-06-03,10S,207.49269,2001,LMF
2001-06-04,10S,207.59402,2001,LMF
2001-06-05,10S,207.48488,2001,LMF
2001-06-06,10S,207.11293,2001,LMF
2001-06-07,10S,206.26694,2001,LMF
2001-06-08,10S,204.89555,2001,LMF
2001-06-09,10S,203.04422,2001,LMF
2001-06-10,10S,200.7897,2001,LMF
2001-06-11,10S,198.18816,2001,LMF
2001-06-12,10S,195.22826,2001,LMF
2001-06-13,10S,191.95335,2001,LMF
2001-06-14,10S,188.4767,2001,LMF
2001-06-15,10S,184.8581,2001,LMF
2001-06-16,10S,181.20877,2001,LMF
2001-06-17,10S,177.71124,2001,LMF
2001-06-18,10S,174.45462,2001,LMF
2001-06-19,10S,171.5607,2001,LMF
2001-06-20,10S,168.98819,2001,LMF
2001-06-21,10S,166.83524,2001,LMF
2001-06-22,10S,165.06602,2001,LMF
2001-06-23,10S,163.76477,2001,LMF
2001-06-24,10S,163.00444,2001,LMF
2001-06-25,10S,162.78146,2001,LMF
2001-06-26,10S,163.07272,2001,LMF
2001-06-27,10S,163.82033,2001,LMF
2001-06-28,10S,164.97763,2001,LMF
2001-06-29,10S,166.46703,2001,LMF
2001-06-30,10S,168.04884,2001,LMF
2001-07-01,10S,169.92682,2001,LMF
2001-07-02,10S,172.5345,2001,LMF
2001-07-03,10S,175.8422,2001,LMF
2001-07-04,10S,179.56877,2001,LMF
2001-07-05,10S,183.74474,2001,LMF
2001-07-06,10S,188.29892,2001,LMF
2001-07-07,10S,193.14487,2001,LMF
2001-07-08,10S,198.10555,2001,LMF
2001-07-09,10S,203.15192,2001,LMF
2001-07-10,10S,208.08183,2001,LMF
2001-07-11,10S,212.93422,2001,LMF
2001-07-12,10S,217.6123,2001,LMF
2001-07-13,10S,222.11537,2001,LMF
2001-07-14,10S,226.45258,2001,LMF
2001-07-15,10S,230.61172,2001,LMF
2001-07-16,10S,234.58713,2001,LMF
2001-07-17,10S,238.36311,2001,LMF
2001-07-18,10S,241.8337,2001,LMF
2001-07-19,10S,244.91211,2001,LMF
2001-07-20,10S,247.53488,2001,LMF
2001-07-21,10S,249.62964,2001,LMF
2001-07-22,10S,251.36057,2001,LMF
2001-07-23,10S,252.77718,2001,LMF
2001-07-24,10S,253.89397,2001,LMF
2001-07-25,10S,254.69458,2001,LMF
2001-07-26,10S,255.23244,2001,LMF
2001-07-27,10S,255.57806,2001,LMF
2001-07-28,10S,255.75163,2001,LMF
2001-07-29,10S,255.81793,2001,LMF
2001-07-30,10S,255.7452,2001,LMF
2001-07-31,10S,255.66936,2001,LMF
2001-08-01,10S,255.5095,2001,LMF
2001-08-02,10S,255.30217,2001,LMF
2001-08-03,10S,255.07036,2001,LMF
2001-08-04,10S,254.92615,2001,LMF
2001-08-05,10S,254.86809,2001,LMF
2001-08-06,10S,255.0512,2001,LMF
2001-08-07,10S,255.49742,2001,LMF
2001-08-08,10S,256.03607,2001,LMF
2001-08-09,10S,256.6468,2001,LMF
2001-08-10,10S,257.31744,2001,LMF
2001-08-11,10S,258.0321,2001,LMF
2001-08-12,10S,258.8198,2001,LMF
2001-08-13,10S,259.7184,2001,LMF
2001-08-14,10S,260.71582,2001,LMF
2001-08-15,10S,261.76132,2001,LMF
2001-08-16,10S,262.88336,2001,LMF
2001-08-17,10S,264.00034,2001,LMF
2001-08-18,10S,265.09015,2001,LMF
2001-08-19,10S,266.07913,2001,LMF
2001-08-20,10S,266.91766,2001,LMF
2001-08-21,10S,267.54404,2001,LMF
2001-08-22,10S,267.96088,2001,LMF
2001-08-23,10S,268.1331,2001,LMF
2001-08-24,10S,268.21933,2001,LMF
2001-08-25,10S,268.3166,2001,LMF
2001-08-26,10S,268.42148,2001,LMF
2001-08-27,10S,268.5103,2001,LMF
2001-08-28,10S,268.45215,2001,LMF
2001-08-29,10S,268.2136,2001,LMF
2001-08-30,10S,267.80347,2001,LMF
2001-08-31,10S,267.15363,2001,LMF
2001-09-01,10S,266.36322,2001,LMF
2001-09-02,10S,265.4168,2001,LMF
2001-09-03,10S,264.3231,2001,LMF
2001-09-04,10S,263.1451,2001,LMF
2001-09-05,10S,261.96545,2001,LMF
2001-09-06,10S,260.79916,2001,LMF
2001-09-07,10S,259.71667,2001,LMF
2001-09-08,10S,258.90292,2001,LMF
2001-09-09,10S,258.2876,2001,LMF
2001-09-10,10S,258.00656,2001,LMF
2001-09-11,10S,258.25778,2001,LMF
2001-09-12,10S,259.2231,2001,LMF
2001-09-13,10S,261.0057,2001,LMF
2001-09-14,10S,263.6621,2001,LMF
2001-09-15,10S,267.19113,2001,LMF
2001-09-16,10S,271.59717,2001,LMF
2001-09-17,10S,276.68567,2001,LMF
2001-09-18,10S,282.3795,2001,LMF
2001-09-19,10S,288.48642,2001,LMF
2001-09-20,10S,294.82352,2001,LMF
2001-09-21,10S,301.2037,2001,LMF
2001-09-22,10S,307.56015,2001,LMF
2001-09-23,10S,313.79535,2001,LMF
2001-09-24,10S,319.81555,2001,LMF
2001-09-25,10S,325.48572,2001,LMF
2001-09-26,10S,330.7091,2001,LMF
2001-09-27,10S,335.4139,2001,LMF
2001-09-28,10S,339.5369,2001,LMF
2001-09-29,10S,342.9572,2001,LMF
2001-09-30,10S,345.5163,2001,LMF
2001-10-01,10S,347.5021,2001,LMF
2001-10-02,10S,348.93097,2001,LMF
2001-10-03,10S,349.80438,2001,LMF
2001-10-04,10S,350.10666,2001,LMF
2001-10-05,10S,349.81372,2001,LMF
2001-10-06,10S,348.91534,2001,LMF
2001-10-07,10S,347.45096,2001,LMF
2001-10-08,10S,345.4261,2001,LMF
2001-10-09,10S,342.71292,2001,LMF
2001-10-10,10S,339.32904,2001,LMF
2001-10-11,10S,335.2568,2001,LMF
2001-10-12,10S,330.60168,2001,LMF
2001-10-13,10S,325.43994,2001,LMF
2001-10-14,10S,319.80807,2001,LMF
2001-10-15,10S,313.84375,2001,LMF
2001-10-16,10S,307.57867,2001,LMF
2001-10-17,10S,301.19067,2001,LMF
2001-10-18,10S,294.82635,2001,LMF
2001-10-19,10S,288.57294,2001,LMF
2001-10-20,10S,282.50476,2001,LMF
2001-10-21,10S,276.78323,2001,LMF
2001-10-22,10S,271.5413,2001,LMF
2001-10-23,10S,266.76706,2001,LMF
2001-10-24,10S,262.6472,2001,LMF
2001-10-25,10S,259.1787,2001,LMF
2001-10-26,10S,256.47244,2001,LMF
2001-10-27,10S,254.51788,2001,LMF
2001-10-28,10S,253.31465,2001,LMF
2001-10-29,10S,252.7032,2001,LMF
2001-10-30,10S,252.4933,2001,LMF
2001-10-31,10S,252.51837,2001,LMF
2001-11-01,10S,252.67258,2001,LMF
2001-11-02,10S,252.80107,2001,LMF
2001-11-03,10S,252.86641,2001,LMF
2001-11-04,10S,252.90234,2001,LMF
2001-11-05,10S,252.91968,2001,LMF
2001-11-06,10S,253.0004,2001,LMF
2001-11-07,10S,253.23434,2001,LMF
2001-11-08,10S,253.73402,2001,LMF
2001-11-09,10S,254.58414,2001,LMF
2001-11-10,10S,255.87596,2001,LMF
2001-11-11,10S,257.71155,2001,LMF
2001-11-12,10S,260.1917,2001,LMF
2001-11-13,10S,263.40054,2001,LMF
2001-11-14,10S,267.40274,2001,LMF
2001-11-15,10S,272.0212,2001,LMF
2001-11-16,10S,277.12277,2001,LMF
2001-11-17,10S,282.6381,2001,LMF
2001-11-18,10S,288.35327,2001,LMF
2001-11-19,10S,293.90305,2001,LMF
2001-11-20,10S,299.12628,2001,LMF
