date,Pasture,Biomass_kg_ha,CP
2023-03-19,13W,150.5,9.44
2023-03-19,6W,104.52,
2023-03-20,13W,145.73,9.44
2023-03-20,6W,101.63,
2023-03-21,13W,140.89,9.44
2023-03-21,6W,98.83,
2023-03-22,13W,136.9,9.44
2023-03-22,6W,96.32,
2023-03-23,13W,133.34,9.44
2023-03-23,6W,94.14,
2023-03-24,13W,129.8,9.44
2023-03-24,6W,91.86,
2023-03-25,13W,126.86,9.44
2023-03-25,6W,89.87,
2023-03-26,13W,123.8,9.44
2023-03-26,6W,88.28,
2023-03-27,13W,121.07,9.44
2023-03-27,6W,86.94,9.44
2023-03-28,13W,118.79,9.44
2023-03-28,6W,86.21,9.42
2023-03-29,13W,117.08,9.44
2023-03-29,6W,85.24,9.43
2023-03-30,13W,115.55,9.42
2023-03-30,6W,84.57,9.42
2023-03-31,13W,114.9,9.43
2023-03-31,6W,84.2,9.42
2023-04-01,13W,113.87,9.43
2023-04-01,6W,84.31,9.42
2023-04-02,13W,112.6,9.42
2023-04-02,6W,84.45,9.43
2023-04-03,13W,111.7,9.43
2023-04-03,6W,84.39,9.43
2023-04-04,13W,111.18,9.43
2023-04-04,6W,84.66,9.43
2023-04-05,13W,110.62,9.43
2023-04-05,6W,85.23,9.43
2023-04-06,13W,110.17,9.43
2023-04-06,6W,86.08,9.43
2023-04-07,13W,109.88,9.43
2023-04-07,6W,87.55,9.43
2023-04-08,13W,109.84,9.43
2023-04-08,6W,88.83,9.42
2023-04-09,13W,109.85,9.43
2023-04-09,6W,91.05,9.43
2023-04-10,13W,110.6,9.43
2023-04-10,6W,92.9,9.42
2023-04-11,13W,110.98,9.43
2023-04-11,6W,94.65,9.4
2023-04-12,13W,111.78,9.4
2023-04-12,6W,97.13,9.39
2023-04-13,13W,112.91,9.4
2023-04-13,6W,100.16,9.37
2023-04-14,13W,114.03,9.4
2023-04-14,6W,103.27,9.37
2023-04-15,13W,115.08,9.39
2023-04-15,6W,106.89,9.37
2023-04-16,13W,116.66,9.39
2023-04-16,6W,111.38,9.38
2023-04-17,13W,118.94,9.38
2023-04-17,6W,115.25,9.39
2023-04-18,13W,121.94,9.38
2023-04-18,6W,120.95,9.39
2023-04-19,13W,125.57,9.37
2023-04-19,6W,127.21,9.39
2023-04-20,13W,129.15,9.38
2023-04-20,6W,134.38,9.39
2023-04-21,13W,133.06,9.38
2023-04-21,6W,141.99,9.39
2023-04-22,13W,137.2,9.39
2023-04-22,6W,150.98,9.38
2023-04-23,13W,141.87,9.39
2023-04-23,6W,160.22,9.37
2023-04-24,13W,147.51,9.38
2023-04-24,6W,170.22,9.36
2023-04-25,13W,151.99,9.38
2023-04-25,6W,181.21,9.35
2023-04-26,13W,157.41,9.38
2023-04-26,6W,192.77,9.34
2023-04-27,13W,164.59,9.38
2023-04-27,6W,205.69,9.34
2023-04-28,13W,172.34,9.37
2023-04-28,6W,219.56,9.36
2023-04-29,13W,180.38,9.37
2023-04-29,6W,233.76,9.4
2023-04-30,13W,189.56,9.37
2023-04-30,6W,248.55,9.46
2023-05-01,13W,198.34,9.37
2023-05-01,6W,263.74,9.54
2023-05-02,13W,208.81,9.39
2023-05-02,6W,279.32,9.65
2023-05-03,13W,220.48,9.41
2023-05-03,6W,295.25,9.77
2023-05-04,13W,232.66,9.44
2023-05-04,6W,311.48,9.91
2023-05-05,13W,245.32,9.49
2023-05-05,6W,327.97,10.04
2023-05-06,13W,258.6,9.56
2023-05-06,6W,344.66,10.15
2023-05-07,13W,272.9,9.63
2023-05-07,6W,361.67,10.25
2023-05-08,13W,287.72,9.73
2023-05-08,6W,378.89,10.33
2023-05-09,13W,303.05,9.83
2023-05-09,6W,396.29,10.4
2023-05-10,13W,318.84,9.94
2023-05-10,6W,413.82,10.46
2023-05-11,13W,334.86,10.05
2023-05-11,6W,431.44,10.52
2023-05-12,13W,352.17,10.17
2023-05-12,6W,449.13,10.59
2023-05-13,13W,370.03,10.28
2023-05-13,6W,467.08,10.68
2023-05-14,13W,388.41,10.38
2023-05-14,6W,485.26,10.79
2023-05-15,13W,407.25,10.47
2023-05-15,6W,503.61,10.91
2023-05-16,13W,426.51,10.56
2023-05-16,6W,522.1,11.04
2023-05-17,13W,446.14,10.62
2023-05-17,6W,540.7,11.16
2023-05-18,13W,466.09,10.68
2023-05-18,6W,559.36,11.25
2023-05-19,13W,486.32,10.72
2023-05-19,6W,578.03,11.31
2023-05-20,13W,506.78,10.76
2023-05-20,6W,596.69,11.32
2023-05-21,13W,527.49,10.8
2023-05-21,6W,615.27,11.28
2023-05-22,13W,548.38,10.83
2023-05-22,6W,633.74,11.2
2023-05-23,13W,569.39,10.86
2023-05-23,6W,652.05,11.07
2023-05-24,13W,590.44,10.89
2023-05-24,6W,670.16,10.93
2023-05-25,13W,611.46,10.9
2023-05-25,6W,688.02,10.76
2023-05-26,13W,632.39,10.9
2023-05-26,6W,705.6,10.6
2023-05-27,13W,653.14,10.88
2023-05-27,6W,722.84,10.46
2023-05-28,13W,673.57,10.84
2023-05-28,6W,739.34,10.34
2023-05-29,13W,692.81,10.78
2023-05-29,6W,754.77,10.26
2023-05-30,13W,711.75,10.7
2023-05-30,6W,769.78,10.21
2023-05-31,13W,730.65,10.61
2023-05-31,6W,785.17,10.2
2023-06-01,13W,749.42,10.52
2023-06-01,6W,800.43,10.22
2023-06-02,13W,768.03,10.43
2023-06-02,6W,815.59,10.25
2023-06-03,13W,786.46,10.36
2023-06-03,6W,830.64,10.3
2023-06-04,13W,804.4,10.3
2023-06-04,6W,845.49,10.36
2023-06-05,13W,822.21,10.26
2023-06-05,6W,860.22,10.42
2023-06-06,13W,839.85,10.24
2023-06-06,6W,874.84,10.48
2023-06-07,13W,857.27,10.23
2023-06-07,6W,889.35,10.55
2023-06-08,13W,874.67,10.24
2023-06-08,6W,903.84,10.61
2023-06-09,13W,891.94,10.26
2023-06-09,6W,918.34,10.67
2023-06-10,13W,909.03,10.28
2023-06-10,6W,932.89,10.73
2023-06-11,13W,925.95,10.3
2023-06-11,6W,947.49,10.79
2023-06-12,13W,942.66,10.33
2023-06-12,6W,962.18,10.83
2023-06-13,13W,959.11,10.35
2023-06-13,6W,976.97,10.86
2023-06-14,13W,975.3,10.38
2023-06-14,6W,991.9,10.89
2023-06-15,13W,991.23,10.4
2023-06-15,6W,1007.0,10.9
2023-06-16,13W,1006.87,10.42
2023-06-16,6W,1022.3,10.91
2023-06-17,13W,1022.25,10.43
2023-06-17,6W,1037.81,10.91
2023-06-18,13W,1037.33,10.45
2023-06-18,6W,1053.56,10.92
2023-06-19,13W,1052.17,10.46
2023-06-19,6W,1069.78,10.94
2023-06-20,13W,1066.75,10.47
2023-06-20,6W,1086.44,10.96
2023-06-21,13W,1081.3,10.48
2023-06-21,6W,1103.48,10.99
2023-06-22,13W,1095.91,10.49
2023-06-22,6W,1120.87,11.01
2023-06-23,13W,1110.46,10.5
2023-06-23,6W,1138.51,11.04
2023-06-24,13W,1124.96,10.53
2023-06-24,6W,1156.36,11.06
2023-06-25,13W,1139.36,10.55
2023-06-25,6W,1174.41,11.08
2023-06-26,13W,1153.64,10.58
2023-06-26,6W,1192.62,11.08
2023-06-27,13W,1167.81,10.62
2023-06-27,6W,1210.99,11.08
2023-06-28,13W,1181.85,10.65
2023-06-28,6W,1229.47,11.07
2023-06-29,13W,1195.76,10.67
2023-06-29,6W,1248.06,11.06
2023-06-30,13W,1209.55,10.68
2023-06-30,6W,1266.73,11.03
2023-07-01,13W,1223.21,10.67
2023-07-01,6W,1285.44,11.0
2023-07-02,13W,1237.17,10.64
2023-07-02,6W,1304.5,10.96
2023-07-03,13W,1251.35,10.6
2023-07-03,6W,1323.83,10.92
2023-07-04,13W,1265.42,10.53
2023-07-04,6W,1343.14,10.87
2023-07-05,13W,1279.37,10.44
2023-07-05,6W,1362.39,10.82
2023-07-06,13W,1293.18,10.34
2023-07-06,6W,1381.55,10.76
2023-07-07,13W,1306.79,10.24
2023-07-07,6W,1400.7,10.69
2023-07-08,13W,1320.19,10.14
2023-07-08,6W,1419.79,10.6
2023-07-09,13W,1333.43,10.03
2023-07-09,6W,1438.8,10.51
2023-07-10,13W,1346.08,9.93
2023-07-10,6W,1457.82,10.41
2023-07-11,13W,1358.36,9.83
2023-07-11,6W,1476.59,10.3
2023-07-12,13W,1370.34,9.73
2023-07-12,6W,1495.12,10.18
2023-07-13,13W,1381.99,9.65
2023-07-13,6W,1513.33,10.07
2023-07-14,13W,1393.35,9.57
2023-07-14,6W,1531.23,9.97
2023-07-15,13W,1404.4,9.5
2023-07-15,6W,1548.72,9.87
2023-07-16,13W,1415.09,9.44
2023-07-16,6W,1565.73,9.79
2023-07-17,13W,1425.37,9.38
2023-07-17,6W,1582.19,9.71
2023-07-18,13W,1435.22,9.31
2023-07-18,6W,1598.01,9.63
2023-07-19,13W,1444.57,9.25
2023-07-19,6W,1613.15,9.57
2023-07-20,13W,1453.38,9.19
2023-07-20,6W,1627.53,9.52
2023-07-21,13W,1461.62,9.13
2023-07-21,6W,1641.08,9.47
2023-07-22,13W,1469.15,9.07
2023-07-22,6W,1653.66,9.44
2023-07-23,13W,1476.21,9.01
2023-07-23,6W,1665.28,9.41
2023-07-24,13W,1482.88,8.95
2023-07-24,6W,1676.13,9.39
2023-07-25,13W,1489.07,8.9
2023-07-25,6W,1686.12,9.38
2023-07-26,13W,1494.8,8.86
2023-07-26,6W,1695.58,9.38
2023-07-27,13W,1500.81,8.82
2023-07-27,6W,1704.86,9.39
2023-07-28,13W,1506.28,8.78
2023-07-28,6W,1713.32,9.4
2023-07-29,13W,1511.18,8.76
2023-07-29,6W,1720.92,9.41
2023-07-30,13W,1515.53,8.74
2023-07-30,6W,1727.62,9.42
2023-07-31,13W,1519.3,8.73
2023-07-31,6W,1733.36,9.44
2023-08-01,13W,1522.5,8.72
2023-08-01,6W,1738.15,9.45
2023-08-02,13W,1525.45,8.72
2023-08-02,6W,1742.04,9.46
2023-08-03,13W,1527.83,8.72
2023-08-03,6W,1744.97,9.47
2023-08-04,13W,1529.63,8.73
2023-08-04,6W,1746.94,9.48
2023-08-05,13W,1530.85,8.74
2023-08-05,6W,1747.95,9.48
2023-08-06,13W,1531.48,8.75
2023-08-06,6W,1747.93,9.48
2023-08-07,13W,1531.51,8.76
2023-08-07,6W,1746.93,9.49
2023-08-08,13W,1530.97,8.78
2023-08-08,6W,1744.94,9.5
2023-08-09,13W,1529.59,8.79
2023-08-09,6W,1741.74,9.5
2023-08-10,13W,1527.44,8.81
2023-08-10,6W,1737.39,9.5
2023-08-11,13W,1524.75,8.82
2023-08-11,6W,1732.01,9.5
2023-08-12,13W,1521.57,8.84
2023-08-12,6W,1725.67,9.5
2023-08-13,13W,1517.94,8.85
2023-08-13,6W,1718.44,9.49
2023-08-14,13W,1513.92,8.86
2023-08-14,6W,1710.42,9.48
2023-08-15,13W,1509.55,8.86
2023-08-15,6W,1701.71,9.46
2023-08-16,13W,1504.98,8.86
2023-08-16,6W,1692.46,9.44
2023-08-17,13W,1500.21,8.86
2023-08-17,6W,1682.53,9.43
2023-08-18,13W,1495.27,8.85
2023-08-18,6W,1671.98,9.41
2023-08-19,13W,1490.19,8.84
2023-08-19,6W,1660.87,9.39
2023-08-20,13W,1484.93,8.82
2023-08-20,6W,1649.25,9.36
2023-08-21,13W,1479.51,8.79
2023-08-21,6W,1637.17,9.31
2023-08-22,13W,1473.97,8.76
2023-08-22,6W,1624.71,9.24
2023-08-23,13W,1468.32,8.71
2023-08-23,6W,1611.92,9.13
2023-08-24,13W,1462.58,8.66
2023-08-24,6W,1598.8,8.98
2023-08-25,13W,1456.81,8.6
2023-08-25,6W,1585.58,8.8
2023-08-26,13W,1451.15,8.54
2023-08-26,6W,1572.29,8.6
2023-08-27,13W,1445.62,8.47
2023-08-27,6W,1559.02,8.39
2023-08-28,13W,1440.26,8.39
2023-08-28,6W,1545.81,8.18
2023-08-29,13W,1435.09,8.31
2023-08-29,6W,1532.76,7.99
2023-08-30,13W,1429.65,8.24
2023-08-30,6W,1519.56,7.82
2023-08-31,13W,1423.86,8.16
2023-08-31,6W,1506.25,7.68
2023-09-01,13W,1418.01,8.1
2023-09-01,6W,1493.08,7.56
2023-09-02,13W,1412.02,8.03
2023-09-02,6W,1480.08,7.46
2023-09-03,13W,1405.91,7.98
2023-09-03,6W,1467.31,7.38
2023-09-04,13W,1399.78,7.93
2023-09-04,6W,1454.73,7.31
2023-09-05,13W,1393.66,7.88
2023-09-05,6W,1442.37,7.25
2023-09-06,13W,1387.57,7.84
2023-09-06,6W,1430.27,7.2
2023-09-07,13W,1381.53,7.8
2023-09-07,6W,1418.47,7.15
2023-09-08,13W,1375.58,7.77
2023-09-08,6W,1407.03,7.1
2023-09-09,13W,1369.67,7.73
2023-09-09,6W,1395.9,7.06
2023-09-10,13W,1363.76,7.7
2023-09-10,6W,1385.11,7.03
2023-09-11,13W,1357.81,7.67
2023-09-11,6W,1374.61,7.0
2023-09-12,13W,1351.85,7.64
2023-09-12,6W,1364.43,6.98
2023-09-13,13W,1345.89,7.61
2023-09-13,6W,1354.6,6.96
2023-09-14,13W,1340.01,7.59
2023-09-14,6W,1345.15,6.94
2023-09-15,13W,1334.22,7.56
2023-09-15,6W,1336.11,6.92
2023-09-16,13W,1328.5,7.53
2023-09-16,6W,1327.5,6.9
2023-09-17,13W,1323.1,7.5
2023-09-17,6W,1319.47,6.87
2023-09-18,13W,1317.76,7.47
2023-09-18,6W,1311.82,6.84
2023-09-19,13W,1312.61,7.44
2023-09-19,6W,1304.66,6.81
2023-09-20,13W,1307.29,7.41
2023-09-20,6W,1297.9,6.78
2023-09-21,13W,1301.68,7.38
2023-09-21,6W,1291.27,6.74
2023-09-22,13W,1295.77,7.35
2023-09-22,6W,1284.8,6.71
2023-09-23,13W,1289.55,7.32
2023-09-23,6W,1278.49,6.67
2023-09-24,13W,1283.21,7.29
2023-09-24,6W,1272.38,6.63
2023-09-25,13W,1276.75,7.26
2023-09-25,6W,1266.46,6.59
2023-09-26,13W,1270.18,7.22
2023-09-26,6W,1260.72,6.55
2023-09-27,13W,1263.54,7.18
2023-09-27,6W,1255.17,6.52
2023-09-28,13W,1256.83,7.15
2023-09-28,6W,1249.78,6.48
2023-09-29,13W,1250.08,7.11
2023-09-29,6W,1244.53,6.45
2023-09-30,13W,1243.3,7.07
2023-09-30,6W,1239.4,6.43
2023-10-01,13W,1236.49,7.02
2023-10-01,6W,1234.38,6.41
2023-10-02,13W,1229.68,6.98
2023-10-02,6W,1229.43,6.39
2023-10-03,13W,1222.85,6.93
2023-10-03,6W,1224.54,6.37
2023-10-04,13W,1216.05,6.88
2023-10-04,6W,1219.72,6.36
2023-10-05,13W,1209.29,6.82
2023-10-05,6W,1214.96,6.34
2023-10-06,13W,1202.56,6.77
2023-10-06,6W,1210.23,6.32
2023-10-07,13W,1196.2,6.71
2023-10-07,6W,1205.82,6.29
2023-10-08,13W,1190.26,6.66
2023-10-08,6W,1201.76,6.26
2023-10-09,13W,1184.66,6.6
2023-10-09,6W,1198.04,6.21
2023-10-10,13W,1179.41,6.55
2023-10-10,6W,1194.71,6.17
2023-10-11,13W,1174.57,6.49
2023-10-11,6W,1191.75,6.12
2023-10-12,13W,1170.16,6.44
2023-10-12,6W,1189.23,6.07
2023-10-13,13W,1166.23,6.39
2023-10-13,6W,1187.14,6.03
2023-10-14,13W,1162.68,6.33
2023-10-14,6W,1185.42,5.99
2023-10-15,13W,1159.6,6.28
2023-10-15,6W,1184.1,5.95
2023-10-16,13W,1156.98,6.23
2023-10-16,6W,1183.16,5.91
2023-10-17,13W,1154.76,6.18
2023-10-17,6W,1182.59,5.86
2023-10-18,13W,1152.93,6.13
2023-10-18,6W,1182.38,5.81
2023-10-19,13W,1151.48,6.08
2023-10-19,6W,1182.5,5.76
2023-10-20,13W,1150.43,6.03
2023-10-20,6W,1182.89,5.7
2023-10-21,13W,1149.78,5.99
2023-10-21,6W,1183.56,5.64
2023-10-22,13W,1149.57,5.94
2023-10-22,6W,1184.57,5.58
2023-10-23,13W,1149.76,5.89
2023-10-23,6W,1185.78,5.53
2023-10-24,13W,1150.23,5.84
2023-10-24,6W,1187.19,5.47
2023-10-25,13W,1150.95,5.8
2023-10-25,6W,1188.75,5.42
2023-10-26,13W,1151.9,5.75
2023-10-26,6W,1190.49,5.38
2023-10-27,13W,1153.03,5.7
2023-10-27,6W,1192.37,5.34
2023-10-28,13W,1154.32,5.66
2023-10-28,6W,1194.37,5.3
2023-10-29,13W,1155.75,5.61
2023-10-29,6W,1196.47,5.26
2023-10-30,13W,1157.28,5.56
2023-10-30,6W,1198.63,5.24
2023-10-31,13W,1158.98,5.52
2023-10-31,6W,1200.91,5.21
2023-11-01,13W,1160.81,5.48
2023-11-01,6W,1203.29,5.19
2023-11-02,13W,1162.76,5.44
2023-11-02,6W,1205.74,5.18
2023-11-03,13W,1164.81,5.4
2023-11-03,6W,1208.26,5.16
2023-11-04,13W,1166.94,5.37
2023-11-04,6W,1210.82,5.15
2023-11-05,13W,1169.11,5.34
2023-11-05,6W,1213.39,5.14
2023-11-06,13W,1171.3,5.31
2023-11-06,6W,1215.96,5.13
2023-11-07,13W,1173.49,5.28
2023-11-07,6W,1218.51,5.12
2023-11-08,13W,1175.7,5.25
2023-11-08,6W,1221.06,5.12
2023-11-09,13W,1177.93,5.23
2023-11-09,6W,1223.6,5.12
2023-11-10,13W,1180.15,5.21
2023-11-10,6W,1226.11,5.12
2023-11-11,13W,1182.34,5.2
2023-11-11,6W,1228.58,5.12
2023-11-12,13W,1184.47,5.18
2023-11-12,6W,1230.98,5.14
2023-11-13,13W,1186.52,5.18
2023-11-13,6W,1233.28,5.15
2023-11-14,13W,1188.47,5.18
2023-11-14,6W,1235.46,5.17
2023-11-15,13W,1190.02,5.18
2023-11-15,6W,1237.33,5.19
2023-11-16,13W,1191.4,5.19
2023-11-16,6W,1239.08,5.22
2023-11-17,13W,1192.59,5.2
2023-11-17,6W,1240.71,5.24
2023-11-18,13W,1193.7,5.21
2023-11-18,6W,1242.32,5.27
2023-11-19,13W,1194.58,5.23
2023-11-19,6W,1243.89,5.29
2023-11-20,13W,1195.28,5.24
2023-11-20,6W,1245.35,5.31
2023-11-21,13W,1195.95,5.26
2023-11-21,6W,1246.81,5.31
2023-11-22,13W,1196.59,5.27
2023-11-22,6W,1248.26,5.32
2023-11-23,13W,1197.2,5.28
2023-11-23,6W,1249.71,5.32
2023-11-24,13W,1197.83,5.29
2023-11-24,6W,1251.18,5.32
2023-11-25,13W,1198.46,5.3
2023-11-25,6W,1252.65,5.32
2023-11-26,13W,1199.09,5.3
2023-11-26,6W,1254.13,5.32
2023-11-27,13W,1199.73,5.3
2023-11-27,6W,1255.6,5.32
2023-11-28,13W,1200.36,5.31
2023-11-28,6W,1257.08,5.32
2023-11-29,13W,1201.0,5.31
2023-11-29,6W,1258.54,5.32
2023-11-30,13W,1201.62,5.31
2023-11-30,6W,1259.99,5.32
2023-12-01,13W,1202.27,5.31
2023-12-01,6W,1261.45,5.32
2023-12-02,13W,1202.93,5.31
2023-12-02,6W,1262.92,5.32
2023-12-03,13W,1203.6,5.31
2023-12-03,6W,1264.38,5.32
2023-12-04,13W,1204.29,5.31
2023-12-04,6W,1265.84,5.32
2023-12-05,13W,1204.98,5.31
2023-12-05,6W,1267.29,5.32
2023-12-06,13W,1205.69,5.31
2023-12-06,6W,1268.74,5.32
2023-12-07,13W,1206.42,5.31
2023-12-07,6W,1270.18,5.32
2023-12-08,13W,1207.17,5.32
2023-12-08,6W,1271.61,5.32
2023-12-09,13W,1207.95,5.32
2023-12-09,6W,1273.05,5.32
2023-12-10,13W,1208.73,5.32
2023-12-10,6W,1274.46,5.33
2023-12-11,13W,1209.56,5.32
2023-12-11,6W,1275.86,5.33
2023-12-12,13W,1210.43,5.32
2023-12-12,6W,1277.23,5.33
2023-12-13,13W,1211.21,5.32
2023-12-13,6W,1278.52,5.33
2023-12-14,13W,1211.89,5.32
2023-12-14,6W,1279.7,5.33
2023-12-15,13W,1212.5,5.33
2023-12-15,6W,1280.73,5.34
2023-12-16,13W,1213.03,5.33
2023-12-16,6W,1281.61,5.34
2023-12-17,13W,1213.47,5.33
2023-12-17,6W,1282.3,5.34
2023-12-18,13W,1213.81,5.33
2023-12-18,6W,1282.84,5.35
2023-12-19,13W,1214.03,5.33
2023-12-19,6W,1283.21,5.35
2023-12-20,13W,1214.12,5.33
2023-12-20,6W,1283.41,5.35
2023-12-21,13W,1214.07,5.34
2023-12-21,6W,1283.42,5.35
2023-12-22,13W,1213.87,5.34
2023-12-22,6W,1283.24,5.36
2023-12-23,13W,1213.51,5.34
2023-12-23,6W,1282.86,5.36
2023-12-24,13W,1212.99,5.34
2023-12-24,6W,1282.26,5.36
2023-12-25,13W,1212.3,5.34
2023-12-25,6W,1281.46,5.36
2023-12-26,13W,1211.42,5.34
2023-12-26,6W,1280.44,5.36
2023-12-27,13W,1210.37,5.34
2023-12-27,6W,1279.2,5.37
2023-12-28,13W,1209.13,5.34
2023-12-28,6W,1277.75,5.37
2023-12-29,13W,1207.7,5.34
2023-12-29,6W,1276.06,5.37
2023-12-30,13W,1206.12,5.34
2023-12-30,6W,1274.21,5.37
2023-12-31,13W,1204.41,5.34
2023-12-31,6W,1272.21,5.37
